FormEndorsementID,FormCode,FormNumber,FormTitle,FormType,EditionDate,JurisdictionState,EffectiveFrom,EffectiveTo,ActiveFlag,FID_InsurancePlan
FE052,PROP-BI-INCOME-ENH-END,PC-PROP-BI-INCOME-ENH-END-0120,Business Income Coverage Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL026
FE053,PROP-BI-EXTRA-STD-CF,PC-PROP-BI-EXTRA-STD-CF-0120,Extra Expense Coverage Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL027
FE054,PROP-BI-EXTRA-STD-NTC,PC-PROP-BI-EXTRA-STD-NTC-0120,Extra Expense Coverage Standard Policyholder Notice,NOTICE,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL027
FE055,PROP-BI-EXTRA-ENH-CF,PC-PROP-BI-EXTRA-ENH-CF-0120,Extra Expense Coverage Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL028
FE056,PROP-BI-EXTRA-ENH-END,PC-PROP-BI-EXTRA-ENH-END-0120,Extra Expense Coverage Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL028
FE057,PROP-SPEC-ALLRISK-STD-CF,PC-PROP-SPEC-ALLRISK-STD-CF-0120,Special Form All Risk Property Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL029
FE058,PROP-SPEC-ALLRISK-STD-NTC,PC-PROP-SPEC-ALLRISK-STD-NTC-0120,Special Form All Risk Property Standard Policyholder Notice,NOTICE,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL029
FE059,PROP-SPEC-ALLRISK-ENH-CF,PC-PROP-SPEC-ALLRISK-ENH-CF-0120,Special Form All Risk Property Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL030
FE060,PROP-SPEC-ALLRISK-ENH-END,PC-PROP-SPEC-ALLRISK-ENH-END-0120,Special Form All Risk Property Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL030
FE061,PROP-SPEC-CAT-STD-CF,PC-PROP-SPEC-CAT-STD-CF-0120,Special Form Catastrophe Extension Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL031
FE062,PROP-SPEC-CAT-STD-NTC,PC-PROP-SPEC-CAT-STD-NTC-0120,Special Form Catastrophe Extension Standard Policyholder Notice,NOTICE,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL031
FE063,PROP-SPEC-CAT-ENH-CF,PC-PROP-SPEC-CAT-ENH-CF-0120,Special Form Catastrophe Extension Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",ALL,"Jan 01, 2020",,TRUE,PL032
FE064,PROP-SPEC-CAT-ENH-SCH,PC-PROP-SPEC-CAT-ENH-SCH-0120,Special Form Catastrophe Extension Enhanced Schedule Attachment,OTHER,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL032
FE065,PA-STD-LIAB-STD-CF,PC-PA-STD-LIAB-STD-CF-0120,Personal Auto Liability Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL033
FE066,PA-STD-LIAB-STD-NTC,PC-PA-STD-LIAB-STD-NTC-0120,Personal Auto Liability Standard Policyholder Notice,NOTICE,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL033
FE067,PA-STD-LIAB-ENH-CF,PC-PA-STD-LIAB-ENH-CF-0120,Personal Auto Liability Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL034
FE068,PA-STD-LIAB-ENH-END,PC-PA-STD-LIAB-ENH-END-0120,Personal Auto Liability Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL034
FE069,PA-STD-PD-STD-CF,PC-PA-STD-PD-STD-CF-0120,Personal Auto Physical Damage Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL035
FE070,PA-STD-PD-STD-NTC,PC-PA-STD-PD-STD-NTC-0120,Personal Auto Physical Damage Standard Policyholder Notice,NOTICE,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL035
FE071,PA-STD-PD-ENH-CF,PC-PA-STD-PD-ENH-CF-0120,Personal Auto Physical Damage Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL036
FE072,PA-STD-PD-ENH-END,PC-PA-STD-PD-ENH-END-0120,Personal Auto Physical Damage Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL036
FE073,PA-PREF-LIAB-STD-CF,PC-PA-PREF-LIAB-STD-CF-0120,Preferred Auto Liability Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL037
FE074,PA-PREF-LIAB-STD-NTC,PC-PA-PREF-LIAB-STD-NTC-0120,Preferred Auto Liability Standard Policyholder Notice,NOTICE,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL037
FE075,PA-PREF-LIAB-ENH-CF,PC-PA-PREF-LIAB-ENH-CF-0120,Preferred Auto Liability Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL038
FE076,PA-PREF-LIAB-ENH-END,PC-PA-PREF-LIAB-ENH-END-0120,Preferred Auto Liability Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL038
FE077,PA-PREF-COMP-STD-CF,PC-PA-PREF-COMP-STD-CF-0120,Preferred Auto Comprehensive Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL039
FE078,PA-PREF-COMP-STD-NTC,PC-PA-PREF-COMP-STD-NTC-0120,Preferred Auto Comprehensive Standard Policyholder Notice,NOTICE,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL039
FE079,PA-PREF-COMP-ENH-CF,PC-PA-PREF-COMP-ENH-CF-0120,Preferred Auto Comprehensive Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL040
FE080,PA-PREF-COMP-ENH-SCH,PC-PA-PREF-COMP-ENH-SCH-0120,Preferred Auto Comprehensive Enhanced Schedule Attachment,OTHER,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL040
FE081,PA-NONSTD-LIAB-STD-CF,PC-PA-NONSTD-LIAB-STD-CF-0120,Non-Standard Auto Liability Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL041
FE082,PA-NONSTD-LIAB-STD-NTC,PC-PA-NONSTD-LIAB-STD-NTC-0120,Non-Standard Auto Liability Standard Policyholder Notice,NOTICE,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL041
FE083,PA-NONSTD-LIAB-ENH-CF,PC-PA-NONSTD-LIAB-ENH-CF-0120,Non-Standard Auto Liability Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL042
FE084,PA-NONSTD-LIAB-ENH-END,PC-PA-NONSTD-LIAB-ENH-END-0120,Non-Standard Auto Liability Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL042
FE085,PA-NONSTD-SR22-STD-CF,PC-PA-NONSTD-SR22-STD-CF-0120,Non-Standard Financial Responsibility Filing Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL043
FE086,PA-NONSTD-SR22-STD-NTC,PC-PA-NONSTD-SR22-STD-NTC-0120,Non-Standard Financial Responsibility Filing Standard Policyholder Notice,NOTICE,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL043
FE087,PA-NONSTD-SR22-ENH-CF,PC-PA-NONSTD-SR22-ENH-CF-0120,Non-Standard Financial Responsibility Filing Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL044
FE088,PA-NONSTD-SR22-ENH-END,PC-PA-NONSTD-SR22-ENH-END-0120,Non-Standard Financial Responsibility Filing Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL044
FE089,PA-MULTI-LIAB-STD-CF,PC-PA-MULTI-LIAB-STD-CF-0120,Multi-Vehicle Liability Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL045
FE090,PA-MULTI-LIAB-STD-NTC,PC-PA-MULTI-LIAB-STD-NTC-0120,Multi-Vehicle Liability Standard Policyholder Notice,NOTICE,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL045
FE091,PA-MULTI-LIAB-ENH-CF,PC-PA-MULTI-LIAB-ENH-CF-0120,Multi-Vehicle Liability Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL046
FE092,PA-MULTI-LIAB-ENH-END,PC-PA-MULTI-LIAB-ENH-END-0120,Multi-Vehicle Liability Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL046
FE093,PA-MULTI-PACK-STD-CF,PC-PA-MULTI-PACK-STD-CF-0120,Multi-Vehicle Package Coverage Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL047
FE094,PA-MULTI-PACK-STD-NTC,PC-PA-MULTI-PACK-STD-NTC-0120,Multi-Vehicle Package Coverage Standard Policyholder Notice,NOTICE,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL047
FE095,PA-MULTI-PACK-ENH-CF,PC-PA-MULTI-PACK-ENH-CF-0120,Multi-Vehicle Package Coverage Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",TX,"Jan 01, 2020",,TRUE,PL048
FE096,PA-MULTI-PACK-ENH-SCH,PC-PA-MULTI-PACK-ENH-SCH-0120,Multi-Vehicle Package Coverage Enhanced Schedule Attachment,OTHER,"Jan 01, 2020",NY,"Jan 01, 2020",,TRUE,PL048
FE097,HOME-HO3-DWELL-STD-CF,PC-HOME-HO3-DWELL-STD-CF-0120,HO-3 Dwelling Coverage Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL049
FE098,HOME-HO3-DWELL-STD-NTC,PC-HOME-HO3-DWELL-STD-NTC-0120,HO-3 Dwelling Coverage Standard Policyholder Notice,NOTICE,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL049
FE099,HOME-HO3-DWELL-ENH-CF,PC-HOME-HO3-DWELL-ENH-CF-0120,HO-3 Dwelling Coverage Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL050
FE100,HOME-HO3-DWELL-ENH-END,PC-HOME-HO3-DWELL-ENH-END-0120,HO-3 Dwelling Coverage Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL050
FE101,HOME-HO3-LIAB-STD-CF,PC-HOME-HO3-LIAB-STD-CF-0120,HO-3 Personal Liability Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL051
FE102,HOME-HO3-LIAB-STD-NTC,PC-HOME-HO3-LIAB-STD-NTC-0120,HO-3 Personal Liability Standard Policyholder Notice,NOTICE,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL051
FE103,HOME-HO3-LIAB-ENH-CF,PC-HOME-HO3-LIAB-ENH-CF-0120,HO-3 Personal Liability Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL052
FE104,HOME-HO3-LIAB-ENH-END,PC-HOME-HO3-LIAB-ENH-END-0120,HO-3 Personal Liability Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL052
FE105,HOME-HO5-DWELL-STD-CF,PC-HOME-HO5-DWELL-STD-CF-0120,HO-5 Comprehensive Dwelling Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL053
FE106,HOME-HO5-DWELL-STD-NTC,PC-HOME-HO5-DWELL-STD-NTC-0120,HO-5 Comprehensive Dwelling Standard Policyholder Notice,NOTICE,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL053
FE107,HOME-HO5-DWELL-ENH-CF,PC-HOME-HO5-DWELL-ENH-CF-0120,HO-5 Comprehensive Dwelling Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL054
FE108,HOME-HO5-DWELL-ENH-END,PC-HOME-HO5-DWELL-ENH-END-0120,HO-5 Comprehensive Dwelling Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL054
FE109,HOME-HO5-PROP-STD-CF,PC-HOME-HO5-PROP-STD-CF-0120,HO-5 Personal Property Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL055
FE110,HOME-HO5-PROP-STD-NTC,PC-HOME-HO5-PROP-STD-NTC-0120,HO-5 Personal Property Standard Policyholder Notice,NOTICE,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL055
FE111,HOME-HO5-PROP-ENH-CF,PC-HOME-HO5-PROP-ENH-CF-0120,HO-5 Personal Property Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL056
FE112,HOME-HO5-PROP-ENH-SCH,PC-HOME-HO5-PROP-ENH-SCH-0120,HO-5 Personal Property Enhanced Schedule Attachment,OTHER,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL056
FE113,HOME-CONDO-BLDG-STD-CF,PC-HOME-CONDO-BLDG-STD-CF-0120,Condo Building Items Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL057
FE114,HOME-CONDO-BLDG-STD-NTC,PC-HOME-CONDO-BLDG-STD-NTC-0120,Condo Building Items Standard Policyholder Notice,NOTICE,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL057
FE115,HOME-CONDO-BLDG-ENH-CF,PC-HOME-CONDO-BLDG-ENH-CF-0120,Condo Building Items Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL058
FE116,HOME-CONDO-BLDG-ENH-END,PC-HOME-CONDO-BLDG-ENH-END-0120,Condo Building Items Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL058
FE117,HOME-CONDO-LIAB-STD-CF,PC-HOME-CONDO-LIAB-STD-CF-0120,Condo Personal Liability Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL059
