InsurancePlanID,PlanCode,PlanName,PlanVersion,EffectiveFrom,EffectiveTo,PlanStatus,FilingReference,FID_InsuranceType,Description
PL027,PROP-BI-EXTRA-STD,Extra Expense Coverage Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-BI-EXTRA-STD,IT014,"Standard plan for Extra Expense Coverage with core limits, standard deductibles, and default underwriting rules."
PL028,PROP-BI-EXTRA-ENH,Extra Expense Coverage Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-BI-EXTRA-ENH,IT014,"Enhanced plan for Extra Expense Coverage with higher limits, expanded options, and broader underwriting flexibility."
PL029,PROP-SPEC-ALLRISK-STD,Special Form All Risk Property Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-SPEC-ALLRISK-STD,IT015,"Standard plan for Special Form All Risk Property with core limits, standard deductibles, and default underwriting rules."
PL030,PROP-SPEC-ALLRISK-ENH,Special Form All Risk Property Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-SPEC-ALLRISK-ENH,IT015,"Enhanced plan for Special Form All Risk Property with higher limits, expanded options, and broader underwriting flexibility."
PL031,PROP-SPEC-CAT-STD,Special Form Catastrophe Extension Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-SPEC-CAT-STD,IT016,"Standard plan for Special Form Catastrophe Extension with core limits, standard deductibles, and default underwriting rules."
PL032,PROP-SPEC-CAT-ENH,Special Form Catastrophe Extension Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PROP-SPEC-CAT-ENH,IT016,"Enhanced plan for Special Form Catastrophe Extension with higher limits, expanded options, and broader underwriting flexibility."
PL033,PA-STD-LIAB-STD,Personal Auto Liability Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-STD-LIAB-STD,IT017,"Standard plan for Personal Auto Liability with core limits, standard deductibles, and default underwriting rules."
PL034,PA-STD-LIAB-ENH,Personal Auto Liability Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-STD-LIAB-ENH,IT017,"Enhanced plan for Personal Auto Liability with higher limits, expanded options, and broader underwriting flexibility."
PL035,PA-STD-PD-STD,Personal Auto Physical Damage Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-STD-PD-STD,IT018,"Standard plan for Personal Auto Physical Damage with core limits, standard deductibles, and default underwriting rules."
PL036,PA-STD-PD-ENH,Personal Auto Physical Damage Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-STD-PD-ENH,IT018,"Enhanced plan for Personal Auto Physical Damage with higher limits, expanded options, and broader underwriting flexibility."
PL037,PA-PREF-LIAB-STD,Preferred Auto Liability Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-PREF-LIAB-STD,IT019,"Standard plan for Preferred Auto Liability with core limits, standard deductibles, and default underwriting rules."
PL038,PA-PREF-LIAB-ENH,Preferred Auto Liability Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-PREF-LIAB-ENH,IT019,"Enhanced plan for Preferred Auto Liability with higher limits, expanded options, and broader underwriting flexibility."
PL039,PA-PREF-COMP-STD,Preferred Auto Comprehensive Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-PREF-COMP-STD,IT020,"Standard plan for Preferred Auto Comprehensive with core limits, standard deductibles, and default underwriting rules."
PL040,PA-PREF-COMP-ENH,Preferred Auto Comprehensive Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-PREF-COMP-ENH,IT020,"Enhanced plan for Preferred Auto Comprehensive with higher limits, expanded options, and broader underwriting flexibility."
PL041,PA-NONSTD-LIAB-STD,Non-Standard Auto Liability Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-NONSTD-LIAB-STD,IT021,"Standard plan for Non-Standard Auto Liability with core limits, standard deductibles, and default underwriting rules."
PL042,PA-NONSTD-LIAB-ENH,Non-Standard Auto Liability Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-NONSTD-LIAB-ENH,IT021,"Enhanced plan for Non-Standard Auto Liability with higher limits, expanded options, and broader underwriting flexibility."
PL043,PA-NONSTD-SR22-STD,Non-Standard Financial Responsibility Filing Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-NONSTD-SR22-STD,IT022,"Standard plan for Non-Standard Financial Responsibility Filing with core limits, standard deductibles, and default underwriting rules."
PL044,PA-NONSTD-SR22-ENH,Non-Standard Financial Responsibility Filing Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-NONSTD-SR22-ENH,IT022,"Enhanced plan for Non-Standard Financial Responsibility Filing with higher limits, expanded options, and broader underwriting flexibility."
PL045,PA-MULTI-LIAB-STD,Multi-Vehicle Liability Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-MULTI-LIAB-STD,IT023,"Standard plan for Multi-Vehicle Liability with core limits, standard deductibles, and default underwriting rules."
PL046,PA-MULTI-LIAB-ENH,Multi-Vehicle Liability Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-MULTI-LIAB-ENH,IT023,"Enhanced plan for Multi-Vehicle Liability with higher limits, expanded options, and broader underwriting flexibility."
PL047,PA-MULTI-PACK-STD,Multi-Vehicle Package Coverage Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-MULTI-PACK-STD,IT024,"Standard plan for Multi-Vehicle Package Coverage with core limits, standard deductibles, and default underwriting rules."
PL048,PA-MULTI-PACK-ENH,Multi-Vehicle Package Coverage Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-PA-MULTI-PACK-ENH,IT024,"Enhanced plan for Multi-Vehicle Package Coverage with higher limits, expanded options, and broader underwriting flexibility."
PL049,HOME-HO3-DWELL-STD,HO-3 Dwelling Coverage Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-HO3-DWELL-STD,IT025,"Standard plan for HO-3 Dwelling Coverage with core limits, standard deductibles, and default underwriting rules."
PL050,HOME-HO3-DWELL-ENH,HO-3 Dwelling Coverage Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-HO3-DWELL-ENH,IT025,"Enhanced plan for HO-3 Dwelling Coverage with higher limits, expanded options, and broader underwriting flexibility."
PL051,HOME-HO3-LIAB-STD,HO-3 Personal Liability Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-HO3-LIAB-STD,IT026,"Standard plan for HO-3 Personal Liability with core limits, standard deductibles, and default underwriting rules."
PL052,HOME-HO3-LIAB-ENH,HO-3 Personal Liability Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-HO3-LIAB-ENH,IT026,"Enhanced plan for HO-3 Personal Liability with higher limits, expanded options, and broader underwriting flexibility."
PL053,HOME-HO5-DWELL-STD,HO-5 Comprehensive Dwelling Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-HO5-DWELL-STD,IT027,"Standard plan for HO-5 Comprehensive Dwelling with core limits, standard deductibles, and default underwriting rules."
PL054,HOME-HO5-DWELL-ENH,HO-5 Comprehensive Dwelling Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-HO5-DWELL-ENH,IT027,"Enhanced plan for HO-5 Comprehensive Dwelling with higher limits, expanded options, and broader underwriting flexibility."
PL055,HOME-HO5-PROP-STD,HO-5 Personal Property Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-HO5-PROP-STD,IT028,"Standard plan for HO-5 Personal Property with core limits, standard deductibles, and default underwriting rules."
PL056,HOME-HO5-PROP-ENH,HO-5 Personal Property Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-HO5-PROP-ENH,IT028,"Enhanced plan for HO-5 Personal Property with higher limits, expanded options, and broader underwriting flexibility."
PL057,HOME-CONDO-BLDG-STD,Condo Building Items Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-CONDO-BLDG-STD,IT029,"Standard plan for Condo Building Items with core limits, standard deductibles, and default underwriting rules."
PL058,HOME-CONDO-BLDG-ENH,Condo Building Items Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-CONDO-BLDG-ENH,IT029,"Enhanced plan for Condo Building Items with higher limits, expanded options, and broader underwriting flexibility."
PL059,HOME-CONDO-LIAB-STD,Condo Personal Liability Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-CONDO-LIAB-STD,IT030,"Standard plan for Condo Personal Liability with core limits, standard deductibles, and default underwriting rules."
PL060,HOME-CONDO-LIAB-ENH,Condo Personal Liability Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-CONDO-LIAB-ENH,IT030,"Enhanced plan for Condo Personal Liability with higher limits, expanded options, and broader underwriting flexibility."
PL061,HOME-RENT-PROP-STD,Renters Personal Property Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-RENT-PROP-STD,IT031,"Standard plan for Renters Personal Property with core limits, standard deductibles, and default underwriting rules."
PL062,HOME-RENT-PROP-ENH,Renters Personal Property Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-RENT-PROP-ENH,IT031,"Enhanced plan for Renters Personal Property with higher limits, expanded options, and broader underwriting flexibility."
PL063,HOME-RENT-LIAB-STD,Renters Liability Standard Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-RENT-LIAB-STD,IT032,"Standard plan for Renters Liability with core limits, standard deductibles, and default underwriting rules."
PL064,HOME-RENT-LIAB-ENH,Renters Liability Enhanced Plan,1.0,"Jan 01, 2020",,ACTIVE,FIL-HOME-RENT-LIAB-ENH,IT032,"Enhanced plan for Renters Liability with higher limits, expanded options, and broader underwriting flexibility."
