RegulatoryTestID,RegulatoryTestCode,Jurisdiction,TestName,TestDescription,Severity,EffectiveFrom,EffectiveTo,FID_InsurancePlan
RT018,AUTO-HNO-LIAB-STD-DISC,ALL,Hired and Non-Owned Liability Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",WARNING,"Jan 01, 2020",,PL009
RT019,AUTO-HNO-LIAB-ENH-MIN-FR,ALL,Hired and Non-Owned Liability Enhanced Financial Responsibility Minimum Test,"Validates that Hired and Non-Owned Liability Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL010
RT020,AUTO-HNO-LIAB-ENH-DISC,ALL,Hired and Non-Owned Liability Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL010
RT021,AUTO-HNO-EXCESS-STD-MIN-FR,ALL,Hired and Non-Owned Excess Liability Standard Financial Responsibility Minimum Test,"Validates that Hired and Non-Owned Excess Liability Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL011
RT022,AUTO-HNO-EXCESS-STD-DISC,ALL,Hired and Non-Owned Excess Liability Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL011
RT023,AUTO-HNO-EXCESS-ENH-MIN-FR,ALL,Hired and Non-Owned Excess Liability Enhanced Financial Responsibility Minimum Test,"Validates that Hired and Non-Owned Excess Liability Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL012
RT024,AUTO-HNO-EXCESS-ENH-DISC,ALL,Hired and Non-Owned Excess Liability Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",WARNING,"Jan 01, 2020",,PL012
RT025,AUTO-TRUCK-LIAB-STD-MIN-FR,TX,Trucking Liability Standard Financial Responsibility Minimum Test,"Validates that Trucking Liability Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL013
RT026,AUTO-TRUCK-LIAB-STD-DISC,TX,Trucking Liability Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL013
RT027,AUTO-TRUCK-LIAB-ENH-MIN-FR,TX,Trucking Liability Enhanced Financial Responsibility Minimum Test,"Validates that Trucking Liability Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL014
RT028,AUTO-TRUCK-LIAB-ENH-DISC,TX,Trucking Liability Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL014
RT029,AUTO-TRUCK-CARGO-STD-MIN-FR,TX,Truckers Cargo Coverage Standard Financial Responsibility Minimum Test,"Validates that Truckers Cargo Coverage Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL015
RT030,AUTO-TRUCK-CARGO-STD-DISC,TX,Truckers Cargo Coverage Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",WARNING,"Jan 01, 2020",,PL015
RT031,AUTO-TRUCK-CARGO-ENH-MIN-FR,TX,Truckers Cargo Coverage Enhanced Financial Responsibility Minimum Test,"Validates that Truckers Cargo Coverage Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL016
RT032,AUTO-TRUCK-CARGO-ENH-DISC,TX,Truckers Cargo Coverage Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL016
RT033,PROP-BLDG-BASIC-STD-FILING,ALL,Building Basic Perils Standard Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",ERROR,"Jan 01, 2020",,PL017
RT034,PROP-BLDG-BASIC-STD-CAT-DISC,ALL,Building Basic Perils Standard Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL017
RT035,PROP-BLDG-BASIC-ENH-FILING,ALL,Building Basic Perils Enhanced Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",BLOCKING,"Jan 01, 2020",,PL018
RT036,PROP-BLDG-BASIC-ENH-CAT-DISC,ALL,Building Basic Perils Enhanced Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL018
RT037,PROP-BLDG-SPEC-STD-FILING,ALL,Building Special Perils Standard Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",ERROR,"Jan 01, 2020",,PL019
RT038,PROP-BLDG-SPEC-STD-CAT-DISC,ALL,Building Special Perils Standard Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL019
RT039,PROP-BLDG-SPEC-ENH-FILING,ALL,Building Special Perils Enhanced Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",BLOCKING,"Jan 01, 2020",,PL020
RT040,PROP-BLDG-SPEC-ENH-CAT-DISC,ALL,Building Special Perils Enhanced Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL020
RT041,PROP-BPP-CONT-STD-FILING,ALL,Business Contents Coverage Standard Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",ERROR,"Jan 01, 2020",,PL021
RT042,PROP-BPP-CONT-STD-CAT-DISC,ALL,Business Contents Coverage Standard Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL021
RT043,PROP-BPP-CONT-ENH-FILING,ALL,Business Contents Coverage Enhanced Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",BLOCKING,"Jan 01, 2020",,PL022
RT044,PROP-BPP-CONT-ENH-CAT-DISC,ALL,Business Contents Coverage Enhanced Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL022
RT045,PROP-BPP-EQUIP-STD-FILING,ALL,Business Equipment Coverage Standard Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",ERROR,"Jan 01, 2020",,PL023
RT046,PROP-BPP-EQUIP-STD-CAT-DISC,ALL,Business Equipment Coverage Standard Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL023
RT047,PROP-BPP-EQUIP-ENH-FILING,ALL,Business Equipment Coverage Enhanced Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",BLOCKING,"Jan 01, 2020",,PL024
RT048,PROP-BPP-EQUIP-ENH-CAT-DISC,ALL,Business Equipment Coverage Enhanced Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL024
RT049,PROP-BI-INCOME-STD-FILING,ALL,Business Income Coverage Standard Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",ERROR,"Jan 01, 2020",,PL025
RT050,PROP-BI-INCOME-STD-CAT-DISC,ALL,Business Income Coverage Standard Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL025
RT051,PROP-BI-INCOME-ENH-FILING,ALL,Business Income Coverage Enhanced Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",BLOCKING,"Jan 01, 2020",,PL026
RT052,PROP-BI-INCOME-ENH-CAT-DISC,ALL,Business Income Coverage Enhanced Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL026
RT053,PROP-BI-EXTRA-STD-FILING,ALL,Extra Expense Coverage Standard Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",ERROR,"Jan 01, 2020",,PL027
RT054,PROP-BI-EXTRA-STD-CAT-DISC,ALL,Extra Expense Coverage Standard Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL027
RT055,PROP-BI-EXTRA-ENH-FILING,ALL,Extra Expense Coverage Enhanced Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",BLOCKING,"Jan 01, 2020",,PL028
RT056,PROP-BI-EXTRA-ENH-CAT-DISC,ALL,Extra Expense Coverage Enhanced Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL028
RT057,PROP-SPEC-ALLRISK-STD-FILING,ALL,Special Form All Risk Property Standard Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",ERROR,"Jan 01, 2020",,PL029
RT058,PROP-SPEC-ALLRISK-STD-CAT-DISC,ALL,Special Form All Risk Property Standard Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL029
RT059,PROP-SPEC-ALLRISK-ENH-FILING,ALL,Special Form All Risk Property Enhanced Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",BLOCKING,"Jan 01, 2020",,PL030
RT060,PROP-SPEC-ALLRISK-ENH-CAT-DISC,ALL,Special Form All Risk Property Enhanced Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",WARNING,"Jan 01, 2020",,PL030
RT061,PROP-SPEC-CAT-STD-FILING,CA,Special Form Catastrophe Extension Standard Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",ERROR,"Jan 01, 2020",,PL031
RT062,PROP-SPEC-CAT-STD-CAT-DISC,CA,Special Form Catastrophe Extension Standard Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",ERROR,"Jan 01, 2020",,PL031
RT063,PROP-SPEC-CAT-ENH-FILING,CA,Special Form Catastrophe Extension Enhanced Property Filing Approval Test,"Validates that the commercial property form, rate, and plan filing approvals are available for the jurisdiction.",BLOCKING,"Jan 01, 2020",,PL032
RT064,PROP-SPEC-CAT-ENH-CAT-DISC,CA,Special Form Catastrophe Extension Enhanced Catastrophe Disclosure Test,"Checks catastrophe, flood, earthquake, or special-peril disclosures required for commercial property coverage.",ERROR,"Jan 01, 2020",,PL032
RT065,PA-STD-LIAB-STD-MIN-FR,TX,Personal Auto Liability Standard Financial Responsibility Minimum Test,"Validates that Personal Auto Liability Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL033
RT066,PA-STD-LIAB-STD-DISC,NY,Personal Auto Liability Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",WARNING,"Jan 01, 2020",,PL033
RT067,PA-STD-LIAB-ENH-MIN-FR,TX,Personal Auto Liability Enhanced Financial Responsibility Minimum Test,"Validates that Personal Auto Liability Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL034
RT068,PA-STD-LIAB-ENH-DISC,NY,Personal Auto Liability Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL034
RT069,PA-STD-PD-STD-MIN-FR,TX,Personal Auto Physical Damage Standard Financial Responsibility Minimum Test,"Validates that Personal Auto Physical Damage Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL035
RT070,PA-STD-PD-STD-DISC,NY,Personal Auto Physical Damage Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL035
RT071,PA-STD-PD-ENH-MIN-FR,TX,Personal Auto Physical Damage Enhanced Financial Responsibility Minimum Test,"Validates that Personal Auto Physical Damage Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL036
RT072,PA-STD-PD-ENH-DISC,NY,Personal Auto Physical Damage Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",WARNING,"Jan 01, 2020",,PL036
RT073,PA-PREF-LIAB-STD-MIN-FR,TX,Preferred Auto Liability Standard Financial Responsibility Minimum Test,"Validates that Preferred Auto Liability Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL037
RT074,PA-PREF-LIAB-STD-DISC,NY,Preferred Auto Liability Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL037
RT075,PA-PREF-LIAB-ENH-MIN-FR,TX,Preferred Auto Liability Enhanced Financial Responsibility Minimum Test,"Validates that Preferred Auto Liability Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL038
RT076,PA-PREF-LIAB-ENH-DISC,NY,Preferred Auto Liability Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL038
RT077,PA-PREF-COMP-STD-MIN-FR,TX,Preferred Auto Comprehensive Standard Financial Responsibility Minimum Test,"Validates that Preferred Auto Comprehensive Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL039
RT078,PA-PREF-COMP-STD-DISC,NY,Preferred Auto Comprehensive Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",WARNING,"Jan 01, 2020",,PL039
RT079,PA-PREF-COMP-ENH-MIN-FR,TX,Preferred Auto Comprehensive Enhanced Financial Responsibility Minimum Test,"Validates that Preferred Auto Comprehensive Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL040
RT080,PA-PREF-COMP-ENH-DISC,NY,Preferred Auto Comprehensive Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL040
RT081,PA-NONSTD-LIAB-STD-MIN-FR,TX,Non-Standard Auto Liability Standard Financial Responsibility Minimum Test,"Validates that Non-Standard Auto Liability Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL041
RT082,PA-NONSTD-LIAB-STD-DISC,NY,Non-Standard Auto Liability Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL041
RT083,PA-NONSTD-LIAB-ENH-MIN-FR,TX,Non-Standard Auto Liability Enhanced Financial Responsibility Minimum Test,"Validates that Non-Standard Auto Liability Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL042
RT084,PA-NONSTD-LIAB-ENH-DISC,NY,Non-Standard Auto Liability Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",WARNING,"Jan 01, 2020",,PL042
RT085,PA-NONSTD-SR22-STD-MIN-FR,TX,Non-Standard Financial Responsibility Filing Standard Financial Responsibility Minimum Test,"Validates that Non-Standard Financial Responsibility Filing Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL043
RT086,PA-NONSTD-SR22-STD-DISC,NY,Non-Standard Financial Responsibility Filing Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL043
RT087,PA-NONSTD-SR22-ENH-MIN-FR,TX,Non-Standard Financial Responsibility Filing Enhanced Financial Responsibility Minimum Test,"Validates that Non-Standard Financial Responsibility Filing Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL044
RT088,PA-NONSTD-SR22-ENH-DISC,NY,Non-Standard Financial Responsibility Filing Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL044
RT089,PA-MULTI-LIAB-STD-MIN-FR,TX,Multi-Vehicle Liability Standard Financial Responsibility Minimum Test,"Validates that Multi-Vehicle Liability Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL045
RT090,PA-MULTI-LIAB-STD-DISC,NY,Multi-Vehicle Liability Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",WARNING,"Jan 01, 2020",,PL045
RT091,PA-MULTI-LIAB-ENH-MIN-FR,TX,Multi-Vehicle Liability Enhanced Financial Responsibility Minimum Test,"Validates that Multi-Vehicle Liability Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL046
RT092,PA-MULTI-LIAB-ENH-DISC,NY,Multi-Vehicle Liability Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL046
RT093,PA-MULTI-PACK-STD-MIN-FR,TX,Multi-Vehicle Package Coverage Standard Financial Responsibility Minimum Test,"Validates that Multi-Vehicle Package Coverage Standard satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL047
RT094,PA-MULTI-PACK-STD-DISC,NY,Multi-Vehicle Package Coverage Standard Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",BLOCKING,"Jan 01, 2020",,PL047
RT095,PA-MULTI-PACK-ENH-MIN-FR,TX,Multi-Vehicle Package Coverage Enhanced Financial Responsibility Minimum Test,"Validates that Multi-Vehicle Package Coverage Enhanced satisfies minimum liability and financial responsibility requirements for the applicable jurisdiction.",ERROR,"Jan 01, 2020",,PL048
RT096,PA-MULTI-PACK-ENH-DISC,NY,Multi-Vehicle Package Coverage Enhanced Required Disclosure Test,"Checks that required auto policy disclosures, notices, and filing references are present before issuance.",WARNING,"Jan 01, 2020",,PL048
RT097,HOME-HO3-DWELL-STD-STATE-DISC,CA,HO-3 Dwelling Coverage Standard Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL049
RT098,HOME-HO3-DWELL-STD-LIMIT,FL,HO-3 Dwelling Coverage Standard Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",BLOCKING,"Jan 01, 2020",,PL049
RT099,HOME-HO3-DWELL-ENH-STATE-DISC,CA,HO-3 Dwelling Coverage Enhanced Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL050
RT100,HOME-HO3-DWELL-ENH-LIMIT,FL,HO-3 Dwelling Coverage Enhanced Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",BLOCKING,"Jan 01, 2020",,PL050
RT101,HOME-HO3-LIAB-STD-STATE-DISC,CA,HO-3 Personal Liability Standard Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL051
RT102,HOME-HO3-LIAB-STD-LIMIT,FL,HO-3 Personal Liability Standard Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",ERROR,"Jan 01, 2020",,PL051
RT103,HOME-HO3-LIAB-ENH-STATE-DISC,CA,HO-3 Personal Liability Enhanced Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL052
RT104,HOME-HO3-LIAB-ENH-LIMIT,FL,HO-3 Personal Liability Enhanced Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",ERROR,"Jan 01, 2020",,PL052
RT105,HOME-HO5-DWELL-STD-STATE-DISC,CA,HO-5 Comprehensive Dwelling Standard Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL053
RT106,HOME-HO5-DWELL-STD-LIMIT,FL,HO-5 Comprehensive Dwelling Standard Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",BLOCKING,"Jan 01, 2020",,PL053
RT107,HOME-HO5-DWELL-ENH-STATE-DISC,CA,HO-5 Comprehensive Dwelling Enhanced Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL054
RT108,HOME-HO5-DWELL-ENH-LIMIT,FL,HO-5 Comprehensive Dwelling Enhanced Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",BLOCKING,"Jan 01, 2020",,PL054
RT109,HOME-HO5-PROP-STD-STATE-DISC,CA,HO-5 Personal Property Standard Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL055
RT110,HOME-HO5-PROP-STD-LIMIT,FL,HO-5 Personal Property Standard Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",BLOCKING,"Jan 01, 2020",,PL055
RT111,HOME-HO5-PROP-ENH-STATE-DISC,CA,HO-5 Personal Property Enhanced Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL056
RT112,HOME-HO5-PROP-ENH-LIMIT,FL,HO-5 Personal Property Enhanced Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",BLOCKING,"Jan 01, 2020",,PL056
RT113,HOME-CONDO-BLDG-STD-STATE-DISC,CA,Condo Building Items Standard Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL057
RT114,HOME-CONDO-BLDG-STD-LIMIT,FL,Condo Building Items Standard Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",BLOCKING,"Jan 01, 2020",,PL057
RT115,HOME-CONDO-BLDG-ENH-STATE-DISC,CA,Condo Building Items Enhanced Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL058
RT116,HOME-CONDO-BLDG-ENH-LIMIT,FL,Condo Building Items Enhanced Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",BLOCKING,"Jan 01, 2020",,PL058
