RatingID,RatingPlanCode,RatingPlanName,Version,EffectiveFrom,EffectiveTo,RatingMethod,Notes,FID_InsurancePlan
RAT035,PA-STD-PD-STD-RATE,Personal Auto Physical Damage Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Personal Auto Physical Damage Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL035
RAT036,PA-STD-PD-ENH-RATE,Personal Auto Physical Damage Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Personal Auto Physical Damage Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL036
RAT037,PA-PREF-LIAB-STD-RATE,Preferred Auto Liability Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Preferred Auto Liability Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL037
RAT038,PA-PREF-LIAB-ENH-RATE,Preferred Auto Liability Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Preferred Auto Liability Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL038
RAT039,PA-PREF-COMP-STD-RATE,Preferred Auto Comprehensive Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Preferred Auto Comprehensive Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL039
RAT040,PA-PREF-COMP-ENH-RATE,Preferred Auto Comprehensive Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Preferred Auto Comprehensive Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL040
RAT041,PA-NONSTD-LIAB-STD-RATE,Non-Standard Auto Liability Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Non-Standard Auto Liability Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL041
RAT042,PA-NONSTD-LIAB-ENH-RATE,Non-Standard Auto Liability Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Non-Standard Auto Liability Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL042
RAT043,PA-NONSTD-SR22-STD-RATE,Non-Standard Financial Responsibility Filing Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Non-Standard Financial Responsibility Filing Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL043
RAT044,PA-NONSTD-SR22-ENH-RATE,Non-Standard Financial Responsibility Filing Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Non-Standard Financial Responsibility Filing Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL044
RAT045,PA-MULTI-LIAB-STD-RATE,Multi-Vehicle Liability Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Multi-Vehicle Liability Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL045
RAT046,PA-MULTI-LIAB-ENH-RATE,Multi-Vehicle Liability Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Multi-Vehicle Liability Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL046
RAT047,PA-MULTI-PACK-STD-RATE,Multi-Vehicle Package Coverage Standard Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Multi-Vehicle Package Coverage Standard Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL047
RAT048,PA-MULTI-PACK-ENH-RATE,Multi-Vehicle Package Coverage Enhanced Rating Plan,1.0,"Jan 01, 2020",,EXTERNAL_ENGINE,"Rating configuration for Multi-Vehicle Package Coverage Enhanced Plan, using external rating engine inputs, territory, limits, and deductible inputs.",PL048
RAT049,HOME-HO3-DWELL-STD-RATE,HO-3 Dwelling Coverage Standard Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for HO-3 Dwelling Coverage Standard Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL049
RAT050,HOME-HO3-DWELL-ENH-RATE,HO-3 Dwelling Coverage Enhanced Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for HO-3 Dwelling Coverage Enhanced Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL050
RAT051,HOME-HO3-LIAB-STD-RATE,HO-3 Personal Liability Standard Rating Plan,1.0,"Jan 01, 2020",,FORMULA_BASED,"Rating configuration for HO-3 Personal Liability Standard Plan, using formula-based rating factors, territory, limits, and deductible inputs.",PL051
RAT052,HOME-HO3-LIAB-ENH-RATE,HO-3 Personal Liability Enhanced Rating Plan,1.0,"Jan 01, 2020",,FORMULA_BASED,"Rating configuration for HO-3 Personal Liability Enhanced Plan, using formula-based rating factors, territory, limits, and deductible inputs.",PL052
RAT053,HOME-HO5-DWELL-STD-RATE,HO-5 Comprehensive Dwelling Standard Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for HO-5 Comprehensive Dwelling Standard Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL053
RAT054,HOME-HO5-DWELL-ENH-RATE,HO-5 Comprehensive Dwelling Enhanced Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for HO-5 Comprehensive Dwelling Enhanced Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL054
RAT055,HOME-HO5-PROP-STD-RATE,HO-5 Personal Property Standard Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for HO-5 Personal Property Standard Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL055
RAT056,HOME-HO5-PROP-ENH-RATE,HO-5 Personal Property Enhanced Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for HO-5 Personal Property Enhanced Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL056
RAT057,HOME-CONDO-BLDG-STD-RATE,Condo Building Items Standard Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Condo Building Items Standard Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL057
RAT058,HOME-CONDO-BLDG-ENH-RATE,Condo Building Items Enhanced Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Condo Building Items Enhanced Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL058
RAT059,HOME-CONDO-LIAB-STD-RATE,Condo Personal Liability Standard Rating Plan,1.0,"Jan 01, 2020",,FORMULA_BASED,"Rating configuration for Condo Personal Liability Standard Plan, using formula-based rating factors, territory, limits, and deductible inputs.",PL059
RAT060,HOME-CONDO-LIAB-ENH-RATE,Condo Personal Liability Enhanced Rating Plan,1.0,"Jan 01, 2020",,FORMULA_BASED,"Rating configuration for Condo Personal Liability Enhanced Plan, using formula-based rating factors, territory, limits, and deductible inputs.",PL060
RAT061,HOME-RENT-PROP-STD-RATE,Renters Personal Property Standard Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Renters Personal Property Standard Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL061
RAT062,HOME-RENT-PROP-ENH-RATE,Renters Personal Property Enhanced Rating Plan,1.0,"Jan 01, 2020",,TABLE_DRIVEN,"Rating configuration for Renters Personal Property Enhanced Plan, using table-driven filed rates, territory, limits, and deductible inputs.",PL062
RAT063,HOME-RENT-LIAB-STD-RATE,Renters Liability Standard Rating Plan,1.0,"Jan 01, 2020",,FORMULA_BASED,"Rating configuration for Renters Liability Standard Plan, using formula-based rating factors, territory, limits, and deductible inputs.",PL063
RAT064,HOME-RENT-LIAB-ENH-RATE,Renters Liability Enhanced Rating Plan,1.0,"Jan 01, 2020",,FORMULA_BASED,"Rating configuration for Renters Liability Enhanced Plan, using formula-based rating factors, territory, limits, and deductible inputs.",PL064
