ContractID,ContractRef,IsMain,StartDate,EndDate,TerminationReason,FDN_ContractType,FDN_Division,FDN_Employee
17,REF-5143-84,True,05/15/2021,,,101,7,10168
52,REF-6592-89,False,03/20/2024,06/23/2025,Retirement,103,12,10463
3,REF-2851-78,False,07/22/2022,,,103,5,10147
47,REF-3443-55,False,03/20/2023,,,100,4,10262
0,REF-7752-94,True,05/22/2025,11/30/2026,Company reorg,103,2,10420
35,REF-3848-86,False,07/09/2020,,,104,1,10024
8,REF-4011-60,True,02/09/2023,,,102,10,10100
61,REF-6291-63,False,09/26/2020,09/03/2024,Resignation,101,7,10113
62,REF-2881-89,False,07/25/2018,,,102,8,10069
67,REF-7612-85,False,12/18/2022,,,104,9,10219
19,REF-8976-57,True,04/29/2023,,,103,11,10142
41,REF-8540-62,True,01/29/2021,,,103,5,10121
40,REF-4451-42,False,01/22/2024,07/24/2024,Relocation,101,12,10079
24,REF-3505-08,False,07/28/2022,04/07/2025,Retirement,104,4,10427
37,REF-6883-49,True,06/16/2024,,,104,6,10153
13,REF-6389-53,True,06/23/2023,10/11/2024,Personal reasons,103,7,10173
86,REF-6624-92,True,03/30/2023,,,105,9,10014
53,REF-6455-75,True,12/10/2018,,,102,8,10094
99,REF-0823-33,False,09/02/2021,08/02/2023,Redundancy,100,5,10386
45,REF-6906-32,True,04/11/2023,11/13/2024,Resignation,104,4,10333
75,REF-1124-99,True,05/08/2018,,,105,1,10319
64,REF-2496-30,True,04/24/2023,,,100,4,10239
60,REF-4198-98,False,11/19/2019,,,103,12,10059
48,REF-2683-39,True,06/28/2024,06/12/2025,Company reorg,103,7,10204
9,REF-3249-09,True,02/22/2019,,,104,11,10308
34,REF-1983-72,True,11/23/2021,,,100,6,10036
88,REF-8289-82,False,02/21/2018,,,103,2,10222
27,REF-5934-81,False,12/07/2025,04/06/2026,Health reasons,101,5,10316
84,REF-8817-99,False,03/20/2023,,,102,10,10138
50,REF-5280-31,True,02/16/2021,,,103,8,10292
81,REF-9999-85,False,10/09/2021,09/04/2023,Performance,104,4,10182
97,REF-4232-43,False,09/07/2024,,,102,9,10006
33,REF-8464-24,True,09/15/2020,,,104,9,10389
22,REF-3937-88,False,03/30/2025,,,104,1,10048
31,REF-4820-28,False,10/04/2025,10/08/2026,Company reorg,102,8,10284
38,REF-8698-44,False,03/04/2024,07/11/2025,Mutual agreement,104,5,10119
77,REF-1976-92,True,07/16/2021,08/16/2024,Performance,102,4,10379
93,REF-7933-35,False,02/16/2019,,,100,4,10185
49,REF-2939-38,True,12/10/2025,,,100,1,10499
46,REF-0893-70,False,10/27/2025,,,103,8,10053
73,REF-0200-73,False,04/07/2023,,,105,3,10495
57,REF-0841-32,False,04/13/2019,,,104,8,10038
56,REF-9453-80,True,09/14/2019,03/11/2023,End of contract,100,2,10286
11,REF-6818-77,True,11/11/2023,,,101,5,10441
74,REF-9642-54,False,05/18/2024,,,101,12,10051
79,REF-3404-80,True,12/19/2020,,,101,4,10089
16,REF-9043-09,True,01/11/2018,,,104,10,10241
71,REF-4771-04,True,03/26/2021,,,102,8,10037
2,REF-3824-33,True,10/08/2022,02/10/2024,Performance,101,3,10037
51,REF-0977-21,False,09/03/2024,,,101,5,10225
66,REF-2037-59,False,11/06/2025,,,102,9,10277
10,REF-8090-56,True,09/15/2024,05/24/2025,Redundancy,103,5,10014
92,REF-1496-29,True,07/16/2025,,,101,1,10391
42,REF-2870-60,False,02/13/2021,06/25/2024,Retirement,100,8,10497
