"AddressType","Street","City","State","PostalCode","FDN_Country","SourceID_Party","PublisherID_Party"
"SHIPPING","557 Cedar Ln Unit 14","Melbourne","VIC","6109","AU","100032","API"
"BILLING","8940 Broadway Near Central Plaza","Vancouver","BC","I3R 3J4","CA","100033","API"
"LEGAL","5674 Nehru Marg Building A","Manchester","England","W25 9WH","GB","100033","API"
"MAILING","9725 Canal Road Apt 2B","Tokyo","Tokyo","274591","JP","100034","API"
"SHIPPING","3392 Queen Street Floor 5","Amsterdam","NH","47473","NL","100034","API"
"SHIPPING","5767 MG Road Opp. City Mall","San Francisco","CA","97380","US","100035","UI"
"SHIPPING","5106 Gandhi St Near Central Plaza","Manchester","England","SW47 9EW","GB","100036","API"
"MAILING","9217 Cedar Ln Suite 120","Delhi","DL","655575","IN","100037","UI"
"MAILING","198 High St Suite 120","Dubai","Dubai","282703","AE","100037","UI"
"BILLING","9970 Victoria Road Apt 2B","Singapore","Singapore","930939","SG","100038","UI"
"MAILING","6546 Gandhi St Suite 120","São Paulo","SP","421473","BR","100038","UI"
"LEGAL","1031 Park Blvd Block C","São Paulo","SP","352252","BR","100039","API"
"BILLING","1685 Queen Street Block C","Madrid","MD","61771","ES","100039","API"
"BILLING","2367 High St Building A","Cape Town","WC","648375","ZA","100040","API"
"SHIPPING","3365 Broadway Opp. City Mall","Seoul","Seoul","925748","KR","100040","API"
"BILLING","4474 King Street Floor 5","San Francisco","CA","84820","US","100041","UI"
"LEGAL","6994 Cedar Ln Unit 14","Tokyo","Tokyo","781854","JP","100042","UI"
"LEGAL","781 Broadway Unit 14","Toronto","ON","N0U 8H2","CA","100043","API"
"SHIPPING","2920 Victoria Road Unit 14","Stockholm","Stockholm","76264","SE","100043","API"
"BILLING","8656 Baker Street Building A","Berlin","BE","17658","DE","100044","API"
"SHIPPING","5801 King Street Suite 120","Chicago","IL","87098","US","100044","API"
"LEGAL","7935 Gandhi St Apt 2B","London","England","SE83 7UD","GB","100045","UI"
"MAILING","7360 King Street Suite 120","Singapore","Singapore","277178","SG","100045","UI"
"SHIPPING","6281 Nehru Marg Floor 5","New York","NY","78058","US","100046","UI"
"MAILING","3668 Main St Suite 120","Bengaluru","KA","818974","IN","100046","UI"
"SHIPPING","6531 Ring Road","Delhi","DL","566432","IN","100047","UI"
"MAILING","4487 King Street Suite 120","Munich","BY","40291","DE","100048","API"
"LEGAL","4169 Victoria Road Suite 120","San Francisco","CA","95873","US","100048","API"
"BILLING","363 Church St Block C","Chicago","IL","53812","US","100049","UI"
"BILLING","1661 Maple Rd","Abu Dhabi","Abu Dhabi","119763","AE","100049","UI"
"SHIPPING","889 Park Blvd Floor 5","Mexico City","CMX","286317","MX","100050","API"
"SHIPPING","610 Baker Street Near Central Plaza","Mumbai","MH","399398","IN","100050","API"
"MAILING","9843 Broadway Building A","Cape Town","WC","952970","ZA","100051","API"
"MAILING","5624 Broadway Unit 14","Manchester","England","SW73 2CM","GB","100051","API"
"MAILING","44 Baker Street Apt 2B","Mumbai","MH","159755","IN","100052","API"
"MAILING","7586 Gandhi St Near Central Plaza","Manchester","England","E4 5PW","GB","100052","API"
"MAILING","9199 Main St Opp. City Mall","Amsterdam","NH","79771","NL","100053","UI"
"MAILING","5027 Oak Ave Block C","Mumbai","MH","257916","IN","100054","API"
"BILLING","592 Canal Road Block C","New York","NY","37671","US","100055","API"
"SHIPPING","4773 Ring Road Suite 120","Manchester","England","SE4 8GO","GB","100056","API"
"BILLING","2027 Church St Unit 14","Paris","Île-de-France","26802","FR","100057","UI"
"LEGAL","9184 Oak Ave Block C","Melbourne","VIC","3177","AU","100057","UI"
"MAILING","181 Nehru Marg Block C","Stockholm","Stockholm","81830","SE","100058","UI"
"MAILING","5364 Park Blvd","Mexico City","CMX","160103","MX","100059","UI"
"SHIPPING","2283 Victoria Road Opp. City Mall","Berlin","BE","22224","DE","100060","UI"
"SHIPPING","9830 Park Blvd","Abu Dhabi","Abu Dhabi","405207","AE","100060","UI"
"BILLING","4080 Church St Near Central Plaza","Cape Town","WC","669325","ZA","100061","API"
"SHIPPING","6523 Main St Opp. City Mall","Munich","BY","16499","DE","100062","UI"
"BILLING","4769 High St Opp. City Mall","Cape Town","WC","883303","ZA","100063","API"
"BILLING","4252 Broadway Floor 5","Seoul","Seoul","560921","KR","100064","UI"
"LEGAL","2762 Oak Ave","Paris","Île-de-France","83392","FR","100064","UI"
"LEGAL","108 Victoria Road Opp. City Mall","Singapore","Singapore","568825","SG","100065","UI"
"LEGAL","1815 Queen Street Suite 120","Manchester","England","NE4 1BE","GB","100066","API"
"LEGAL","634 Broadway Suite 120","Tokyo","Tokyo","901486","JP","100066","API"
"SHIPPING","2741 Nehru Marg Building A","Hyderabad","TS","983840","IN","100067","API"
"LEGAL","7434 Market Street Opp. City Mall","Seoul","Seoul","146441","KR","100068","UI"
"BILLING","4331 Park Blvd Unit 14","London","England","SE27 5AX","GB","100068","UI"
"BILLING","3469 Main St Building A","Dubai","Dubai","834538","AE","100069","UI"
"BILLING","4176 Cedar Ln","Sydney","NSW","7055","AU","100069","UI"
"LEGAL","8441 Ring Road Unit 14","Sydney","NSW","7410","AU","100070","UI"
"BILLING","3438 Victoria Road Block C","Cape Town","WC","361340","ZA","100070","UI"
"BILLING","7392 Market Street Building A","New York","NY","37355","US","100071","UI"
"LEGAL","6315 Victoria Road Opp. City Mall","Munich","BY","23847","DE","100072","UI"
"LEGAL","6098 High St Block C","Bengaluru","KA","616101","IN","100072","UI"
"MAILING","8853 King Street Building A","Singapore","Singapore","999030","SG","100073","UI"
"LEGAL","3454 Maple Rd Unit 14","Cape Town","WC","938557","ZA","100073","UI"
"LEGAL","139 Gandhi St Block C","San Francisco","CA","59481","US","100074","API"
"LEGAL","980 Park Blvd Unit 14","Mexico City","CMX","311808","MX","100074","API"
"MAILING","14 Maple Rd Opp. City Mall","Paris","Île-de-France","24961","FR","100075","API"
"BILLING","5261 Cedar Ln","Osaka","Osaka","664189","JP","100076","UI"
"BILLING","4850 Cedar Ln Opp. City Mall","Seoul","Seoul","322514","KR","100076","UI"
"MAILING","37 Church St Opp. City Mall","Delhi","DL","303796","IN","100077","UI"
"MAILING","4167 Lake View Dr Suite 120","Osaka","Osaka","842136","JP","100077","UI"
"SHIPPING","2714 Gandhi St Opp. City Mall","Dubai","Dubai","971723","AE","100078","API"
"MAILING","9802 Maple Rd Building A","Abu Dhabi","Abu Dhabi","893307","AE","100078","API"
"SHIPPING","9610 Main St Unit 14","Osaka","Osaka","252014","JP","100079","UI"
"LEGAL","9326 King Street Building A","Tokyo","Tokyo","578523","JP","100079","UI"
"LEGAL","8083 King Street Apt 2B","Abu Dhabi","Abu Dhabi","877579","AE","100080","UI"
"LEGAL","7406 Victoria Road Unit 14","Sydney","NSW","3208","AU","100081","API"
"BILLING","2185 Market Street Building A","Hyderabad","TS","187717","IN","100082","UI"
"LEGAL","3437 Market Street Apt 2B","Sydney","NSW","7230","AU","100083","API"
"SHIPPING","9872 Broadway Suite 120","Chicago","IL","90373","US","100083","API"
"SHIPPING","3751 Nehru Marg Unit 14","Auckland","Auckland","707166","NZ","100084","API"
"LEGAL","3929 MG Road Building A","Rome","RM","49309","IT","100085","API"
"SHIPPING","1830 Cedar Ln Opp. City Mall","Stockholm","Stockholm","59327","SE","100086","UI"
"MAILING","5815 Canal Road Apt 2B","Austin","TX","44308","US","100087","API"
"BILLING","8059 Oak Ave Near Central Plaza","Abu Dhabi","Abu Dhabi","971663","AE","100088","UI"
"BILLING","6281 Nehru Marg Near Central Plaza","Paris","Île-de-France","32740","FR","100088","UI"
"SHIPPING","6414 Cedar Ln Unit 14","Austin","TX","50191","US","100089","API"
"LEGAL","823 Oak Ave Suite 120","Berlin","BE","83753","DE","100090","API"
"SHIPPING","4790 High St Suite 120","Abu Dhabi","Abu Dhabi","591658","AE","100090","API"
"LEGAL","877 Victoria Road Block C","Tokyo","Tokyo","684878","JP","100091","API"
"SHIPPING","8862 Gandhi St Apt 2B","São Paulo","SP","386466","BR","100092","UI"
"SHIPPING","2930 Lake View Dr Near Central Plaza","Chicago","IL","64551","US","100093","UI"
"LEGAL","4139 MG Road Near Central Plaza","Toronto","ON","F1B 1B5","CA","100093","UI"
"SHIPPING","938 Ring Road Unit 14","Rome","RM","96119","IT","100094","API"
"SHIPPING","9674 Park Blvd","Zurich","ZH","76608","CH","100095","UI"
"BILLING","6773 Broadway","Sydney","NSW","4802","AU","100095","UI"
"LEGAL","7603 Queen Street Opp. City Mall","Toronto","ON","R8J 5X0","CA","100096","UI"
"BILLING","1000 Park Blvd Building A","Melbourne","VIC","2116","AU","100096","UI"
"LEGAL","7698 Queen Street Opp. City Mall","Tokyo","Tokyo","754099","JP","100097","UI"
"MAILING","2504 Sunset Blvd Apt 2B","Madrid","MD","36150","ES","100098","UI"
"BILLING","1194 Church St Suite 120","Singapore","Singapore","599101","SG","100098","UI"
"LEGAL","1797 Canal Road Near Central Plaza","Dubai","Dubai","252466","AE","100099","UI"
"BILLING","3126 Church St","Amsterdam","NH","33046","NL","100100","UI"
"SHIPPING","461 High St Floor 5","Hyderabad","TS","999688","IN","100100","UI"
"MAILING","6059 Sunset Blvd Unit 14","Chicago","IL","45242","US","100101","API"
"BILLING","9699 High St Block C","Lyon","Auvergne-Rhône-Alpes","27491","FR","100101","API"
