LegalName,AlternateLegalName,RegistrationNumber,RegistrationAuthority,TaxIdentifier,LegalEntityType,IncorporationDate,TaxIdentifierType,RegistrationCountry,SourceID,PublisherID,SourceID_Party,PublisherID_Party,RegulatoryIdentifier,RegulatoryAuthority
CascadeLLP Global,CascadeLLP Global,4O3IE3J69E,Australian Securities and Investments Commission,HE5HZXAIU318,SoleProprietor,"Apr 21, 1987",EIN,CA,LE500017,API,100027,API,REG-IXZB7GQRVO,Securities and Exchange Commission
Velocity Solutions,Velocity,7ST7GKTMR5,Inland Revenue Authority,GEVY3MMGWKQE,Partnership,"May 17, 1991",VAT,GB,LE500018,API,100029,UI,,
FreshFarm Supplies,,WS0I76C9OH,Commercial Registry,C8R97FZ1P9VZ,Trust,"Jun 24, 1981",VAT,SE,LE500019,API,100031,UI,REG-7TB94KO4NU,Telecom Regulatory Authority
Sunrise Pvt Ltd,Sunrise,3U1C1ZIQ93,Australian Securities and Investments Commission,QVZH5KSE0VP1,Partnership,"Jun 22, 1998",EIN,JP,LE500020,UI,100032,API,REG-E0AW8EG0N4,Monetary Authority
Quantum Corporation,,G6KDUGVBG1,Federal Tax Authority,41OIR1IAREHH,Corporation,"Jun 25, 2002",PAN,CA,LE500021,API,100033,API,REG-F6A066VEEL,Pharmaceutical Regulatory Board
CitySquare Traders,,5XE2IV1GSJ,Registrar of Companies,V-0TWF2K7PXC,Partnership,"Jun 19, 1987",EIN,JP,LE500022,API,100034,API,,
CloudNine LLP,CloudNine,EW8M5FPYGA,Secretary of State,JW0A8FTF2QG0,SoleProprietor,"Jul 3, 2001",VAT,KR,LE500023,UI,100035,UI,REG-F86H4DI8IM,Financial Conduct Authority
TrendZone Distribution,,SI4HF7QH2K,Australian Securities and Investments Commission,OH0YLNGN9RMJ,LLP,"Jul 17, 1995",GSTIN,FR,LE500024,UI,100037,UI,,
Orbit Traders,,KVIVTWF1F4,Chamber of Commerce,UPQK8JW1CK7Y,Partnership,"Sep 18, 2017",PAN,MX,LE500025,API,100039,API,REG-8U58AW0DFU,Monetary Authority
UltraTech Chemicals,UltraTech,H2RODVDUBM,Commercial Registry,2IQUI03YW6ZO,Partnership,"Jun 9, 2021",VAT,IT,LE500026,UI,100041,UI,REG-DIJNFI9D2J,Securities and Exchange Commission
FreshFarmLtd Mart,FreshFarmLtd,RTEIH2RUNB,Inland Revenue Authority,3DII9H1UJTE8,Trust,"Sep 27, 1996",VAT,KR,LE500027,API,100042,UI,REG-C7KHQ24C4Y,Securities and Exchange Commission
ZenithIndustries Mart,ZenithIndustries,77FZ9XY3EL,Registrar of Companies,PP8N9DDPJ3KY,Trust,"Apr 6, 1995",EIN,ZA,LE500028,UI,100043,API,REG-YV7HGVTEE5,Pharmaceutical Regulatory Board
CloudNine Logistics,,6MQRX6YG8Q,Registrar of Companies,0Q3MKFBYSIY9,LLP,"Apr 29, 2014",VAT,AU,LE500029,UI,100044,API,REG-XILP9RM3X7,Pharmaceutical Regulatory Board
GreenLeaf Retail,GreenLeaf Retail,2CFBWJNRRO,Registrar of Companies,BMT6AG15SLZI,SoleProprietor,"Sep 10, 1992",VAT,JP,LE500030,API,100045,UI,REG-3QIXGZV8JP,Financial Conduct Authority
CitySquare Retail,CitySquare,UVFS2270NF,Registrar of Companies,SK2B8HASXR88,Corporation,"Oct 9, 2019",VAT,CH,LE500031,UI,100046,UI,REG-KLZH9R33YH,Financial Conduct Authority
EcoSphere Enterprises,,SWOR0QHFRK,Secretary of State,4PE3ICVBYZ59,SoleProprietor,"May 28, 2016",EIN,US,LE500032,UI,100047,UI,REG-KNXTDKXPJ6,Securities and Exchange Commission
CloudNine Pharma,CloudNine,ZW4CB4V63D,Commercial Registry,S27KC81CV27M,LLP,"Apr 10, 1984",VAT,SE,LE500033,UI,100048,API,REG-6MKKWYSYT0,Securities and Exchange Commission
SilverlinePvtLtd Mart,SilverlinePvtLtd,011BPV2GAY,Federal Tax Authority,9XIZP792M41L,LLP,"Jul 14, 2001",PAN,CA,LE500034,UI,100049,UI,REG-ZW0VGVVD1Z,Monetary Authority
NorthStar Corporation,NorthStar,991N7CYSK1,Inland Revenue Authority,8SH63R9ZBV9O,Trust,"Feb 14, 2011",PAN,AE,LE500035,UI,100050,API,,
Quantum Supplies,Quantum,PR0YAUY3SA,Commercial Registry,3-RC-W58T1CV,SoleProprietor,"Dec 16, 2003",VAT,MX,LE500036,API,100051,API,REG-KFTJOCHK7Y,Financial Conduct Authority
Mosaic Supplies,,3S808GEN01,Secretary of State,IYOQUI92THN-,SoleProprietor,"May 31, 2014",EIN,GB,LE500037,API,100053,UI,,
Cedar Holdings,Cedar,917Y07I0ON,Chamber of Commerce,KHXSUV4QS9IQ,LLP,"Jan 10, 1989",VAT,JP,LE500038,UI,100054,API,REG-LON9GEP2AI,Energy Regulatory Commission
PolarSolutions Group,PolarSolutions,BGF44R6Y3J,Australian Securities and Investments Commission,3REGO-FACPHF,SoleProprietor,"Sep 15, 2007",EIN,BR,LE500039,UI,100055,API,REG-8CZ72OEQF0,Financial Conduct Authority
PolarEnterprises Mart,PolarEnterprises,2GAMDJ9MTV,Secretary of State,K9FQW2BGP12N,Partnership,"May 2, 2011",VAT,NZ,LE500040,API,100056,API,REG-EX0FF6PP5F,Telecom Regulatory Authority
IronGateTextiles Stores,IronGateTextiles Stores,QMHGPCIBY1,Commercial Registry,Y3CBRUNZ9QXW,Corporation,"Jan 19, 2007",EIN,BR,LE500041,API,100057,UI,REG-3FH2ASR9YO,Insurance Regulatory Authority
Aurora Systems,,C5PFJVM0LF,Companies House,#NAME?,Trust,"Jan 28, 2007",VAT,CH,LE500042,API,100058,UI,REG-WSKE5KC7J5,Securities and Exchange Commission
RapidCart Logistics,,PXMMQ5RCK1,Federal Tax Authority,BJ4ZXQPBKQJP,Trust,"May 16, 2008",VAT,FR,LE500043,UI,100059,UI,,
Harmony Pvt Ltd,Harmony,O0HF1RABVG,Secretary of State,RLRSRU14TXSZ,Partnership,"May 27, 2001",EIN,NZ,LE500044,API,100060,UI,REG-XB2LWU9J3V,Reserve Bank
GreenLeaf Enterprises,GreenLeaf,E5K0O5CUG5,Chamber of Commerce,LGX5POH2XMQJ,Trust,"Mar 24, 2019",PAN,SE,LE500045,API,100061,API,REG-IQE6TVJ9O6,Securities and Exchange Commission
Dynamic Private Limited,Dynamic,JYLZQTLPRN,Commercial Registry,41C4HLC9Z826,SoleProprietor,"Jan 19, 2012",VAT,GB,LE500046,UI,100062,UI,,
Zenith Pvt Ltd,Zenith,0YG0JEMRYP,Chamber of Commerce,4UMN28P8511C,Partnership,"Oct 21, 1993",EIN,IT,LE500047,UI,100063,API,REG-5DCMHR4RWU,Pharmaceutical Regulatory Board
Skyline Services,,60BDO7QS7E,Commercial Registry,V04ZSC3M0LH1,SoleProprietor,"Aug 25, 1999",VAT,AE,LE500048,API,100064,UI,REG-FCZM0OBR9S,Energy Regulatory Commission
CitySquare Components,,JQKNMI29UQ,Inland Revenue Authority,DPPTJA6QG24S,Corporation,"May 9, 1980",VAT,CH,LE500049,UI,100065,UI,,
Skyline LLP,Skyline LLP,05F32W5U4H,Federal Tax Authority,8RB25CLBNA9P,LLP,"Nov 29, 1998",VAT,AE,LE500050,UI,100067,API,,
PowerGrid Pharma,PowerGrid Pharma,DTRMYT8A0J,Secretary of State,L3OJLSECYYYZ,Trust,"Apr 20, 2008",VAT,ZA,LE500051,UI,100069,UI,REG-G2INC41ECI,Financial Conduct Authority
Urban Industries,Urban,TI63OB656E,Australian Securities and Investments Commission,Y148D0TKIOG8,Trust,"Mar 17, 1988",VAT,SG,LE500052,UI,100071,UI,REG-2KXMK6OCF9,Reserve Bank
GreenLeaf Co,GreenLeaf,8K2E0M6YK1,Inland Revenue Authority,9NW8-6TPPX8P,Partnership,"Oct 1, 2005",VAT,NZ,LE500053,UI,100072,UI,REG-BI6EHW314N,Financial Conduct Authority
Cedar Holdings,Cedar,FSK9K4NDRN,Australian Securities and Investments Commission,OG8AH-MYD7GI,Corporation,"Nov 1, 2005",VAT,CA,LE500054,UI,100074,API,REG-MQSYS8YMNM,Financial Conduct Authority
Summit Traders,,UO0PRBCD4Y,Chamber of Commerce,4D6YJ7WBDHU0,Partnership,"Sep 30, 2012",VAT,NL,LE500055,API,100076,UI,REG-OAICK7QEOJ,Financial Conduct Authority
Harmony Ventures,Harmony,M6XUSWMC6X,Commercial Registry,MW05IMH0NNON,Corporation,"Mar 2, 1991",VAT,ES,LE500056,API,100078,API,,
CedarExports Retail,CedarExports,EJWJVDPQFB,Australian Securities and Investments Commission,P0ND6ZD4GL7E,SoleProprietor,"Nov 19, 1996",PAN,NZ,LE500057,API,100082,UI,,
Dynamic LLP,Dynamic LLP,4ZPKF2RQWM,Secretary of State,AJCFR8L83HKZ,Partnership,"Jan 18, 1989",VAT,KR,LE500058,API,100083,API,REG-1OD9L0MLZX,Pharmaceutical Regulatory Board
CascadeSolutions Global,CascadeSolutions,8TYI73AAMG,Commercial Registry,G7YMICQZGIYG,Partnership,"Feb 13, 2007",VAT,JP,LE500059,UI,100084,API,REG-ELGSANHQEE,Financial Conduct Authority
FreshFarmChemicals Global,FreshFarmChemicals Global,JHDAISKDRH,Registrar of Companies,-LHLPN9DKBB-,SoleProprietor,"May 4, 2011",EIN,US,LE500060,UI,100087,API,REG-TZ3UM0DTDO,Financial Conduct Authority
Vertex Solutions,,NW6BSMG0XV,Commercial Registry,J-B-GNG7OUEH,Partnership,"Dec 1, 2016",GSTIN,US,LE500061,UI,100088,UI,REG-RFM3HAUVU5,Reserve Bank
VertexPharma Group,,9TBAPJSV0S,Inland Revenue Authority,AVO06WV5B3D0,Partnership,"Apr 29, 2013",VAT,NL,LE500062,UI,100090,API,REG-TJ1XA74K0R,Reserve Bank
Cascade Solutions,Cascade,EJW2LPWZ9F,Commercial Registry,3OVOLG6SK3JY,LLP,"Sep 14, 1982",VAT,IT,LE500063,API,100091,API,REG-TSPQIH3KHF,Reserve Bank
GlobalInc Stores,GlobalInc Stores,R4K8GH5WQJ,Commercial Registry,HSRN0BCSSCEG,Trust,"Dec 3, 2021",VAT,SG,LE500064,UI,100093,UI,REG-RD2MD9L4JH,Telecom Regulatory Authority
RiverStone Manufacturing,RiverStone,QFFYHFM50L,Inland Revenue Authority,IL2MG789HD4K,Partnership,"Sep 16, 1981",EIN,IT,LE500065,API,100094,API,REG-K8NOTLIM6W,Financial Conduct Authority
ValueMart Logistics,ValueMart Logistics,F7SHEPONJ2,Inland Revenue Authority,M4ED5RUYKCPV,Partnership,"Oct 27, 2021",VAT,SE,LE500066,API,100095,UI,REG-XPXD5GJUG3,Reserve Bank
UltraTech Ventures,UltraTech,91X6BKNLOE,Commercial Registry,632GKL74GE3C,LLP,"Jun 24, 1997",PAN,IN,LE500067,UI,100096,UI,REG-OVN9R0WRBE,Pharmaceutical Regulatory Board
Harmony Manufacturing,Harmony,EUPG1SY251,Australian Securities and Investments Commission,YL04CEQPIH8E,Trust,"Aug 20, 1993",VAT,ZA,LE500068,API,100097,UI,,
NovaLLP Stores,,3VAGTIR80V,Secretary of State,Z3RU4UF3YZRQ,LLP,"Aug 9, 1983",GSTIN,CH,LE500069,UI,100099,UI,REG-B97CTIZ2LR,Pharmaceutical Regulatory Board
Urban Holdings,,JNY2WQQLWM,Companies House,LOHQF6FXMKCH,Partnership,"Apr 26, 1987",EIN,US,LE500070,API,100100,UI,REG-V41JYFVI02,Pharmaceutical Regulatory Board
