"Entity","PublisherID","SourceID","LegalName","FDN_counterpartyGroup","TaxID","FDN_currency","FDN_country","IsCustomer","IsSupplier","IsInternalEntity"
"Counterparty","ERP","CP-CUST-009","Jetstream Travel","","448195935","CURR-BRL","CTRY-BRA","true","false","false"
"Counterparty","ERP","CP-CUST-010","Keystone Home Goods","","709004943","CURR-CAD","CTRY-CAN","true","false","false"
"Counterparty","ERP","CP-CUST-011","Lumina Fashion","","384412919","CURR-CAD","CTRY-CAN","true","false","false"
"Counterparty","ERP","CP-CUST-012","Mosaic Furniture","","335493870","CURR-GBP","CTRY-GBR","true","false","false"
"Counterparty","ERP","CP-CUST-013","Northwind Traders","","553290810","CURR-BRL","CTRY-BRA","true","false","false"
"Counterparty","ERP","CP-CUST-014","Orion Digital","","873869166","CURR-BRL","CTRY-BRA","true","false","false"
"Counterparty","ERP","CP-CUST-015","Pinnacle Hospitality","","103484630","CURR-EUR","CTRY-DEU","true","false","false"
"Counterparty","ERP","CP-CUST-016","Quasar Motors","","645098869","CURR-BRL","CTRY-BRA","true","false","false"
"Counterparty","ERP","CP-CUST-017","Riverbend Energy","","448059918","CURR-SGD","CTRY-SGP","true","false","false"
"Counterparty","ERP","CP-CUST-018","Summit Healthcare","","885879795","CURR-USD","","true","false","false"
"Counterparty","ERP","CP-CUST-019","Terra Agriculture","","666585408","CURR-GBP","CTRY-GBR","true","false","false"
"Counterparty","ERP","CP-CUST-020","Urban Outfitters APAC","","655742829","CURR-EUR","CTRY-DEU","true","false","false"
"Counterparty","ERP","CP-CUST-021","Veridian Supply","","336456621","CURR-SGD","CTRY-SGP","true","false","false"
"Counterparty","ERP","CP-CUST-022","Westward Tools","","176082500","CURR-GBP","","true","false","false"
"Counterparty","ERP","CP-CUST-023","Yellowstone Equipments","","942478695","CURR-CAD","CTRY-CAN","true","false","false"
"Counterparty","ERP","CP-CUST-024","Zenith Airlines","","541417711","CURR-EUR","CTRY-DEU","true","false","false"
"Counterparty","ERP","CP-CUST-025","Arbor Telecom","","366992705","CURR-USD","CTRY-USA","true","false","false"
"Counterparty","ERP","CP-CUST-026","Bayshore Retail","","180943908","CURR-CAD","CTRY-CAN","true","false","false"
"Counterparty","ERP","CP-CUST-027","Cascade Outdoors","","909134796","CURR-USD","CTRY-USA","true","false","false"
"Counterparty","ERP","CP-CUST-028","Driftline Marine","","276777762","CURR-USD","CTRY-USA","true","false","false"
"Counterparty","ERP","CP-CUST-029","Equinox Apparel","","303901283","CURR-CAD","CTRY-CAN","true","false","false"
"Counterparty","ERP","CP-CUST-030","Frostline Sporting","","611947770","CURR-SGD","CTRY-SGP","true","false","false"
"Counterparty","ERP","CP-CUST-031","Oreon Digital","","873853166","CURR-BRL","CTRY-BRA","true","false","false"
"Counterparty","ERP","CP-CUST-032","Reaver band Energy","","448059918","CURR-SGD","CTRY-SGP","true","false","false"
"Counterparty","ERP","CP-SUP-001","Nova Components","CPG-APEX","738914080","CURR-USD","CTRY-USA","false","true","false"
"Counterparty","ERP","CP-SUP-002","Terra Metals","CPG-NOVA-SUB1","738360085","CURR-SGD","CTRY-SGP","false","true","false"
"Counterparty","ERP","CP-SUP-031","Nova Metals Trading","CPG-NOVA-SUB1","287450199","CURR-SGD","CTRY-SGP","false","true","false"
"Counterparty","ERP","CP-SUP-003","Helios Plastics","CPG-TERA","319321646","CURR-GBP","CTRY-GBR","false","true","false"
"Counterparty","ERP","CP-SUP-004","Vector Logistics","CPG-APEX","793101194","CURR-BRL","CTRY-BRA","false","true","false"
"Counterparty","ERP","CP-SUP-005","Polar Manufacturing","CPG-NOVA","677280546","CURR-USD","CTRY-USA","false","true","false"
"Counterparty","ERP","CP-SUP-006","Everest Chemicals","CPG-TERA","","CURR-CAD","CTRY-CAN","false","true","false"
"Counterparty","ERP","CP-SUP-007","Mariner Textiles","CPG-APEX","977358886","CURR-BRL","CTRY-BRA","false","true","false"
"Counterparty","ERP","CP-SUP-008","Quantum Circuits","CPG-NOVA","223940587","CURR-GBP","CTRY-GBR","false","true","false"
"Counterparty","ERP","CP-SUP-009","Redwood Packaging","","","CURR-BRL","CTRY-BRA","false","true","false"
"Counterparty","ERP","CP-SUP-010","Sierra Foods","","199104722","CURR-USD","CTRY-USA","false","true","false"
"Counterparty","ERP","CP-SUP-011","Titan Steel","","381272327","CURR-BRL","CTRY-BRA","false","true","false"
"Counterparty","ERP","CP-SUP-012","Umbra Energy","","180792472","CURR-USD","CTRY-USA","false","true","false"
"Counterparty","ERP","CP-SUP-013","Vista Glass","","236843584","CURR-EUR","CTRY-DEU","false","true","false"
"Counterparty","ERP","CP-SUP-014","Wavecrest IT","","367930513","CURR-BRL","CTRY-BRA","false","true","false"
"Counterparty","ERP","CP-SUP-015","Zenith Parts","","904745462","CURR-SGD","CTRY-SGP","false","true","false"
"Counterparty","ERP","CP-SUP-016","Aurora Paper","","890880074","CURR-CAD","CTRY-CAN","false","true","false"
"Counterparty","ERP","CP-SUP-017","Beacon Freight","","270937380","CURR-GBP","CTRY-GBR","false","true","false"
"Counterparty","ERP","CP-SUP-018","Crimson Electronics","","976803188","CURR-CAD","CTRY-CAN","false","true","false"
"Counterparty","ERP","CP-SUP-019","Denali Agriculture","","452468587","CURR-EUR","CTRY-DEU","false","true","false"
"Counterparty","ERP","CP-SUP-020","Eclipse Semiconductors","","675757257","CURR-BRL","CTRY-BRA","false","true","false"
"Counterparty","ERP","CP-SUP-021","Falcon Automation","","216396351","CURR-USD","CTRY-USA","false","true","false"
"Counterparty","ERP","CP-SUP-022","Glacier Mining","","649136331","CURR-SGD","CTRY-SGP","false","true","false"
"Counterparty","ERP","CP-SUP-023","Horizon Apparel","","658260221","CURR-USD","CTRY-USA","false","true","false"
"Counterparty","ERP","CP-SUP-024","Imperial Plastics","","563102056","CURR-GBP","CTRY-GBR","false","true","false"
"Counterparty","ERP","CP-SUP-025","Jade Pharma","","422468580","CURR-BRL","CTRY-BRA","false","true","false"
"Counterparty","ERP","CP-SUP-026","Kodiak Motors","","236674237","CURR-SGD","CTRY-SGP","false","true","false"
"Counterparty","ERP","CP-SUP-027","Lunar Optics","","711072118","CURR-SGD","CTRY-SGP","false","true","false"
"Counterparty","ERP","CP-SUP-028","Mercury Raw","","943702118","CURR-EUR","CTRY-DEU","false","true","false"
"Counterparty","ERP","CP-SUP-029","Nimbus Rubber","","329460134","CURR-BRL","CTRY-BRA","false","true","false"
"Counterparty","ERP","CP-SUP-030","Obsidian Industrial","","812807629","CURR-SGD","CTRY-SGP","false","true","false"
"Counterparty","ERP","CP-SUP-031","Bacon Fright","","270937380","CURR-GBP","CTRY-GBR","false","true","false"
"Counterparty","ERP","CP-SUP-032","Falk-On Automatons","","216348391","CURR-USD","CTRY-USA","false","true","false"
"Counterparty","ERP","CP-SUP-033","Umbrella Energized","","180794872","CURR-USD","CTRY-USA","false","true","false"
"Counterparty","ERP","CP-SUP-034","Tear Metals","CPG-NOVA-SUB1","738360085","CURR-SGD","CTRY-SGP","false","true","false"
