ID,Name
G0202X,Clinical Biochemical Genetics
G0203X,Clinical Molecular Genetics
G0205X,Ph.D. Medical Genetics
G0250X,Genetics
G0300X,Geriatric Medicine
G0303X,Geriatric
G0304X,Geriatrics
G0305X,Geriatric Care
G0400X,Gynecology
G0600X,Gerontology
G0701X,Graphics Methods
G0900X,Graphics Designer
G1000X,"Geneticist, Medical (PhD)"
G1100X,General Care
H0000X,Hematology
H0001X,Home Infusion Therapy Pharmacy
H0002X,Hospice and Palliative Medicine
H0003X,Hematology & Oncology
H0004X,Health
H0005X,Hypertension Specialist
H0100X,Health Service
H0200X,Home Health
H0202X,Home Modifications
H0401X,Hemapheresis Practitioner
H0500X,Hemodialysis
H0600X,Histology
H0700X,Hearing and Speech
H1000X,Hospice
H1100X,Holistic
H1200X,Hand
H1300X,Human Factors
I0000X,Immunology
I0001X,Clinical & Laboratory Immunology
I0002X,Clinical & Laboratory Dermatological Immunology
I0005X,Clinical & Laboratory Immunology
I0007X,Clinical & Laboratory Immunology
I0008X,Hepatology
I0011X,Interventional Cardiology
I0012X,Institutional Pharmacy
I0013X,Independent Medical Examiner
I0100X,Immunopathology
I0200X,Infectious Disease
I0500X,Infusion Therapy
I0600X,Infection Control
I0800X,Informatics
I0900X,Internist
I1000X,"Illustration, Medical"
I1002X,Independent Duty Corpsman
I1003X,Independent Duty Medical Technicians
L0003X,Long Term Care Pharmacy
L0004X,Low Vision
L0100X,Lactation Consultant
L0300X,Land Transport
L0400X,Lithotripsy
L0500X,Low Vision Rehabilitation
L0600X,Long-Term Care
L0900X,Laboratory Management
L0901X,"Laboratory Management, Diplomate"
M0001X,Molecular Genetic Pathology
M0002X,Mail Order Pharmacy
M0003X,Managed Care Organization Pharmacy
M0101X,Maternal & Fetal Medicine
M0102X,Maternal Newborn
M0300X,Medical Microbiology
M0700X,Medical
M0705X,Medical-Surgical
M0706X,Medical Technologist
M0800X,Mental Health
M0801X,Mental Health (Including Community Mental Health Center)
M0850X,Adult Mental Health
M0855X,Adolescent and Children Mental Health
M0900X,Microbiology
M1000X,Migrant Health
M1100X,Military/U.S. Coast Guard Outpatient
M1101X,Military and U.S. Coast Guard Ambulatory Procedure
M1102X,Military Outpatient Operational (Transportable) Component
M1103X,Military Ambulatory Procedure Visits Operational (Transportable)
M1110X,"Military or U.S. Coast Guard Ambulance, Ground Transport"
M1120X,"Military or U.S. Coast Guard Ambulance, Air Transport"
M1130X,"Military or U.S. Coast Guard Ambulance, Water Transport"
M1200X,Magnetic Resonance Imaging (MRI)
M1202X,Magnetic Resonance Imaging
M1300X,Multi-Specialty
M1400X,Nurse Massage Therapist (NMT)
M1700X,Men & Masculinity
M1800X,Mental Retardation & Developmental Disabilities
M1900X,Medical Research
M2000X,Military General Acute Care Hospital
M2200X,Medical Laboratory
M2300X,Mammography
M2500X,Medical Specialty
M2800X,Methadone Clinic
M3000X,Medically Fragile Intants and Children Day Care
N0000X,Neonatal
N0001X,Neonatal-Perinatal Medicine
N0002X,Neonatal Intensive Care
N0003X,"Neonatal, Low-Risk"
N0005X,"Neonatal, Critical Care"
N0007X,Nuclear Pharmacy
N0008X,Neuromuscular Medicine
N0300X,Nephrology
N0400X,Neurology
N0402X,Neurology with Special Qualifications in Child Neurology
N0500X,Neuropathology
N0600X,Clinical Neurophysiology
N0700X,Neuroradiology
N0800X,Neuroscience
N0900X,Nuclear Medicine Technology
N0901X,Nuclear Cardiology
N0902X,Nuclear Imaging & Therapy
N0903X,In Vivo & In Vitro Nuclear Medicine
N0904X,Nuclear Radiology
N0905X,Nuclear
N1001X,Nutrition
N1002X,"Nutrition, Education"
N1003X,Nutrition Support
N1004X,"Nutrition, Pediatric"
N1005X,"Nutrition, Renal"
N1006X,"Nutrition, Metabolic"
N1300X,Neurorehabilitation
N1400X,Nursing Facility Supplies
N1450X,"Nursing Care, Pediatric"
P0000X,Pain Medicine
P0004X,Spinal Cord Injury Medicine
P0005X,Neurodevelopmental Disabilities
P0006X,Developmental – Behavioral Pediatrics
P0007X,Molecular Genetic Pathology
P0008X,Neurodevelopmental Disabilities
P0010X,Pediatric Rehabilitation Medicine
P0011X,Undersea and Hyperbaric Medicine
P0014X,Interventional Pain Medicine
P0015X,Psychosomatic Medicine
P0016X,Prescribing (Medical)
P0017X,Pediatric Chiropractor
P0018X,Pharmacist Clinician (PhC)/ Clinical Pharmacy Specialist
P0019X,Physical Rehabilitation
P0101X,Anatomic Pathology
P0102X,Anatomic Pathology & Clinical Pathology
P0104X,Chemical Pathology
P0105X,Clinical Pathology/Laboratory Medicine
P0106X,Oral and Maxillofacial Pathology
P0200X,Pediatrics
P0201X,Pediatric Allergy/Immunology
P0202X,Pediatric Cardiology
P0203X,Pediatric Critical Care Medicine
P0204X,Pediatric Emergency Medicine
P0205X,Pediatric Endocrinology
P0206X,Pediatric Gastroenterology
P0207X,Pediatric Hematology-Oncology
P0208X,Pediatric Infectious Diseases
P0210X,Pediatric Nephrology
P0213X,Pediatric Pathology
P0214X,Pediatric Pulmonology
P0216X,Pediatric Rheumatology
P0218X,Pediatric Oncology
P0221X,Pediatric Dentistry
P0222X,"Pediatrics, Critical Care"
P0225X,Pediatric Dermatology
P0228X,Pediatric Otolaryngology
P0229X,Pediatric Radiology
P0231X,Pediatric Urology
P0300X,Periodontics
P0500X,Preventive Medicine/Occupational Environmental Medicine
P0504X,Public Medicine
P0700X,Prosthodontics
P0800X,Psychiatry
P0802X,Addiction Psychiatry
P0804X,Child & Adolescent Psychiatry
P0805X,Geriatric Psychiatry
P0807X,"Psych/Mental Health, Child & Adolescent"
P0808X,Psych/Mental Health
P0809X,"Psych/Mental Health, Adult"
P0810X,"Psych/Mental Health, Child & Family"
P0811X,"Psych/Mental Health, Chronically Ill"
P0812X,"Psych/Mental Health, Community"
P0813X,"Psych/Mental Health, Geropsychiatric"
P0814X,Psychoanalysis
P0901X,Public Health & General Preventive Medicine
P0904X,"Public Health, Federal"
P0905X,"Public Health, State or Local"
P1001X,Pulmonary Disease
P1004X,Pulmonary Diagnostics
P1005X,Pulmonary Rehabilitation
P1006X,Pulmonary Function Technologist
P1100X,Podiatric
P1101X,Primary Podiatric Medicine
P1200X,Pharmacotherapy
P1300X,Psychiatric
P1600X,Pastoral
P1700X,Perinatal
P1801X,Personal Care Attendant
P1900X,Phlebotomy
P2000X,Physical Therapy
P2201X,Ambulatory Care
P2300X,Primary Care
P2400X,Prison Health
P2500X,Professional
P2700X,Psychotherapy
P2701X,Group Psychotherapy
P2800X,Perioperative
P2900X,Pain Medicine
P3000X,Pediatric Anesthesiology
P3100X,Pediatric Orthopaedic Surgery
P3200X,Prosthetics Case Management
P3300X,Pain
P3500X,Parenteral & Enteral Nutrition
P3800X,Palliative/Hospice
P3900X,Neonatal/Pediatrics
P4000X,Patient Transport
Q0001X,Quality Management
R0001X,Radiation Oncology
R0002X,Radiation Therapy
R0006X,Registered Nurse First Assistant
R0200X,Radiology
R0202X,Diagnostic Radiology
R0203X,Therapeutic Radiology
R0204X,Vascular & Interventional Radiology
R0205X,Radiological Physics
R0206X,"Radiology, Mammography"
R0207X,"Radiology, Mobile Mammography"
R0208X,"Radiology, Mobile"
R0400X,Rehabilitation
R0401X,"Rehabilitation, Comprehensive Outpatient Rehabilitation Facility (CORF)"
R0403X,Driving and Community Mobility
R0404X,"Rehabilitation, Cardiac Facilities"
R0405X,"Rehabilitation, Substance Use Disorder"
R0406X,"Rehabilitation, Blind"
R0500X,Rheumatology
R0800X,Recovery Care
R0900X,Renal Dialysis
R1000X,Reproductive Endocrinology/Infertility
R1100X,Research
R1102X,Research Study
R1103X,Research Data Abstracter/Coder
R1300X,Rural Health
R1301X,Rural
R1600X,Registered Record Administrator
R2050X,Respite Care Camp
R2055X,"Respite Care, Mental Illness, Child"
R2060X,"Respite Care, Mental Retardation and/or Developmental Disabilities, Child"
R2065X,"Respite Care, Physical Disabilities, Child"
S0000X,Sports Medicine
S0005X,Sports Physician
S0006X,Sports Vision
S0007X,Sports
S0010X,Sports Medicine
S0011X,Specialty Pharmacy
S0012X,Sleep Medicine
S0099X,Plastic Surgery Within the Head and Neck
S0102X,Surgical Critical Care
S0103X,Foot & Ankle Surgery
S0105X,Surgery of the Hand
S0106X,Hand Surgery
S0112X,Oral and Maxillofacial Surgery
S0114X,Adult Reconstructive Orthopaedic Surgery
S0117X,Orthopaedic Surgery of the Spine
S0120X,Pediatric Surgery
S0121X,Plastic Surgery
S0122X,Plastic and Reconstructive Surgery
S0123X,Facial Plastic Surgery
S0127X,Trauma Surgery
S0129X,Vascular Surgery
S0131X,Foot Surgery
S0132X,Ophthalmologic Surgery
S0135X,Procedural Dermatology
S0200X,School
S0300X,Water Transport
S0400X,Surgical
S0410X,Surgical Technologist
S0500X,"Substance Abuse Treatment, Children"
S0801X,Speech-Language Assistant
S1000X,Student Health
S1200X,Sleep Disorder Diagnostic
S1201X,Sleep Medicine
S1301X,Sonography
S1302X,Sonography
S1500X,SNF/Subacute Care
T0002X,Medical Toxicology
T0003X,Transplant Hepatology
T0004X,Pediatric Transplant Hepatology
T0100X,Thermography
T0500X,Transplantation
U0001X,Diagnostic Ultrasound
U0100X,Urology
U0200X,Urgent Care
V0102X,Vascular Neurology
V0105X,Vascular Sonography
V0106X,Vascular-Interventional Technology
V0200X,VA
V0202X,Vehicle Modifications
V0400X,Vision Therapy
V0600X,Veterinary
W0000X,Wound Care
W0100X,Women
W0101X,"Women's Health Care, Ambulatory"
W0102X,Women's Health
X0000X,Obstetrics
X0001X,Obstetrics & Gynecology
X0002X,"Obstetric, High-Risk"
X0003X,"Obstetric, Inpatient"
X0004X,Foot and Ankle Surgery
X0005X,Sports Medicine
X0006X,Orientation and Mobility Training Provider
X0007X,Plastic Surgery within the Head & Neck
X0008X,Oral and Maxillofacial Radiology
X0100X,Occupational Medicine
X0102X,Occupational Vision
X0106X,Occupational Health
X0200X,Oncology
X0201X,Gynecologic Oncology
X0202X,Medical Oncology
X0203X,"Oncology, Radiation"
X0204X,"Oncology, Pediatrics"
X0206X,Surgical Oncology
X0400X,Orthodontics and Dentofacial Orthopedics
X0601X,Otorhinolaryngology & Head-Neck
X0602X,Otolaryngic Allergy
X0800X,Orthopedic
X0801X,Orthopaedic Trauma
X0901X,Otology & Neurotology
X0905X,Otolaryngology/Facial Plastic Surgery
X1100X,Ophthalmic
X1101X,Ophthalmic Assistant
X1201X,Optometric Assistant
X1202X,Optometric Technician
X1500X,Ostomy Care
X1600X,Military General Acute Care Hospital. Operational (Transportable)
X1700X,Ocularist
X1800X,Optician
X1900X,Orthoptist
X2000X,Oxygen Equipment & Supplies
X2200X,Orthopedic Assistant
