id,description,raw_icd9_code,is_industry_std,fdn_parenticd9
309.81,Posttraumatic stress disorder,309.81,,309.8
309.89,Other,309.89,,309.8
312,"Disturbance of conduct, not elsewhere classified",312,,300-316
312.9,Unspecified disturbance of conduct,312.9,,312
313,Disturbance of emotions specific to childhood and adolescence,313,,300-316
313.8,Other or mixed emotional disturbances of childhood or adolescence,313.8,,313
313.89,Other,313.89,,313.8
313.9,Unspecified emotional disturbance of childhood or adolescence,313.9,,313
315,Specific delays in development,315,,300-316
315.01,Alexia,315.01,,315
320,Bacterial meningitis,320,,320-326
320-326,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,320-326,,320-389
320-389,DISEASES OF THE NERVOUS SYSTEM AND SENSE ORGANS,320-389,,
320.1,Pneumococcal meningitis,320.1,,320
320.8,Meningitis due to other specified bacteria,320.8,,320
320.81,Anaerobic meningitis,320.81,,320.8
323,"Encephalitis, myelitis, and encephalomyelitis",323,,320-326
323.9,"Unspecified cause of encephalitis, myelitis, and encephalomyelitis",323.9,,323
330-337,HEREDITARY AND DEGENERATIVE DISEASES OF THE CENTRAL NERVOUS SYSTEM,330-337,,320-389
333,Other extrapyramidal disease and abnormal movement disorders,333,,330-337
333.9,Other and unspecified extrapyramidal diseases and abnormal movement disorders,333.9,,333
333.93,Benign shuddering attacks,333.93,,333.9
335,Anterior horn cell disease,335,,330-337
335.2,Motor neuron disease,335.2,,335
335.22,Progressive bulbar palsy,335.22,,335.2
340-349,OTHER DISORDERS OF THE CENTRAL NERVOUS SYSTEM,340-349,,320-389
343,Infantile cerebral palsy,343,,340-349
343.4,Infantile hemiplegia,343.4,,343
349,Other and unspecified disorders of the nervous system,349,,340-349
349.2,"Disorders of meninges, not elsewhere classified",349.2,,349
350-359,DISORDERS OF THE PERIPHERAL NERVOUS SYSTEM,350-359,,320-389
352,Disorders of other cranial nerves,352,,350-359
352.1,Glossopharyngeal neuralgia,352.1,,352
352.2,Other disorders of glossopharyngeal [9th] nerve,352.2,,352
353,Nerve root and plexus disorders,353,,350-359
353.1,Lumbosacral plexus lesions,353.1,,353
357,Inflammatory and toxic neuropathy,357,,350-359
357.9,Unspecified,357.9,,357
36,Meningococcal infection,36,,030-041
36.8,Other specified meningococcal infections,36.8,,36
36.89,Other,36.89,,36.8
360,Disorders of the globe,360,,360-379
360-379,DISORDERS OF THE EYE AND ADNEXA,360-379,,320-389
360.1,Other endophthalmitis,360.1,,360
360.14,Ophthalmia nodosa,360.14,,360.1
361,Retinal detachments and defects,361,,360-379
361.05,"Recent detachment, total or subtotal",361.05,,361
361.07,"Old detachment, total or subtotal",361.07,,361
361.1,Retinoschisis and retinal cysts,361.1,,361
361.11,Flat retinoschisis,361.11,,361.1
361.12,Bullous retinoschisis,361.12,,361.1
362,Other retinal disorders,362,,360-379
362.1,Other background retinopathy and retinal vascular changes,362.1,,362
362.11,Hypertensive retinopathy,362.11,,362.1
362.13,Changes in vascular appearance,362.13,,362.1
362.17,Other intraretinal microvascular abnormalities,362.17,,362.1
362.3,Retinal vascular occlusion,362.3,,362
362.34,Transient arterial occlusion,362.34,,362.3
363,"Chorioretinal inflammations, scars, and other disorders of choroid",363,,360-379
363.01,"Focal choroiditis and chorioretinitis, juxtapapillary",363.01,,363
363.2,Other and unspecified forms of chorioretinitis and retinochoroiditis,363.2,,363
363.22,Harada's disease,363.22,,363.2
363.3,Chorioretinal scars,363.3,,363
363.31,Solar retinopathy,363.31,,363.3
363.4,Choroidal degenerations,363.4,,363
363.41,Senile atrophy of choroid,363.41,,363.4
363.7,Choroidal detachment,363.7,,363
363.71,Serous choroidal detachment,363.71,,363.7
364,Disorders of iris and ciliary body,364,,360-379
364.5,Degenerations of iris and ciliary body,364.5,,364
364.54,Degeneration of pupillary margin,364.54,,364.5
364.6,"Cysts of iris, ciliary body, and anterior chamber",364.6,,364
364.62,Exudative cysts of iris or anterior chamber,364.62,,364.6
366,Cataract,366,,360-379
366.02,Posterior subcapsular polar cataract,366.02,,366
366.1,Senile cataract,366.1,,366
366.11,Pseudoexfoliation of lens capsule,366.11,,366.1
366.12,Incipient cataract,366.12,,366.1
366.16,Nuclear sclerosis,366.16,,366.1
366.19,Other and combined forms of senile cataract,366.19,,366.1
366.3,Cataract secondary to ocular disorders,366.3,,366
366.33,Cataract with neovascularization,366.33,,366.3
366.5,After-cataract,366.5,,366
366.53,"After-cataract, obscuring vision",366.53,,366.5
367,Disorders of refraction and accommodation,367,,360-379
367.2,Astigmatism,367.2,,367
367.22,Irregular astigmatism,367.22,,367.2
367.5,Disorders of accommodation,367.5,,367
367.51,Paresis of accommodation,367.51,,367.5
367.52,Total or complete internal ophthalmoplegia,367.52,,367.5
367.9,Unspecified disorder of refraction and accommodation,367.9,,367
368,Visual disturbances,368,,360-379
368.1,Subjective visual disturbances,368.1,,368
368.15,Other visual distortions and entoptic phenomena,368.15,,368.1
368.6,Night blindness,368.6,,368
368.61,Congenital night blindness,368.61,,368.6
369,Blindness and low vision,369,,360-379
369.02,Better eye: near-total impairment; lesser eye: not further specified,369.02,,369
369.07,Better eye: profound impairment; lesser eye: near-total impairment,369.07,,369
369.1,"Moderate or severe impairment, better eye, profound impairment lesser eye",369.1,,369
369.12,Better eye: severe impairment; lesser eye: total impairment,369.12,,369.1
369.17,Better eye: moderate impairment; lesser eye: near-total impairment,369.17,,369.1
369.18,Better eye: moderate impairment; lesser eye: profound impairment,369.18,,369.1
369.7,"Moderate or severe impairment, one eye",369.7,,369
369.71,One eye: severe impairment; other eye: not specified,369.71,,369.7
369.75,One eye: moderate impairment; other eye: near-normal vision,369.75,,369.7
369.8,"Unqualified visual loss, one eye",369.8,,369
370,Keratitis,370,,360-379
370.2,Superficial keratitis without conjunctivitis,370.2,,370
370.24,Photokeratitis,370.24,,370.2
371,Corneal opacity and other disorders of cornea,371,,360-379
371.1,Corneal pigmentations and deposits,371.1,,371
371.15,Other deposits associated with metabolic disorders,371.15,,371.1
371.2,Corneal edema,371.2,,371
371.21,Idiopathic corneal edema,371.21,,371.2
371.4,Corneal degenerations,371.4,,371
371.43,Band-shaped keratopathy,371.43,,371.4
371.44,Other calcerous degenerations of cornea,371.44,,371.4
371.5,Hereditary corneal dystrophies,371.5,,371
371.55,Macular corneal dystrophy,371.55,,371.5
372,Disorders of conjunctiva,372,,360-379
372.1,Chronic conjunctivitis,372.1,,372
372.13,Vernal conjunctivitis,372.13,,372.1
372.2,Blepharoconjunctivitis,372.2,,372
372.21,Angular blepharoconjunctivitis,372.21,,372.2
372.7,Conjunctival vascular disorders and cysts,372.7,,372
372.72,Conjunctival hemorrhage,372.72,,372.7
373,Inflammation of eyelids,373,,360-379
373.1,Hordeolum and other deep inflammation of eyelid,373.1,,373
373.13,Abscess of eyelid,373.13,,373.1
373.3,Noninfectious dermatoses of eyelid,373.3,,373
373.32,Contact and allergic dermatitis of eyelid,373.32,,373.3
374,Other disorders of eyelids,374,,360-379
374.1,Ectropion,374.1,,374
374.11,Senile ectropion,374.11,,374.1
374.2,Lagophthalmos,374.2,,374
374.23,Cicatricial lagophthalmos,374.23,,374.2
374.4,Other disorders affecting eyelid function,374.4,,374
374.43,Abnormal innervation syndrome,374.43,,374.4
374.8,Other disorders of eyelid,374.8,,374
374.83,Elephantiasis of eyelid,374.83,,374.8
375,Disorders of lacrimal system,375,,360-379
375.2,Epiphora,375.2,,375
375.22,Epiphora due to insufficient drainage,375.22,,375.2
375.5,Stenosis and insufficiency of lacrimal passages,375.5,,375
375.55,"Obstruction of nasolacrimal duct, neonatal",375.55,,375.5
375.6,Other changes of lacrimal passages,375.6,,375
375.69,Other,375.69,,375.6
375.8,Other disorders of lacrimal system,375.8,,375
375.81,Granuloma of lacrimal passages,375.81,,375.8
376,Disorders of the orbit,376,,360-379
376.3,Other exophthalmic conditions,376.3,,376
376.31,Constant exophthalmos,376.31,,376.3
376.35,Pulsating exophthalmos,376.35,,376.3
376.6,Retained (old) foreign body following penetrating wound of orbit,376.6,,376
376.8,Other orbital disorders,376.8,,376
376.82,Myopathy of extraocular muscles,376.82,,376.8
377,Disorders of optic nerve and visual pathways,377,,360-379
377.02,Papilledema associated with decreased ocular pressure,377.02,,377
377.1,Optic atrophy,377.1,,377
377.16,Hereditary optic atrophy,377.16,,377.1
377.2,Other disorders of optic disc,377.2,,377
377.22,Crater-like holes of optic disc,377.22,,377.2
377.5,Disorders of optic chiasm,377.5,,377
377.51,Associated with pituitary neoplasms and disorders,377.51,,377.5
377.53,Associated with vascular disorders,377.53,,377.5
378,Strabismus and other disorders of binocular eye movements,378,,360-379
378.2,Intermittent heterotropia,378.2,,378
378.24,"Intermittent exotropia, alternating",378.24,,378.2
379,Other disorders of eye,379,,360-379
379.2,Disorders of vitreous body,379.2,,379
379.25,Vitreous membranes and strands,379.25,,379.2
379.3,Aphakia and other disorders of lens,379.3,,379
379.31,Aphakia,379.31,,379.3
379.4,Anomalies of pupillary function,379.4,,379
379.42,"Miosis (persistent), not due to miotics",379.42,,379.4
379.5,Nystagmus and other irregular eye movements,379.5,,379
379.53,Visual deprivation nystagmus,379.53,,379.5
379.58,Deficiencies of smooth pursuit movements,379.58,,379.5
379.9,Unspecified disorder of eye and adnexa,379.9,,379
379.93,Redness or discharge of eye,379.93,,379.9
380,Disorders of external ear,380,,380-389
380-389,DISEASES OF THE EAR AND MASTOID PROCESS,380-389,,320-389
380.1,Infective otitis externa,380.1,,380
380.11,Acute infection of pinna,380.11,,380.1
380.14,Malignant otitis externa,380.14,,380.1
380.2,Other otitis externa,380.2,,380
380.21,Cholesteatoma of external ear,380.21,,380.2
380.22,Other acute otitis externa,380.22,,380.2
380.3,Noninfectious disorders of pinna,380.3,,380
380.31,Hematoma of auricle or pinna,380.31,,380.3
380.32,Acquired deformities of auricle or pinna,380.32,,380.3
381,Nonsuppurative otitis media and Eustachian tube disorders,381,,380-389
381.02,Acute mucoid otitis media,381.02,,381
381.04,Acute allergic serous otitis media,381.04,,381
381.4,"Nonsuppurative otitis media, not specified as acute or chronic",381.4,,381
383,Mastoiditis and related conditions,383,,380-389
383.02,Acute mastoiditis with other complications,383.02,,383
384,Other disorders of tympanic membrane,384,,380-389
384.9,Unspecified disorder of tympanic membrane,384.9,,384
386,Vertiginous syndromes and other disorders of vestibular system,386,,380-389
386.4,Labyrinthine fistula,386.4,,386
386.41,Round window fistula,386.41,,386.4
386.5,Labyrinthine dysfunction,386.5,,386
386.58,Other forms and combinations,386.58,,386.5
386.8,Other disorders of labyrinth,386.8,,386
386.9,Unspecified vertiginous syndromes and labyrinthine disorders,386.9,,386
387,Otosclerosis,387,,380-389
387.8,Other otosclerosis,387.8,,387
387.9,"Otosclerosis, unspecified",387.9,,387
388,Other disorders of ear,388,,380-389
388.1,Noise effects on inner ear,388.1,,388
388.12,Noise-induced hearing loss,388.12,,388.1
389,Hearing loss,389,,380-389
389.1,Sensorineural hearing loss,389.1,,389
389.14,Central hearing loss,389.14,,389.1
390-459,DISEASES OF THE CIRCULATORY SYSTEM,390-459,,
393-398,CHRONIC RHEUMATIC HEART DISEASE,393-398,,390-459
395,Diseases of aortic valve,395,,393-398
395.1,Rheumatic aortic insufficiency,395.1,,395
398,Other rheumatic heart disease,398,,393-398
398.9,Other and unspecified rheumatic heart diseases,398.9,,398
398.91,Rheumatic heart failure (congestive),398.91,,398.9
4,Shigellosis,4,,001-009
4.1,Shigella flexneri,4.1,,4
4.9,"Shigellosis, unspecified",4.9,,4
401,Essential hypertension,401,,401-405
401-405,HYPERTENSIVE DISEASE,401-405,,390-459
401.1,Benign,401.1,,401
410-414,ISCHEMIC HEART DISEASE,410-414,,390-459
412,Old myocardial infarction,412,,410-414
420-429,OTHER FORMS OF HEART DISEASE,420-429,,390-459
422,Acute myocarditis,422,,420-429
422.9,Other and unspecified acute myocarditis,422.9,,422
422.93,Toxic myocarditis,422.93,,422.9
422.99,Other,422.99,,422.9
427,Cardiac dysrhythmias,427,,420-429
427.2,"Paroxysmal tachycardia, unspecified",427.2,,427
427.4,Ventricular fibrillation and flutter,427.4,,427
427.41,Ventricular fibrillation,427.41,,427.4
429,Ill-defined descriptions and complications of heart disease,429,,420-429
429.8,Other ill-defined heart diseases,429.8,,429
429.81,Other disorders of papillary muscle,429.81,,429.8
430-438,CEREBROVASCULAR DISEASE,430-438,,390-459
435,Transient cerebral ischemia,435,,430-438
435.1,Vertebral artery syndrome,435.1,,435
438,Late effects of cerebrovascular disease,438,,430-438
440,Atherosclerosis,440,,440-449
440-449,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",440-449,,390-459
440.3,Of bypass graft of the extremities,440.3,,440
440.32,Of nonautologous vein bypass graft,440.32,,440.3
441,Aortic aneurysm and dissection,441,,440-449
441.03,Thoracoabdominal,441.03,,441
441.3,"Abdominal aneurysm, ruptured",441.3,,441
441.9,Aortic aneurysm of unspecified site without mention of rupture,441.9,,441
444,Arterial embolism and thrombosis,444,,440-449
444.2,Of arteries of the extremities,444.2,,444
444.22,Lower extremity,444.22,,444.2
446,Polyarteritis nodosa and allied conditions,446,,440-449
446.7,Takayasu's disease,446.7,,446
451,Phlebitis and thrombophlebitis,451,,451-459
451-459,"DISEASES OF VEINS AND LYMPHATICS, AND OTHER DISEASES OF CIRCULATORY SYSTEM",451-459,,390-459
451.1,Of deep vessels of lower extremities,451.1,,451
451.11,Femoral vein (deep) (superficial),451.11,,451.1
456,Varicose veins of other sites,456,,451-459
456.4,Scrotal varices,456.4,,456
457,Noninfectious disorders of lymphatic channels,457,,451-459
457.8,Other noninfectious disorders of lymphatic channels,457.8,,457
459,Other disorders of circulatory system,459,,451-459
459.8,Other specified disorders of circulatory system,459.8,,459
459.81,"Venous (peripheral) insufficiency, unspecified",459.81,,459.8
460-519,DISEASES OF THE RESPIRATORY SYSTEM,460-519,,
47,Meningitis due to enterovirus,47,,NO_CODE
47.1,ECHO virus,47.1,,47
470-478,OTHER DISEASES OF THE UPPER RESPIRATORY TRACT,470-478,,460-519
472,Chronic pharyngitis and nasopharyngitis,472,,470-478
472.1,Chronic pharyngitis,472.1,,472
478,Other diseases of upper respiratory tract,478,,470-478
478.2,"Other diseases of pharynx, not elsewhere classified",478.2,,478
478.22,Parapharyngeal abscess,478.22,,478.2
478.25,Edema of pharynx or nasopharynx,478.25,,478.2
478.29,Other,478.29,,478.2
478.5,Other diseases of vocal cords,478.5,,478
480-488,PNEUMONIA AND INFLUENZA,480-488,,460-519
481,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],481,,480-488
482,Other bacterial pneumonia,482,,480-488
482.1,Pneumonia due to Pseudomonas,482.1,,482
510,Empyema,510,,510-519
510-519,OTHER DISEASES OF RESPIRATORY SYSTEM,510-519,,460-519
510.9,Without mention of fistula,510.9,,510
518,Other diseases of lung,518,,510-519
518.5,Pulmonary insufficiency following trauma and surgery,518.5,,518
518.8,Other diseases of lung,518.8,,518
518.81,Acute respiratory failure,518.81,,518.8
52,Chickenpox,52,,050-059
52.1,Varicella (hemorrhagic) pneumonitis,52.1,,52
520,Disorders of tooth development and eruption,520,,520-529
520-529,"DISEASES OF ORAL CAVITY, SALIVARY GLANDS, AND JAWS",520-529,,520-579
520-579,DISEASES OF THE DIGESTIVE SYSTEM,520-579,,
520.8,Other specified disorders of tooth development and eruption,520.8,,520
522,Diseases of pulp and periapical tissues,522,,520-529
522.7,Periapical abscess with sinus,522.7,,522
523,Gingival and periodontal diseases,523,,520-529
523.2,Gingival recession,523.2,,523
527,Diseases of the salivary glands,527,,520-529
527.2,Sialoadenitis,527.2,,527
527.4,Fistula,527.4,,527
528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue",528,,520-529
528.1,Cancrum oris,528.1,,528
529,Diseases and other conditions of the tongue,529,,520-529
529.1,Geographic tongue,529.1,,529
530,Diseases of esophagus,530,,530-538
530-538,"DISEASES OF ESOPHAGUS, STOMACH, AND DUODENUM",530-538,,520-579
530.3,Stricture and stenosis of esophagus,530.3,,530
54,Herpes simplex,54,,050-059
54.4,With ophthalmic complications,54.4,,54
54.43,Herpes simplex disciform keratitis,54.43,,54.4
540-543,APPENDICITIS,540-543,,520-579
541,"Appendicitis, unqualified",541,,540-543
55,Measles,55,,050-059
55.1,Postmeasles pneumonia,55.1,,55
55.2,Postmeasles otitis media,55.2,,55
550-553,HERNIA OF ABDOMINAL CAVITY,550-553,,520-579
552,"Other hernia of abdominal cavity, with obstruction, but without mention of gangrene",552,,550-553
552.01,"Unilateral or unspecified, recurrent",552.01,,552
553,Other hernia of abdominal cavity without mention of obstruction or gangrene,553,,550-553
553.02,Bilateral (not specified as recurrent),553.02,,553
553.9,Hernia of unspecified site,553.9,,553
555,Regional enteritis,555,,555-558
555-558,NONINFECTIOUS ENTERITIS AND COLITIS,555-558,,520-579
555.1,Large intestine,555.1,,555
560,Intestinal obstruction without mention of hernia,560,,560-569
560-569,OTHER DISEASES OF INTESTINES AND PERITONEUM,560-569,,520-579
560.9,Unspecified intestinal obstruction,560.9,,560
564,"Functional digestive disorders, not elsewhere classified",564,,560-569
564.5,Functional diarrhea,564.5,,564
569,Other disorders of intestine,569,,560-569
569.1,Rectal prolapse,569.1,,569
