icd_mapping_id,description,fdn_icd10,fdn_icd9
V1271-Z8711,Peptic ulcer disease,Z8711,V12.71
0848-B508,Blackwater fever,B508,84.8
V4963-Z891,Hand,Z891,V49.63
1611-C321,Supraglottis,C321,161.1
7321-M919,Juvenile osteochondrosis of hip and pelvis,M919,732.1
V020-Z221,Cholera,Z221,V02.0
9879-T599,"Unspecified gas, fume, or vapor",T599,987.9
90242-S354,Renal vein,S354,902.42
4821-J151,Pneumonia due to Pseudomonas,J151,482.1
37925-H433,Vitreous membranes and strands,H433,379.25
36462-H213,Exudative cysts of iris or anterior chamber,H213,364.62
47829-J392,Other,J392,478.29
37423-H022,Cicatricial lagophthalmos,H022,374.23
38032-H611,Acquired deformities of auricle or pinna,H611,380.32
6971-L441,Lichen nitidus,L441,697.1
2568-E288,Other ovarian dysfunction,E288,256.8
V782-Z130,Sickle-cell disease or trait,Z130,V78.2
44103-I7103,Thoracoabdominal,I7103,441.03
78837-N394,Continuous leakage,N394,788.37
481-J13,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],J13,481
1458-C068,Other specified parts of mouth,C068,145.8
0213-A211,Oculoglandular tularemia,A211,21.3
7887-R36,Urethral discharge,R36,788.7
V502-Z412,Routine or ritual circumcision,Z412,V50.2
9849-T560,Unspecified lead compound,T560,984.9
1953-C763,Pelvis,C763,195.3
1465-C108,Junctional region,C108,146.5
95215-S2410,T 7 -T 12 level with unspecified spinal cord injury,S2410,952.15
36722-H522,Irregular astigmatism,H522,367.22
8678-S379,"Unspecified pelvic organ, without mention of open wound into cavity",S379,867.8
2598-E348,Other specified endocrine disorders,E348,259.8
5728-K768,Other sequelae of chronic liver disease,K768,572.8
1398-B948,Late effects of other and unspecified infectious and parasitic diseases,B948,139.8
37555-H045,"Obstruction of nasolacrimal duct, neonatal",H045,375.55
6113-N641,Fat necrosis of breast,N641,611.3
39891-I099,Rheumatic heart failure (congestive),I099,398.91
3079-F988,"Other and unspecified special symptoms or syndromes, not elsewhere classified",F988,307.9
7721-P523,Intraventricular hemorrhage,P523,772.1
9605-T361,Cephalosporin group,T361,960.5
44422-I743,Lower extremity,I743,444.22
V4361-Z9661,Shoulder,Z9661,V43.61
92421-S900,Ankle,S900,924.21
0091-A09,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",A09,9.1
9729-T469,Other and unspecified agents primarily affecting the cardiovascular system,T469,972.9
44032-I7020,Of nonautologous vein bypass graft,I7020,440.32
2102-D119,Major salivary glands,D119,210.2
2647-E507,Other ocular manifestations of vitamin A deficiency,E507,264.7
2274-D354,Pineal gland,D354,227.4
2134-D160,Scapula and long bones of upper limb,D160,213.4
3849-H739,Unspecified disorder of tympanic membrane,H739,384.9
38914-H903,Central hearing loss,H903,389.14
V2540-Z304,"Contraceptive surveillance, unspecified",Z304,V25.40
36616-H251,Nuclear sclerosis,H251,366.16
5609-K566,Unspecified intestinal obstruction,K566,560.9
36454-H212,Degeneration of pupillary margin,H212,364.54
V6549-Z718,Other specified counseling,Z718,V65.49
37993-H578,Redness or discharge of eye,H578,379.93
8672-S371,"Ureter, without mention of open wound into cavity",S371,867.2
37751-H474,Associated with pituitary neoplasms and disorders,H474,377.51
1021-A661,Multiple papillomata and wet crab yaws,A661,102.1
1843-C512,Clitoris,C512,184.3
V655-Z711,Person with feared complaint in whom no diagnosis was made,Z711,V65.5
38641-H831,Round window fistula,H831,386.41
09181-G01,Acute syphilitic meningitis (secondary),G01,91.81
0065-A066,Amebic brain abscess,A066,6.5
5303-K222,Stricture and stenosis of esophagus,K222,530.3
2564-E282,Polycystic ovaries,E282,256.4
V709-Z049,Unspecified general medical examination,Z049,V70.9
37942-H570,"Miosis (persistent), not due to miotics",H570,379.42
7761-P610,Transient neonatal thrombocytopenia,P610,776.1
9691-T433,Phenothiazine-based tranquilizers,T433,969.1
7386-M955,Acquired deformity of pelvis,M955,738.6
9797-T509,"Mixed viral-rickettsial and bacterial vaccines, except combinations with a pertussis component",T509,979.7
0221-A221,Pulmonary anthrax,A221,22.1
1498-C148,Other,C148,149.8
30021-F4001,Agoraphobia with panic disorder,F4001,300.21
9626-T509,Parathyroid and parathyroid derivatives,T509,962.6
0794-B344,Human papillomavirus,B344,79.4
6109-N609,"Benign mammary dysplasia, unspecified",N609,610.9
V010-Z200,Cholera,Z200,V01.0
9698-T439,Other specified psychotropic agents,T439,969.8
2989-F29,Unspecified psychosis,F29,298.9
7605-P005,Maternal injury,P005,760.5
2519-E169,Unspecified disorder of pancreatic internal secretion,E169,251.9
08882-B600,Babesiosis,B600,88.82
4578-I898,Other noninfectious disorders of lymphatic channels,I898,457.8
6012-N412,Abscess of prostate,N412,601.2
0849-B508,Other pernicious complications of malaria,B508,84.9
5931-N288,Hypertrophy of kidney,N288,593.1
36611-H268,Pseudoexfoliation of lens capsule,H268,366.11
37716-H472,Hereditary optic atrophy,H472,377.16
1986-C796,Ovary,C796,198.6
5819-N049,Nephrotic syndrome with unspecified pathological lesion in kidney,N049,581.9
9786-T509,"Pertussis vaccine, including combinations with a pertussis component",T509,978.6
V4977-Z896,Hip,Z896,V49.77
30651-F525,Psychogenic vaginismus,F525,306.51
37332-H011,Contact and allergic dermatitis of eyelid,H011,373.32
31389-F938,Other,F938,313.89
3492-G961,"Disorders of meninges, not elsewhere classified",G961,349.2
72631-M770,Medial epicondylitis,M770,726.31
0551-B052,Postmeasles pneumonia,B052,55.1
3531-G541,Lumbosacral plexus lesions,G541,353.1
5291-K141,Geographic tongue,K141,529.1
725-M353,Polymyalgia rheumatica,M353,725
37682-H058,Myopathy of extraocular muscles,H058,376.82
30929-F432,Other,F432,309.29
2144-D176,Spermatic cord,D176,214.4
6269-N939,Unspecified,N939,626.9
0839-A799,"Rickettsiosis, unspecified",A799,83.9
8053-S2200,"Dorsal [thoracic], open",S2200,805.3
36971-H545,One eye: severe impairment; other eye: not specified,H545,369.71
36341-H311,Senile atrophy of choroid,H311,363.41
79092-D689,Abnormal coagulation profile,D689,790.92
5752-K820,Obstruction of gallbladder,K820,575.2
45111-I801,Femoral vein (deep) (superficial),I801,451.11
37115-H180,Other deposits associated with metabolic disorders,H180,371.15
36975-H545,One eye: moderate impairment; other eye: near-normal vision,H545,369.75
05443-B005,Herpes simplex disciform keratitis,B005,54.43
36234-H340,Transient arterial occlusion,H340,362.34
70401-L639,Alopecia areata,L639,704.01
5227-K046,Periapical abscess with sinus,K046,522.7
3879-H809,"Otosclerosis, unspecified",H809,387.9
1406-C006,Commissure of lip,C006,140.6
38812-H833,Noise-induced hearing loss,H833,388.12
5768-K838,Other specified disorders of biliary tract,K838,576.8
V750-Z118,Rickettsial diseases,Z118,V75.0
87331-S0123,Nasal septum,S0123,873.31
70582-L752,Fox-Fordyce disease,L752,705.82
5281-A690,Cancrum oris,A690,528.1
0632-A841,Central European encephalitis,A841,63.2
2273-D352,Pituitary gland and craniopharyngeal duct (pouch),D352,227.3
37931-H270,Aphakia,H270,379.31
3521-G521,Glossopharyngeal neuralgia,G521,352.1
9984-T815,Foreign body accidentally left during a procedure,T815,998.4
38031-H611,Hematoma of auricle or pinna,H611,380.31
0829-A779,"Tick-borne rickettsiosis, unspecified",A779,82.9
2152-D211,"Upper limb, including shoulder",D211,215.2
V145-Z885,Narcotic agent,Z885,V14.5
7662-P082,"Late infant, not \heavy-for-dates\""""",P082,766.2
5691-K623,Rectal prolapse,K623,569.1
7704-P280,Primary atelectasis,P280,770.4
V270-Z370,Single liveborn,Z370,V27.0
87361-S0152,Buccal mucosa,S0152,873.61
2276-D356,Aortic body and other paraganglia,D356,227.6
6382-O073,Complicated by damage to pelvic organs or tissues,O073,638.2
99671-T828,Due to heart valve prosthesis,T828,996.71
36107-H330,"Old detachment, total or subtotal",H330,361.07
37824-H503,"Intermittent exotropia, alternating",H503,378.24
0919-A514,Unspecified secondary syphilis,A514,91.9
7702-P250,Interstitial emphysema and related conditions,P250,770.2
0041-A031,Shigella flexneri,A031,4.1
9013-S253,Innominate and subclavian veins,S253,901.3
9531-S242,Dorsal root,S242,953.1
36301-H300,"Focal choroiditis and chorioretinitis, juxtapapillary",H300,363.01
59984-N368,Other specified disorders of urethra,N368,599.84
7613-P013,Polyhydramnios,P013,761.3
1413-C022,Ventral surface of tongue,C022,141.3
5272-K112,Sialoadenitis,K112,527.2
V5331-Z450,Cardiac pacemaker,Z450,V53.31
47825-J392,Edema of pharynx or nasopharynx,J392,478.25
2419-E049,Unspecified nontoxic nodular goiter,E049,241.9
4413-I713,"Abdominal aneurysm, ruptured",I713,441.3
8712-S052,Rupture of eye with partial loss of intraocular tissue,S052,871.2
45981-I872,"Venous (peripheral) insufficiency, unspecified",I872,459.81
7226-M513,"Degeneration of intervertebral disc, site unspecified",M513,722.6
5208-K008,Other specified disorders of tooth development and eruption,K008,520.8
7092-L905,Scar conditions and fibrosis of skin,L905,709.2
42981-I518,Other disorders of papillary muscle,I518,429.81
9727-T468,"Antivaricose drugs, including sclerosing agents",T468,972.7
2515-E164,Abnormality of secretion of gastrin,E164,251.5
36213-H350,Changes in vascular appearance,H350,362.13
73312-M8443,Pathologic fracture of distal radius and ulna,M8443,733.12
6234-N898,Old vaginal laceration,N898,623.4
3434-G802,Infantile hemiplegia,G802,343.4
V4581-Z951,Aortocoronary bypass status,Z951,V45.81
9926-T676,"Heat fatigue, transient",T676,992.6
4419-I719,Aortic aneurysm of unspecified site without mention of rupture,I719,441.9
71743-M2335,Derangement of posterior horn of lateral meniscus,M2335,717.43
9649-T459,Unspecified agents affecting blood constituents,T459,964.9
0019-A009,"Cholera, unspecified",A009,1.9
4467-M314,Takayasu's disease,M314,446.7
412-I252,Old myocardial infarction,I252,412
36612-H250,Incipient cataract,H250,366.12
7606-P006,Surgical operation on mother and fetus,P006,760.6
99762-T874,Infection (chronic),T874,997.62
5109-J869,Without mention of fistula,J869,510.9
7949-R948,Other,R948,794.9
7764-P611,Polycythemia neonatorum,P611,776.4
36751-H525,Paresis of accommodation,H525,367.51
87359-S0180,Other and multiple sites,S0180,873.59
80616-S1411,C 5 -C 7 level with complete lesion of cord,S1411,806.16
33393-G258,Benign shuddering attacks,G258,333.93
1705-C401,Short bones of upper limb,C401,170.5
3951-I061,Rheumatic aortic insufficiency,I061,395.1
