"PlantProductID","MRPType","SafetyStock","ReorderPoint","LotSize","ManufacturingStatus","PublisherID_Material","SourceID_Material","FID_Plant","PublisherID_Product","SourceID_Product","FID_StorageLocation"
"PP-000016","X0","95","20","WB","Released","PLM","MAT-000016","PLT-CN01","SAPMDG","PRD-000016","STO-CN01-0001"
"PP-000017","PD","105","25","EX","Released","PLM","MAT-000017","PLT-IN01","SAPMDG","PRD-000017","STO-IN01-0001"
"PP-000018","VB","25","30","HB","Released","PLM","MAT-000018","PLT-MX01","SAPMDG","PRD-000018","STO-MX01-0001"
"PP-000019","ND","35","35","FX","Released","PLM","MAT-000019","PLT-US01","SAPMDG","PRD-000019","STO-US01-0001"
"PP-000020","X0","45","40","WB","Released","PLM","MAT-000020","PLT-US02","SAPMDG","PRD-000020","STO-US02-0001"
"PP-000021","PD","55","10","EX","Released","PLM","MAT-000021","PLT-DE01","SAPMDG","PRD-000021","STO-DE01-0001"
"PP-000022","VB","65","15","HB","Engineering Hold","PLM","MAT-000022","PLT-CN01","SAPMDG","PRD-000022","STO-CN01-0001"
"PP-000023","ND","75","20","FX","Released","PLM","MAT-000023","PLT-IN01","SAPMDG","PRD-000023","STO-IN01-0001"
"PP-000024","X0","85","25","WB","Released","PLM","MAT-000024","PLT-MX01","SAPMDG","PRD-000024","STO-MX01-0001"
"PP-000025","PD","95","30","EX","Released","PLM","MAT-000025","PLT-US01","SAPMDG","PRD-000025","STO-US01-0001"
"PP-000026","VB","105","35","HB","Released","PLM","MAT-000026","PLT-US02","SAPMDG","PRD-000026","STO-US02-0001"
"PP-000027","ND","25","40","FX","Released","PLM","MAT-000027","PLT-DE01","SAPMDG","PRD-000027","STO-DE01-0001"
"PP-000028","X0","35","10","WB","Released","PLM","MAT-000028","PLT-CN01","SAPMDG","PRD-000028","STO-CN01-0001"
"PP-000029","PD","45","15","EX","Released","PLM","MAT-000029","PLT-IN01","SAPMDG","PRD-000029","STO-IN01-0001"
"PP-000030","VB","55","20","HB","Released","PLM","MAT-000030","PLT-MX01","SAPMDG","PRD-000030","STO-MX01-0001"
"PP-000031","ND","65","25","FX","Released","PLM","MAT-000031","PLT-US01","SAPMDG","PRD-000031","STO-US01-0001"
"PP-000032","X0","75","30","WB","Released","PLM","MAT-000032","PLT-US02","SAPMDG","PRD-000032","STO-US02-0001"
"PP-000033","PD","85","35","EX","Engineering Hold","PLM","MAT-000033","PLT-DE01","SAPMDG","PRD-000033","STO-DE01-0001"
"PP-000034","VB","95","40","HB","Released","PLM","MAT-000034","PLT-CN01","SAPMDG","PRD-000034","STO-CN01-0001"
"PP-000035","ND","105","10","FX","Released","PLM","MAT-000035","PLT-IN01","SAPMDG","PRD-000035","STO-IN01-0001"
"PP-000036","X0","25","15","WB","Released","PLM","MAT-000036","PLT-MX01","SAPMDG","PRD-000036","STO-MX01-0001"
"PP-000037","PD","35","20","EX","Released","PLM","MAT-000037","PLT-US01","SAPMDG","PRD-000037","STO-US01-0001"
"PP-000038","VB","45","25","HB","Released","PLM","MAT-000038","PLT-US02","SAPMDG","PRD-000038","STO-US02-0001"
"PP-000039","ND","55","30","FX","Released","PLM","MAT-000039","PLT-DE01","SAPMDG","PRD-000039","STO-DE01-0001"
"PP-000040","X0","65","35","WB","Released","PLM","MAT-000040","PLT-CN01","SAPMDG","PRD-000040","STO-CN01-0001"
"PP-000041","PD","75","40","EX","Released","PLM","MAT-000041","PLT-IN01","SAPMDG","PRD-000041","STO-IN01-0001"
"PP-000042","VB","85","10","HB","Released","PLM","MAT-000042","PLT-MX01","SAPMDG","PRD-000042","STO-MX01-0001"
"PP-000043","ND","95","15","FX","Released","PLM","MAT-000043","PLT-US01","SAPMDG","PRD-000043","STO-US01-0001"
"PP-000044","X0","105","20","WB","Engineering Hold","PLM","MAT-000044","PLT-US02","SAPMDG","PRD-000044","STO-US02-0001"
"PP-000045","PD","25","25","EX","Released","PLM","MAT-000045","PLT-DE01","SAPMDG","PRD-000045","STO-DE01-0001"
"PP-000046","VB","35","30","HB","Released","PLM","MAT-000046","PLT-CN01","SAPMDG","PRD-000046","STO-CN01-0001"
"PP-000047","ND","45","35","FX","Released","PLM","MAT-000047","PLT-IN01","SAPMDG","PRD-000047","STO-IN01-0001"
"PP-000048","X0","55","40","WB","Released","PLM","MAT-000048","PLT-MX01","SAPMDG","PRD-000048","STO-MX01-0001"
"PP-000049","PD","65","10","EX","Released","PLM","MAT-000049","PLT-US01","SAPMDG","PRD-000049","STO-US01-0001"
"PP-000050","VB","75","15","HB","Released","PLM","MAT-000050","PLT-US02","SAPMDG","PRD-000050","STO-US02-0001"
"PP-000051","ND","85","20","FX","Released","PLM","MAT-000051","PLT-DE01","SAPMDG","PRD-000051","STO-DE01-0001"
"PP-000052","X0","95","25","WB","Released","PLM","MAT-000052","PLT-CN01","SAPMDG","PRD-000052","STO-CN01-0001"
"PP-000053","PD","105","30","EX","Released","PLM","MAT-000053","PLT-IN01","SAPMDG","PRD-000053","STO-IN01-0001"
"PP-000054","VB","25","35","HB","Released","PLM","MAT-000054","PLT-MX01","SAPMDG","PRD-000054","STO-MX01-0001"
"PP-000055","ND","35","40","FX","Engineering Hold","PLM","MAT-000055","PLT-US01","SAPMDG","PRD-000055","STO-US01-0001"
"PP-000056","X0","45","10","WB","Released","PLM","MAT-000056","PLT-US02","SAPMDG","PRD-000056","STO-US02-0001"
"PP-000057","PD","55","15","EX","Released","PLM","MAT-000057","PLT-DE01","SAPMDG","PRD-000057","STO-DE01-0001"
"PP-000058","VB","65","20","HB","Released","PLM","MAT-000058","PLT-CN01","SAPMDG","PRD-000058","STO-CN01-0001"
"PP-000059","ND","75","25","FX","Released","PLM","MAT-000059","PLT-IN01","SAPMDG","PRD-000059","STO-IN01-0001"
"PP-000060","X0","85","30","WB","Released","PLM","MAT-000060","PLT-MX01","SAPMDG","PRD-000060","STO-MX01-0001"
"PP-000061","PD","95","35","EX","Released","PLM","MAT-000061","PLT-US01","SAPMDG","PRD-000061","STO-US01-0001"
"PP-000062","VB","105","40","HB","Released","PLM","MAT-000062","PLT-US02","SAPMDG","PRD-000062","STO-US02-0001"
"PP-000063","ND","25","10","FX","Released","PLM","MAT-000063","PLT-DE01","SAPMDG","PRD-000063","STO-DE01-0001"
"PP-000064","X0","35","15","WB","Released","PLM","MAT-000064","PLT-CN01","SAPMDG","PRD-000064","STO-CN01-0001"
"PP-000065","PD","45","20","EX","Released","PLM","MAT-000065","PLT-IN01","SAPMDG","PRD-000065","STO-IN01-0001"
"PP-000066","VB","55","25","HB","Engineering Hold","PLM","MAT-000066","PLT-MX01","SAPMDG","PRD-000066","STO-MX01-0001"
"PP-000067","ND","65","30","FX","Released","PLM","MAT-000067","PLT-US01","SAPMDG","PRD-000067","STO-US01-0001"
"PP-000068","X0","75","35","WB","Released","PLM","MAT-000068","PLT-US02","SAPMDG","PRD-000068","STO-US02-0001"
"PP-000069","PD","85","40","EX","Released","PLM","MAT-000069","PLT-DE01","SAPMDG","PRD-000069","STO-DE01-0001"
"PP-000070","VB","95","10","HB","Released","PLM","MAT-000070","PLT-CN01","SAPMDG","PRD-000070","STO-CN01-0001"
"PP-000071","ND","105","15","FX","Released","PLM","MAT-000071","PLT-IN01","SAPMDG","PRD-000071","STO-IN01-0001"
"PP-000072","X0","25","20","WB","Released","PLM","MAT-000072","PLT-MX01","SAPMDG","PRD-000072","STO-MX01-0001"
"PP-000073","PD","35","25","EX","Released","PLM","MAT-000073","PLT-US01","SAPMDG","PRD-000073","STO-US01-0001"
"PP-000074","VB","45","30","HB","Released","PLM","MAT-000074","PLT-US02","SAPMDG","PRD-000074","STO-US02-0001"
"PP-000075","ND","55","35","FX","Released","PLM","MAT-000075","PLT-DE01","SAPMDG","PRD-000075","STO-DE01-0001"
"PP-000076","X0","65","40","WB","Released","PLM","MAT-000076","PLT-CN01","SAPMDG","PRD-000076","STO-CN01-0001"
"PP-000077","PD","75","10","EX","Engineering Hold","PLM","MAT-000077","PLT-IN01","SAPMDG","PRD-000077","STO-IN01-0001"
"PP-000078","VB","85","15","HB","Released","PLM","MAT-000078","PLT-MX01","SAPMDG","PRD-000078","STO-MX01-0001"
"PP-000079","ND","95","20","FX","Released","PLM","MAT-000079","PLT-US01","SAPMDG","PRD-000079","STO-US01-0001"
"PP-000080","X0","105","25","WB","Released","PLM","MAT-000080","PLT-US02","SAPMDG","PRD-000080","STO-US02-0001"
