"ProductRelationshipID","RelationshipCode","Quantity","EffectiveFrom","EffectiveTo","Active","PublisherID_FromProduct","SourceID_FromProduct","PublisherID_ToProduct","SourceID_ToProduct","FID_RelationshipType"
"PREL-000031","BUNDLE","4","2024-02-01","2028-12-31","true","SAPMDG","PRD-000031","SAPMDG","PRD-000032","REL-BUNDLE"
"PREL-000032","ACCESSORY","1","2024-02-02","2028-12-31","true","SAPMDG","PRD-000032","SAPMDG","PRD-000033","REL-ACCESSORY"
"PREL-000033","SUBSTITUTE","2","2024-02-03","2028-12-31","true","SAPMDG","PRD-000033","SAPMDG","PRD-000034","REL-SUBSTITUTE"
"PREL-000034","REPLACEMENT","3","2024-02-04","2028-12-31","true","SAPMDG","PRD-000034","SAPMDG","PRD-000035","REL-REPLACEMENT"
"PREL-000035","COMPONENT","4","2024-02-05","2028-12-31","true","SAPMDG","PRD-000035","SAPMDG","PRD-000036","REL-COMPONENT"
"PREL-000036","BUNDLE","1","2024-02-06","2028-12-31","true","SAPMDG","PRD-000036","SAPMDG","PRD-000037","REL-BUNDLE"
"PREL-000037","ACCESSORY","2","2024-02-07","2028-12-31","true","SAPMDG","PRD-000037","SAPMDG","PRD-000038","REL-ACCESSORY"
"PREL-000038","SUBSTITUTE","3","2024-02-08","2028-12-31","true","SAPMDG","PRD-000038","SAPMDG","PRD-000039","REL-SUBSTITUTE"
"PREL-000039","REPLACEMENT","4","2024-02-09","2028-12-31","true","SAPMDG","PRD-000039","SAPMDG","PRD-000040","REL-REPLACEMENT"
"PREL-000040","COMPONENT","1","2024-02-10","2028-12-31","true","SAPMDG","PRD-000040","SAPMDG","PRD-000041","REL-COMPONENT"
