"ProductClassificationID","ClassificationCode","ClassificationName","ClassificationLevel","AssignedValue","ValidFrom","ValidTo","PublisherID_Product","SourceID_Product","FID_ClassificationScheme"
"PCL-000059","41110000-059","Regulatory Class","Class","Computing / Workplace Accessories","2024-02-29","2028-12-31","SAPMDG","PRD-000059","CLS-ECLASS"
"PCL-000060","24120000-060","Commercial Class","Commodity","Home Appliances / Climate","2024-01-01","2028-12-31","SAPMDG","PRD-000060","CLS-SAPCLASS"
"PCL-000061","44120000-061","Commodity Class","Segment","Medical / Clinical Kits","2024-01-02","2028-12-31","SAPMDG","PRD-000061","CLS-UNSPSC"
"PCL-000062","32101500-062","Technical Class","Family","Industrial / Maintenance","2024-01-03","2028-12-31","SAPMDG","PRD-000062","CLS-ETIM"
"PCL-000063","41110000-063","Regulatory Class","Class","Automotive / Electrification","2024-01-04","2028-12-31","SAPMDG","PRD-000063","CLS-ECLASS"
"PCL-000064","24120000-064","Commercial Class","Commodity","Packaging / Sustainable Packaging","2024-01-05","2028-12-31","SAPMDG","PRD-000064","CLS-SAPCLASS"
"PCL-000065","44120000-065","Commodity Class","Segment","Audio / Premium Audio","2024-01-06","2028-12-31","SAPMDG","PRD-000065","CLS-UNSPSC"
"PCL-000066","32101500-066","Technical Class","Family","Industrial / Factory Automation","2024-01-07","2028-12-31","SAPMDG","PRD-000066","CLS-ETIM"
"PCL-000067","41110000-067","Regulatory Class","Class","Computing / Workplace Accessories","2024-01-08","2028-12-31","SAPMDG","PRD-000067","CLS-ECLASS"
"PCL-000068","24120000-068","Commercial Class","Commodity","Home Appliances / Climate","2024-01-09","2028-12-31","SAPMDG","PRD-000068","CLS-SAPCLASS"
"PCL-000069","44120000-069","Commodity Class","Segment","Medical / Clinical Kits","2024-01-10","2028-12-31","SAPMDG","PRD-000069","CLS-UNSPSC"
"PCL-000070","32101500-070","Technical Class","Family","Industrial / Maintenance","2024-01-11","2028-12-31","SAPMDG","PRD-000070","CLS-ETIM"
"PCL-000071","41110000-071","Regulatory Class","Class","Automotive / Electrification","2024-01-12","2028-12-31","SAPMDG","PRD-000071","CLS-ECLASS"
"PCL-000072","24120000-072","Commercial Class","Commodity","Packaging / Sustainable Packaging","2024-01-13","2028-12-31","SAPMDG","PRD-000072","CLS-SAPCLASS"
"PCL-000073","44120000-073","Commodity Class","Segment","Audio / Premium Audio","2024-01-14","2028-12-31","SAPMDG","PRD-000073","CLS-UNSPSC"
"PCL-000074","32101500-074","Technical Class","Family","Industrial / Factory Automation","2024-01-15","2028-12-31","SAPMDG","PRD-000074","CLS-ETIM"
"PCL-000075","41110000-075","Regulatory Class","Class","Computing / Workplace Accessories","2024-01-16","2028-12-31","SAPMDG","PRD-000075","CLS-ECLASS"
"PCL-000076","24120000-076","Commercial Class","Commodity","Home Appliances / Climate","2024-01-17","2028-12-31","SAPMDG","PRD-000076","CLS-SAPCLASS"
"PCL-000077","44120000-077","Commodity Class","Segment","Medical / Clinical Kits","2024-01-18","2028-12-31","SAPMDG","PRD-000077","CLS-UNSPSC"
"PCL-000078","32101500-078","Technical Class","Family","Industrial / Maintenance","2024-01-19","2028-12-31","SAPMDG","PRD-000078","CLS-ETIM"
"PCL-000079","41110000-079","Regulatory Class","Class","Automotive / Electrification","2024-01-20","2028-12-31","SAPMDG","PRD-000079","CLS-ECLASS"
"PCL-000080","24120000-080","Commercial Class","Commodity","Packaging / Sustainable Packaging","2024-01-21","2028-12-31","SAPMDG","PRD-000080","CLS-SAPCLASS"
