"ProductCrossReferenceID","ExternalProductID","ExternalMaterialNumber","CrossReferenceType","SourceLastUpdated","Active","PublisherID_Material","SourceID_Material","PublisherID_Product","SourceID_Product","FID_SourceSystem"
"XREF-000017","EXT-PRD-000017","EXT-MAT-000017","Legacy Material","2026-02-01T10:29:00.000Z","true","PLM","MAT-000017","SAPMDG","PRD-000017","SRC-ARIBA"
"XREF-000018","EXT-PRD-000018","EXT-MAT-000018","Supplier Catalog","2026-02-02T10:36:00.000Z","true","PLM","MAT-000018","SAPMDG","PRD-000018","SRC-EWM"
"XREF-000019","EXT-PRD-000019","EXT-MAT-000019","PLM Part","2026-02-03T10:43:00.000Z","false","PLM","MAT-000019","SAPMDG","PRD-000019","SRC-SAPMDG"
"XREF-000020","EXT-PRD-000020","EXT-MAT-000020","Customer SKU","2026-02-04T10:50:00.000Z","true","PLM","MAT-000020","SAPMDG","PRD-000020","SRC-S4HANA"
"XREF-000021","EXT-PRD-000021","EXT-MAT-000021","Legacy Material","2026-02-05T10:57:00.000Z","true","PLM","MAT-000021","SAPMDG","PRD-000021","SRC-ECC"
"XREF-000022","EXT-PRD-000022","EXT-MAT-000022","Supplier Catalog","2026-02-06T11:04:00.000Z","true","PLM","MAT-000022","SAPMDG","PRD-000022","SRC-PLM"
"XREF-000023","EXT-PRD-000023","EXT-MAT-000023","PLM Part","2026-02-07T11:11:00.000Z","true","PLM","MAT-000023","SAPMDG","PRD-000023","SRC-ARIBA"
"XREF-000024","EXT-PRD-000024","EXT-MAT-000024","Customer SKU","2026-02-08T11:18:00.000Z","true","PLM","MAT-000024","SAPMDG","PRD-000024","SRC-EWM"
"XREF-000025","EXT-PRD-000025","EXT-MAT-000025","Legacy Material","2026-02-09T11:25:00.000Z","true","PLM","MAT-000025","SAPMDG","PRD-000025","SRC-SAPMDG"
"XREF-000026","EXT-PRD-000026","EXT-MAT-000026","Supplier Catalog","2026-02-10T11:32:00.000Z","true","PLM","MAT-000026","SAPMDG","PRD-000026","SRC-S4HANA"
"XREF-000027","EXT-PRD-000027","EXT-MAT-000027","PLM Part","2026-02-11T11:39:00.000Z","true","PLM","MAT-000027","SAPMDG","PRD-000027","SRC-ECC"
"XREF-000028","EXT-PRD-000028","EXT-MAT-000028","Customer SKU","2026-02-12T11:46:00.000Z","true","PLM","MAT-000028","SAPMDG","PRD-000028","SRC-PLM"
"XREF-000029","EXT-PRD-000029","EXT-MAT-000029","Legacy Material","2026-02-13T11:53:00.000Z","true","PLM","MAT-000029","SAPMDG","PRD-000029","SRC-ARIBA"
"XREF-000030","EXT-PRD-000030","EXT-MAT-000030","Supplier Catalog","2026-02-14T12:00:00.000Z","true","PLM","MAT-000030","SAPMDG","PRD-000030","SRC-EWM"
"XREF-000031","EXT-PRD-000031","EXT-MAT-000031","PLM Part","2026-02-15T12:07:00.000Z","true","PLM","MAT-000031","SAPMDG","PRD-000031","SRC-SAPMDG"
"XREF-000032","EXT-PRD-000032","EXT-MAT-000032","Customer SKU","2026-02-16T12:14:00.000Z","true","PLM","MAT-000032","SAPMDG","PRD-000032","SRC-S4HANA"
"XREF-000033","EXT-PRD-000033","EXT-MAT-000033","Legacy Material","2026-02-17T12:21:00.000Z","true","PLM","MAT-000033","SAPMDG","PRD-000033","SRC-ECC"
"XREF-000034","EXT-PRD-000034","EXT-MAT-000034","Supplier Catalog","2026-02-18T12:28:00.000Z","true","PLM","MAT-000034","SAPMDG","PRD-000034","SRC-PLM"
"XREF-000035","EXT-PRD-000035","EXT-MAT-000035","PLM Part","2026-02-19T12:35:00.000Z","true","PLM","MAT-000035","SAPMDG","PRD-000035","SRC-ARIBA"
"XREF-000036","EXT-PRD-000036","EXT-MAT-000036","Customer SKU","2026-02-20T12:42:00.000Z","true","PLM","MAT-000036","SAPMDG","PRD-000036","SRC-EWM"
"XREF-000037","EXT-PRD-000037","EXT-MAT-000037","Legacy Material","2026-02-21T12:49:00.000Z","true","PLM","MAT-000037","SAPMDG","PRD-000037","SRC-SAPMDG"
"XREF-000038","EXT-PRD-000038","EXT-MAT-000038","Supplier Catalog","2026-02-22T12:56:00.000Z","false","PLM","MAT-000038","SAPMDG","PRD-000038","SRC-S4HANA"
"XREF-000039","EXT-PRD-000039","EXT-MAT-000039","PLM Part","2026-02-23T13:03:00.000Z","true","PLM","MAT-000039","SAPMDG","PRD-000039","SRC-ECC"
"XREF-000040","EXT-PRD-000040","EXT-MAT-000040","Customer SKU","2026-02-24T13:10:00.000Z","true","PLM","MAT-000040","SAPMDG","PRD-000040","SRC-PLM"
"XREF-000041","EXT-PRD-000041","EXT-MAT-000041","Legacy Material","2026-02-25T13:17:00.000Z","true","PLM","MAT-000041","SAPMDG","PRD-000041","SRC-ARIBA"
"XREF-000042","EXT-PRD-000042","EXT-MAT-000042","Supplier Catalog","2026-02-26T13:24:00.000Z","true","PLM","MAT-000042","SAPMDG","PRD-000042","SRC-EWM"
"XREF-000043","EXT-PRD-000043","EXT-MAT-000043","PLM Part","2026-02-27T13:31:00.000Z","true","PLM","MAT-000043","SAPMDG","PRD-000043","SRC-SAPMDG"
"XREF-000044","EXT-PRD-000044","EXT-MAT-000044","Customer SKU","2026-02-28T13:38:00.000Z","true","PLM","MAT-000044","SAPMDG","PRD-000044","SRC-S4HANA"
"XREF-000045","EXT-PRD-000045","EXT-MAT-000045","Legacy Material","2026-03-01T13:45:00.000Z","true","PLM","MAT-000045","SAPMDG","PRD-000045","SRC-ECC"
"XREF-000046","EXT-PRD-000046","EXT-MAT-000046","Supplier Catalog","2026-03-02T13:52:00.000Z","true","PLM","MAT-000046","SAPMDG","PRD-000046","SRC-PLM"
"XREF-000047","EXT-PRD-000047","EXT-MAT-000047","PLM Part","2026-03-03T13:59:00.000Z","true","PLM","MAT-000047","SAPMDG","PRD-000047","SRC-ARIBA"
"XREF-000048","EXT-PRD-000048","EXT-MAT-000048","Customer SKU","2026-03-04T14:06:00.000Z","true","PLM","MAT-000048","SAPMDG","PRD-000048","SRC-EWM"
"XREF-000049","EXT-PRD-000049","EXT-MAT-000049","Legacy Material","2026-03-05T14:13:00.000Z","true","PLM","MAT-000049","SAPMDG","PRD-000049","SRC-SAPMDG"
"XREF-000050","EXT-PRD-000050","EXT-MAT-000050","Supplier Catalog","2026-03-06T14:20:00.000Z","true","PLM","MAT-000050","SAPMDG","PRD-000050","SRC-S4HANA"
"XREF-000051","EXT-PRD-000051","EXT-MAT-000051","PLM Part","2026-03-07T14:27:00.000Z","true","PLM","MAT-000051","SAPMDG","PRD-000051","SRC-ECC"
"XREF-000052","EXT-PRD-000052","EXT-MAT-000052","Customer SKU","2026-03-08T14:34:00.000Z","true","PLM","MAT-000052","SAPMDG","PRD-000052","SRC-PLM"
"XREF-000053","EXT-PRD-000053","EXT-MAT-000053","Legacy Material","2026-03-09T14:41:00.000Z","true","PLM","MAT-000053","SAPMDG","PRD-000053","SRC-ARIBA"
"XREF-000054","EXT-PRD-000054","EXT-MAT-000054","Supplier Catalog","2026-03-10T14:48:00.000Z","true","PLM","MAT-000054","SAPMDG","PRD-000054","SRC-EWM"
"XREF-000055","EXT-PRD-000055","EXT-MAT-000055","PLM Part","2026-03-11T14:55:00.000Z","true","PLM","MAT-000055","SAPMDG","PRD-000055","SRC-SAPMDG"
"XREF-000056","EXT-PRD-000056","EXT-MAT-000056","Customer SKU","2026-03-12T15:02:00.000Z","true","PLM","MAT-000056","SAPMDG","PRD-000056","SRC-S4HANA"
"XREF-000057","EXT-PRD-000057","EXT-MAT-000057","Legacy Material","2026-03-13T15:09:00.000Z","false","PLM","MAT-000057","SAPMDG","PRD-000057","SRC-ECC"
"XREF-000058","EXT-PRD-000058","EXT-MAT-000058","Supplier Catalog","2026-03-14T15:16:00.000Z","true","PLM","MAT-000058","SAPMDG","PRD-000058","SRC-PLM"
"XREF-000059","EXT-PRD-000059","EXT-MAT-000059","PLM Part","2026-03-15T15:23:00.000Z","true","PLM","MAT-000059","SAPMDG","PRD-000059","SRC-ARIBA"
"XREF-000060","EXT-PRD-000060","EXT-MAT-000060","Customer SKU","2026-03-16T15:30:00.000Z","true","PLM","MAT-000060","SAPMDG","PRD-000060","SRC-EWM"
"XREF-000061","EXT-PRD-000061","EXT-MAT-000061","Legacy Material","2026-03-17T15:37:00.000Z","true","PLM","MAT-000061","SAPMDG","PRD-000061","SRC-SAPMDG"
"XREF-000062","EXT-PRD-000062","EXT-MAT-000062","Supplier Catalog","2026-03-18T15:44:00.000Z","true","PLM","MAT-000062","SAPMDG","PRD-000062","SRC-S4HANA"
"XREF-000063","EXT-PRD-000063","EXT-MAT-000063","PLM Part","2026-03-19T15:51:00.000Z","true","PLM","MAT-000063","SAPMDG","PRD-000063","SRC-ECC"
"XREF-000064","EXT-PRD-000064","EXT-MAT-000064","Customer SKU","2026-03-20T15:58:00.000Z","true","PLM","MAT-000064","SAPMDG","PRD-000064","SRC-PLM"
"XREF-000065","EXT-PRD-000065","EXT-MAT-000065","Legacy Material","2026-03-21T16:05:00.000Z","true","PLM","MAT-000065","SAPMDG","PRD-000065","SRC-ARIBA"
"XREF-000066","EXT-PRD-000066","EXT-MAT-000066","Supplier Catalog","2026-03-22T16:12:00.000Z","true","PLM","MAT-000066","SAPMDG","PRD-000066","SRC-EWM"
"XREF-000067","EXT-PRD-000067","EXT-MAT-000067","PLM Part","2026-03-23T16:19:00.000Z","true","PLM","MAT-000067","SAPMDG","PRD-000067","SRC-SAPMDG"
"XREF-000068","EXT-PRD-000068","EXT-MAT-000068","Customer SKU","2026-03-24T16:26:00.000Z","true","PLM","MAT-000068","SAPMDG","PRD-000068","SRC-S4HANA"
"XREF-000069","EXT-PRD-000069","EXT-MAT-000069","Legacy Material","2026-03-25T16:33:00.000Z","true","PLM","MAT-000069","SAPMDG","PRD-000069","SRC-ECC"
"XREF-000070","EXT-PRD-000070","EXT-MAT-000070","Supplier Catalog","2026-03-26T16:40:00.000Z","true","PLM","MAT-000070","SAPMDG","PRD-000070","SRC-PLM"
"XREF-000071","EXT-PRD-000071","EXT-MAT-000071","PLM Part","2026-03-27T16:47:00.000Z","true","PLM","MAT-000071","SAPMDG","PRD-000071","SRC-ARIBA"
"XREF-000072","EXT-PRD-000072","EXT-MAT-000072","Customer SKU","2026-03-28T16:54:00.000Z","true","PLM","MAT-000072","SAPMDG","PRD-000072","SRC-EWM"
"XREF-000073","EXT-PRD-000073","EXT-MAT-000073","Legacy Material","2026-03-29T17:01:00.000Z","true","PLM","MAT-000073","SAPMDG","PRD-000073","SRC-SAPMDG"
"XREF-000074","EXT-PRD-000074","EXT-MAT-000074","Supplier Catalog","2026-03-30T17:08:00.000Z","true","PLM","MAT-000074","SAPMDG","PRD-000074","SRC-S4HANA"
"XREF-000075","EXT-PRD-000075","EXT-MAT-000075","PLM Part","2026-03-31T17:15:00.000Z","true","PLM","MAT-000075","SAPMDG","PRD-000075","SRC-ECC"
"XREF-000076","EXT-PRD-000076","EXT-MAT-000076","Customer SKU","2026-04-01T17:22:00.000Z","false","PLM","MAT-000076","SAPMDG","PRD-000076","SRC-PLM"
"XREF-000077","EXT-PRD-000077","EXT-MAT-000077","Legacy Material","2026-04-02T17:29:00.000Z","true","PLM","MAT-000077","SAPMDG","PRD-000077","SRC-ARIBA"
"XREF-000078","EXT-PRD-000078","EXT-MAT-000078","Supplier Catalog","2026-04-03T17:36:00.000Z","true","PLM","MAT-000078","SAPMDG","PRD-000078","SRC-EWM"
"XREF-000079","EXT-PRD-000079","EXT-MAT-000079","PLM Part","2026-04-04T17:43:00.000Z","true","PLM","MAT-000079","SAPMDG","PRD-000079","SRC-SAPMDG"
"XREF-000080","EXT-PRD-000080","EXT-MAT-000080","Customer SKU","2026-04-05T17:50:00.000Z","true","PLM","MAT-000080","SAPMDG","PRD-000080","SRC-S4HANA"
