"SupplierProductID","SupplierProductNumber","SupplierDescription","LeadTimeDays","MinimumOrderQuantity","PreferredSupplierIndicator","PublisherID_Product","SourceID_Product","FID_Supplier"
"SP-000034","SUPMAT-000034","SUP-UNITY supplied Industrial Sensor Series 08","19","60","true","SAPMDG","PRD-000034","SUP-UNITY"
"SP-000035","SUPMAT-000035","SUP-NORTH supplied Laptop Docking Station Series 09","20","65","true","SAPMDG","PRD-000035","SUP-NORTH"
"SP-000036","SUPMAT-000036","SUP-ALPINE supplied Smart Air Purifier Series 01","21","10","false","SAPMDG","PRD-000036","SUP-ALPINE"
"SP-000037","SUPMAT-000037","SUP-ACME supplied Sterile Procedure Kit Series 02","22","15","true","SAPMDG","PRD-000037","SUP-ACME"
"SP-000038","SUPMAT-000038","SUP-GLOBAL supplied Plant Maintenance Filter Series 03","23","20","true","SAPMDG","PRD-000038","SUP-GLOBAL"
"SP-000039","SUPMAT-000039","SUP-ORIENT supplied EV Battery Module Series 04","24","25","true","SAPMDG","PRD-000039","SUP-ORIENT"
"SP-000040","SUPMAT-000040","SUP-PRECISION supplied Recyclable Shipping Case Series 05","25","30","false","SAPMDG","PRD-000040","SUP-PRECISION"
"SP-000041","SUPMAT-000041","SUP-ECO supplied Wireless Headphones Series 06","26","35","true","SAPMDG","PRD-000041","SUP-ECO"
"SP-000042","SUPMAT-000042","SUP-MEDLINE supplied Industrial Sensor Series 07","6","40","true","SAPMDG","PRD-000042","SUP-MEDLINE"
"SP-000043","SUPMAT-000043","SUP-RAPID supplied Laptop Docking Station Series 08","7","45","true","SAPMDG","PRD-000043","SUP-RAPID"
"SP-000044","SUPMAT-000044","SUP-OMEGA supplied Smart Air Purifier Series 09","8","50","false","SAPMDG","PRD-000044","SUP-OMEGA"
"SP-000045","SUPMAT-000045","SUP-BLUE supplied Sterile Procedure Kit Series 01","9","55","true","SAPMDG","PRD-000045","SUP-BLUE"
"SP-000046","SUPMAT-000046","SUP-UNITY supplied Plant Maintenance Filter Series 02","10","60","true","SAPMDG","PRD-000046","SUP-UNITY"
"SP-000047","SUPMAT-000047","SUP-NORTH supplied EV Battery Module Series 03","11","65","true","SAPMDG","PRD-000047","SUP-NORTH"
"SP-000048","SUPMAT-000048","SUP-ALPINE supplied Recyclable Shipping Case Series 04","12","10","false","SAPMDG","PRD-000048","SUP-ALPINE"
"SP-000049","SUPMAT-000049","SUP-ACME supplied Wireless Headphones Series 05","13","15","true","SAPMDG","PRD-000049","SUP-ACME"
"SP-000050","SUPMAT-000050","SUP-GLOBAL supplied Industrial Sensor Series 06","14","20","true","SAPMDG","PRD-000050","SUP-GLOBAL"
"SP-000051","SUPMAT-000051","SUP-ORIENT supplied Laptop Docking Station Series 07","15","25","true","SAPMDG","PRD-000051","SUP-ORIENT"
"SP-000052","SUPMAT-000052","SUP-PRECISION supplied Smart Air Purifier Series 08","16","30","false","SAPMDG","PRD-000052","SUP-PRECISION"
"SP-000053","SUPMAT-000053","SUP-ECO supplied Sterile Procedure Kit Series 09","17","35","true","SAPMDG","PRD-000053","SUP-ECO"
"SP-000054","SUPMAT-000054","SUP-MEDLINE supplied Plant Maintenance Filter Series 01","18","40","true","SAPMDG","PRD-000054","SUP-MEDLINE"
"SP-000055","SUPMAT-000055","SUP-RAPID supplied EV Battery Module Series 02","19","45","true","SAPMDG","PRD-000055","SUP-RAPID"
"SP-000056","SUPMAT-000056","SUP-OMEGA supplied Recyclable Shipping Case Series 03","20","50","false","SAPMDG","PRD-000056","SUP-OMEGA"
"SP-000057","SUPMAT-000057","SUP-BLUE supplied Wireless Headphones Series 04","21","55","true","SAPMDG","PRD-000057","SUP-BLUE"
"SP-000058","SUPMAT-000058","SUP-UNITY supplied Industrial Sensor Series 05","22","60","true","SAPMDG","PRD-000058","SUP-UNITY"
"SP-000059","SUPMAT-000059","SUP-NORTH supplied Laptop Docking Station Series 06","23","65","true","SAPMDG","PRD-000059","SUP-NORTH"
"SP-000060","SUPMAT-000060","SUP-ALPINE supplied Smart Air Purifier Series 07","24","10","false","SAPMDG","PRD-000060","SUP-ALPINE"
"SP-000061","SUPMAT-000061","SUP-ACME supplied Sterile Procedure Kit Series 08","25","15","true","SAPMDG","PRD-000061","SUP-ACME"
"SP-000062","SUPMAT-000062","SUP-GLOBAL supplied Plant Maintenance Filter Series 09","26","20","true","SAPMDG","PRD-000062","SUP-GLOBAL"
"SP-000063","SUPMAT-000063","SUP-ORIENT supplied EV Battery Module Series 01","6","25","true","SAPMDG","PRD-000063","SUP-ORIENT"
"SP-000064","SUPMAT-000064","SUP-PRECISION supplied Recyclable Shipping Case Series 02","7","30","false","SAPMDG","PRD-000064","SUP-PRECISION"
"SP-000065","SUPMAT-000065","SUP-ECO supplied Wireless Headphones Series 03","8","35","true","SAPMDG","PRD-000065","SUP-ECO"
"SP-000066","SUPMAT-000066","SUP-MEDLINE supplied Industrial Sensor Series 04","9","40","true","SAPMDG","PRD-000066","SUP-MEDLINE"
"SP-000067","SUPMAT-000067","SUP-RAPID supplied Laptop Docking Station Series 05","10","45","true","SAPMDG","PRD-000067","SUP-RAPID"
"SP-000068","SUPMAT-000068","SUP-OMEGA supplied Smart Air Purifier Series 06","11","50","false","SAPMDG","PRD-000068","SUP-OMEGA"
"SP-000069","SUPMAT-000069","SUP-BLUE supplied Sterile Procedure Kit Series 07","12","55","true","SAPMDG","PRD-000069","SUP-BLUE"
"SP-000070","SUPMAT-000070","SUP-UNITY supplied Plant Maintenance Filter Series 08","13","60","true","SAPMDG","PRD-000070","SUP-UNITY"
"SP-000071","SUPMAT-000071","SUP-NORTH supplied EV Battery Module Series 09","14","65","true","SAPMDG","PRD-000071","SUP-NORTH"
"SP-000072","SUPMAT-000072","SUP-ALPINE supplied Recyclable Shipping Case Series 01","15","10","false","SAPMDG","PRD-000072","SUP-ALPINE"
"SP-000073","SUPMAT-000073","SUP-ACME supplied Wireless Headphones Series 02","16","15","true","SAPMDG","PRD-000073","SUP-ACME"
"SP-000074","SUPMAT-000074","SUP-GLOBAL supplied Industrial Sensor Series 03","17","20","true","SAPMDG","PRD-000074","SUP-GLOBAL"
"SP-000075","SUPMAT-000075","SUP-ORIENT supplied Laptop Docking Station Series 04","18","25","true","SAPMDG","PRD-000075","SUP-ORIENT"
"SP-000076","SUPMAT-000076","SUP-PRECISION supplied Smart Air Purifier Series 05","19","30","false","SAPMDG","PRD-000076","SUP-PRECISION"
"SP-000077","SUPMAT-000077","SUP-ECO supplied Sterile Procedure Kit Series 06","20","35","true","SAPMDG","PRD-000077","SUP-ECO"
"SP-000078","SUPMAT-000078","SUP-MEDLINE supplied Plant Maintenance Filter Series 07","21","40","true","SAPMDG","PRD-000078","SUP-MEDLINE"
"SP-000079","SUPMAT-000079","SUP-RAPID supplied EV Battery Module Series 08","22","45","true","SAPMDG","PRD-000079","SUP-RAPID"
"SP-000080","SUPMAT-000080","SUP-OMEGA supplied Recyclable Shipping Case Series 09","23","50","false","SAPMDG","PRD-000080","SUP-OMEGA"
