"ProductSpecificationID","SpecificationName","SpecificationType","SpecificationValue","MinimumValue","MaximumValue","EffectiveFrom","PublisherID_Product","SourceID_Product","FID_UnitOfMeasure"
"PSP-000034","Power Rating","Electrical","44","9","64","2024-03-09","SAPMDG","PRD-000034","UOM-EA"
"PSP-000035","Pack Quantity","Packaging","45","10","65","2024-03-11","SAPMDG","PRD-000035","UOM-BOX"
"PSP-000036","Weight","Operational","46","11","66","2024-03-13","SAPMDG","PRD-000036","UOM-KG"
"PSP-000037","Length","Physical","47","12","67","2024-03-15","SAPMDG","PRD-000037","UOM-M"
"PSP-000038","Capacity","Electrical","48","13","68","2024-03-17","SAPMDG","PRD-000038","UOM-L"
"PSP-000039","Power Rating","Packaging","49","14","69","2024-03-19","SAPMDG","PRD-000039","UOM-EA"
"PSP-000040","Pack Quantity","Operational","10","5","70","2024-03-21","SAPMDG","PRD-000040","UOM-BOX"
"PSP-000041","Weight","Physical","11","6","71","2024-03-23","SAPMDG","PRD-000041","UOM-KG"
"PSP-000042","Length","Electrical","12","7","72","2024-03-25","SAPMDG","PRD-000042","UOM-M"
"PSP-000043","Capacity","Packaging","13","8","73","2024-03-27","SAPMDG","PRD-000043","UOM-L"
"PSP-000044","Power Rating","Operational","14","9","74","2024-03-29","SAPMDG","PRD-000044","UOM-EA"
"PSP-000045","Pack Quantity","Physical","15","10","75","2024-01-01","SAPMDG","PRD-000045","UOM-BOX"
"PSP-000046","Weight","Electrical","16","11","76","2024-01-03","SAPMDG","PRD-000046","UOM-KG"
"PSP-000047","Length","Packaging","17","12","77","2024-01-05","SAPMDG","PRD-000047","UOM-M"
"PSP-000048","Capacity","Operational","18","13","78","2024-01-07","SAPMDG","PRD-000048","UOM-L"
"PSP-000049","Power Rating","Physical","19","14","79","2024-01-09","SAPMDG","PRD-000049","UOM-EA"
"PSP-000050","Pack Quantity","Electrical","20","5","80","2024-01-11","SAPMDG","PRD-000050","UOM-BOX"
"PSP-000051","Weight","Packaging","21","6","81","2024-01-13","SAPMDG","PRD-000051","UOM-KG"
"PSP-000052","Length","Operational","22","7","82","2024-01-15","SAPMDG","PRD-000052","UOM-M"
"PSP-000053","Capacity","Physical","23","8","83","2024-01-17","SAPMDG","PRD-000053","UOM-L"
"PSP-000054","Power Rating","Electrical","24","9","84","2024-01-19","SAPMDG","PRD-000054","UOM-EA"
"PSP-000055","Pack Quantity","Packaging","25","10","85","2024-01-21","SAPMDG","PRD-000055","UOM-BOX"
"PSP-000056","Weight","Operational","26","11","86","2024-01-23","SAPMDG","PRD-000056","UOM-KG"
"PSP-000057","Length","Physical","27","12","87","2024-01-25","SAPMDG","PRD-000057","UOM-M"
"PSP-000058","Capacity","Electrical","28","13","88","2024-01-27","SAPMDG","PRD-000058","UOM-L"
"PSP-000059","Power Rating","Packaging","29","14","89","2024-01-29","SAPMDG","PRD-000059","UOM-EA"
"PSP-000060","Pack Quantity","Operational","30","5","60","2024-01-31","SAPMDG","PRD-000060","UOM-BOX"
"PSP-000061","Weight","Physical","31","6","61","2024-02-02","SAPMDG","PRD-000061","UOM-KG"
"PSP-000062","Length","Electrical","32","7","62","2024-02-04","SAPMDG","PRD-000062","UOM-M"
"PSP-000063","Capacity","Packaging","33","8","63","2024-02-06","SAPMDG","PRD-000063","UOM-L"
"PSP-000064","Power Rating","Operational","34","9","64","2024-02-08","SAPMDG","PRD-000064","UOM-EA"
"PSP-000065","Pack Quantity","Physical","35","10","65","2024-02-10","SAPMDG","PRD-000065","UOM-BOX"
"PSP-000066","Weight","Electrical","36","11","66","2024-02-12","SAPMDG","PRD-000066","UOM-KG"
"PSP-000067","Length","Packaging","37","12","67","2024-02-14","SAPMDG","PRD-000067","UOM-M"
"PSP-000068","Capacity","Operational","38","13","68","2024-02-16","SAPMDG","PRD-000068","UOM-L"
"PSP-000069","Power Rating","Physical","39","14","69","2024-02-18","SAPMDG","PRD-000069","UOM-EA"
"PSP-000070","Pack Quantity","Electrical","40","5","70","2024-02-20","SAPMDG","PRD-000070","UOM-BOX"
"PSP-000071","Weight","Packaging","41","6","71","2024-02-22","SAPMDG","PRD-000071","UOM-KG"
"PSP-000072","Length","Operational","42","7","72","2024-02-24","SAPMDG","PRD-000072","UOM-M"
"PSP-000073","Capacity","Physical","43","8","73","2024-02-26","SAPMDG","PRD-000073","UOM-L"
"PSP-000074","Power Rating","Electrical","44","9","74","2024-02-28","SAPMDG","PRD-000074","UOM-EA"
"PSP-000075","Pack Quantity","Packaging","45","10","75","2024-03-01","SAPMDG","PRD-000075","UOM-BOX"
"PSP-000076","Weight","Operational","46","11","76","2024-03-03","SAPMDG","PRD-000076","UOM-KG"
"PSP-000077","Length","Physical","47","12","77","2024-03-05","SAPMDG","PRD-000077","UOM-M"
"PSP-000078","Capacity","Electrical","48","13","78","2024-03-07","SAPMDG","PRD-000078","UOM-L"
"PSP-000079","Power Rating","Packaging","49","14","79","2024-03-09","SAPMDG","PRD-000079","UOM-EA"
"PSP-000080","Pack Quantity","Operational","10","5","80","2024-03-11","SAPMDG","PRD-000080","UOM-BOX"
