"ProductVariantID","VariantCode","VariantName","Size","Color","PackagingType","Region","Active","PublisherID_Product","SourceID_Product"
"PVAR-000029","VAR-000029","Sterile Procedure Kit Series 03 Green","XL","Green","Each","Asia","true","SAPMDG","PRD-000029"
"PVAR-000030","VAR-000030","Plant Maintenance Filter Series 04 Silver","Standard","Silver","Box","LATAM","true","SAPMDG","PRD-000030"
"PVAR-000031","VAR-000031","EV Battery Module Series 05 Natural","Compact","Natural","Pallet","Global","true","SAPMDG","PRD-000031"
"PVAR-000032","VAR-000032","Recyclable Shipping Case Series 06 Orange","Bulk","Orange","Case","North America","true","SAPMDG","PRD-000032"
"PVAR-000033","VAR-000033","Wireless Headphones Series 07 Black","XS","Black","Each","Europe","true","SAPMDG","PRD-000033"
"PVAR-000034","VAR-000034","Industrial Sensor Series 08 White","S","White","Box","Asia","true","SAPMDG","PRD-000034"
"PVAR-000035","VAR-000035","Laptop Docking Station Series 09 Graphite","M","Graphite","Pallet","LATAM","true","SAPMDG","PRD-000035"
"PVAR-000036","VAR-000036","Smart Air Purifier Series 01 Blue","L","Blue","Case","Global","true","SAPMDG","PRD-000036"
"PVAR-000037","VAR-000037","Sterile Procedure Kit Series 02 Green","XL","Green","Each","North America","true","SAPMDG","PRD-000037"
"PVAR-000038","VAR-000038","Plant Maintenance Filter Series 03 Silver","Standard","Silver","Box","Europe","true","SAPMDG","PRD-000038"
"PVAR-000039","VAR-000039","EV Battery Module Series 04 Natural","Compact","Natural","Pallet","Asia","true","SAPMDG","PRD-000039"
"PVAR-000040","VAR-000040","Recyclable Shipping Case Series 05 Orange","Bulk","Orange","Case","LATAM","true","SAPMDG","PRD-000040"
"PVAR-000041","VAR-000041","Wireless Headphones Series 06 Black","XS","Black","Each","Global","true","SAPMDG","PRD-000041"
"PVAR-000042","VAR-000042","Industrial Sensor Series 07 White","S","White","Box","North America","true","SAPMDG","PRD-000042"
"PVAR-000043","VAR-000043","Laptop Docking Station Series 08 Graphite","M","Graphite","Pallet","Europe","true","SAPMDG","PRD-000043"
"PVAR-000044","VAR-000044","Smart Air Purifier Series 09 Blue","L","Blue","Case","Asia","true","SAPMDG","PRD-000044"
"PVAR-000045","VAR-000045","Sterile Procedure Kit Series 01 Green","XL","Green","Each","LATAM","true","SAPMDG","PRD-000045"
"PVAR-000046","VAR-000046","Plant Maintenance Filter Series 02 Silver","Standard","Silver","Box","Global","false","SAPMDG","PRD-000046"
"PVAR-000047","VAR-000047","EV Battery Module Series 03 Natural","Compact","Natural","Pallet","North America","true","SAPMDG","PRD-000047"
"PVAR-000048","VAR-000048","Recyclable Shipping Case Series 04 Orange","Bulk","Orange","Case","Europe","true","SAPMDG","PRD-000048"
"PVAR-000049","VAR-000049","Wireless Headphones Series 05 Black","XS","Black","Each","Asia","true","SAPMDG","PRD-000049"
"PVAR-000050","VAR-000050","Industrial Sensor Series 06 White","S","White","Box","LATAM","true","SAPMDG","PRD-000050"
"PVAR-000051","VAR-000051","Laptop Docking Station Series 07 Graphite","M","Graphite","Pallet","Global","true","SAPMDG","PRD-000051"
"PVAR-000052","VAR-000052","Smart Air Purifier Series 08 Blue","L","Blue","Case","North America","true","SAPMDG","PRD-000052"
"PVAR-000053","VAR-000053","Sterile Procedure Kit Series 09 Green","XL","Green","Each","Europe","true","SAPMDG","PRD-000053"
"PVAR-000054","VAR-000054","Plant Maintenance Filter Series 01 Silver","Standard","Silver","Box","Asia","true","SAPMDG","PRD-000054"
"PVAR-000055","VAR-000055","EV Battery Module Series 02 Natural","Compact","Natural","Pallet","LATAM","true","SAPMDG","PRD-000055"
"PVAR-000056","VAR-000056","Recyclable Shipping Case Series 03 Orange","Bulk","Orange","Case","Global","true","SAPMDG","PRD-000056"
"PVAR-000057","VAR-000057","Wireless Headphones Series 04 Black","XS","Black","Each","North America","true","SAPMDG","PRD-000057"
"PVAR-000058","VAR-000058","Industrial Sensor Series 05 White","S","White","Box","Europe","true","SAPMDG","PRD-000058"
"PVAR-000059","VAR-000059","Laptop Docking Station Series 06 Graphite","M","Graphite","Pallet","Asia","true","SAPMDG","PRD-000059"
"PVAR-000060","VAR-000060","Smart Air Purifier Series 07 Blue","L","Blue","Case","LATAM","true","SAPMDG","PRD-000060"
"PVAR-000061","VAR-000061","Sterile Procedure Kit Series 08 Green","XL","Green","Each","Global","true","SAPMDG","PRD-000061"
"PVAR-000062","VAR-000062","Plant Maintenance Filter Series 09 Silver","Standard","Silver","Box","North America","true","SAPMDG","PRD-000062"
"PVAR-000063","VAR-000063","EV Battery Module Series 01 Natural","Compact","Natural","Pallet","Europe","true","SAPMDG","PRD-000063"
"PVAR-000064","VAR-000064","Recyclable Shipping Case Series 02 Orange","Bulk","Orange","Case","Asia","true","SAPMDG","PRD-000064"
"PVAR-000065","VAR-000065","Wireless Headphones Series 03 Black","XS","Black","Each","LATAM","true","SAPMDG","PRD-000065"
"PVAR-000066","VAR-000066","Industrial Sensor Series 04 White","S","White","Box","Global","true","SAPMDG","PRD-000066"
"PVAR-000067","VAR-000067","Laptop Docking Station Series 05 Graphite","M","Graphite","Pallet","North America","true","SAPMDG","PRD-000067"
"PVAR-000068","VAR-000068","Smart Air Purifier Series 06 Blue","L","Blue","Case","Europe","true","SAPMDG","PRD-000068"
"PVAR-000069","VAR-000069","Sterile Procedure Kit Series 07 Green","XL","Green","Each","Asia","false","SAPMDG","PRD-000069"
"PVAR-000070","VAR-000070","Plant Maintenance Filter Series 08 Silver","Standard","Silver","Box","LATAM","true","SAPMDG","PRD-000070"
"PVAR-000071","VAR-000071","EV Battery Module Series 09 Natural","Compact","Natural","Pallet","Global","true","SAPMDG","PRD-000071"
"PVAR-000072","VAR-000072","Recyclable Shipping Case Series 01 Orange","Bulk","Orange","Case","North America","true","SAPMDG","PRD-000072"
"PVAR-000073","VAR-000073","Wireless Headphones Series 02 Black","XS","Black","Each","Europe","true","SAPMDG","PRD-000073"
"PVAR-000074","VAR-000074","Industrial Sensor Series 03 White","S","White","Box","Asia","true","SAPMDG","PRD-000074"
"PVAR-000075","VAR-000075","Laptop Docking Station Series 04 Graphite","M","Graphite","Pallet","LATAM","true","SAPMDG","PRD-000075"
"PVAR-000076","VAR-000076","Smart Air Purifier Series 05 Blue","L","Blue","Case","Global","true","SAPMDG","PRD-000076"
"PVAR-000077","VAR-000077","Sterile Procedure Kit Series 06 Green","XL","Green","Each","North America","true","SAPMDG","PRD-000077"
"PVAR-000078","VAR-000078","Plant Maintenance Filter Series 07 Silver","Standard","Silver","Box","Europe","true","SAPMDG","PRD-000078"
"PVAR-000079","VAR-000079","EV Battery Module Series 08 Natural","Compact","Natural","Pallet","Asia","true","SAPMDG","PRD-000079"
"PVAR-000080","VAR-000080","Recyclable Shipping Case Series 09 Orange","Bulk","Orange","Case","LATAM","true","SAPMDG","PRD-000080"
