FDN_RelationshipType,FDN_FromLegalEntity,FDN_ToLegalEntity
Member,714,1071
Member,624,767
Member,788,1138
Member,800,1110
Member,1011,873
Member,1093,601
Member,1016,845
Member,692,736
Member,665,656
Non-Capital Owner,832,727
Non-Capital Owner,1001,963
Non-Capital Owner,786,1109
Non-Capital Owner,980,1072
Non-Capital Owner,707,793
Non-Capital Owner,1151,930
Non-Capital Owner,865,916
Non-Capital Owner,1134,795
Non-Capital Owner,750,639
Non-Capital Owner,762,915
Non-Capital Owner,672,885
Non-Capital Owner,681,763
Non-Capital Owner,873,891
Non-Capital Owner,979,985
Non-Capital Owner,843,906
Non-Capital Owner,631,1130
Non-Capital Owner,1063,907
Non-Capital Owner,789,718
Non-Capital Owner,822,1171
Non-Capital Owner,1041,1133
Non-Capital Owner,1190,996
Non-Capital Owner,635,1103
Non-Capital Owner,1077,1027
Non-Capital Owner,886,708
Non-Capital Owner,912,880
Non-Capital Owner,614,1093
Non-Capital Owner,894,614
Non-Capital Owner,715,1098
Non-Capital Owner,950,926
Non-Capital Owner,1049,961
Non-Capital Owner,1060,732
Non-Capital Owner,1012,964
Non-Capital Owner,933,694
Non-Capital Owner,985,613
Non-Capital Owner,621,1086
Non-Capital Owner,1126,1078
Non-Capital Owner,817,1114
Non-Capital Owner,629,1166
Non-Capital Owner,931,654
Non-Capital Owner,706,688
Non-Capital Owner,1155,880
Non-Capital Owner,774,999
Non-Capital Owner,1148,1154
Non-Capital Owner,622,706
Non-Capital Owner,848,637
Non-Capital Owner,1140,1035
Non-Capital Owner,1077,1005
Non-Capital Owner,1186,744
Non-Capital Owner,1176,968
Non-Capital Owner,901,715
Non-Capital Owner,666,1075
Non-Capital Owner,724,1053
Non-Capital Owner,692,1087
Non-Capital Owner,891,653
Non-Capital Owner,1171,1110
Non-Capital Owner,1081,1187
Non-Capital Owner,1039,682
Non-Capital Owner,816,1011
Non-Capital Owner,726,621
Non-Capital Owner,718,1154
Non-Capital Owner,1154,921
Non-Capital Owner,1180,1165
Non-Capital Owner,874,1047
Non-Capital Owner,815,669
Non-Capital Owner,1107,1097
Non-Capital Owner,995,1132
Non-Capital Owner,912,1052
Non-Capital Owner,1169,1068
Non-Capital Owner,931,1007
Non-Capital Owner,627,756
Non-Capital Owner,606,838
Non-Capital Owner,656,631
Non-Capital Owner,899,793
Non-Capital Owner,612,812
Non-Capital Owner,941,1125
Non-Capital Owner,1009,1110
Non-Capital Owner,691,860
Non-Capital Owner,687,995
Non-Capital Owner,1177,855
Non-Capital Owner,979,786
Non-Capital Owner,624,707
Non-Capital Owner,1050,618
Non-Capital Owner,958,634
Non-Capital Owner,698,989
Non-Capital Owner,778,1027
Non-Capital Owner,859,932
Non-Capital Owner,869,688
Non-Capital Owner,1010,890
Non-Capital Owner,849,1176
Non-Capital Owner,930,1157
Non-Capital Owner,623,1171
Non-Capital Owner,792,894
Non-Capital Owner,1155,817
Non-Capital Owner,702,800
Non-Capital Owner,955,777
Non-Capital Owner,1004,1134
Non-Capital Owner,1081,1071
Non-Capital Owner,606,635
Non-Capital Owner,701,692
Non-Capital Owner,703,1108
Stockholder,648,1100
Stockholder,942,1123
Stockholder,644,657
Stockholder,823,1138
Stockholder,601,1039
Stockholder,929,1114
Stockholder,641,849
Stockholder,872,771
Stockholder,817,691
Stockholder,934,819
Stockholder,814,709
Stockholder,913,948
Stockholder,733,795
Stockholder,1017,930
Stockholder,1136,796
Stockholder,930,894
Stockholder,953,1030
Stockholder,1116,845
Stockholder,943,1108
Stockholder,619,854
Stockholder,616,804
Stockholder,1165,1060
Stockholder,800,1123
Stockholder,981,1061
Stockholder,902,734
Stockholder,1089,716
Stockholder,1003,840
Stockholder,1095,1065
Stockholder,863,804
Stockholder,1141,1075
Stockholder,601,703
Stockholder,816,964
Stockholder,624,1168
Stockholder,1135,1002
Stockholder,724,948
Stockholder,657,1019
Stockholder,630,1119
Stockholder,803,813
Stockholder,1098,1001
Stockholder,910,741
Stockholder,607,950
Stockholder,1138,933
Stockholder,745,1156
Stockholder,911,737
Stockholder,884,801
Stockholder,965,698
Stockholder,754,1100
Stockholder,797,1072
Stockholder,853,1125
Stockholder,895,669
Stockholder,1158,612
Stockholder,940,1121
Stockholder,711,788
Stockholder,851,1042
Stockholder,813,632
Stockholder,851,656
Stockholder,1027,829
Stockholder,823,1065
Stockholder,1104,1037
Stockholder,967,1094
Stockholder,627,1078
Stockholder,982,1166
Stockholder,732,1096
Stockholder,1087,1068
Stockholder,808,669
Stockholder,1181,992
Stockholder,827,727
Stockholder,847,1090
Stockholder,1172,1150
Stockholder,759,690
Stockholder,1149,1147
Stockholder,948,724
Stockholder,1074,957
Stockholder,794,1148
Stockholder,759,824
Stockholder,1049,802
Stockholder,1032,896
Stockholder,835,602
Stockholder,1033,887
Stockholder,1067,628
Stockholder,1050,1016
Stockholder,796,1093
Stockholder,794,1000
Stockholder,938,1175
Stockholder,720,794
Stockholder,710,772
Stockholder,1040,998
Stockholder,1181,1069
Stockholder,631,1130
Stockholder,825,922
Stockholder,1124,1073
Stockholder,866,716
Stockholder,921,1026
Stockholder,719,708
Stockholder,1171,1064
Stockholder,998,1009
Stockholder,806,765
Stockholder,992,614
Stockholder,826,679
Stockholder,1118,1100
Stockholder,1112,1022
Stockholder,1025,721
Stockholder,1081,1178
Stockholder,804,898
Stockholder,855,835
Stockholder,861,773
Stockholder,641,946
Stockholder,1097,775
Stockholder,630,957
Stockholder,914,921
Stockholder,957,1069
Stockholder,1015,897
Stockholder,622,1134
Stockholder,1057,1005
Stockholder,1091,1094
Stockholder,637,653
Stockholder,1172,740
Stockholder,1147,726
Stockholder,898,921
Stockholder,1115,604
Stockholder,654,1160
Stockholder,875,751
Stockholder,945,890
Stockholder,841,1103
Stockholder,935,645
Stockholder,763,845
Stockholder,1072,945
Stockholder,935,874
Stockholder,958,822
Stockholder,993,968
Stockholder,802,646
Stockholder,1093,802
Stockholder,737,1139
Stockholder,889,1005
Stockholder,915,1096
Stockholder,723,768
Stockholder,1167,737
Stockholder,1148,1012
Stockholder,600,1035
Stockholder,939,675
Stockholder,1105,748
Stockholder,1072,943
Stockholder,984,876
Stockholder,864,1031
Stockholder,638,1142
Stockholder,617,1079
Stockholder,1001,931
Stockholder,694,1173
Stockholder,1038,844
Stockholder,1106,1060
Stockholder,841,1126
Stockholder,708,1047
Stockholder,771,656
Stockholder,747,1186
Stockholder,877,856
Stockholder,763,1116
Stockholder,974,1054
Stockholder,1192,736
Stockholder,992,1123
Stockholder,1035,600
Stockholder,790,1100
Stockholder,835,786
Stockholder,1165,891
Stockholder,842,918
Stockholder,1160,942
Stockholder,624,987
Stockholder,806,1116
Stockholder,925,733
Stockholder,720,865
Stockholder,828,930
Stockholder,638,978
Stockholder,672,718
Stockholder,664,706
Stockholder,1102,1188
Stockholder,787,1191
Stockholder,1181,973
Stockholder,698,1057
Stockholder,600,781
Stockholder,620,694
Stockholder,1064,1002
Stockholder,639,669
Stockholder,627,691
Stockholder,733,619
Stockholder,655,631
Stockholder,1070,1020
Stockholder,1000,828
Stockholder,1012,843
Stockholder,1041,788
Stockholder,851,1002
Stockholder,776,860
Stockholder,631,984
Stockholder,761,892
Stockholder,811,724
Stockholder,1065,802
Stockholder,1057,668
Stockholder,1036,802
Stockholder,1076,1152
Stockholder,766,728
Stockholder,816,615
Stockholder,962,768
Stockholder,1167,1130
Stockholder,1016,982
Stockholder,1183,746
Stockholder,1056,764
Stockholder,980,614
Stockholder,1179,656
Stockholder,939,1173
Stockholder,1086,709
Stockholder,1122,662
Stockholder,1191,761
Stockholder,868,721
Stockholder,942,744
Stockholder,932,1070
Stockholder,1150,689
Stockholder,910,1069
Stockholder,965,726
Stockholder,1027,1152
Stockholder,801,1137
Stockholder,739,793
Stockholder,1136,831
Stockholder,675,640
Stockholder,1154,1057
Stockholder,667,1011
Stockholder,894,886
Stockholder,793,753
Stockholder,826,816
Stockholder,617,690
Stockholder,681,742
Stockholder,922,763
Stockholder,800,1102
Stockholder,639,877
Stockholder,718,1114
Stockholder,891,931
Stockholder,1077,671
Stockholder,692,665
Stockholder,753,673
Stockholder,921,857
Stockholder,893,1124
Stockholder,700,1051
Stockholder,940,1070
Stockholder,996,1128
Stockholder,1036,1115
Stockholder,963,937
Stockholder,774,851
Stockholder,773,1128
Stockholder,604,842
Stockholder,939,1133
Stockholder,607,1053
Stockholder,1046,614
Stockholder,1044,794
Stockholder,792,1143
Stockholder,745,891
Stockholder,965,810
Stockholder,686,873
Stockholder,1125,736
Stockholder,1097,670
Stockholder,764,899
Stockholder,1036,1022
Stockholder,1046,848
Stockholder,703,1056
Stockholder,1159,1098
Stockholder,1153,1186
Stockholder,711,759
Stockholder,1142,653
Stockholder,708,954
Stockholder,1023,1133
Stockholder,711,770
Stockholder,1047,1076
Stockholder,1118,917
Stockholder,933,826
Stockholder,917,1062
Stockholder,893,764
Stockholder,681,1043
Stockholder,821,696
Stockholder,741,1031
Stockholder,867,899
Stockholder,883,979
Stockholder,671,1097
Stockholder,895,686
Stockholder,956,958
Stockholder,866,726
Stockholder,749,838
Stockholder,919,1131
Stockholder,1143,747
Stockholder,755,1105
Stockholder,921,1052
Stockholder,748,873
Stockholder,720,908
Stockholder,682,889
Stockholder,683,1148
Stockholder,1049,814
Stockholder,978,724
Stockholder,1065,604
Stockholder,885,1085
Stockholder,1140,917
Stockholder,954,1107
Stockholder,1133,617
Stockholder,625,1029
Stockholder,1077,1135
Stockholder,829,1174
Stockholder,1116,930
Stockholder,1167,662
Stockholder,1109,1047
Stockholder,882,1175
Stockholder,613,918
Stockholder,1107,935
Stockholder,771,775
Stockholder,827,649
Stockholder,718,666
Stockholder,603,944
Stockholder,770,938
Stockholder,941,626
Stockholder,1178,823
Stockholder,677,909
Stockholder,693,1192
Stockholder,837,1151
Stockholder,1108,895
Stockholder,887,826
Stockholder,648,792
Stockholder,828,694
Stockholder,1008,865
Stockholder,1106,653
Stockholder,646,769
Stockholder,625,888
Stockholder,613,847
Stockholder,895,1050
Stockholder,615,838
Stockholder,851,1172
Stockholder,1180,1163
Stockholder,749,664
Stockholder,882,739
Stockholder,612,873
Stockholder,836,671
Stockholder,1047,970
Stockholder,737,1045
Stockholder,915,910
Stockholder,864,612
Stockholder,684,1070
Stockholder,647,826
Stockholder,902,838
Stockholder,857,847
Stockholder,1124,865
Stockholder,931,725
Stockholder,659,886
Stockholder,824,602
Stockholder,719,893
Stockholder,775,758
Stockholder,908,668
Stockholder,901,820
Stockholder,1132,1133
Stockholder,970,862
Stockholder,601,1164
Stockholder,977,716
Stockholder,1004,887
Stockholder,1046,689
Stockholder,1126,910
Stockholder,626,642
Stockholder,861,931
Stockholder,961,864
