Entity,EntityType,Attribute,DataType,Mandatory,Description,ReferenceTo
Supplier,BASIC,NormalizedPaymentTerms,String,N,"Trimmed and uppercased payment terms for standardization",
Supplier,BASIC,LeadTimeDays,Integer,N,"Average lead time in days for fulfillment",
Supplier,BASIC,DefaultBankAccountID,String,N,"Default bank account ID","BankAccount"
BankAccount,BASIC,BankAccountID,String,Y,"Surrogate identifier for bank account",
BankAccount,BASIC,CounterpartyID,String,Y,"Counterparty ID","Counterparty"
BankAccount,BASIC,BankName,String,Y,"Legal name of the bank",
BankAccount,BASIC,IBAN,String,Y,"International Bank Account Number",
BankAccount,BASIC,NormalizedIBAN,String,N,"Trimmed and uppercased IBAN for validation",
BankAccount,BASIC,SWIFT,String,N,"SWIFT/BIC code",
BankAccount,BASIC,NormalizedSWIFT,String,N,"Trimmed and uppercased SWIFT/BIC code",
BankAccount,BASIC,AccountCurrency,String,Y,"Account currency","Currency"
BankAccount,BASIC,AccountType,String,N,"Usage classification (AP, AR, Escrow)",
BankAccount,BASIC,DefaultFlag,Boolean,N,"Indicates if this is the default payout account",
ContactInformation,BASIC,ContactID,String,Y,"Surrogate identifier for contact record",
ContactInformation,BASIC,CounterpartyID,String,Y,"Counterparty ID","Counterparty"
ContactInformation,BASIC,ContactType,String,Y,"Role of the contact (Primary, Billing, Technical)",
ContactInformation,BASIC,FullName,String,Y,"Contact person full name",
ContactInformation,BASIC,Email,String,Y,"Email address",
ContactInformation,BASIC,Phone,String,Y,"Primary phone number",
ContactInformation,BASIC,Role,String,N,"Job role or title",
ContactInformation,BASIC,PreferredLanguage,String,N,"Language preference for communications",
RiskComplianceProfile,BASIC,RiskProfileID,String,Y,"Surrogate identifier for risk profile",
RiskComplianceProfile,BASIC,CounterpartyID,String,Y,"Counterparty ID","Counterparty"
RiskComplianceProfile,BASIC,ScreeningDate,Date,N,"Date of latest sanction/AML screening",
RiskComplianceProfile,BASIC,SanctionListFlag,Boolean,N,"Indicates presence on a sanction list",
RiskComplianceProfile,BASIC,RiskScore,Decimal(5,2),N,"Calculated compliance risk score",
RiskComplianceProfile,BASIC,RiskCategory,String,N,"Risk category (Low, Medium, High)",
RiskComplianceProfile,BASIC,NormalizedRiskCategory,String,N,"Trimmed and uppercased risk category",
RiskComplianceProfile,BASIC,LastCheckedDate,Date,N,"Date of last automated monitoring check",
RiskComplianceProfile,BASIC,Notes,String,N,"Additional review notes",
Address,BASIC,AddressID,String,Y,"Surrogate identifier for the address record",
Address,BASIC,Line1,String,Y,"Primary address line",
Address,BASIC,Line2,String,N,"Secondary address line",
Address,BASIC,City,String,Y,"City name",
Address,BASIC,NormalizedCity,String,N,"Trimmed and uppercased city name for matching",
Address,BASIC,PostalCode,String,N,"Postal or ZIP code",
Address,BASIC,NormalizedPostalCode,String,N,"Trimmed and uppercased postal code for matching",
Address,BASIC,CountryCode,String,Y,"Country code","Country"
Address,BASIC,Region,String,N,"State or region name",
Address,BASIC,NormalizedRegion,String,N,"Trimmed and uppercased region/state value",
CounterpartyAddress,BASIC,CounterpartyAddressID,String,Y,"Surrogate identifier for counterparty address",
CounterpartyAddress,BASIC,CounterpartyID,String,Y,"Counterparty ID","Counterparty"
CounterpartyAddress,BASIC,AddressID,String,Y,"Address ID","Address"
CounterpartyAddress,BASIC,AddressType,String,Y,"Usage classification (Billing, Shipping, Registered)",
