SourceID,AccountName,Type,SourceID_Parent Account,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,Phone,Fax,Website,PhotoUrl,Industry,AnnualRevenue,NumberOfEmployees,Ownership,Description,Rating,Site,Sic,NaicsCode,DunsNumber,DandbCompanyId,AccountNumber,CleanStatus,IsPersonAccount,YearStarted
001GA00004rIjCgYAK,KOHLER,Customer - Direct,,444 Highland Drive,Kohler,WI,53044,United States,444 Highland Drive,Kohler,WI,53044,United States,(858) 452-1317,,www.kohler.com,/services/images/photo/001GA00004rIjCgYAK,Manufacturing,50000000,40000,Private,,Hot,,5211,,,,C374575,Pending,FALSE,
001GA00004rIjWpYAK,FORD MOTOR,Customer - Channel,,1 American Road,Dearborn,MI,48126,United States,1 American Road,Dearborn,MI,48126,United States,(984) 983-7413,,http://www.ford.com,/services/images/photo/001GA00004rIjWpYAK,Manufacturing,500000000,50000,Public,,Hot,,3711,,,,G374894,Pending,FALSE,
0017F00000N8zXcQAJ,"HARLEY-DAVIDSON, INC.",Customer - Channel,,3700 West Juneau Avenue,Milwaukee,WI,53208,United States,3700 West Juneau Avenue,Milwaukee,WI,53208,United States,(503) 421-7811,(503) 421-7801,http://www.harley-davidson.com,/services/images/photo/0017F00000N8zXcQAJ,Manufacturing,95000000,5800,Public,Commerical logistics and transportation company.,Hot,,557100,44122,,,CC947211,Pending,FALSE,1903
0017F00000N8zXdQAJ,UNIVERSITY OF ARIZONA,Customer - Direct,,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",Tucson,AZ,,United States,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",,,,,(520) 773-9011,(520) 773-9060,https://www.arizona.edu/,/services/images/photo/0017F00000N8zXdQAJ,Education,,39000,Other,D,Warm,,822100,611310,,,CD736025,Pending,FALSE,
0017F00000N8zXbQAJ,UNITED OIL & GAS,Customer - Direct,,"1301 Avenue of the Americas 
New York, NY 10019
USA",,,,,"1301 Avenue of the Americas 
New York, NY 10019
USA",,,,,(212) 842-5522,(212) 842-5501,uos.com,/services/images/photo/0017F00000N8zXbQAJ,Energy,56000,145000,Public,F,Hot,,1031,,,,CD355118,Pending,FALSE,
001GA00004rIffvYAC,"abc supply co., inc.",Customer - Channel,,,,,,,,,,,,7563253367,,abcsupply.com,/services/images/photo/001GA00004rIffvYAC,Manufacturing,,,,,,,1522,,,,,Pending,FALSE,
001GA00004rIjFGYA0,AIR WISCONSIN AIRLINES,Customer - Direct,,w6390 Challenger Drive,Appleton,WI,54914,United States,w6390 Challenger Drive,Appleton,WI,54914,United States,4536781232,,http://www.airwis.com,/services/images/photo/001GA00004rIjFGYA0,Transportation,200000,500,Public,,Hot,,,,,,,Pending,FALSE,
001GA00004sPF7CYAW,Jockey International,Channel Partner / Reseller,,2300 60th Street,Kenosha,WI,53140,United States,2300 60th Street,Kenosha,WI,53140,United States,(858) 452-1311,,http://www.jockey.com,/services/images/photo/001GA00004sPF7CYAW,Manufacturing,443,,Public,50_CRM,,,2211,,,,A48666,Pending,FALSE,
001GA00004sPF7DYAW,"Jockey International, Inc",Channel Partner / Reseller,,2300 60th Street,Kenosha,WI,53140,United States,2300 60th Street,Kenosha,WI,53140,United States,(858) 452-1311,,http://www.jockey.com,/services/images/photo/001GA00004sPF7DYAW,Manufacturing,443,,Public,50_CRM,,,2211,,,,A48666,Pending,FALSE,
001GA00004sPF5QYAW,Hewlett Packard Enterprise,Channel Partner / Reseller,,6280 America Center Drive,Sunnyvale,CA,94089,United States,6280 America Center Drive,Sunnyvale,CA,94089,United States,(858) 452-1273,,http://www.hpe.com,/services/images/photo/001GA00004sPF5QYAW,,,,Public,6281_CRM,,,3571,,,,A48613,Pending,FALSE,
001GA00004sPF5RYAW,Hewlett Packard Enterprise,Channel Partner / Reseller,,6280 America Center Drive,Sunnyvale,CA,94089,United States,6280 America Center Drive,Sunnyvale,CA,94089,United States,(858) 452-1273,,http://www.hpe.com,/services/images/photo/001GA00004sPF5RYAW,,,,Public,6281_CRM,,,3571,,,,A48613,Pending,FALSE,
