GIVEN_NAME,TOP_NICKNAMES,ALL_NICKNAMES
douglas,doug,doug
drew,andrew,andrew
drusilla,silla,silla
duncan,dunk,dunk
earnest,ernie,"ernestine,ernie"
eb,ebbie,ebbie
ebenezer,eben,"ebbie,eben,eb"
ed,eddy,"eddie,eddy"
eddie,eddy,eddy
edgar,eddie,"ed,eddie,eddy"
edith,edie,"edie,edye"
edmond,ed,"ed,eddie,eddy"
edmund,ted,"ed,eddie,ted,eddy,ned"
edna,edny,edny
eduardo,ed,"ed,eddie,eddy"
edward,ted,"teddy,ed,ned,ted,eddy,eddie"
edwin,ed,"ed,eddie,win,eddy,ned"
edwina,edwin,edwin
edyth,edie,"edie,edye"
edythe,edie,"edie,edye"
efrain,ephraim,"ephraim,efra,ain"
egbert,bert,"bert,burt"
eighta,athy,athy
eileen,helen,helen
elaine,helen,"lainie,helen"
elbert,albert,albert
elbertson,bert,"elbert,bert"
eleanor,nora,"lanna,nora,nelly,ellie,elaine,ellen,lenora"
eleazer,lazar,lazar
elena,helen,helen
elias,eli,"eli,lee,lias"
elijah,eli,"lige,eli"
eliphalel,life,life
eliphalet,left,left
elisa,lisa,lisa
elisha,eli,"lish,eli"
eliza,elizabeth,elizabeth
elizabeth,beth,"libby,lisa,lib,lizzie,eliza,betsy,liza,betty,bessie,bess,beth,liz"
ella,ellen,ellen
ellen,nell,"nellie,nell,helen"
ellender,ellen,"nellie,ellen,helen"
ellie,elly,elly
ellswood,elsey,elsey
elminie,minnie,minnie
elmira,elly,"ellie,elly,mira"
elnora,nora,nora
eloise,louise,"heloise,louise"
elouise,louise,louise
elsie,elsey,elsey
elswood,elsey,elsey
elvira,elvie,elvie
elwood,woody,woody
elysia,lisa,lisa
elze,elsey,elsey
emanuel,manny,"manuel,manny"
emeline,emmy,"em,emmy,emma,milly,emily"
emil,emily,emily
emily,emmy,"emmy,millie,emma,mel"
emma,emmy,emmy
epaphroditius,dite,"dite,ditus,eppa,dyche,dyce"
ephraim,eph,eph
erasmus,raze,"raze,rasmus"
eric,rick,"rick,ricky"
erick,eric,"eric,rick,ricky"
ernest,ernie,ernie
ernestine,tina,"teeny,ernest,tina,erna"
erwin,irwin,irwin
eseneth,senie,senie
essy,es,es
estella,stella,"essy,stella"
estelle,stella,"essy,stella"
esther,essie,"hester,essie"
eudicy,dicey,dicey
eudora,dora,dora
eudoris,dosie,"dossie,dosie"
eugene,gene,gene
eunice,nicie,nicie
euphemia,effie,"effie,effy"
eurydice,dicey,dicey
eustacia,stacy,"stacia,stacy"
eva,eve,eve
evaline,eve,"eva,lena,eve"
evangeline,ev,"ev,evan,vangie"
evelyn,eve,"evelina,ev,eve"
experience,exie,exie
ezekiel,zeke,"zeke,ez"
ezideen,ez,ez
ezra,ez,ez
faith,fay,fay
felicia,feli,"fel,felix,feli"
felicity,flick,"flick,tick"
feltie,felty,felty
ferdinand,fred,"freddie,freddy,ferdie,fred"
ferdinando,fred,"nando,ferdie,fred"
fidelia,delia,delia
flo,florence,florence
flora,florence,florence
florence,flo,"flossy,flora,flo"
floyd,lloyd,lloyd
fran,frannie,frannie
frances,cissy,"sis,cissy,frankie,franniey,fran,francie,frannie,fanny"
francie,francine,francine
francine,fran,"franniey,fran,frannie,francie"
francis,frank,"fran,frankie,frank"
frank,franklin,franklin
frankie,frank,"frank,francis"
franklin,frank,"fran,frank"
franklind,frank,frank
fred,freddy,"freddy,frederick"
freda,frieda,frieda
frederica,frederick,frederick
frederick,fred,"freddie,freddy,fritz,fred"
fredericka,freda,"freddy,ricka,freda,frieda"
frieda,freddie,"freddie,freddy,fred"
fritz,friedrich,"friedrich,frederick"
fx,françois-xavier,"françois-xavier,frank,jackofalltrades"
gabby,gabriella,"gabriella,gabe,gabrielle"
gabe,gabriel,gabriel
gabriel,gabe,"gabe,gabby"
gabriella,ella,"ella,gabby"
gabrielle,elle,"elle,gabby"
genevieve,eve,"jean,eve,jenny"
geoff,jeff,"geoffrey,jeffrey,jeff"
geoffrey,geoff,"geoff,jeff"
george,jorge,"jorge,georgiana"
georgia,george,"george,georgiana"
gerald,gerry,"gerry,jerry"
geraldine,gerrie,"gerry,gerrie,jerry,dina"
gerhardt,gay,gay
gerrie,geraldine,geraldine
gerry,gerald,"gerald,geraldine,jerry"
gert,gertie,gertie
gertie,gertrude,gertrude
gertrude,trudy,"gertie,gert,trudy"
gil,gilbert,gilbert
gilbert,bert,"bert,gil,wilber"
gloria,glory,glory
governor,govie,govie
greenberry,berry,"green,berry"
gregory,greg,greg
gretchen,margaret,margaret
griselda,grissel,grissel
gum,monty,monty
gus,gussie,gussie
gustavus,gus,gus
gwen,wendy,"gwendolyn,wendy"
gwendolyn,gwen,"gwen,wendy"
hamilton,ham,ham
hannah,,"nan,nanny,anna"
harold,harry,"hal,harry"
harriet,hattie,hattie
harry,harold,"harold,henry"
haseltine,hassie,hassie
heather,hetty,"hetty,rainbowsparkle"
helen,lena,"lena,ella,ellen,ellie"
helena,ellen,"eileen,lena,nell,nellie,eleanor,elaine,ellen,aileen"
helene,lena,"lena,ella,ellen,ellie"
heloise,lois,"lois,eloise,elouise"
henrietta,etta,"hank,etta,etty,retta,nettie"
henry,hank,"hank,hal,harry"
hephsibah,hipsie,hipsie
hepsibah,hipsie,hipsie
herb,herbert,herbert
herbert,bert,"bert,herb"
herman,dutch,"harman,dutch"
hermione,hermie,hermie
hester,hetty,"hessy,esther,hetty"
hezekiah,hy,"hy,hez,kiah"
hiram,hy,hy
honora,nora,"honey,nora,norry,norah"
hopkins,hop,"hopp,hop"
horace,horry,horry
hortense,harty,"harty,tensey"
hosea,hosie,"hosey,hosie"
howard,howie,"hal,howie"
hubert,hugh,"bert,hugh,hub"
ian,john,john
ignatius,nate,"natius,iggy,nate,nace"
ignatzio,iggy,"naz,iggy,nace"
immanuel,manuel,"manuel,emmanuel"
india,indy,"indie,indy"
inez,agnes,agnes
iona,onnie,onnie
irene,rena,rena
irvin,irving,irving
irving,irv,irv
irwin,erwin,erwin
isaac,ike,"ike,zeke"
isabel,bell,"tibbie,bell,nib,belle,bella,nibby,ib,issy"
isabella,bella,"tibbie,nib,belle,bella,nibby,ib,issy"
isabelle,belle,"tibbie,nib,belle,bella,nibby,ib,issy"
isadora,dora,"issy,dora"
isaiah,zay,"zadie,zay"
isidore,izzy,izzy
iva,ivy,ivy
ivan,john,john
jackson,jack,jack
jacob,jake,"jaap,jake,jay"
jacobus,jacob,jacob
jacqueline,jackie,"jackie,jack"
jahoda,hodie,"hody,hodie,hoda"
james,jim,"jimmy,jim,jamie,jimmie,jem"
jamie,james,"james,ben"
jane,jennie,"janie,jessie,jean,jennie"
janet,jan,"jan,jessie"
janice,jan,jan
jannett,nettie,nettie
jasmine,jass,"jas,jass,jaz,jazz,jazzie,jassie"
jasper,casper,"jap,casper"
jayme,jay,jay
jean,jane,"jane,jeannie"
jeanette,jean,"jessie,jean,janet,nettie"
jeanne,jane,"jane,jeannie"
jeb,jebadiah,jebadiah
jedediah,jed,"dyer,jed,diah"
jedidiah,jed,jed
jeff,jeffrey,"geoffrey,jeffrey"
jefferey,jeff,jeff
jefferson,sonny,"sonny,jeff"
jeffrey,jeff,"geoff,jeff"
jehiel,hiel,hiel
jehu,hugh,"hugh,gee"
jemima,mima,mima
jennet,jenny,"jessie,jenny"
jennifer,jennie,jennie
jenny,jennifer,jennifer
jeremiah,jerry,"jereme,jerry"
jerita,rita,rita
jerry,geraldine,"jereme,geraldine"
jessica,jessie,jessie
jessie,jess,"jane,jess,janet"
jim,jimmie,jimmie
jincy,jane,jane
jinsy,jane,jane
joan,jo,"jo,nonie"
joann,jo,jo
joanna,jo,"hannah,jody,jo,joan"
joanne,jo,jo
jody,jo,jo
joe,joey,"joseph,joey"
joey,joseph,joseph
johanna,jo,jo
johannah,hannah,"hannah,jody,joan,nonie"
johannes,john,"jonathan,john,johnny"
john,jack,"jack,johnny,jock"
jon,john,"john,nathan"
jonathan,nathan,"john,nathan"
jose,joe,"chepe,joe,joseph,pepe"
joseph,joe,"jody,jos,joe,joey"
josephine,jo,"fina,jody,jo,josey,joey"
josetta,jettie,jettie
josey,josophine,josophine
josh,joshua,joshua
joshua,josh,"jos,josh"
josiah,jos,jos
joyce,joy,joy
juan,john,"john,johnny,jon,juancho,juanito,obi-juan"
juanita,nita,"nita,nettie"
judah,jude,"juder,jude"
judith,judy,"judie,juda,judy,judi,jude"
judson,jud,"sonny,jud"
judy,judith,judith
julia,julie,"julie,jill"
julian,jule,jule
julias,jule,jule
julie,jules,"julia,jule,jules"
june,junius,junius
junior,june,"junie,june,jr"
justin,justus,"justus,justina"
karonhappuck,karen,"karon,karen,carrie,happy"
kasey,k.c.,k.c.
katarina,catherine,"catherine,tina"
kate,kay,kay
katelin,kate,"kay,kate,kaye"
katelyn,kate,"kay,kate,kaye"
katherine,kate,"kathy,katy,lena,kittie,kaye,kit,trina,cathy,kay,kate,cassie"
kathleen,kathy,"kathy,katy,lena,kittie,kit,trina,cathy,kay,cassie"
kathryn,kathy,kathy
katy,kathy,kathy
kayla,kay,kay
ken,kenneth,kenneth
kendall,ken,"ken,kenny"
kendra,kay,"kenj,kenji,kay,kenny"
kendrick,ken,"ken,kenny"
kenneth,ken,"ken,kenny,kendrick"
kenny,ken,"ken,kenneth"
kent,ken,"ken,kenny,kendrick"
keziah,kizzie,"kizza,kizzie"
kim,kimberly,"kimberly,kimberley"
kimberley,kim,kim
kimberly,kim,kim
kingsley,king,king
kingston,king,king
kit,kittie,kittie
kris,chris,chris
kristel,kris,kris
kristen,chris,chris
kristin,chris,chris
kristine,tina,"kris,kristy,tina,christy,chris,crissy"
kristopher,kris,"chris,kris"
kristy,chris,chris
lafayette,fate,"laffie,fate"
lamont,monty,monty
lane,surfsup,"surfsup,kalamazookid"
laodicia,dicy,"dicy,cenia"
larry,lawrence,"laurence,lawrence"
lauren,laurie,"ren,laurie"
laurence,larry,"lorry,larry,lon,lonny,lorne"
laurinda,laura,"laura,lawrence"
lauryn,laurie,laurie
laveda,veda,veda
laverne,vernon,"vernon,verna"
lavina,vina,"vina,viney,ina"
lavinia,vina,"vina,viney,ina"
lavonia,vonnie,"vina,vonnie,wyncha,viney"
lavonne,von,von
lawrence,larry,"lorry,larry,lon,lonny,lorne"
leanne,lea,"lea,annie"
lecurgus,curg,curg
lemuel,lem,lem
lena,ellen,ellen
lenora,nora,"nora,lee"
leo,leon,leon
leonard,leo,"lineau,leo,leon,len,lenny"
leonidas,leon,"lee,leon"
leonora,nora,"nora,nell,nellie"
leonore,nora,"nora,honor,elenor"
leroy,lee,"roy,lee,l.r."
les,lester,lester
leslie,les,les
lester,les,les
letitia,tish,"tish,titia,lettice,lettie"
levi,lee,lee
levicy,vicy,vicy
levone,von,von
lib,libby,libby
lidia,lyddy,lyddy
lil,lily,"lilly,lily"
liliana,lily,"lily,lili,ana,liana,lilia,lila,lil"
lillah,lil,"lil,lilly,lily,lolly"
lillian,lilly,"lil,lilly,lolly"
lilly,lily,lily
lincoln,link,link
linda,lynn,"lindy,lynn"
lindy,lynn,lynn
lionel,leon,leon
lisa,liz,"lizzie,alice,liz,melissa"
littleberry,little,"little,berry,l.b."
liz,elizabeth,elizabeth
lizzie,liz,"elizabeth,liz"
lois,louise,"lou,louise"
lon,lonzo,lonzo
lorenzo,loren,loren
loretta,etta,"etta,lorrie,retta"
lorraine,lorrie,lorrie
lotta,lottie,lottie
lou,louis,"louis,lu"
louis,lou,"lewis,louise,louie,lou"
louisa,lois,"eliza,lou,lois"
louise,lou,"eliza,lou,lois"
louvinia,vonnie,"vina,vonnie,wyncha,viney"
lucas,luke,luke
lucia,lucy,"lucy,lucius"
lucias,luke,luke
lucille,lucy,"cille,lu,lucy,lou"
lucina,sinah,sinah
lucinda,lu,"lu,lucy,cindy,lou"
lucretia,creasey,creasey
lucy,lucinda,lucinda
luella,lu,"lula,ella,lu"
luis,louis,"lewis,louise,louie,lou,lew"
luke,lucas,lucas
lunetta,nettie,nettie
lurana,lura,lura
luther,luke,luke
lydia,lyddy,lyddy
lyndon,lynn,"lindy,lynn"
mabel,amabel,"mehitabel,amabel"
mac,mc,mc
mack,mac,"mac,mc"
mackenzie,mack,"kenzy,mac,mack"
maddy,madelyn,"madelyn,madeline,madge"
madeline,maddy,"maggie,lena,magda,maddy,madge"
madie,madelyn,"madeline,madelyn"
madison,maddy,"mattie,maddy"
magdalena,lena,"maggie,lena"
magdelina,lena,"lena,magda,madge"
mahala,hallie,hallie
malachi,mally,mally
malcolm,mac,"mac,mal,malc"
malinda,lindy,lindy
manda,mandy,mandy
mandy,amanda,amanda
manerva,eve,"minerva,nervie,eve,nerva"
manny,manuel,manuel
manoah,noah,noah
manola,nonnie,nonnie
manuel,manny,"emanuel,manny"
marcus,marc,"mark,marc"
margaret,peg,"maggie,meg,peg,midge,margy,margie,madge,peggy,maggy,marge,daisy,margery,gretta,rita"
margaretta,peg,"maggie,meg,peg,midge,margie,madge,peggy,marge,daisy,margery,gretta,rita"
margarita,maisie,"maggie,meg,metta,midge,greta,megan,maisie,madge,marge,daisy,peggie,rita,margo"
marge,margaret,"margery,margaret,margaretta"
margie,marjorie,marjorie
marguerite,peggy,peggy
margy,marjorie,marjorie
maria elena,maelena,"maelena,ma"
mariah,mary,"mary,maria"
marian,marion,"marianna,marion"
marie,mae,mae
marietta,molly,"mariah,mercy,polly,may,molly,mitzi,minnie,mollie,mae,maureen,marion,marie,mamie,mary,maria"
marilyn,mary,mary
marion,mary,mary
marissa,rissa,rissa
marjorie,margie,"margy,margie"
marquis,marc,"mark,marc"
marsha,marcie,"marcie,mary"
martha,patty,"marty,mattie,mat,patsy,patty"
martin,marty,marty
martina,tina,tina
martine,tine,tine
marv,marvin,marvin
marvin,marv,marv
mary,molly,"mamie,molly,mae,polly,mitzi"
mat,mattie,mattie
mathilda,tillie,"tillie,patty"
matilda,tilly,"tilly,maud,matty"
matt,matthew,"mathew,matthew"
matthew,matt,"thys,matt,thias,mattie,matty"
matthias,matt,"thys,matt,thias"
maud,middy,middy
maureen,mary,mary
maurice,morey,morey
mavery,mave,mave
mavine,mave,mave
maxine,max,max
may,mae,mae
mckenna,kenna,"ken,kenna,meaka"
medora,dora,dora
megan,meg,meg
mehitabel,mabel,"hetty,mitty,mabel,hitty"
melanie,mellie,mellie
melchizedek,zadock,"zadock,dick"
melinda,linda,"linda,mel,lynn,mindy,lindy"
melissa,lisa,"lisa,mel,missy,milly,lissa"
mellony,mellia,mellia
melody,lodi,lodi
melvin,mel,mel
melvina,vina,vina
mercedes,sadie,"merci,sadie,mercy"
merv,mervin,mervin
mervyn,merv,merv
micajah,cage,cage
michael,mike,"micky,mike,micah,mick"
michelle,mickey,mickey
mick,micky,micky
mike,michael,"micky,mick,michael"
mildred,milly,milly
millicent,missy,"missy,milly"
minerva,minnie,minnie
minnie,wilhelmina,wilhelmina
miranda,mandy,"randy,mandy,mira"
miriam,mimi,"mimi,mitzi,mitzie"
missy,melissa,melissa
mitch,mitchell,mitchell
mitchell,mitch,mitch
mitzi,mittie,"mary,mittie,mitty"
mitzie,mittie,"mittie,mitty"
monet,nettie,nettie
monica,monnie,"monna,monnie"
monteleon,monte,monte
montesque,monty,monty
montgomery,monty,"monty,gum"
monty,lamont,lamont
morris,morey,morey
mortimer,mort,mort
moses,amos,"amos,mose,moss"
muriel,mur,mur
myrtle,myrti,"myrt,myrti,mert"
nadine,deedee,"nada,deedee"
nancy,ann,"ann,nan,nanny"
naomi,omi,omi
napoleon,leon,"nap,nappy,leon"
natalie,nettie,"natty,nettie"
natasha,tasha,"tasha,nat"
nathan,nate,"nate,nat"
nathaniel,nate,"than,nathan,nate,nat,natty"
nelle,nelly,nelly
nelson,nels,nels
newt,newton,newton
nicholas,nick,"nick,claes,claas"
nick,nicholas,"nik,nicholas"
nickie,nicholas,nicholas
nicodemus,nick,nick
nicole,nikki,"nole,nikki,cole"
nik,nick,nick
nora,nonie,nonie
norbert,bert,"bert,norby"
nowell,noel,noel
obadiah,obed,"dyer,obed,obie,diah"
obedience,biddie,"obed,beda,beedy,biddie"
obie,obediah,obediah
octavia,tavia,"tave,tavia"
odell,odo,odo
olive,livia,"nollie,livia,ollie"
oliver,ollie,ollie
olivia,livia,"nollie,livia,ollie"
ollie,oliver,oliver
onicyphorous,cyphorus,"cyphorus,osaforus,syphorous,one,cy,osaforum"
orilla,rilly,"rilly,ora"
orlando,roland,roland
orphelia,phelia,phelia
ossy,ozzy,ozzy
oswald,ozzy,"ozzy,waldo,ossy"
otis,ote,"ode,ote"
ozzy,oswald,oswald
pablo,paul,"paul,pablito"
pamela,pam,pam
pandora,dora,dora
parmelia,milly,"amelia,milly,melia"
parthenia,teeny,"teeny,parsuny,pasoonie,phenie"
pat,patrick,"patrick,patricia"
patience,patty,"pat,patty"
patricia,tricia,"tricia,pat,patsy,patty"
patrick,pat,"pate,peter,pat,patsy,paddy"
patsy,patty,patty
patty,patricia,patricia
paul,polly,"polly,paula,pauline"
paula,polly,"polly,lina"
paulina,polly,"polly,lina"
pauline,polly,polly
peg,peggy,peggy
pelegrine,perry,perry
penelope,penny,penny
percival,percy,percy
peregrine,perry,perry
permelia,milly,"melly,milly,mellie"
pernetta,nettie,nettie
persephone,seph,"seph,sephy"
pete,peter,peter
peter,pete,"pete,pate"
petronella,nellie,nellie
pheney,josephine,josephine
pheriba,ferbie,"pherbia,ferbie"
phil,phillip,"phillip,philip"
philadelphia,delphia,delphia
philander,fie,fie
philetus,phil,"leet,phil"
philinda,linda,"linda,lynn,lindy"
philip,phil,phil
philipina,phoebe,"phoebe,penie"
phillip,phil,phil
philly,delphia,delphia
philomena,menaalmena,menaalmena
phoebe,fifi,fifi
pinckney,pink,pink
pleasant,ples,ples
pocahontas,pokey,pokey
posthuma,humey,humey
prescott,scott,"scotty,scott,pres"
priscilla,cissy,"prissy,cissy,cilla"
providence,provy,provy
prudence,prue,"prue,prudy"
prudy,prudence,prudence
rachel,shelly,shelly
rafaela,rafa,rafa
ramona,mona,mona
randolph,randy,"dolph,randy"
raphael,ralph,ralph
ray,raymond,raymond
raymond,ray,ray
reba,becca,"beck,becca"
rebecca,becky,"beck,becca,reba,becky"
reg,reggie,reggie
reggie,reginald,reginald
regina,gina,"reggie,gina"
reginald,reggie,"reggie,naldo,reg,renny"
relief,leafa,leafa
reuben,rube,rube
reynold,reginald,reginald
rhoda,rodie,rodie
rhodella,della,della
