SIC_CODE_ID,SIC_CODE,SIC_DESC
1542,1542,"NONRESIDENTIAL CONSTRUCTION, NEC"
1611,1611,HIGHWAY AND STREET CONSTRUCTION
1622,1622,"BRIDGE, TUNNEL, AND ELEVATED HIGHWAY"
1623,1623,"WATER, SEWER, AND UTILITY LINES"
1629,1629,"HEAVY CONSTRUCTION, NEC"
1711,1711,"PLUMBING, HEATING, AIR-CONDITIONING"
1721,1721,PAINTING AND PAPER HANGING
1731,1731,ELECTRICAL WORK
1741,1741,MASONRY AND OTHER STONEWORK
1742,1742,"PLASTERING, DRYWALL, AND INSULATION"
1743,1743,"TERRAZZO, TILE, MARBLE, MOSAIC WORK"
1751,1751,CARPENTRY WORK
1752,1752,"FLOOR LAYING AND FLOOR WORK, NEC"
1761,1761,"ROOFING, SIDING, AND SHEETMETAL WORK"
1771,1771,CONCRETE WORK
1781,1781,WATER WELL DRILLING
1791,1791,STRUCTURAL STEEL ERECTION
1793,1793,GLASS AND GLAZING WORK
1794,1794,EXCAVATION WORK
1795,1795,WRECKING AND DEMOLITION WORK
1796,1796,INSTALLING BUILDING EQUIPMENT
1799,1799,"SPECIAL TRADE CONTRACTORS, NEC"
2011,2011,MEAT PACKING PLANTS
2013,2013,SAUSAGES AND OTHER PREPARED MEATS
2015,2015,POULTRY SLAUGHTERING AND PROCESSING
2021,2021,CREAMERY BUTTER
2022,2022,CHEESE; NATURAL AND PROCESSED
2023,2023,"DRY, CONDENSED, EVAPORATED PRODUCTS"
2024,2024,ICE CREAM AND FROZEN DESERTS
2026,2026,FLUID MILK
2032,2032,CANNED SPECIALTIES
2033,2033,CANNED FRUITS AND SPECIALTIES
2034,2034,"DEHYDRATED FRUITS, VEGETABLES, SOUPS"
2035,2035,"PICKLES, SAUCES, AND SALAD DRESSINGS"
2037,2037,FROZEN FRUITS AND VEGETABLES
2038,2038,"FROZEN SPECIALTIES, NEC"
2041,2041,FLOUR AND OTHER GRAIN MILL PRODUCTS
2043,2043,CEREAL BREAKFAST FOODS
2044,2044,RICE MILLING
2045,2045,PREPARED FLOUR MIXES AND DOUGHS
2046,2046,WET CORN MILLING
2047,2047,DOG AND CAT FOOD
2048,2048,"PREPARED FEEDS, NEC"
2051,2051,"BREAD, CAKE, AND RELATED PRODUCTS"
2052,2052,COOKIES AND CRACKERS
2053,2053,"FROZEN BAKERY PRODUCTS, EXCEPT BREAD"
2061,2061,RAW CANE SUGAR
2062,2062,CANE SUGAR REFINING
2063,2063,BEET SUGAR
2064,2064,CANDY AND OTHER CONFECTIONERY PRODUCTS
2066,2066,CHOCOLATE AND COCOA PRODUCTS
2067,2067,CHEWING GUM
2068,2068,SALTED AND ROASTED NUTS AND SEEDS
2074,2074,COTTONSEED OIL MILLS
2075,2075,SOYBEAN OIL MILLS
2076,2076,"VEGETABLE OIL MILLS, NEC"
2077,2077,ANIMAL AND MARINE FATS AND OILS
2079,2079,EDIBLE FATS AND OILS
2082,2082,MALT BEVERAGES
2083,2083,MALT
2084,2084,"WINES, BRANDY, AND BRANDY SPIRITS"
2085,2085,DISTILLED AND BLENDED LIQUORS
2086,2086,BOTTLED AND CANNED SOFT DRINKS
2087,2087,"FLAVORING EXTRACTS AND SYRUPS, NEC"
2091,2091,CANNED AND CURED FISH AND SEAFOODS
2092,2092,FRESH OR FROZEN PACKAGED FISH
2095,2095,ROASTED COFFEE
2096,2096,POTATO CHIPS AND SIMILAR SNACKS
2097,2097,MANUFACTURED ICE
2098,2098,MACARONI AND SPAGHETTI
2099,2099,"FOOD PREPARATIONS, NEC"
2111,2111,CIGARETTES
2121,2121,CIGARS
2131,2131,CHEWING AND SMOKING TOBACCO
2141,2141,TOBACCO STEMMING AND REDRYING
2211,2211,"BROADWOVEN FABRIC MILLS, COTTON"
2221,2221,"BROADWOVEN FABRIC MILLS, MANMADE"
2231,2231,"BROADWOVEN FABRIC MILLS, WOOL"
2241,2241,NARROW FABRIC MILLS
2251,2251,"WOMEN'S HOSIERY, EXCEPT SOCKS"
2252,2252,"HOSIERY, NEC"
2253,2253,KNIT OUTERWEAR MILLS
2254,2254,KNIT UNDERWEAR MILLS
2257,2257,WEFT KNIT FABRIC MILLS
2258,2258,LACE AND WARP KNIT FABRIC MILLS
2259,2259,"KNITTING MILLS, NEC"
2261,2261,"FINISHING PLANTS, COTTON"
2262,2262,"FINISHING PLANTS, MANMADE"
2269,2269,"FINISHING PLANTS, NEC"
2273,2273,CARPETS AND RUGS
2281,2281,YARN SPINNING MILLS
2282,2282,THROWING AND WINDING MILLS
2284,2284,THREAD MILLS
2295,2295,"COATED FABRICS, NOT RUBBERIZED"
2296,2296,TIRE CORD AND FABRICS
2297,2297,NONWOVEN FABRICS
2298,2298,CORDAGE AND TWINE
2299,2299,"TEXTILE GOODS, NEC"
2311,2311,MEN'S AND BOY'S SUITS AND COATS
2321,2321,MEN'S AND BOY'S FURNISHINGS
2322,2322,MEN'S AND BOY'S UNDERWEAR AND NIGHTWEAR
2323,2323,MEN'S AND BOY'S NECKWEAR
2325,2325,MEN'S AND BOY'S TROUSERS AND SLACKS
2326,2326,MEN'S AND BOY'S WORK CLOTHING
2329,2329,"MEN'S AND BOY'S CLOTHING, NEC"
2331,2331,WOMEN'S AND MISSES' BLOUSES AND SHIRTS
2335,2335,"WOMEN'S, JUNIOR'S, AND MISSES' DRESSES"
2337,2337,WOMEN'S AND MISSES' SUITS AND COATS
2339,2339,"WOMEN'S AND MISSES' OUTERWEAR, NEC"
2341,2341,WOMEN'S AND CHILDREN'S UNDERWEAR
2342,2342,"BRAS, GIRDLES, AND ALLIED GARMENTS"
2353,2353,"HATS, CAPS, AND MILLINERY"
2361,2361,"GIRL'S AND CHILDREN'S DRESSES, BLOUSES"
2369,2369,"GIRL'S AND CHILDREN'S OUTERWEAR, NEC"
2371,2371,FUR GOODS
2381,2381,FABRIC DRESS AND WORK GLOVES
2384,2384,ROBES AND DRESSING GOWNS
2385,2385,WATERPROOF OUTERWEAR
2386,2386,LEATHER AND SHEEP-LINED CLOTHING
2387,2387,APPAREL BELTS
2389,2389,"APPAREL AND ACCESSORIES, NEC"
2391,2391,CURTAINS AND DRAPERIES
2392,2392,"HOUSEHOLD FURNISHINGS, NEC"
2393,2393,TEXTILE BAGS
2394,2394,CANVAS AND RELATED PRODUCTS
2395,2395,PLEATING AND STITCHING
2396,2396,AUTOMOTIVE AND APPAREL TRIMMINGS
2397,2397,SCHIFFLI MACHINE EMBROIDERIES
2399,2399,"FABRICATED TEXTILE PRODUCTS, NEC"
2411,2411,LOGGING
2421,2421,"SAWMILLS AND PLANING MILLS, GENERAL"
2426,2426,HARDWOOD DIMENSION AND FLOORING MILLS
2429,2429,"SPECIAL PRODUCT SAWMILLS, NEC"
2431,2431,MILLWORK
2434,2434,WOOD KITCHEN CABINETS
2435,2435,HARDWOOD VENEER AND PLYWOOD
2436,2436,SOFTWOOD VENEER AND PLYWOOD
2439,2439,"STRUCTURAL WOOD MEMBERS, NEC"
2441,2441,NAILED WOOD BOXES AND SHOOK
2448,2448,WOOD PALLETS AND SKIDS
2449,2449,"WOOD CONTAINERS, NEC"
2451,2451,MOBILE HOMES
2452,2452,PREFABRICATED WOOD BUILDINGS
2491,2491,WOOD PRESERVING
2493,2493,RECONSTITUTED WOOD PRODUCTS
2499,2499,"WOOD PRODUCTS, NEC"
2511,2511,WOOD HOUSEHOLD FURNITURE
2512,2512,UPHOLSTERED HOUSEHOLD FURNITURE
2514,2514,METAL HOUSEHOLD FURNITURE
2515,2515,MATTRESSES AND BEDSPRINGS
2517,2517,WOOD TELEVISION AND RADIO CABINETS
2519,2519,"HOUSEHOLD FURNITURE, NEC"
2521,2521,WOOD OFFICE FURNITURE
2522,2522,"OFFICE FURNITURE, EXCEPT WOOD"
2531,2531,PUBLIC BUILDING AND RELATED FURNITURE
2541,2541,WOOD PARTITIONS AND FIXTURES
2542,2542,"PARTITIONS AND FIXTURES, EXCEPT WOOD"
2591,2591,DRAPERY HARDWARE AND BLINDS AND SHADES
2599,2599,"FURNITURE AND FIXTURES, NEC"
2611,2611,PULP MILLS
2621,2621,PAPER MILLS
2631,2631,PAPERBOARD MILLS
2652,2652,SETUP PAPERBOARD BOXES
2653,2653,CORRUGATED AND SOLID FIBER BOXES
2655,2655,"FIBER CANS, DRUMS, AND SIMILAR PRODUCTS"
2656,2656,SANITARY FOOD CONTAINERS
2657,2657,FOLDING PAPERBOARD BOXES
2671,2671,PAPER; COATED AND LAMINATED PACKAGING
2672,2672,"PAPER; COATED AND LAMINATED, NEC"
2673,2673,"BAGS: PLASTIC, LAMINATED, AND COATED"
2674,2674,BAGS: UNCOATED PAPER AND MULTIWALL
2675,2675,DIE-CUT PAPER AND BOARD
2676,2676,SANITARY PAPER PRODUCTS
2677,2677,ENVELOPES
2678,2678,STATIONERY PRODUCTS
2679,2679,"CONVERTED PAPER PRODUCTS, NEC"
2711,2711,NEWSPAPERS
2721,2721,PERIODICALS
2731,2731,BOOK PUBLISHING
2732,2732,BOOK PRINTING
2741,2741,MISCELLANEOUS PUBLISHING
2752,2752,"COMMERCIAL PRINTING, LITHOGRAPHIC"
2754,2754,"COMMERCIAL PRINTING, GRAVURE"
2759,2759,"COMMERCIAL PRINTING, NEC"
2761,2761,MANIFOLD BUSINESS FORMS
2771,2771,GREETING CARDS
2782,2782,BLANKBOOKS AND LOOSELEAF BINDERS
2789,2789,BOOKBINDING AND RELATED WORK
2791,2791,TYPESETTING
2796,2796,PLATEMAKING SERVICES
2812,2812,ALKALIES AND CHLORINE
2813,2813,INDUSTRIAL GASES
2816,2816,INORGANIC PIGMENTS
2819,2819,"INDUSTRIAL INORGANIC CHEMICALS, NEC"
2821,2821,PLASTICS MATERIALS AND RESINS
2822,2822,SYNTHETIC RUBBER
2823,2823,CELLULOSIC MANMADE FIBERS
2824,2824,"ORGANIC FIBERS, NONCELLULOSIC"
2833,2833,MEDICINALS AND BOTANICALS
2834,2834,PHARMACEUTICAL PREPARATIONS
2835,2835,DIAGNOSTIC SUBSTANCES
2836,2836,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC"
2841,2841,SOAP AND OTHER DETERGENTS
2842,2842,POLISHES AND SANITATION GOODS
2843,2843,SURFACE ACTIVE AGENTS
2844,2844,TOILET PREPARATIONS
2851,2851,PAINTS AND ALLIED PRODUCTS
2861,2861,GUM AND WOOD CHEMICALS
2865,2865,CYCLIC CRUDES AND INTERMEDIATES
2869,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC"
2873,2873,NITROGENOUS FERTILIZERS
2874,2874,PHOSPHATIC FERTILIZERS
2875,2875,"FERTILIZERS, MIXING ONLY"
2879,2879,"AGRICULTURAL CHEMICALS, NEC"
2891,2891,ADHESIVES AND SEALANTS
2892,2892,EXPLOSIVES
2893,2893,PRINTING INK
2895,2895,CARBON BLACK
2899,2899,"CHEMICAL PREPARATIONS, NEC"
2911,2911,PETROLEUM REFINING
2951,2951,ASPHALT PAVING MIXTURES AND BLOCKS
2952,2952,ASPHALT FELTS AND COATINGS
2992,2992,LUBRICATING OILS AND GREASES
2999,2999,"PETROLEUM AND COAL PRODUCTS, NEC"
3011,3011,TIRES AND INNER TUBES
3021,3021,RUBBER AND PLASTICS FOOTWEAR
3052,3052,RUBBER AND PLASTICS HOSE AND BELTINGS
3053,3053,GASKETS; PACKING AND SEALING DEVICES
3061,3061,MECHANICAL RUBBER GOODS
3069,3069,"FABRICATED RUBBER PRODUCTS, NEC"
3081,3081,UNSUPPORTED PLASTICS FILM AND SHEET
3082,3082,UNSUPPORTED PLASTICS PROFILE SHAPES
3083,3083,LAMINATED PLASTICS PLATE AND SHEET
3084,3084,PLASTICS PIPE
3085,3085,PLASTICS BOTTLES
3086,3086,PLASTICS FOAM PRODUCTS
3087,3087,CUSTOM COMPOUND PURCHASED RESINS
3088,3088,PLASTICS PLUMBING FIXTURES
3089,3089,"PLASTICS PRODUCTS, NEC"
3111,3111,LEATHER TANNING AND FINISHING
3131,3131,FOOTWEAR CUT STOCK
3142,3142,HOUSE SLIPPERS
3143,3143,"MEN'S FOOTWEAR, EXCEPT ATHLETIC"
3144,3144,"WOMEN'S FOOTWEAR, EXCEPT ATHLETIC"
3149,3149,"FOOTWEAR, EXCEPT RUBBER, NEC"
3151,3151,LEATHER GLOVES AND MITTENS
3161,3161,LUGGAGE
3171,3171,WOMEN'S HANDBAGS AND PURSES
3172,3172,"PERSONAL LEATHER GOODS, NEC"
3199,3199,"LEATHER GOODS, NEC"
3211,3211,FLAT GLASS
3221,3221,GLASS CONTAINERS
3229,3229,"PRESSED AND BLOWN GLASS, NEC"
3231,3231,PRODUCTS OF PURCHASED GLASS
3241,3241,"CEMENT, HYDRAULIC"
3251,3251,BRICK AND STRUCTURAL CLAY TILE
3253,3253,CERAMIC WALL AND FLOOR TILE
3255,3255,CLAY REFRACTORIES
3259,3259,"STRUCTURAL CLAY PRODUCTS, NEC"
3261,3261,VITREOUS PLUMBING FIXTURES
3262,3262,VITREOUS CHINA TABLE AND KITCHENWARE
3263,3263,SEMIVITREOUS TABLE AND KITCHENWARE
3264,3264,PORCELAIN ELECTRICAL SUPPLIES
3269,3269,"POTTERY PRODUCTS, NEC"
3271,3271,CONCRETE BLOCK AND BRICK
3272,3272,"CONCRETE PRODUCTS, NEC"
3273,3273,READY-MIXED CONCRETE
3274,3274,LIME
3275,3275,GYPSUM PRODUCTS
3281,3281,CUT STONE AND STONE PRODUCTS
3291,3291,ABRASIVE PRODUCTS
3292,3292,ASBESTOS PRODUCTS
3295,3295,"MINERALS, GROUND OR TREATED"
3296,3296,MINERAL WOOL
3297,3297,NONCLAY REFRACTORIES
3299,3299,"NONMETALLIC MINERAL PRODUCTS,"
3312,3312,BLAST FURNACES AND STEEL MILLS
3313,3313,ELECTROMETALLURGICAL PRODUCTS
3315,3315,STEEL WIRE AND RELATED PRODUCTS
3316,3316,COLD FINISHING OF STEEL SHAPES
3317,3317,STEEL PIPE AND TUBES
3321,3321,GRAY AND DUCTILE IRON FOUNDRIES
3322,3322,MALLEABLE IRON FOUNDRIES
3324,3324,STEEL INVESTMENT FOUNDRIES
3325,3325,"STEEL FOUNDRIES, NEC"
3331,3331,PRIMARY COPPER
3334,3334,PRIMARY ALUMINUM
3339,3339,"PRIMARY NONFERROUS METALS, NEC"
3341,3341,SECONDARY NONFERROUS METALS
3351,3351,COPPER ROLLING AND DRAWING
3353,3353,"ALUMINUM SHEET, PLATE, AND FOIL"
3354,3354,ALUMINUM EXTRUDED PRODUCTS
3355,3355,"ALUMINUM ROLLING AND DRAWING, NEC"
3356,3356,"NONFERROUS ROLLING AND DRAWING, NEC"
3357,3357,NONFERROUS WIREDRAWING AND INSULATING
3363,3363,ALUMINUM DIE-CASTINGS
3364,3364,NONFERROUS DIE-CASTINGS EXCEPT ALUMINUM
3365,3365,ALUMINUM FOUNDRIES
3366,3366,COPPER FOUNDRIES
3369,3369,"NONFERROUS FOUNDRIES, NEC"
3398,3398,METAL HEAT TREATING
3399,3399,PRIMARY METAL PRODUCTS
3411,3411,METAL CANS
3412,3412,"METAL BARRELS, DRUMS, AND PAILS"
3421,3421,CUTLERY
3423,3423,"HAND AND EDGE TOOLS, NEC"
3425,3425,SAW BLADES AND HANDSAWS
3429,3429,"HARDWARE, NEC"
3431,3431,METAL SANITARY WARE
3432,3432,PLUMBING FIXTURE FITTINGS AND TRIM
3433,3433,"HEATING EQUIPMENT, EXCEPT ELECTRIC"
3441,3441,FABRICATED STRUCTURAL METAL
3442,3442,"METAL DOORS, SASH, AND TRIM"
3443,3443,FABRICATED PLATE WORK (BOILER SHOP)
3444,3444,SHEET METALWORK
3446,3446,ARCHITECTURAL METALWORK
3448,3448,PREFABRICATED METAL BUILDINGS
3449,3449,MISCELLANEOUS METALWORK
3451,3451,SCREW MACHINE PRODUCTS
3452,3452,"BOLTS, NUTS, RIVETS, AND WASHERS"
3462,3462,IRON AND STEEL FORGINGS
3463,3463,NONFERROUS FORGINGS
3465,3465,AUTOMOTIVE STAMPINGS
3466,3466,CROWNS AND CLOSURES
3469,3469,"METAL STAMPINGS, NEC"
3471,3471,PLATING AND POLISHING
3479,3479,METAL COATING AND ALLIED SERVICES
3482,3482,SMALL ARMS AMMUNITION
3483,3483,"AMMUNITION, EXCEPT FOR SMALL ARMS, NEC"
3484,3484,SMALL ARMS
3489,3489,"ORDNANCE AND ACCESSORIES, NEC"
3491,3491,INDUSTRIAL VALVES
3492,3492,FLUID POWER VALVES AND HOSE FITTINGS
3493,3493,"STEEL SPRINGS, EXCEPT WIRE"
3494,3494,"VALVES AND PIPE FITTINGS, NEC"
3495,3495,WIRE SPRINGS
3496,3496,MISCELLANEOUS FABRICATED WIRE PRODUCTS
3497,3497,METAL FOIL AND LEAF
3498,3498,FABRICATED PIPE AND FITTINGS
3499,3499,"FABRICATED METAL PRODUCTS, NEC"
3511,3511,TURBINES AND TURBINE GENERATOR SETS
3519,3519,"INTERNAL COMBUSTION ENGINES, NEC"
3523,3523,FARM MACHINERY AND EQUIPMENT
3524,3524,LAWN AND GARDEN EQUIPMENT
3531,3531,CONSTRUCTION MACHINERY
3532,3532,MINING MACHINERY
3533,3533,OIL AND GAS FIELD MACHINERY
3534,3534,ELEVATORS AND MOVING STAIRWAYS
3535,3535,CONVEYORS AND CONVEYING EQUIPMENT
3536,3536,"HOISTS, CRANES, AND MONORAILS"
3537,3537,INDUSTRIAL TRUCKS AND TRACTORS
3541,3541,"MACHINE TOOLS, METAL CUTTING TYPE"
3542,3542,"MACHINE TOOLS, METAL FORMING TYPE"
3543,3543,INDUSTRIAL PATTERNS
3544,3544,"SPECIAL DIES, TOOLS, JIGS, AND FIXTURES"
3545,3545,MACHINE TOOL ACCESSORIES
3546,3546,POWER-DRIVEN HANDTOOLS
3547,3547,ROLLING MILL MACHINERY
3548,3548,WELDING APPARATUS
3549,3549,"METALWORKING MACHINERY, NEC"
3552,3552,TEXTILE MACHINERY
3553,3553,WOODWORKING MACHINERY
3554,3554,PAPER INDUSTRIES MACHINERY
3555,3555,PRINTING TRADES MACHINERY
3556,3556,FOOD PRODUCTS MACHINERY
3559,3559,"SPECIAL INDUSTRY MACHINERY, NEC"
3561,3561,PUMPS AND PUMPING EQUIPMENT
3562,3562,BALL AND ROLLER BEARINGS
3563,3563,AIR AND GAS COMPRESSORS
3564,3564,BLOWERS AND FANS
3565,3565,PACKAGING MACHINERY
3566,3566,"SPEED CHANGERS, DRIVES, AND GEARS"
3567,3567,INDUSTRIAL FURNACES AND OVENS
3568,3568,"POWER TRANSMISSION EQUIPMENT, NEC"
3569,3569,"GENERAL INDUSTRIAL MACHINERY,"
3571,3571,ELECTRONIC COMPUTERS
3572,3572,COMPUTER STORAGE DEVICES
3575,3575,COMPUTER TERMINALS
3577,3577,"COMPUTER PERIPHERAL EQUIPMENT, NEC"
3578,3578,CALCULATING AND ACCOUNTING EQUIPMENT
3579,3579,"OFFICE MACHINES, NEC"
3581,3581,AUTOMATIC VENDING MACHINES
3582,3582,COMMERCIAL LAUNDRY EQUIPMENT
3585,3585,REFRIGERATION AND HEATING EQUIPMENT
3586,3586,MEASURING AND DISPENSING PUMPS
3589,3589,"SERVICE INDUSTRY MACHINERY, NEC"
3592,3592,"CARBURETORS, PISTONS, RINGS, VALVES"
3593,3593,FLUID POWER CYLINDERS AND ACTUATORS
3594,3594,FLUID POWER PUMPS AND MOTORS
3596,3596,"SCALES AND BALANCES, EXCEPT LABORATORY"
3599,3599,"INDUSTRIAL MACHINERY, NEC"
3612,3612,"POWER, DISTRIBUTION AND SPECIALTY TRANSFORMERS"
3613,3613,SWITCHGEAR AND SWITCHBOARD APPARATUS
3621,3621,MOTORS AND GENERATORS
3624,3624,CARBON AND GRAPHITE PRODUCTS
3625,3625,RELAYS AND INDUSTRIAL CONTROLS
3629,3629,ELECTRICAL INDUSTRIAL APPARATUS
3631,3631,HOUSEHOLD COOKING EQUIPMENT
3632,3632,HOUSEHOLD REFRIGERATORS AND FREEZERS
3633,3633,HOUSEHOLD LAUNDRY EQUIPMENT
3634,3634,ELECTRIC HOUSEWARES AND FANS
3635,3635,HOUSEHOLD VACUUM CLEANERS
3639,3639,"HOUSEHOLD APPLIANCES, NEC"
3641,3641,ELECTRIC LAMPS
3643,3643,CURRENT-CARRYING WIRING DEVICES
3644,3644,NONCURRENT-CARRYING WIRING DEVICES
3645,3645,RESIDENTIAL LIGHTING FIXTURES
3646,3646,COMMERCIAL LIGHTING FIXTURES
3647,3647,VEHICULAR LIGHTING EQUIPMENT
3648,3648,"LIGHTING EQUIPMENT, NEC"
3651,3651,HOUSEHOLD AUDIO AND VIDEO EQUIPMENT
3652,3652,PRERECORDED RECORDS AND TAPES
3661,3661,TELEPHONE AND TELEGRAPH APPARATUS
3663,3663,RADIO AND T.V. COMMUNICATIONS EQUIPMENT
3669,3669,"COMMUNICATIONS EQUIPMENT, NEC"
3671,3671,ELECTRON TUBES
3672,3672,PRINTED CIRCUIT BOARDS
3674,3674,SEMICONDUCTORS AND RELATED DEVICES
3675,3675,ELECTRONIC CAPACITORS
3676,3676,ELECTRONIC RESISTORS
3677,3677,ELECTRONIC COILS AND TRANSFORMERS
3678,3678,ELECTRONIC CONNECTORS
3679,3679,"ELECTRONIC COMPONENTS, NEC"
3691,3691,STORAGE BATTERIES
3692,3692,"PRIMARY BATTERIES, DRY AND WET"
3694,3694,ENGINE ELECTRICAL EQUIPMENT
3695,3695,MAGNETIC AND OPTICAL RECORDING MEDIA
3699,3699,"ELECTRICAL EQUIPMENT AND SUPPLIES, NEC"
3711,3711,MOTOR VEHICLES AND CAR BODIES
3713,3713,TRUCK AND BUS BODIES
3714,3714,MOTOR VEHICLE PARTS AND ACCESSORIES
3715,3715,TRUCK TRAILERS
3716,3716,MOTOR HOMES
3721,3721,AIRCRAFT
3724,3724,AIRCRAFT ENGINES AND ENGINE PARTS
3728,3728,"AIRCRAFT PARTS AND EQUIPMENT, NEC"
3731,3731,SHIPBUILDING AND REPAIRING
3732,3732,BOATBUILDING AND REPAIRING
3743,3743,RAILROAD EQUIPMENT
3751,3751,"MOTORCYCLES, BICYCLES, AND PARTS"
3761,3761,GUIDED MISSILES AND SPACE VEHICLES
3764,3764,SPACE PROPULSION UNITS AND PARTS
3769,3769,"SPACE VEHICLE EQUIPMENT, NEC"
3792,3792,TRAVEL TRAILERS AND CAMPERS
3795,3795,TANKS AND TANK COMPONENTS
3799,3799,"TRANSPORTATION EQUIPMENT, NEC"
3812,3812,SEARCH AND NAVIGATION EQUIPMENT
3821,3821,LABORATORY APPARATUS AND FURNITURE
3822,3822,ENVIRONMENTAL CONTROLS
3823,3823,PROCESS CONTROL INSTRUMENTS
3824,3824,FLUID METERS AND COUNTING DEVICES
3825,3825,INSTRUMENTS TO MEASURE ELECTRICITY
3826,3826,ANALYTICAL INSTRUMENTS
3827,3827,OPTICAL INSTRUMENTS AND LENSES
3829,3829,"MEASURING AND CONTROLLING DEVICES, NEC"
3841,3841,SURGICAL AND MEDICAL INSTRUMENTS
3842,3842,SURGICAL APPLIANCES AND SUPPLIES
3843,3843,DENTAL EQUIPMENT AND SUPPLIES
3844,3844,X-RAY APPARATUS AND TUBES
3845,3845,ELECTROMEDICAL EQUIPMENT
3851,3851,OPHTHALMIC GOODS
3861,3861,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES
3873,3873,"WATCHES, CLOCKS, WATCHCASES, AND PARTS"
3911,3911,"JEWELRY, PRECIOUS METAL"
3914,3914,SILVERWARE AND PLATED WARE
3915,3915,JEWELERS' MATERIALS AND LAPIDARY WORK
3931,3931,MUSICAL INSTRUMENTS
3942,3942,DOLLS AND STUFFED TOYS
