SourceID,PublisherID_Account,SourceID_Account,Campaign,Name,Type,LeadSource,StageName,Probability,ForecastCategory,CloseDate,Fiscal,FiscalQuarter,FiscalYear,Amount,ExpectedRevenue,TotalOpportunityQuantity,NextStep,Description,IsClosed,IsWon
0067F0000076F3TQAU,SFDC,0017F00000N8zXaQAJ,,Hyatt Customer 360 Analytics,New Customer,External Referral,Closed Won,100,Closed,18-11-2017,2017 4,4,2017,210000,210000,,,,TRUE,TRUE
0067F0000076F3UQAU,SFDC,0017F00000N8zXbQAJ,,United Oil Plant Standby Generators,Existing Customer - Upgrade,,Needs Analysis,20,Pipeline,01-11-2017,2015 1,1,2015,675000,135000,,,,FALSE,FALSE
0067F0000076F3VQAU,SFDC,0017F00000N8zXWQAZ,,License Upsel - BI Project,Existing Customer - Upgrade,,Id. Decision Makers,60,Pipeline,13-12-2017,2017 4,4,2017,35000,21000,,,,FALSE,FALSE
006GA00001Ff8KdYAJ,SFDC,001GA00004sPF9XYAW,,Single User License,New Customer,Web,Closed Won,100,Closed,18-10-2023,2023 4,4,2023,2000,2000,,,,TRUE,TRUE
006GA00001FenS5YAJ,SFDC,001GA00004sP8N9YAK,,Subscription License,New Customer,Web,Closed Won,100,Closed,22-02-2024,2024 1,1,2024,4000,4000,,,,TRUE,TRUE
006GA00001FenRlYAJ,SFDC,001GA00004sOUA5YAO,,Individual User License,New Customer,Web,Closed Won,100,Closed,21-03-2024,2024 1,1,2024,5000,5000,,,,TRUE,TRUE
006GA00001Ff8LAYAZ,SFDC,001GA00004sPFIaYAO,,Unlimited usage subscription,New Customer,Phone Inquiry,Closed Won,100,Closed,16-01-2024,2024 1,1,2024,8000,8000,,,,TRUE,TRUE
006GA00001Ff8L0YAJ,SFDC,001GA00004sPF9XYAW,,Professional Services,Existing Customer - Upgrade,Web,Needs Analysis,20,Pipeline,13-03-2024,2024 1,1,2024,3000,600,,,,FALSE,FALSE
006GA00001Ff8KbYAJ,SFDC,001GA00004sPFIgYAO,,New Subscription License,New Customer,Web,Closed Won,100,Closed,25-01-2023,2023 1,1,2023,5000,5000,,,,TRUE,TRUE
006GA00001Ff8KcYAJ,SFDC,001GA00004sPFIgYAO,,Renewal and Upsell,Existing Customer - Upgrade,Web,Negotiation/Review,90,Pipeline,30-03-2024,2024 1,1,2024,10000,9000,,,,FALSE,FALSE
