Publisher ID,Source ID,Hospital Name,Hospital Name Normalized,Hospital CCN,Hospital ID,Street,City,State,Zip,Country
ENC,1024,Advocate Health And Hospitals Corporation,ADVOCATE HEALTH AND HOSPITALS,140208,424,4624 S HOLLADAY BLVD STE 201,SALT LAKE CITY,UT,841177168,US
ENC,1025,University Of Texas Southwestern Medical Center At Dallas,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,450766,963,5323 HARRY HINES BLVD,DALLAS,TX,753907201,US
ENC,1026,University Of Maryland Medical System Corporation,UNIVERSITY OF MARYLAND MEDICAL SYSTEM,210002,657,100 E CARROLL ST,SALISBURY,MD,218015422,US
ENC,1027,"SINAI HOSPITAL OF BALTIMORE, INC",SINAI HOSPITAL OF BALTIMORE,210012,640,4901 SPRING ST,MOUNT PLEASANT,WI,534062901,US
ENC,1028,Anmed Health,ANMED HEALTH,420027,719,PO BOX 100174,COLUMBIA,SC,292023174,US
ENC,1029,Memorial Healthcare Group Inc,MEMORIAL HEALTHCARE GROUP,100179,772,6077 PRIMACY PKWY STE 140,MEMPHIS,TN,381195754,US
ENC,1030,Ochsner Clinic Foundation,OCHSNER CLINIC FOUNDATION,190036,880,10425 W NORTH AVE,MILWAUKEE,WI,532262416,US
ENC,1031,MEDICAL UNIVERSITY OF OHIO AT TOLEDO,MEDICAL UNIVERSITY OF OHIO AT TOLEDO,360048,377,11369 MARKET ST,NORTH LIMA,OH,444529782,US
ENC,1032,#N/A," N A",#N/A,#N/A,1917 FRANKLIN RD SW,ROANOKE,VA,240141103,US
ENC,1033,UNIVERSITY OF ROCHESTER,UNIVERSITY OF ROCHESTER,330285,156,5151 MONROE ST,TOLEDO,OH,436233462,US
ENC,1034,The General Hospital Corporation,THE GENERAL HOSPITAL,220071,23,80 COTTONTAIL LN STE 330,SOMERSET,NJ,88731100,US
ENC,1035,The General Hospital Corporation,THE GENERAL HOSPITAL,220071,23,88 COTTONTAIL LN STE 330,SOMERSET,NJ,88731100,US
ENC,1036,HUMILITY OF MARY HEALTH PARTNERS,HUMILITY OF MARY HEALTH PARTNERS,360064,361,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
ENC,1037,Oregon Health & Science University,OREGON HEALTH AND SCIENCE UNIVERSITY,380009,1050,6077 PRIMACY PKWY STE 140,MEMPHIS,TN,381195754,US
ENC,1038,Advocate Health And Hospitals Corporation,ADVOCATE HEALTH AND HOSPITALS,140208,424,4624 S HOLLADAY BLVD STE 201,SALT LAKE CITY,UT,841177168,US
ENC,1039,Regents Of The University Of Michigan,REGENTS OF THE UNIVERSITY OF MICHIGAN,230046,528,6 PARKLANE BLVD STE 525,DEARBORN,MI,481264210,US
ENC,1040,UNIVERSITY OF CALIFORNIA - SAN FRANCISCO,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,54144,1119,800 SCENIC DR,MODESTO,CA,953506131,US
ENC,1041,UNIVERSITY OF CALIFORNIA - SAN FRANCISCO,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,54144,1119,800 SCENIC DR,MODESTO,CA,953506131,US
ENC,1042,Dana Farber Cancer Institute,DANA FARBER CANCER INSTITUTE,220162,19,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
ENC,1043,MEDICAL UNIVERSITY OF OHIO AT TOLEDO,MEDICAL UNIVERSITY OF OHIO AT TOLEDO,360048,377,11369 MARKET ST,NORTH LIMA,OH,444529782,US
ENC,1044,University Of Washington,UNIVERSITY OF WASHINGTON,500008,1039,1520 EASTLAKE AVE E,SEATTLE,WA,981023748,US
ENC,1045,HENRY FORD HEALTH SYSTEM,HENRY FORD HEALTH SYSTEM,230053,486,2110 LEITER RD,MIAMISBURG,OH,453423598,US
ENC,1046,Dana Farber Cancer Institute,DANA FARBER CANCER INSTITUTE,220162,19,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
ENC,1047,UNIVERSITY OF CALIFORNIA - SAN FRANCISCO,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,54144,1119,800 SCENIC DR,MODESTO,CA,953506131,US
ENC,1048,Curators Of The University Of Missouri,CURATORS OF THE UNIVERSITY OF MISSOURI,260141,596,303 N KEENE ST,COLUMBIA,MO,652017193,US
ENC,1049,Curators Of The University Of Missouri,CURATORS OF THE UNIVERSITY OF MISSOURI,260141,596,303 N KEENE ST,COLUMBIA,MO,652017193,US
ENC,1050,Memorial Hospital For Cancer & Allied Diseases,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,330154,102,4901 SPRING ST,MOUNT PLEASANT,WI,534062901,US
ENC,1051,OREGON HEALTH & SCIENCE UNIVERSITY,OREGON HEALTH AND SCIENCE UNIVERSITY,380009,1050,6077 PRIMACY PKWY STE 140,MEMPHIS,TN,381195754,US
ENC,1052,Cedars-Sinai Medical Center,CEDARS SINAI MEDICAL CENTER,50625,1125,116 S STERLING ST STE 205,MORGANTON,NC,286553445,US
ENC,1053,Rector & Visitors Of The University Of Virginia,RECTOR AND VISITORS OF THE UNIVERSITY OF VIRGINIA,490009,692,PO BOX 776,SOUTH BOSTON,VA,245920776,US
ENC,1054,UNIVERSITY OF CALIFORNIA - SAN FRANCISCO,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,54144,1119,800 SCENIC DR,MODESTO,CA,953506131,US
ENC,1055,University Of Cincinnati Medical Center Llc,UNIVERSITY OF CINCINNATI MEDICAL CENTER,360003,346,13 ROSZEL RD STE B110,PRINCETON,NJ,85406211,US
ENC,1056,Advocate Health And Hospitals Corporation,ADVOCATE HEALTH AND HOSPITALS,140208,424,4624 S HOLLADAY BLVD STE 201,SALT LAKE CITY,UT,841177168,US
ENC,1057,University Of Alabama At Birmingham,UNIVERSITY OF ALABAMA AT BIRMINGHAM,10033,844,204 26TH ST,OPELIKA,AL,368016234,US
ENC,1058,UNIV OF MED & DENT OF NJ,UNIV OF MED AND DENT OF NJ,310119,202,80 COTTONTAIL LN,SOMERSET,NJ,88731100,US
ENC,1059,Rector & Visitors Of The University Of Virginia,RECTOR AND VISITORS OF THE UNIVERSITY OF VIRGINIA,490009,692,PO BOX 776,SOUTH BOSTON,VA,245920776,US
ENC,1060,"Orlando Health, Inc.",ORLANDO HEALTH,100006,764,6077 PRIMACY PKWY STE 140,MEMPHIS,TN,381195742,US
ENC,1061,Children'S Hospital Medical Center,CHILDRENS HOSPITAL MEDICAL CENTER,363300,336,PO BOX 776,SOUTH BOSTON,VA,245920776,US
ENC,1062,SENTARA HOSPITALS,SENTARA HOSPITALS,490057,687,13 ROSZEL RD STE B110,PRINCETON,NJ,85406211,US
ENC,1063,New York City Health & Hospitals Corporation,NEW YORK CITY HEALTH AND HOSPITALS,330204,111,16 OLD GICK RD,SARATOGA SPGS,NY,128669452,US
ENC,1064,University Of Alabama At Birmingham,UNIVERSITY OF ALABAMA AT BIRMINGHAM,10033,844,204 26TH ST,OPELIKA,AL,368016234,US
ENC,1065,MARY IMOGENE BASSETT HOSPITAL,MARY IMOGENE BASSETT HOSPITAL,330136,132,3316 WILLIAMS DR STE 150,GEORGETOWN,TX,786282891,US
ENC,1066,Curators Of The University Of Missouri,CURATORS OF THE UNIVERSITY OF MISSOURI,260141,596,303 N KEENE ST,COLUMBIA,MO,652017193,US
ENC,1067,Anmed Health,ANMED HEALTH,420027,719,PO BOX 100174,COLUMBIA,SC,292023174,US
ENC,1068,UNIVERSITY OF TEXAS M. D. ANDERSON CANCER CENTER,UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,450076,933,2801 NETWORK BLVD STE 505,FRISCO,TX,750341895,US
ENC,1069,Barbara Ann Karmanos Cancer Hospital,BARBARA ANN KARMANOS CANCER HOSPITAL,230297,164,800 SCENIC DR,MODESTO,CA,953506131,US
ENC,1070,Florida Health Sciences Center Inc,FLORIDA HEALTH SCIENCES CENTER,100128,773,1285 FLAMINGO DR,LANTANA,FL,334621507,US
ENC,1071,Louisiana State University Health Sciences Center,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER,190098,884,10374 HIGHWAY 165 N STE C,STERLINGTON,LA,712803369,US
ENC,1072,Emory University,EMORY UNIVERSITY,110010,729,4901 SPRING ST,MOUNT PLEASANT,WI,534062901,US
ENC,1073,Florida Health Sciences Center Inc,FLORIDA HEALTH SCIENCES CENTER,100128,773,1285 FLAMINGO DR,LANTANA,FL,334621507,US
ENC,1074,MISSOURI BAPTIST MEDICAL CENTER,MISSOURI BAPTIST MEDICAL CENTER,260108,584,11520 SAINT CHARLES ROCK RD STE 201,BRIDGETON,MO,63044,US
ENC,1075,Northshore University Healthsystem,NORTHSHORE UNIVERSITY HEALTHSYSTEM,140010,420,10348 PARK RD,CHARLOTTE,NC,282108507,US
ENC,1076,University Of Kansas Hospital Authority,UNIVERSITY OF KANSAS HOSPITAL AUTHORITY,170040,633,410 N MAIN ST,RUSSELL,KS,676652759,US
ENC,1077,Vanderbilt University,VANDERBILT UNIVERSITY,440039,800,800 SCENIC DR,MODESTO,CA,953506131,US
ENC,1078,#N/A," N A",#N/A,#N/A,1917 FRANKLIN RD SW,ROANOKE,VA,240141103,US
ENC,1079,Ingham Regional Medical Center,INGHAM REGIONAL MEDICAL CENTER,230167,504,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
ENC,1080,"Mcg Health, Inc",MCG HEALTH,110034,741,6077 PRIMACY PKWY STE 140,MEMPHIS,TN,381195742,US
ENC,1081,Trustees Of The University Of Pennsylvania,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,390111,237,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
ENC,1082,City Of Hope National Medical Center,CITY OF HOPE NATIONAL MEDICAL CENTER,50146,1128,8111 S EMERSON AVE,INDIANAPOLIS,IN,462378601,US
ENC,1083,WILLIAM BEAUMONT HOSPITAL,WILLIAM BEAUMONT HOSPITAL,230130,506,4901 SPRING ST,MOUNT PLEASANT,WI,534062901,US
ENC,1084,#N/A," N A",#N/A,#N/A,1917 FRANKLIN RD SW,ROANOKE,VA,240141103,US
ENC,1085,The General Hospital Corporation,THE GENERAL HOSPITAL,220071,23,80 COTTONTAIL LN STE 330,SOMERSET,NJ,88731100,US
ENC,1086,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL INC,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,150089,397,329 W COLUMBIA ST,EVANSVILLE,IN,477101757,US
ENC,1087,MAYO CLINIC FLORIDA,MAYO CLINIC FLORIDA,100151,753,1285 FLAMINGO DR,LANTANA,FL,334621507,US
ENC,1088,University Of Washington,UNIVERSITY OF WASHINGTON,500008,1039,1520 EASTLAKE AVE E,SEATTLE,WA,981023748,US
ENC,1089,BILLINGS CLINIC,BILLINGS CLINIC,270004,975,4901 SPRING ST,MOUNT PLEASANT,WI,534062901,US
ENC,1090,WILLIAM BEAUMONT HOSPITAL,WILLIAM BEAUMONT HOSPITAL,230130,506,4901 SPRING ST,MOUNT PLEASANT,WI,534062901,US
ENC,1091,Sentara Hospitals,SENTARA HOSPITALS,490007,684,13 ROSZEL RD STE B110,PRINCETON,NJ,85406211,US
ENC,1092,#N/A," N A",#N/A,#N/A,1917 FRANKLIN RD SW,ROANOKE,VA,240141103,US
ENC,1093,"Orlando Health, Inc.",ORLANDO HEALTH,100006,764,6077 PRIMACY PKWY STE 140,MEMPHIS,TN,381195742,US
ENC,1094,SENTARA HOSPITALS,SENTARA HOSPITALS,490057,687,13 ROSZEL RD STE B110,PRINCETON,NJ,85406211,US
ENC,1095,State University Of Iowa,STATE UNIVERSITY OF IOWA,160058,582,501 COURT ST,ROCKWELL CITY,IA,505791417,US
ENC,1096,City Of Hope National Medical Center,CITY OF HOPE NATIONAL MEDICAL CENTER,50146,1128,8111 S EMERSON AVE,INDIANAPOLIS,IN,462378601,US
ENC,1097,The Mount Sinai Hospital.,THE MOUNT SINAI HOSPITAL,330024,103,1370 PANTHEON WAY STE 250,SAN ANTONIO,TX,782322290,US
ENC,1098,#N/A," N A",#N/A,#N/A,1917 FRANKLIN RD SW,ROANOKE,VA,240141103,US
ENC,1099,St. Vincent Infirmary Medical Center,ST VINCENT INFIRMARY MEDICAL CENTER,40007,869,2801 NETWORK BLVD STE 505,FRISCO,TX,750341895,US
ENC,1100,"Medstar Georgetown Medical Center, Inc",MEDSTAR GEORGETOWN MEDICAL CENTER,90004,663,80 COTTONTAIL LN STE 330,SOMERSET,NJ,88731100,US
HCO_HCP,1,University Of Kansas Hospital Authority,UNIVERSITY OF KANSAS HOSPITAL AUTHORITY,170040,633,410 N MAIN ST,RUSSELL,KS,676652759,US
HCO_HCP,10,Variety Childrens Hospital,VARIETY CHILDRENS HOSPITAL,103301,751,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
HCO_HCP,100,Northshore University Healthsystem,NORTHSHORE UNIVERSITY HEALTHSYSTEM,140010,420,10348 PARK RD,CHARLOTTE,NC,282108507,US
HCO_HCP,1000,Swedish Health Services,SWEDISH HEALTH SERVICES,500027,1024,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
HCO_HCP,1001,REGENTS OF THE UNIVERSITY OF MICHIGAN,REGENTS OF THE UNIVERSITY OF MICHIGAN,230046,528,6 PARKLANE BLVD STE 525,DEARBORN,MI,481264210,US
HCO_HCP,1002,Scott & White Memorial Hospital,SCOTT AND WHITE MEMORIAL HOSPITAL,450054,917,116 S STERLING ST STE 205,MORGANTON,NC,286553445,US
HCO_HCP,1003,Aultman Hospital,AULTMAN HOSPITAL,360084,365,2801 NETWORK BLVD STE 505,FRISCO,TX,750341895,US
HCO_HCP,1004,Rhode Island Hospital,RHODE ISLAND HOSPITAL,410007,42,100 BULLOCKS POINT,RIVERSIDE,RI,02915,US
HCO_HCP,1005,Mayo Clinic-Saint Marys Hospital,MAYO CLINIC SAINT MARYS HOSPITAL,240010,560,4 CORNERSTONE DR,LANGHORNE,PA,190471314,US
HCO_HCP,1006,Iom Health System Lp,IOM HEALTH SYSTEM,150017,414,100 E CARROLL ST,SALISBURY,MD,218015422,US
HCO_HCP,1007,HENRY FORD HEALTH SYSTEM,HENRY FORD HEALTH SYSTEM,230053,486,2110 LEITER RD,MIAMISBURG,OH,453423598,US
HCO_HCP,1008,Henry Ford Health System,HENRY FORD HEALTH SYSTEM,230053,486,2110 LEITER RD,MIAMISBURG,OH,453423598,US
HCO_HCP,1009,University Of Rochester,UNIVERSITY OF ROCHESTER,330285,156,5151 MONROE ST,TOLEDO,OH,436233462,US
HCO_HCP,101,University Community Hospital Inc,UNIVERSITY COMMUNITY HOSPITAL,100173,759,100 E CARROLL ST,SALISBURY,MD,218015422,US
HCO_HCP,1010,University Of Rochester,UNIVERSITY OF ROCHESTER,330285,156,5151 MONROE ST,TOLEDO,OH,436233462,US
HCO_HCP,1011,Univ. Of Rochester,UNIV. OF ROCHESTER,330285,156,5151 MONROE ST,TOLEDO,OH,436233462,US
HCO_HCP,1012,Vanderbilt University,VANDERBILT UNIVERSITY,440039,800,800 SCENIC DR,MODESTO,CA,953506131,US
HCO_HCP,1013,Emory University,EMORY UNIVERSITY,110010,729,4901 SPRING ST,MOUNT PLEASANT,WI,534062901,US
HCO_HCP,1014,University of Texas Health Science Center at Tyler,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER,450690,966,2801 NETWORK BLVD STE 505,FRISCO,TX,750341895,US
HCO_HCP,1015,Montefiore Medical Center,MONTEFIORE MEDICAL CENTER,330059,105,13 ROSZEL RD STE B110,PRINCETON,NJ,85406211,US
HCO_HCP,1016,UNIVERSITY OF CALIFORNIA - SAN FRANCISCO,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,54144,1119,800 SCENIC DR,MODESTO,CA,953506131,US
HCO_HCP,1017,GRADY MEMORIAL HOSPITAL CORPORATION,GRADY MEMORIAL HOSPITAL,110079,295,2220 W IOWA AVE,CHICKASHA,OK,730182738,US
HCO_HCP,1018,MEDICAL UNIVERSITY OF OHIO AT TOLEDO,MEDICAL UNIVERSITY OF OHIO AT TOLEDO,360048,377,11369 MARKET ST,NORTH LIMA,OH,444529782,US
HCO_HCP,1019,State Of Oklahoma,STATE OF OKLAHOMA,374000,904,2220 W IOWA AVE,CHICKASHA,OK,730182738,US
HCO_HCP,102,UNIVERSITY COMMUNITY HOSPITAL INC,UNIVERSITY COMMUNITY HOSPITAL,100173,759,100 E CARROLL ST,SALISBURY,MD,218015422,US
HCO_HCP,1020,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,390111,237,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
HCO_HCP,1021,Maine Medical Center,MAINE MEDICAL CENTER,200009,4,3450 LACEY RD,DOWNERS GROVE,IL,605155430,US
HCO_HCP,1022,University Of Washington,UNIVERSITY OF WASHINGTON,500008,1039,1520 EASTLAKE AVE E,SEATTLE,WA,981023748,US
HCO_HCP,1023,City Of Hope National Medical Center,CITY OF HOPE NATIONAL MEDICAL CENTER,50146,1128,8111 S EMERSON AVE,INDIANAPOLIS,IN,462378601,US
HCO_HCP,1024,Upmc Presbyterian Shadyside,UPMC PRESBYTERIAN SHADYSIDE,390164,276,4901 SPRING ST,MOUNT PLEASANT,WI,534062901,US
HCO_HCP,1025,Northshore University Healthsystem,NORTHSHORE UNIVERSITY HEALTHSYSTEM,140010,420,10348 PARK RD,CHARLOTTE,NC,282108507,US
HCO_HCP,1026,SUNY Health Science Center at Syracuse,SUNY HEALTH SCIENCE CENTER AT SYRACUSE,330241,160,1285 FLAMINGO DR,LANTANA,FL,334621507,US
HCO_HCP,1027,University Of Texas M. D. Anderson Cancer Center,UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,450076,933,2801 NETWORK BLVD STE 505,FRISCO,TX,750341895,US
HCO_HCP,1028,University Of Utah,UNIVERSITY OF UTAH,460009,1017,4624 S HOLLADAY BLVD STE 201,SALT LAKE CITY,UT,841177168,US
HCO_HCP,1029,West Virginia University Hospitals Inc,WEST VIRGINIA UNIVERSITY HOSPITALS,510001,699,PO BOX 776,SOUTH BOSTON,VA,245920776,US
HCO_HCP,103,Montefiore Medical Center,MONTEFIORE MEDICAL CENTER,330059,105,13 ROSZEL RD STE B110,PRINCETON,NJ,85406211,US
HCO_HCP,1030,HENRY FORD HEALTH SYSTEM,HENRY FORD HEALTH SYSTEM,230053,486,2110 LEITER RD,MIAMISBURG,OH,453423598,US
HCO_HCP,1031,Trustees Of The University Of Pennsylvania,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,390111,237,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
HCO_HCP,1032,MARY HITCHCOCK MEMORIAL HOSPITAL,MARY HITCHCOCK MEMORIAL HOSPITAL,300003,5,4901 SPRING ST,MOUNT PLEASANT,WI,534062901,US
HCO_HCP,1033,Dana Farber Cancer Institute,DANA FARBER CANCER INSTITUTE,220162,19,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
HCO_HCP,1034,Montefiore Medical Center,MONTEFIORE MEDICAL CENTER,330059,105,13 ROSZEL RD STE B110,PRINCETON,NJ,85406211,US
HCO_HCP,1035,VANDERBILT UNIVERSITY,VANDERBILT UNIVERSITY,440039,800,800 SCENIC DR,MODESTO,CA,953506131,US
HCO_HCP,1036,Spectrum Health Hospitals,SPECTRUM HEALTH HOSPITALS,230038,495,1625 RADIO DR STE 250,WOODBURY,MN,551259477,US
HCO_HCP,1037,Memorial Hospital For Cancer & Allied Diseases,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,330154,102,4901 SPRING ST,MOUNT PLEASANT,WI,534062901,US
HCO_HCP,1038,Regents Of The University Of California,REGENTS OF THE UNIVERSITY OF CALIFORNIA,50599,1120,400 PARNASSUS AVE,SAN FRANCISCO,CA,941432202,US
HCO_HCP,1039,Mercy Hospital & Medical Center,MERCY HOSPITAL AND MEDICAL CENTER,140158,429,13 ROSZEL RD STE B110,PRINCETON,NJ,85406211,US
HCO_HCP,104,HUMILITY OF MARY HEALTH PARTNERS,HUMILITY OF MARY HEALTH PARTNERS,360064,361,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
HCO_HCP,1040,Christiana Care Health Services Inc,CHRISTIANA CARE HEALTH SERVICES,80001,636,351 PASEO NUEVO FL 2,SANTA BARBARA,CA,931013382,US
HCO_HCP,1041,University Of Maryland Medical System Corporation,UNIVERSITY OF MARYLAND MEDICAL SYSTEM,210002,657,100 E CARROLL ST,SALISBURY,MD,218015422,US
HCO_HCP,1042,"Umass Memorial Medical Center, Inc.",UMASS MEMORIAL MEDICAL CENTER,220163,33,4901 SPRING ST,MOUNT PLEASANT,WI,534062901,US
HCO_HCP,1043,Trustees Of The University Of Pennsylvania,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,390111,237,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
HCO_HCP,1044,Ochsner Clinic Foundation,OCHSNER CLINIC FOUNDATION,190036,880,10425 W NORTH AVE,MILWAUKEE,WI,532262416,US
HCO_HCP,1045,Henry Ford Health System,HENRY FORD HEALTH SYSTEM,230053,486,2110 LEITER RD,MIAMISBURG,OH,453423598,US
HCO_HCP,1046,Henry Ford Health System,HENRY FORD HEALTH SYSTEM,230053,486,2110 LEITER RD,MIAMISBURG,OH,453423598,US
HCO_HCP,1047,North Memorial Health Care,NORTH MEMORIAL HEALTH CARE,240001,558,80 COTTONTAIL LN,SOMERSET,NJ,088731100,US
HCO_HCP,1048,Mayo Clinic-Methodist Hospital,MAYO CLINIC METHODIST HOSPITAL,240061,559,5 REGENT ST STE 528,LIVINGSTON,NJ,070391621,US
HCO_HCP,1049,University Of Rochester,UNIVERSITY OF ROCHESTER,330285,156,5151 MONROE ST,TOLEDO,OH,436233462,US
HCO_HCP,105,Humility Of Mary Health Partners,HUMILITY OF MARY HEALTH PARTNERS,360064,361,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
HCO_HCP,1050,Oregon Health & Science University,OREGON HEALTH AND SCIENCE UNIVERSITY,380009,1050,6077 PRIMACY PKWY STE 140,MEMPHIS,TN,381195754,US
HCO_HCP,1051,Montefiore Medical Center,MONTEFIORE MEDICAL CENTER,330059,105,13 ROSZEL RD STE B110,PRINCETON,NJ,85406211,US
HCO_HCP,1052,North Memorial Health Care,NORTH MEMORIAL HEALTH CARE,240001,558,80 COTTONTAIL LN,SOMERSET,NJ,088731100,US
HCO_HCP,1053,WINTHROP UNIVERSITY HOSPITAL ASSOCIATION,WINTHROP UNIVERSITY HOSPITAL,330167,76,13 ROSZEL RD STE B110,PRINCETON,NJ,85406211,US
HCO_HCP,1054,University Community Hospital Inc,UNIVERSITY COMMUNITY HOSPITAL,100173,759,100 E CARROLL ST,SALISBURY,MD,218015422,US
HCO_HCP,1055,Trustees of the University of Pennsylvania,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,390111,237,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
HCO_HCP,1056,Henry Ford Health System,HENRY FORD HEALTH SYSTEM,230053,486,2110 LEITER RD,MIAMISBURG,OH,453423598,US
HCO_HCP,1057,"Medstar Georgetown Medical Center, Inc",MEDSTAR GEORGETOWN MEDICAL CENTER,90004,663,80 COTTONTAIL LN STE 330,SOMERSET,NJ,88731100,US
HCO_HCP,1058,University Of Arkansas For Medical Sciences,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,40016,875,679 N MAIN ST,SALEM,AR,725769451,US
HCO_HCP,1059,University Of California - San Francisco,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,54144,1119,800 SCENIC DR,MODESTO,CA,953506131,US
HCO_HCP,106,Vhs Aquisition Subsidiary Number 9 Inc,VHS AQUISITION SUBSIDIARY NUMBER 9,220175,828,80 COTTONTAIL LN STE 330,SOMERSET,NJ,88731100,US
HCO_HCP,1060,SWEDISH HEALTH SERVICES,SWEDISH HEALTH SERVICES,500027,1024,101 E STATE ST,KENNETT SQUARE,PA,193483109,US
