Strength,Products (Source ID),Products (Publisher ID)
6.75GM/VIAL,28816,IMP
20GM/VIAL,28816,IMP
15GM/100ML,28817,IMP
7.7GM/100ML,28817,IMP
3.3GM/100ML,28817,IMP
3GM/100ML,28817,IMP
2.5GM/100ML,28817,IMP
2.5GM/100ML,28818,IMP
1.5GM/100ML,28818,IMP
2GM/100ML,28818,IMP
0.5GM/ML,28819,IMP
0.25GM/ML,28819,IMP
3.75GM,28820,IMP
1GM,28820,IMP
1.2GM,28820,IMP
1.05GM,28820,IMP
10GM/100ML,28821,IMP
15GM/100ML,28821,IMP
4GM/PACKET,28822,IMP
5GM/PACKET,28822,IMP
125MG/VIAL,28823,IMP
0.005MG/VIAL,28823,IMP
3.2MG/VIAL,28823,IMP
30MG/VIAL,28823,IMP
0.04MG/VIAL,28823,IMP
70MG/VIAL,28824,IMP
3.2MG/VIAL,28824,IMP
250MG/VIAL,28824,IMP
1.5MG/VIAL,28824,IMP
24MG/VIAL,28824,IMP
800MG/PACKET,28825,IMP
250MG/PACKET,28825,IMP
600MG/PACKET,28825,IMP
100MG/PACKET,28825,IMP
7.7GM/100ML,28826,IMP
2.5GM/100ML,28826,IMP
3.3GM/100ML,28826,IMP
30GM/100ML,28826,IMP
20GM/100ML,28826,IMP
25MG/5ML,28827,IMP
50MG/5ML,28827,IMP
16MG/5ML,28827,IMP
400MG/5ML,28827,IMP
1.05GM,28828,IMP
3.75GM,28828,IMP
0.25GM/ML,28829,IMP
0.5GM/ML,28829,IMP
15MG/PACKET,28830,IMP
800MG/PACKET,28830,IMP
100MG/PACKET,28830,IMP
375MG/PACKET,28830,IMP
500MG/PACKET,28830,IMP
2.50%,28831,IMP
66.80%,28831,IMP
801MG,28832,IMP
300MG,28832,IMP
480MG,28832,IMP
2.25MG,28832,IMP
13.5GM/VIAL,28833,IMP
3GM/VIAL,28833,IMP
10%,28834,IMP
4%,28834,IMP
300MG/VIAL,28835,IMP
24MG/VIAL,28835,IMP
3.3GM/100ML,28836,IMP
70GM/100ML,28836,IMP
1GM/100ML,28836,IMP
5GM/100ML,28836,IMP
90MG/VIAL,28837,IMP
25MG/VIAL,28837,IMP
0.8MG/VIAL,28837,IMP
1600MG/VIAL,28837,IMP
450MG/VIAL,28837,IMP
0.25GM/ML,28838,IMP
0.5GM/ML,28838,IMP
2.5MG/ML,28839,IMP
1.5MG/ML,28839,IMP
0.25MG/ML,28839,IMP
2MG/ML,28839,IMP
2GM/100ML,28840,IMP
10GM/100ML,28840,IMP
10GM/PACKET,28841,IMP
3.75GM/PACKET,28841,IMP
3GM/PACKET,28841,IMP
2.5GM/PACKET,28841,IMP
4GM/PACKET,28841,IMP
1.05GM,28842,IMP
1GM,28842,IMP
3.75GM,28842,IMP
30MG/PACKET,28843,IMP
600MG/PACKET,28843,IMP
375MG/PACKET,28843,IMP
3GM/VIAL,28844,IMP
4GM/VIAL,28844,IMP
6.75GM/VIAL,28844,IMP
1GM/VIAL,28844,IMP
3MG,28845,IMP
7MG,28845,IMP
0.45MG,28845,IMP
174MG,28846,IMP
12MG,28846,IMP
500MG,28846,IMP
12.50%,28847,IMP
75.50%,28847,IMP
30.20%,28847,IMP
68%,28847,IMP
0.77%,28847,IMP
200MG/100ML,28848,IMP
250MG/100ML,28848,IMP
800MG/100ML,28848,IMP
400MG/100ML,28848,IMP
100MG/PACKET,28849,IMP
500MG/PACKET,28849,IMP
30MG/PACKET,28849,IMP
1.05GM,28850,IMP
1.2GM,28850,IMP
1GM,28850,IMP
3.75GM,28850,IMP
500MG/PACKET,28851,IMP
15MG/PACKET,28851,IMP
167MG/PACKET,28851,IMP
500MG/VIAL,28852,IMP
6MG/VIAL,28852,IMP
80MG/VIAL,28852,IMP
16MG/5ML,28853,IMP
750MG/5ML,28853,IMP
12.5MG/5ML,28853,IMP
2.5MG/5ML,28853,IMP
30%,28854,IMP
8%,28854,IMP
2.5MG/5ML,28855,IMP
5MG/5ML,28855,IMP
20MG/5ML,28855,IMP
1.25MG/5ML,28855,IMP
500MG/5ML,28855,IMP
1.05GM,28856,IMP
1GM,28856,IMP
3.75GM,28856,IMP
1.2GM,28856,IMP
450MG/100ML,28857,IMP
160MG/100ML,28857,IMP
10MG/100ML,28857,IMP
10MG/100ML,28858,IMP
20MG/100ML,28858,IMP
80MG/100ML,28858,IMP
200MG/100ML,28858,IMP
50MG/5ML,28859,IMP
750MG/5ML,28859,IMP
5MG/100ML,28860,IMP
320MG/100ML,28860,IMP
746MG/100ML,28860,IMP
800MG/100ML,28860,IMP
469.01MG/ML,28861,IMP
7.5MG/ML,28861,IMP
300MG/ML,28861,IMP
2.2MG/ML,28861,IMP
12.5MG,28862,IMP
500MG,28862,IMP
480MG,28863,IMP
160MG,28863,IMP
3.5MG,28863,IMP
0.02MG/ML,28864,IMP
40MG/ML,28864,IMP
35MG/ML,28864,IMP
24%,28865,IMP
0.45%,28865,IMP
66.80%,28865,IMP
500MG/100ML,28866,IMP
40MG/100ML,28866,IMP
80MG/100ML,28866,IMP
100MG/100ML,28866,IMP
20MG/100ML,28866,IMP
3.75GM/PACKET,28867,IMP
20GM/PACKET,28867,IMP
250MG/VIAL,28868,IMP
1600MG/VIAL,28868,IMP
75MG/VIAL,28868,IMP
3.5MG/VIAL,28868,IMP
0.02%,28869,IMP
3.75%,28869,IMP
0.77%,28869,IMP
31.20%,28869,IMP
80%,28870,IMP
24%,28870,IMP
500MG/PACKET,28871,IMP
167MG/PACKET,28871,IMP
800MG/PACKET,28871,IMP
12MG,28872,IMP
15MG,28872,IMP
3.6MG,28872,IMP
36MG,28872,IMP
67MG,28872,IMP
350MG,28873,IMP
0.25MG,28873,IMP
11.25MG,28873,IMP
4MG,28874,IMP
6.25MG,28874,IMP
145MG,28874,IMP
1.25MG,28874,IMP
0.112MG,28874,IMP
0.5GM/ML,28875,IMP
0.25GM/ML,28875,IMP
0.004MG/ML,28876,IMP
125MG/ML,28876,IMP
200MG/VIAL,28877,IMP
24MG/VIAL,28877,IMP
13.8MG/VIAL,28877,IMP
2MG/VIAL,28877,IMP
5MG/VIAL,28878,IMP
15MG/VIAL,28878,IMP
2.5MG/VIAL,28878,IMP
80MG/VIAL,28878,IMP
20GM/VIAL,28879,IMP
3.75GM/VIAL,28879,IMP
500MG/ML,28880,IMP
0.4MG/ML,28880,IMP
167MG/PACKET,28881,IMP
375MG/PACKET,28881,IMP
250MG/PACKET,28881,IMP
800MG/PACKET,28881,IMP
600MG/PACKET,28881,IMP
1GM,28882,IMP
3.75GM,28882,IMP
3.75GM/PACKET,28883,IMP
4GM/PACKET,28883,IMP
20GM/PACKET,28883,IMP
76%,28884,IMP
43%,28884,IMP
2%,28884,IMP
0.50%,28884,IMP
750MG/5ML,28885,IMP
12.5MG/5ML,28885,IMP
20MG/5ML,28885,IMP
10MG/5ML,28885,IMP
3.75GM,28886,IMP
1.2GM,28886,IMP
64.70%,28887,IMP
0.05%,28887,IMP
0.25%,28887,IMP
98.30%,28887,IMP
1.2GM,28888,IMP
1.05GM,28888,IMP
1GM,28888,IMP
3.75GM,28888,IMP
160MG/ML,28889,IMP
1.5MG/ML,28889,IMP
234MG/ML,28889,IMP
7.5MG/ML,28889,IMP
750MG/5ML,28890,IMP
667MG/5ML,28890,IMP
50MG/5ML,28890,IMP
15MG/5ML,28890,IMP
125MG/5ML,28891,IMP
187MG/5ML,28891,IMP
450MG/VIAL,28892,IMP
300MG/VIAL,28892,IMP
5MG/VIAL,28892,IMP
1.8MG/VIAL,28892,IMP
50MG/VIAL,28892,IMP
348MG,28893,IMP
333.5MG,28893,IMP
13.8MG/VIAL,28894,IMP
3.5MG/VIAL,28894,IMP
8.8MG/VIAL,28894,IMP
50MG/VIAL,28894,IMP
0.375MG,28895,IMP
3.5MG,28895,IMP
3.75MG,28895,IMP
35MG,28895,IMP
54.30%,28896,IMP
1%,28896,IMP
0.60%,28896,IMP
15.10%,28896,IMP
0.03%,28896,IMP
60GM/100ML,28897,IMP
1.5GM/100ML,28897,IMP
20GM/100ML,28897,IMP
3.75GM,28898,IMP
1.05GM,28898,IMP
1GM,28899,IMP
3.75GM,28899,IMP
1.2GM,28899,IMP
10MG,28900,IMP
0.137MG,28900,IMP
62.5MG,28900,IMP
75MG/5ML,28901,IMP
12.5MG/5ML,28901,IMP
0.5GM/ML,28902,IMP
0.25GM/ML,28902,IMP
4GM/PACKET,28903,IMP
3GM/PACKET,28903,IMP
0.5GM/ML,28904,IMP
0.25GM/ML,28904,IMP
15%,28905,IMP
66.80%,28905,IMP
1GM/100ML,28906,IMP
7.5GM/100ML,28906,IMP
15GM/100ML,28906,IMP
0.10%,28907,IMP
10%,28907,IMP
380MG/VIAL,28908,IMP
0.8MG/VIAL,28908,IMP
5MG/VIAL,28908,IMP
2.24GM/100ML,28909,IMP
1.49GM/100ML,28909,IMP
5MG/100ML,28910,IMP
900MG/100ML,28910,IMP
800MG/100ML,28910,IMP
745MG/100ML,28910,IMP
1.05GM,28911,IMP
1.2GM,28911,IMP
3.75GM,28911,IMP
2.5MG/5ML,28912,IMP
2MG/5ML,28912,IMP
187MG/5ML,28912,IMP
60MG/5ML,28912,IMP
30MG/5ML,28913,IMP
187MG/5ML,28913,IMP
30MG/PACKET,28914,IMP
250MG/PACKET,28914,IMP
800MG/PACKET,28914,IMP
15MG/PACKET,28914,IMP
100MG/PACKET,28914,IMP
800MG/100ML,28915,IMP
200MG/100ML,28915,IMP
746MG/100ML,28915,IMP
0.25GM/ML,28916,IMP
0.5GM/ML,28916,IMP
234MG/ML,28917,IMP
160MG/ML,28917,IMP
240MG,28918,IMP
333MG,28918,IMP
0.025MG,28918,IMP
11MG,28918,IMP
0.25GM/ML,28919,IMP
0.5GM/ML,28919,IMP
5%,28920,IMP
64.70%,28920,IMP
0.30%,28920,IMP
100%,28920,IMP
0.5MG/VIAL,28921,IMP
0.25MG/VIAL,28921,IMP
20MG/VIAL,28921,IMP
1GM/VIAL,28922,IMP
13.5GM/VIAL,28922,IMP
6GM/VIAL,28922,IMP
2.5GM/VIAL,28922,IMP
3.75GM,28923,IMP
1.05GM,28923,IMP
1GM,28923,IMP
1.2GM,28923,IMP
15MG/ML,28924,IMP
0.05MG/ML,28924,IMP
200MG/ML,28924,IMP
469.01MG/ML,28924,IMP
1.25MG/ML,28924,IMP
0.025MG,28925,IMP
50MG,28925,IMP
40MG/VIAL,28926,IMP
250MG/VIAL,28926,IMP
37.5MG/ML,28927,IMP
20MG/ML,28927,IMP
1.6MG/ML,28927,IMP
6GM/VIAL,28928,IMP
5GM/VIAL,28928,IMP
2.5GM/VIAL,28928,IMP
250MG/PACKET,28929,IMP
30MG/PACKET,28929,IMP
15MG/PACKET,28929,IMP
500MG/ML,28930,IMP
1.5MG/ML,28930,IMP
3MG/ML,28930,IMP
1.05GM,28931,IMP
1.2GM,28931,IMP
3.75GM,28931,IMP
1GM,28931,IMP
1MG/VIAL,28932,IMP
40MG/VIAL,28932,IMP
80MG/VIAL,28932,IMP
3.2MG/VIAL,28932,IMP
1GM,28933,IMP
3.75GM,28933,IMP
1.05GM,28933,IMP
1.2GM,28933,IMP
250MG/5ML,28934,IMP
4MG/5ML,28934,IMP
10MG/5ML,28934,IMP
1MG/5ML,28934,IMP
200MG/5ML,28934,IMP
1.05GM,28935,IMP
3.75GM,28935,IMP
5GM/100ML,28936,IMP
3GM/100ML,28936,IMP
10GM/100ML,28936,IMP
70GM/100ML,28936,IMP
2GM/100ML,28936,IMP
750MG/5ML,28937,IMP
125MG/5ML,28937,IMP
600MG/5ML,28937,IMP
10MG/5ML,28937,IMP
1.25MG/ML,28938,IMP
0.4MG/ML,28938,IMP
0.01MG/ML,28938,IMP
4MG/ML,28938,IMP
4GM/VIAL,28939,IMP
6.75GM/VIAL,28939,IMP
1GM,28940,IMP
1.2GM,28940,IMP
0.1MG/ML,28941,IMP
0.004MG/ML,28941,IMP
0.015MG/ML,28941,IMP
14.9MG/ML,28941,IMP
70GM/100ML,28942,IMP
40GM/100ML,28942,IMP
50GM/100ML,28942,IMP
1.5GM/100ML,28943,IMP
15GM/100ML,28943,IMP
60GM/100ML,28943,IMP
7.7GM/100ML,28944,IMP
1.87GM/100ML,28944,IMP
500MG/PACKET,28945,IMP
15MG/PACKET,28945,IMP
0.6MG/5ML,28946,IMP
16MG/5ML,28946,IMP
1MG/5ML,28946,IMP
375MG,28947,IMP
0.4MG,28947,IMP
324MG,28947,IMP
3GM/PACKET,28948,IMP
2.4GM/PACKET,28948,IMP
20GM/PACKET,28948,IMP
3.75GM/PACKET,28948,IMP
150MG/VIAL,28949,IMP
1.5MG/VIAL,28949,IMP
3.5MG/VIAL,28949,IMP
380MG/VIAL,28949,IMP
1.1MG/VIAL,28949,IMP
100MG/PACKET,28950,IMP
375MG/PACKET,28950,IMP
45MG,28951,IMP
775MG,28951,IMP
0.5GM/ML,28952,IMP
0.25GM/ML,28952,IMP
12.5MG/5ML,28953,IMP
50MG/5ML,28953,IMP
10MG/5ML,28953,IMP
75MG/5ML,28953,IMP
25MG/5ML,28953,IMP
25MG/VIAL,28954,IMP
8.8MG/VIAL,28954,IMP
300MG/VIAL,28954,IMP
0.005MG/VIAL,28954,IMP
5MG/VIAL,28954,IMP
0.4MG/VIAL,28955,IMP
375MG/VIAL,28955,IMP
10MG/VIAL,28955,IMP
600MG/VIAL,28955,IMP
1600MG/VIAL,28955,IMP
0.03MG/ML,28956,IMP
1.6MG/ML,28956,IMP
145MG,28957,IMP
333MG,28957,IMP
165MG,28957,IMP
100MG/PACKET,28958,IMP
500MG/PACKET,28958,IMP
800MG/PACKET,28958,IMP
250MG/PACKET,28958,IMP
167MG/PACKET,28958,IMP
10GM/PACKET,28959,IMP
2.4GM/PACKET,28959,IMP
3GM/PACKET,28959,IMP
73%,28960,IMP
12.50%,28960,IMP
0.02%,28960,IMP
1GM/VIAL,28961,IMP
4GM/VIAL,28961,IMP
40GM/VIAL,28961,IMP
2GM/VIAL,28961,IMP
13.5GM/VIAL,28961,IMP
3GM/VIAL,28962,IMP
2GM/VIAL,28962,IMP
13.5GM/VIAL,28962,IMP
2.5GM/VIAL,28962,IMP
3.75GM/VIAL,28962,IMP
40MG/VIAL,28963,IMP
250MG/VIAL,28963,IMP
0.5GM/ML,28964,IMP
0.25GM/ML,28964,IMP
6.75GM/VIAL,28965,IMP
1GM/VIAL,28965,IMP
3.75GM/VIAL,28965,IMP
0.30%,28966,IMP
43%,28966,IMP
800MG/PACKET,28967,IMP
500MG/PACKET,28967,IMP
100MG/PACKET,28967,IMP
375MG/PACKET,28967,IMP
15MG/PACKET,28967,IMP
0.5GM/ML,28968,IMP
0.25GM/ML,28968,IMP
150MG/VIAL,28969,IMP
15MG/VIAL,28969,IMP
2.5MG/VIAL,28969,IMP
0.04MG/VIAL,28969,IMP
37.5MG/VIAL,28969,IMP
250MG/PACKET,28970,IMP
375MG/PACKET,28970,IMP
600MG/PACKET,28970,IMP
30MG/PACKET,28970,IMP
500MG/VIAL,28971,IMP
600MG/VIAL,28971,IMP
12MG/VIAL,28971,IMP
25MG/VIAL,28971,IMP
450MG/VIAL,28971,IMP
62%,28972,IMP
0.12%,28972,IMP
10%,28972,IMP
2.4GM/PACKET,28973,IMP
20GM/PACKET,28973,IMP
3.75GM/PACKET,28973,IMP
4GM/PACKET,28973,IMP
10GM/PACKET,28973,IMP
0.1MG/ML,28974,IMP
0.002MG/ML,28974,IMP
0.5GM/ML,28975,IMP
0.25GM/ML,28975,IMP
1.05GM,28976,IMP
1GM,28976,IMP
3.75GM,28976,IMP
1.2GM,28976,IMP
2.24GM/100ML,28977,IMP
30GM/100ML,28977,IMP
10GM/100ML,28977,IMP
1GM,28978,IMP
1.2GM,28978,IMP
10GM/100ML,28979,IMP
70GM/100ML,28979,IMP
15MG,28980,IMP
140MG,28980,IMP
0.112MG,28980,IMP
3GM/PACKET,28981,IMP
2.4GM/PACKET,28981,IMP
3.75GM/PACKET,28981,IMP
100MG/5ML,28982,IMP
1MG/5ML,28982,IMP
2.5MG/5ML,28982,IMP
400MG/5ML,28982,IMP
145MG,28983,IMP
50MG,28983,IMP
30MG,28983,IMP
3.6MG,28983,IMP
1.25MG,28983,IMP
1.5GM/100ML,28984,IMP
3.3GM/100ML,28984,IMP
2.5GM/100ML,28984,IMP
0.50%,28985,IMP
5%,28985,IMP
52%,28985,IMP
24%,28985,IMP
60%,28985,IMP
3GM/VIAL,28986,IMP
1GM/VIAL,28986,IMP
20GM/VIAL,28986,IMP
87MG,28987,IMP
140MG,28987,IMP
450MG,28987,IMP
20GM/PACKET,28988,IMP
2.4GM/PACKET,28988,IMP
5GM/PACKET,28988,IMP
3GM/PACKET,28988,IMP
3.75GM/PACKET,28988,IMP
0.6MG/VIAL,28989,IMP
4.8MG/VIAL,28989,IMP
500MG/VIAL,28989,IMP
25MG/VIAL,28989,IMP
400MG/100ML,28990,IMP
