icd_mapping_id,description,fdn_icd10,fdn_icd9
0363-A391,"Waterhouse-Friderichsen syndrome, meningococcal",A391,36.3
03641-A395,Meningococcal pericarditis,A395,36.41
03642-A395,Meningococcal endocarditis,A395,36.42
03643-A395,Meningococcal myocarditis,A395,36.43
03689-A398,Other,A398,36.89
0369-A399,"Meningococcal infection, unspecified",A399,36.9
037-A35,Tetanus,A35,37
0381-A412,Staphylococcal septicemia,A412,38.1
0382-A403,Pneumococcal septicemia [Streptococcus pneumoniae septicemia],A403,38.2
0383-A414,Septicemia due to anaerobes,A414,38.3
03841-A413,Hemophilus influenzae [H. influenzae],A413,38.41
03842-A4151,Escherichia coli [E. coli],A4151,38.42
03843-A4152,Pseudomonas,A4152,38.43
0388-A418,Other specified septicemias,A418,38.8
0389-A419,Unspecified septicemia,A419,38.9
0391-A420,Pulmonary,A420,39.1
0392-A421,Abdominal,A421,39.2
0393-A422,Cervicofacial,A422,39.3
0394-B479,Madura foot,B479,39.4
0398-A428,Of other specified sites,A428,39.8
0399-A429,Of unspecified site,A429,39.9
0401-A488,Rhinoscleroma,A488,40.1
0402-K908,Whipple's disease,K908,40.2
0403-A488,Necrobacillosis,A488,40.3
04081-M6009,Tropical pyomyositis,M6009,40.81
04089-A488,Other,A488,40.89
04101-B950,Group A,B950,41.01
04102-B951,Group B,B951,41.02
04104-B952,Group D [Enterococcus],B952,41.04
04111-B956,Methicillin susceptible Staphylococcus aureus,B956,41.11
04119-B957,Other Staphylococcus,B957,41.19
0414-B962,Escherichia coli [E.coli],B962,41.4
0415-B963,Hemophilus influenzae [H. influenzae],B963,41.5
0416-B964,Proteus (mirabilis) (morganii),B964,41.6
0417-B965,Pseudomonas,B965,41.7
04182-B966,Bacteroides fragilis,B966,41.82
04183-B967,Clostridium perfringens,B967,41.83
04186-B9681,Helicobacter pylori (H. pylori),B9681,41.86
0461-A810,Jakob-Creutzfeldt disease,A810,46.1
0462-A811,Subacute sclerosing panencephalitis,A811,46.2
0463-A812,Progressive multifocal leukoencephalopathy,A812,46.3
0468-A818,Other specified slow virus infection of central nervous system,A818,46.8
0469-A819,Unspecified slow virus infection of central nervous system,A819,46.9
0471-A870,ECHO virus,A870,47.1
0478-A870,Other specified viral meningitis,A870,47.8
0479-A870,Unspecified viral meningitis,A870,47.9
048-A888,Other enterovirus diseases of central nervous system,A888,48
0491-A871,Meningitis due to adenovirus,A871,49.1
0498-A888,Other specified non-arthropod-borne viral diseases of central nervous system,A888,49.8
0499-A89,Unspecified non-arthropod-borne viral diseases of central nervous system,A89,49.9
0501-B03,Alastrim,B03,50.1
0502-B03,Modified smallpox,B03,50.2
0509-B03,"Smallpox, unspecified",B03,50.9
0511-B081,Pseudocowpox,B081,51.1
0512-B081,Contagious pustular dermatitis,B081,51.2
0519-B080,"Paravaccinia, unspecified",B080,51.9
0521-B012,Varicella (hemorrhagic) pneumonitis,B012,52.1
0527-B018,With other specified complications,B018,52.7
0528-B018,With unspecified complication,B018,52.8
0529-B019,Varicella without mention of complication,B019,52.9
05311-B022,Geniculate herpes zoster,B022,53.11
05312-B022,Postherpetic trigeminal neuralgia,B022,53.12
05313-B022,Postherpetic polyneuropathy,B022,53.13
05319-B022,Other,B022,53.19
05321-B023,Herpes zoster keratoconjunctivitis,B023,53.21
05322-B023,Herpes zoster iridocyclitis,B023,53.22
05329-B023,Other,B023,53.29
05379-B028,Other,B028,53.79
0538-B028,With unspecified complication,B028,53.8
0539-B029,Herpes zoster without mention of complication,B029,53.9
05411-N771,Herpetic vulvovaginitis,N771,54.11
05412-N770,Herpetic ulceration of vulva,N770,54.12
05419-A600,Other,A600,54.19
0542-B002,Herpetic gingivostomatitis,B002,54.2
0543-B004,Herpetic meningoencephalitis,B004,54.3
05441-B005,Herpes simplex dermatitis of eyelid,B005,54.41
05442-B005,Dendritic keratitis,B005,54.42
05443-B005,Herpes simplex disciform keratitis,B005,54.43
05444-B005,Herpes simplex iridocyclitis,B005,54.44
05449-B005,Other,B005,54.49
0545-B007,Herpetic septicemia,B007,54.5
05471-B008,Visceral herpes simplex,B008,54.71
05472-B003,Herpes simplex meningitis,B003,54.72
05473-B008,Herpes simplex otitis externa,B008,54.73
05479-B008,Other,B008,54.79
0548-B008,With unspecified complication,B008,54.8
0549-B009,Herpes simplex without mention of complication,B009,54.9
0551-B052,Postmeasles pneumonia,B052,55.1
0552-B053,Postmeasles otitis media,B053,55.2
05579-B058,Other,B058,55.79
0558-B058,With unspecified complication,B058,55.8
0559-B059,Measles without mention of complication,B059,55.9
05601-B060,Encephalomyelitis due to rubella,B060,56.01
05609-B060,Other,B060,56.09
05679-B068,Other,B068,56.79
0568-B068,With unspecified complications,B068,56.8
0569-B069,Rubella without mention of complication,B069,56.9
0578-B088,Other specified viral exanthemata,B088,57.8
0579-B09,"Viral exanthem, unspecified",B09,57.9
0601-A951,Urban,A951,60.1
0609-A959,"Yellow fever, unspecified",A959,60.9
061-A90,Dengue,A90,61
0621-A831,Western equine encephalitis,A831,62.1
0622-A832,Eastern equine encephalitis,A832,62.2
0623-A833,St. Louis encephalitis,A833,62.3
0624-A834,Australian encephalitis,A834,62.4
0625-A835,California virus encephalitis,A835,62.5
0628-A838,Other specified mosquito-borne viral encephalitis,A838,62.8
0629-A839,"Mosquito-borne viral encephalitis, unspecified",A839,62.9
0631-A848,Louping ill,A848,63.1
0632-A841,Central European encephalitis,A841,63.2
0638-A848,Other specified tick-borne viral encephalitis,A848,63.8
0639-A849,"Tick-borne viral encephalitis, unspecified",A849,63.9
064-A852,Viral encephalitis transmitted by other and unspecified arthropods,A852,64
0651-A981,Omsk hemorrhagic fever,A981,65.1
0652-A982,Kyasanur Forest disease,A982,65.2
0653-A938,Other tick-borne hemorrhagic fever,A938,65.3
0654-A928,Mosquito-borne hemorrhagic fever,A928,65.4
0658-A938,Other specified arthropod-borne hemorrhagic fever,A938,65.8
0659-A94,"Arthropod-borne hemorrhagic fever, unspecified",A94,65.9
0661-A932,Tick-borne fever,A932,66.1
0662-A922,Venezuelan equine fever,A922,66.2
0663-A928,Other mosquito-borne fever,A928,66.3
0668-A938,Other specified arthropod-borne viral diseases,A938,66.8
0669-A94,"Arthropod-borne viral disease, unspecified",A94,66.9
0701-B159,Viral hepatitis A without mention of hepatic coma,B159,70.1
07041-B171,Acute hepatitis C with hepatic coma,B171,70.41
07042-B170,Hepatitis delta without mention of active hepatitis B disease with hepatic coma,B170,70.42
07043-B172,Hepatitis E with hepatic coma,B172,70.43
07044-B182,Chronic hepatitis C with hepatic coma,B182,70.44
07049-B178,Other specified viral hepatitis with hepatic coma,B178,70.49
07051-B171,Acute hepatitis C without mention of hepatic coma,B171,70.51
07052-B170,Hepatitis delta without mention of active hepatitis B disease or hepatic coma,B170,70.52
07053-B172,Hepatitis E without mention of hepatic coma,B172,70.53
07054-B182,Chronic hepatitis C without mention of hepatic coma,B182,70.54
07059-B178,Other specified viral hepatitis without mention of hepatic coma,B178,70.59
0706-B190,Unspecified viral hepatitis with hepatic coma,B190,70.6
0709-B199,Unspecified viral hepatitis without mention of hepatic coma,B199,70.9
071-A829,Rabies,A829,71
0721-B261,Mumps meningitis,B261,72.1
0722-B262,Mumps encephalitis,B262,72.2
0723-B263,Mumps pancreatitis,B263,72.3
07279-B268,Other,B268,72.79
0728-B268,Mumps with unspecified complication,B268,72.8
0729-B269,Mumps without mention of complication,B269,72.9
0737-A70,With other specified complications,A70,73.7
0738-A70,With unspecified complication,A70,73.8
0739-A70,"Ornithosis, unspecified",A70,73.9
0741-B330,Epidemic pleurodynia,B330,74.1
07421-B332,Coxsackie pericarditis,B332,74.21
07422-B332,Coxsackie endocarditis,B332,74.22
07423-B332,Coxsackie myocarditis,B332,74.23
0743-B084,"Hand, foot, and mouth disease",B084,74.3
0748-B338,Other specified diseases due to Coxsackie virus,B338,74.8
075-B279,Infectious mononucleosis,B279,75
0761-A711,Active stage,A711,76.1
0769-A719,"Trachoma, unspecified",A719,76.9
0771-B300,Epidemic keratoconjunctivitis,B300,77.1
0772-B302,Pharyngoconjunctival fever,B302,77.2
0773-B301,Other adenoviral conjunctivitis,B301,77.3
0774-B303,Epidemic hemorrhagic conjunctivitis,B303,77.4
0778-B308,Other viral conjunctivitis,B308,77.8
07798-A740,Due to Chlamydiae,A740,77.98
07799-B308,Due to viruses,B308,77.99
07811-A630,Condyloma acuminatum,A630,78.11
07819-B07,Other specified viral warts,B07,78.19
0782-B348,Sweating fever,B348,78.2
0783-A281,Cat-scratch disease,A281,78.3
0784-B088,Foot and mouth disease,B088,78.4
0785-B259,Cytomegaloviral disease,B259,78.5
0786-A985,Hemorrhagic nephrosonephritis,A985,78.6
0787-A968,Arenaviral hemorrhagic fever,A968,78.7
07881-A881,Epidemic vertigo,A881,78.81
07882-A081,Epidemic vomiting syndrome,A081,78.82
07888-A748,Other specified diseases due to Chlamydiae,A748,78.88
07889-B348,Other specified diseases due to viruses,B348,78.89
0791-B341,ECHO virus,B341,79.1
0792-B341,Coxsackie virus,B341,79.2
0793-B348,Rhinovirus,B348,79.3
0794-B344,Human papillomavirus,B344,79.4
07951-B333,"Human T-cell lymphotrophic virus, type I [HTLV-I]",B333,79.51
07952-B333,"Human T-cell lymphotrophic virus, type II [HTLV-II]",B333,79.52
07953-B333,"Human immunodeficiency virus, type 2 [HIV-2]",B333,79.53
07959-B333,Other specified retrovirus,B333,79.59
07981-A748,Hantavirus,A748,79.81
07988-A748,Other specified chlamydial infection,A748,79.88
07989-B348,Other specified viral infection,B348,79.89
07998-A749,Unspecified chlamydial infection,A749,79.98
07999-B349,Unspecified viral infection,B349,79.99
080-A750,Louse-borne [epidemic] typhus,A750,80
0811-A751,Brill's disease,A751,81.1
0812-A753,Scrub typhus,A753,81.2
0819-A759,"Typhus, unspecified",A759,81.9
0821-A771,Boutonneuse fever,A771,82.1
0822-A772,North Asian tick fever,A772,82.2
0823-A773,Queensland tick typhus,A773,82.3
0828-A778,Other specified tick-borne rickettsioses,A778,82.8
0829-A779,"Tick-borne rickettsiosis, unspecified",A779,82.9
0831-A790,Trench fever,A790,83.1
0832-A791,Rickettsialpox,A791,83.2
0838-A798,Other specified rickettsioses,A798,83.8
0839-A799,"Rickettsiosis, unspecified",A799,83.9
0841-B519,Vivax malaria [benign tertian],B519,84.1
0842-B529,Quartan malaria,B529,84.2
0843-B530,Ovale malaria,B530,84.3
0844-B538,Other malaria,B538,84.4
0845-B509,Mixed malaria,B509,84.5
0846-B54,"Malaria, unspecified",B54,84.6
0847-B54,Induced malaria,B54,84.7
0848-B508,Blackwater fever,B508,84.8
0849-B508,Other pernicious complications of malaria,B508,84.9
0851-B551,"Cutaneous, urban",B551,85.1
0852-B551,"Cutaneous, Asian desert",B551,85.2
0853-B551,"Cutaneous, Ethiopian",B551,85.3
0854-B551,"Cutaneous, American",B551,85.4
0855-B552,Mucocutaneous (American),B552,85.5
0859-B559,"Leishmaniasis, unspecified",B559,85.9
0861-B575,Chagas' disease with other organ involvement,B575,86.1
0862-B571,Chagas' disease without mention of organ involvement,B571,86.2
0863-B560,Gambian trypanosomiasis,B560,86.3
0864-B561,Rhodesian trypanosomiasis,B561,86.4
0865-B569,"African trypanosomiasis, unspecified",B569,86.5
0869-B569,"Trypanosomiasis, unspecified",B569,86.9
0871-A681,Tick-borne,A681,87.1
0879-A689,"Relapsing fever, unspecified",A689,87.9
08881-A692,Lyme disease,A692,88.81
08882-B600,Babesiosis,B600,88.82
08889-A938,Other,A938,88.89
0889-A94,"Arthropod-borne disease, unspecified",A94,88.9
0901-A501,"Early congenital syphilis, latent",A501,90.1
0902-A502,"Early congenital syphilis, unspecified",A502,90.2
0903-A503,Syphilitic interstitial keratitis,A503,90.3
09041-A504,Congenital syphilitic encephalitis,A504,90.41
09042-A504,Congenital syphilitic meningitis,A504,90.42
09049-A504,Other,A504,90.49
0905-A505,"Other late congenital syphilis, symptomatic",A505,90.5
0906-A506,"Late congenital syphilis, latent",A506,90.6
0907-A507,"Late congenital syphilis, unspecified",A507,90.7
0909-A509,"Congenital syphilis, unspecified",A509,90.9
0911-A511,Primary anal syphilis,A511,91.1
0912-A512,Other primary syphilis,A512,91.2
0913-A513,Secondary syphilis of skin or mucous membranes,A513,91.3
0914-R591,Adenopathy due to secondary syphilis,R591,91.4
09169-A514,Other viscera,A514,91.69
0917-A514,"Secondary syphilis, relapse",A514,91.7
09181-G01,Acute syphilitic meningitis (secondary),G01,91.81
09189-A514,Other,A514,91.89
0919-A514,Unspecified secondary syphilis,A514,91.9
0929-A515,"Early syphilis, latent, unspecified",A515,92.9
0931-I791,Syphilitic aortitis,I791,93.1
09389-A520,Other,A520,93.89
0939-A520,"Cardiovascular syphilis, unspecified",A520,93.9
0941-A521,General paresis,A521,94.1
0942-G01,Syphilitic meningitis,G01,94.2
0943-A522,Asymptomatic neurosyphilis,A522,94.3
09482-A521,Syphilitic Parkinsonism,A521,94.82
09485-A521,Syphilitic retrobulbar neuritis,A521,94.85
09486-H940,Syphilitic acoustic neuritis,H940,94.86
09487-I607,Syphilitic ruptured cerebral aneurysm,I607,94.87
09489-A521,Other,A521,94.89
0949-A521,"Neurosyphilis, unspecified",A521,94.9
0958-A527,Other specified forms of late symptomatic syphilis,A527,95.8
0959-A529,"Late symptomatic syphilis, unspecified",A529,95.9
096-A528,"Late syphilis, latent",A528,96
0971-A530,"Latent syphilis, unspecified",A530,97.1
0979-A539,"Syphilis, unspecified",A539,97.9
09819-A542,Other,A542,98.19
0982-A540,"Chronic, of lower genitourinary tract",A540,98.2
09831-N302,"Gonococcal cystitis, chronic",N302,98.31
09835-N72,"Gonococcal cervicitis, chronic",N72,98.35
09839-A542,Other,A542,98.39
09841-A543,Gonococcal iridocyclitis,A543,98.41
09842-A543,Gonococcal endophthalmia,A543,98.42
09843-A543,Gonococcal keratitis,A543,98.43
09849-A543,Other,A543,98.49
09851-A544,Gonococcal synovitis and tenosynovitis,A544,98.51
09852-A544,Gonococcal bursitis,A544,98.52
09853-A544,Gonococcal spondylitis,A544,98.53
09859-A544,Other,A544,98.59
0986-A545,Gonococcal infection of pharynx,A545,98.6
0987-A546,Gonococcal infection of anus and rectum,A546,98.7
09882-G01,Gonococcal meningitis,G01,98.82
09889-A548,Other,A548,98.89
0991-A55,Lymphogranuloma venereum,A55,99.1
0992-A58,Granuloma inguinale,A58,99.2
0993-M0239,Reiter's disease,M0239,99.3
09941-A562,Chlamydia trachomatis,A562,99.41
09949-N341,Other specified organism,N341,99.49
09951-A564,Pharynx,A564,99.51
09952-A563,Anus and rectum,A563,99.52
09953-A560,Lower genitourinary sites,A560,99.53
09954-A561,Other genitourinary sites,A561,99.54
09955-A562,Unspecified genitourinary site,A562,99.55
09959-A568,Other specified site,A568,99.59
0998-A638,Other specified venereal diseases,A638,99.8
0999-A64,"Venereal disease, unspecified",A64,99.9
10081-G01,Leptospiral meningitis (aseptic),G01,100.81
10089-A278,Other,A278,100.89
1009-A279,"Leptospirosis, unspecified",A279,100.9
101-A691,Vincent's angina,A691,101
1021-A661,Multiple papillomata and wet crab yaws,A661,102.1
1022-A662,Other early skin lesions,A662,102.2
1023-A663,Hyperkeratosis,A663,102.3
1024-A664,Gummata and ulcers,A664,102.4
1025-A665,Gangosa,A665,102.5
1026-A666,Bone and joint lesions,A666,102.6
1027-A667,Other manifestations,A667,102.7
1028-A668,Latent yaws,A668,102.8
1029-A669,"Yaws, unspecified",A669,102.9
1031-A671,Intermediate lesions,A671,103.1
1032-A672,Late lesions,A672,103.2
1033-A673,Mixed lesions,A673,103.3
1039-A679,"Pinta, unspecified",A679,103.9
1048-A698,Other specified spirochetal infections,A698,104.8
1049-A699,"Spirochetal infection, unspecified",A699,104.9
1101-B351,Of nail,B351,110.1
1102-B352,Of hand,B352,110.2
1103-B356,Of groin and perianal area,B356,110.3
1104-B353,Of foot,B353,110.4
1105-B354,Of the body,B354,110.5
1106-B358,Deep seated dermatophytosis,B358,110.6
1108-B358,Of other specified sites,B358,110.8
1109-B359,Of unspecified site,B359,110.9
1111-B361,Tinea nigra,B361,111.1
1112-B362,Tinea blanca,B362,111.2
1113-B363,Black piedra,B363,111.3
1118-B368,Other specified dermatomycoses,B368,111.8
1119-B369,"Dermatomycosis, unspecified",B369,111.9
1121-B373,Of vulva and vagina,B373,112.1
1122-B374,Of other urogenital sites,B374,112.2
1123-B372,Of skin and nails,B372,112.3
1124-B371,Of lung,B371,112.4
11281-B376,Candidal endocarditis,B376,112.81
11282-H609,Candidal otitis externa,H609,112.82
11283-B375,Candidal meningitis,B375,112.83
11284-B3781,Candidal esophagitis,B3781,112.84
11285-A09,Candidal enteritis,A09,112.85
1129-B379,Of unspecified site,B379,112.9
1141-B383,Primary extrapulmonary coccidioidomycosis,B383,114.1
1142-B384,Coccidioidal meningitis,B384,114.2
1143-B388,Other forms of progressive coccidioidomycosis,B388,114.3
1144-B381,Chronic pulmonary coccidioidomycosis,B381,114.4
1145-B382,"Pulmonary coccidioidomycosis, unspecified",B382,114.5
1149-B389,"Coccidioidomycosis, unspecified",B389,114.9
1161-B419,Paracoccidioidomycosis,B419,116.1
1162-B480,Lobomycosis,B480,116.2
1171-B420,Sporotrichosis,B420,117.1
1172-B439,Chromoblastomycosis,B439,117.2
1173-B449,Aspergillosis,B449,117.3
1174-B470,Mycotic mycetomas,B470,117.4
1175-B459,Cryptococcosis,B459,117.5
1176-B482,Allescheriosis [Petriellidosis],B482,117.6
1177-B469,Zygomycosis [Phycomycosis or Mucormycosis],B469,117.7
1178-B439,Infection by dematiacious fungi [Phaehyphomycosis],B439,117.8
1179-B488,Other and unspecified mycoses,B488,117.9
1201-B651,Schistosoma mansoni,B651,120.1
1202-B652,Schistosoma japonicum,B652,120.2
1203-B653,Cutaneous,B653,120.3
1208-B658,Other specified schistosomiasis,B658,120.8
1209-B659,"Schistosomiasis, unspecified",B659,120.9
1211-B661,Clonorchiasis,B661,121.1
1212-B664,Paragonimiasis,B664,121.2
1213-B663,Fascioliasis,B663,121.3
1214-B665,Fasciolopsiasis,B665,121.4
1215-B668,Metagonimiasis,B668,121.5
1216-B668,Heterophyiasis,B668,121.6
1218-B668,Other specified trematode infections,B668,121.8
1219-B669,"Trematode infection, unspecified",B669,121.9
1221-B671,Echinococcus granulosus infection of lung,B671,122.1
1223-B673,"Echinococcus granulosus infection, other",B673,122.3
1224-B674,"Echinococcus granulosus infection, unspecified",B674,122.4
1225-B675,Echinococcus multilocularis infection of liver,B675,122.5
1226-B676,"Echinococcus multilocularis infection, other",B676,122.6
1227-B677,"Echinococcus multilocularis infection, unspecified",B677,122.7
1228-B678,"Echinococcosis, unspecified, of liver",B678,122.8
1229-B679,"Echinococcosis, other and unspecified",B679,122.9
1231-B699,Cysticercosis,B699,123.1
1232-B681,Taenia saginata infection,B681,123.2
1233-B689,"Taeniasis, unspecified",B689,123.3
1234-B700,"Diphyllobothriasis, intestinal",B700,123.4
1235-B701,Sparganosis [larval diphyllobothriasis],B701,123.5
1236-B710,Hymenolepiasis,B710,123.6
1238-B718,Other specified cestode infection,B718,123.8
1239-B719,"Cestode infection, unspecified",B719,123.9
124-B75,Trichinosis,B75,124
1251-B741,Malayan filariasis,B741,125.1
1252-B743,Loiasis,B743,125.2
1253-B73,Onchocerciasis,B73,125.3
1254-B744,Dipetalonemiasis,B744,125.4
1255-B744,Mansonella ozzardi infection,B744,125.5
1256-B748,Other specified filariasis,B748,125.6
1257-B72,Dracontiasis,B72,125.7
1259-B749,Unspecified filariasis,B749,125.9
1261-B761,Necator americanus,B761,126.1
1262-B760,Ancylostoma braziliense,B760,126.2
1263-B760,Ancylostoma ceylanicum,B760,126.3
1268-B760,Other specified Ancylostoma,B760,126.8
1269-B760,"Ancylostomiasis and necatoriasis, unspecified",B760,126.9
1271-B810,Anisakiasis,B810,127.1
1272-B789,Strongyloidiasis,B789,127.2
1273-B79,Trichuriasis,B79,127.3
1274-B80,Enterobiasis,B80,127.4
1275-B811,Capillariasis,B811,127.5
1276-B812,Trichostrongyliasis,B812,127.6
1277-B818,Other specified intestinal helminthiasis,B818,127.7
1278-B814,Mixed intestinal helminthiasis,B814,127.8
1279-B820,"Intestinal helminthiasis, unspecified",B820,127.9
1281-B831,Gnathostomiasis,B831,128.1
1288-B838,Other specified helminthiasis,B838,128.8
1289-B839,"Helminth infection, unspecified",B839,128.9
129-B829,"Intestinal parasitism, unspecified",B829,129
1301-B580,Conjunctivitis due to toxoplasmosis,B580,130.1
1302-B580,Chorioretinitis due to toxoplasmosis,B580,130.2
1304-B583,Pneumonitis due to toxoplasmosis,B583,130.4
1305-B581,Hepatitis due to toxoplasmosis,B581,130.5
1307-B588,Toxoplasmosis of other specified sites,B588,130.7
1308-B588,Multisystemic disseminated toxoplasmosis,B588,130.8
1309-B589,"Toxoplasmosis, unspecified",B589,130.9
13101-N771,Trichomonal vulvovaginitis,N771,131.01
13102-A590,Trichomonal urethritis,A590,131.02
13109-A590,Other,A590,131.09
1318-A598,Other specified sites,A598,131.8
1319-A599,"Trichomoniasis, unspecified",A599,131.9
1321-B851,Pediculus corporis [body louse],B851,132.1
1322-B853,Phthirus pubis [pubic louse],B853,132.2
1323-B854,Mixed infestation,B854,132.3
1329-B852,"Pediculosis, unspecified",B852,132.9
1338-B880,Other acariasis,B880,133.8
1339-B880,"Acariasis, unspecified",B880,133.9
1341-B882,Other arthropod infestation,B882,134.1
1342-B883,Hirudiniasis,B883,134.2
1348-B889,Other specified infestations,B889,134.8
1349-B889,"Infestation, unspecified",B889,134.9
135-D869,Sarcoidosis,D869,135
1361-M352,Beh\u00e7et's syndrome,M352,136.1
1362-A068,Specific infections by free-living amebae,A068,136.2
1363-B59,Pneumocystosis,B59,136.3
1364-B888,Psorospermiasis,B888,136.4
1365-A068,Sarcosporidiosis,A068,136.5
1368-B888,Other specified infectious and parasitic diseases,B888,136.8
1369-B89,Unspecified infectious and parasitic diseases,B89,136.9
1371-B900,Late effects of central nervous system tuberculosis,B900,137.1
1372-B901,Late effects of genitourinary tuberculosis,B901,137.2
1373-B902,Late effects of tuberculosis of bones and joints,B902,137.3
