id,order_number,short_description,long_description,formatted_icd10_code,FDN_parenticd10
R69,,"Illness, unspecified","Illness, unspecified",R69,
R7881,,Bacteremia,Bacteremia,R78.81,R788
S11,,Open wound of neck,Open wound of neck,S11,
S11035,,Open bite of vocal cord,Open bite of vocal cord,S11.035,S1103
S225,,Flail chest,Flail chest,S22.5,S22
L980,,Pyogenic granuloma,Pyogenic granuloma,L98.0,L98
M023,,Reiter's disease,Reiter's disease,M02.3,M02
M17,,Osteoarthritis of knee,Osteoarthritis of knee,M17,
M436,,Torticollis,Torticollis,M43.6,M43
M1A9,,"Chronic gout, unspecified","Chronic gout, unspecified",M1A.9,M1A
M2456,,"Contracture, knee","Contracture, knee",M24.56,M245
M245,,Contracture of joint,Contracture of joint,M24.5,M24
M405,,"Lordosis, unspecified","Lordosis, unspecified",M40.5,M40
M47,,Spondylosis,Spondylosis,M47,
M701,,Bursitis of hand,Bursitis of hand,M70.1,M70
M71,,Other bursopathies,Other bursopathies,M71,
M878,,Other osteonecrosis,Other osteonecrosis,M87.8,M87
N30,,Cystitis,Cystitis,N30,
M855,,Aneurysmal bone cyst,Aneurysmal bone cyst,M85.5,M85
M871,,Osteonecrosis due to drugs,Osteonecrosis due to drugs,M87.1,M87
M89,,Other disorders of bone,Other disorders of bone,M89,
L442,,Lichen striatus,Lichen striatus,L44.2,L44
S365,,Injury of colon,Injury of colon,S36.5,S36
M913,,Pseudocoxalgia,Pseudocoxalgia,M91.3,M91
S373,,Injury of urethra,Injury of urethra,S37.3,S37
M93,,Other osteochondropathies,Other osteochondropathies,M93,
S4001,,Contusion of shoulder,Contusion of shoulder,S40.01,S400
N03,,Chronic nephritic syndrome,Chronic nephritic syndrome,N03,
N430,,Encysted hydrocele,Encysted hydrocele,N43.0,N43
N760,,Acute vaginitis,Acute vaginitis,N76.0,N76
N897,,Hematocolpos,Hematocolpos,N89.7,N89
O141,,Severe pre-eclampsia,Severe pre-eclampsia,O14.1,O14
O300,,Twin pregnancy,Twin pregnancy,O30.0,O30
O310,,Papyraceous fetus,Papyraceous fetus,O31.0,O31
R1033,,Periumbilical pain,Periumbilical pain,R10.33,R103
W2105,,Struck by basketball,Struck by basketball,W21.05,W210
P541,,Neonatal melena,Neonatal melena,P54.1,P54
Q525,,Fusion of labia,Fusion of labia,Q52.5,Q52
O4311,,Circumvallate placenta,Circumvallate placenta,O43.11,O431
R193,,Abdominal rigidity,Abdominal rigidity,R19.3,R19
O71,,Other obstetric trauma,Other obstetric trauma,O71,
P57,,Kernicterus,Kernicterus,P57,
P84,,Other problems with newborn,Other problems with newborn,P84,
Q110,,Cystic eyeball,Cystic eyeball,Q11.0,Q11
Q183,,Webbing of neck,Webbing of neck,Q18.3,Q18
Q300,,Choanal atresia,Choanal atresia,Q30.0,Q30
Q69,,Polydactyly,Polydactyly,Q69,
Q7001,,"Fused fingers, right hand","Fused fingers, right hand",Q70.01,Q700
Q72,,Reduction defects of lower limb,Reduction defects of lower limb,Q72,
Q893,,Situs inversus,Situs inversus,Q89.3,Q89
R1083,,Colic,Colic,R10.83,R108
R290,,Tetany,Tetany,R29.0,R29
B260,,Mumps orchitis,Mumps orchitis,B26.0,B26
R431,,Parosmia,Parosmia,R43.1,R43
R4582,,Worries,Worries,R45.82,R458
R9081,,Abnormal echoencephalogram,Abnormal echoencephalogram,R90.81,R908
S022,,Fracture of nasal bones,Fracture of nasal bones,S02.2,S02
S032,,Dislocation of tooth,Dislocation of tooth,S03.2,S03
B452,,Cutaneous cryptococcosis,Cutaneous cryptococcosis,B45.2,B45
D72822,,Plasmacytosis,Plasmacytosis,D72.822,D7282
A681,,Tick-borne relapsing fever,Tick-borne relapsing fever,A68.1,A68
S362,,Injury of pancreas,Injury of pancreas,S36.2,S36
A689,,"Relapsing fever, unspecified","Relapsing fever, unspecified",A68.9,A68
A69,,Other spirochetal infections,Other spirochetal infections,A69,
A931,,Sandfly fever,Sandfly fever,A93.1,A93
A932,,Colorado tick fever,Colorado tick fever,A93.2,A93
B0233,,Zoster keratitis,Zoster keratitis,B02.33,B023
B0234,,Zoster scleritis,Zoster scleritis,B02.34,B023
H0400,,Unspecified dacryoadenitis,Unspecified dacryoadenitis,H04.00,H040
H058,,Other disorders of orbit,Other disorders of orbit,H05.8,H05
H0581,,Cyst of orbit,Cyst of orbit,H05.81,H058
S6221,,Bennett's fracture,Bennett's fracture,S62.21,S622
H05811,,Cyst of right orbit,Cyst of right orbit,H05.811,H0581
H05812,,Cyst of left orbit,Cyst of left orbit,H05.812,H0581
H05813,,Cyst of bilateral orbits,Cyst of bilateral orbits,H05.813,H0581
H05819,,Cyst of unspecified orbit,Cyst of unspecified orbit,H05.819,H0581
H150,,Scleritis,Scleritis,H15.0,H15
H1500,,Unspecified scleritis,Unspecified scleritis,H15.00,H150
H1871,,Corneal ectasia,Corneal ectasia,H18.71,H187
H18711,,"Corneal ectasia, right eye","Corneal ectasia, right eye",H18.711,H1871
H18712,,"Corneal ectasia, left eye","Corneal ectasia, left eye",H18.712,H1871
H18713,,"Corneal ectasia, bilateral","Corneal ectasia, bilateral",H18.713,H1871
H262,,Complicated cataract,Complicated cataract,H26.2,H26
H279,,Unspecified disorder of lens,Unspecified disorder of lens,H27.9,H27
Z72821,,Inadequate sleep hygiene,Inadequate sleep hygiene,Z72.821,Z7282
A250,,Spirillosis,Spirillosis,A25.0,A25
S710,,Open wound of hip,Open wound of hip,S71.0,S71
L02236,,Carbuncle of umbilicus,Carbuncle of umbilicus,L02.236,L0223
L03317,,Cellulitis of buttock,Cellulitis of buttock,L03.317,L0331
L438,,Other lichen planus,Other lichen planus,L43.8,L43
L439,,"Lichen planus, unspecified","Lichen planus, unspecified",L43.9,L43
L570,,Actinic keratosis,Actinic keratosis,L57.0,L57
L571,,Actinic reticuloid,Actinic reticuloid,L57.1,L57
L572,,Cutis rhomboidalis nuchae,Cutis rhomboidalis nuchae,L57.2,L57
L573,,Poikiloderma of Civatte,Poikiloderma of Civatte,L57.3,L57
L574,,Cutis laxa senilis,Cutis laxa senilis,L57.4,L57
L575,,Actinic granuloma,Actinic granuloma,L57.5,L57
L720,,Epidermal cyst,Epidermal cyst,L72.0,L72
L721,,Pilar and trichodermal cyst,Pilar and trichodermal cyst,L72.1,L72
L7211,,Pilar cyst,Pilar cyst,L72.11,L721
L7212,,Trichodermal cyst,Trichodermal cyst,L72.12,L721
S8081,,Abrasion of lower leg,Abrasion of lower leg,S80.81,S808
T180,,Foreign body in mouth,Foreign body in mouth,T18.0,T18
L722,,Steatocystoma multiplex,Steatocystoma multiplex,L72.2,L72
L723,,Sebaceous cyst,Sebaceous cyst,L72.3,L72
L820,,Inflamed seborrheic keratosis,Inflamed seborrheic keratosis,L82.0,L82
L821,,Other seborrheic keratosis,Other seborrheic keratosis,L82.1,L82
L83,,Acanthosis nigricans,Acanthosis nigricans,L83,
L84,,Corns and callosities,Corns and callosities,L84,
L85,,Other epidermal thickening,Other epidermal thickening,L85,
L850,,Acquired ichthyosis,Acquired ichthyosis,L85.0,L85
M10042,,"Idiopathic gout, left hand","Idiopathic gout, left hand",M10.042,M1004
M1042,,"Other secondary gout, elbow","Other secondary gout, elbow",M10.42,M104
M14622,,"Charcot's joint, left elbow","Charcot's joint, left elbow",M14.622,M1462
M25522,,Pain in left elbow,Pain in left elbow,M25.522,M2552
M25529,,Pain in unspecified elbow,Pain in unspecified elbow,M25.529,M2552
S852,,Injury of peroneal artery,Injury of peroneal artery,S85.2,S85
M2553,,Pain in wrist,Pain in wrist,M25.53,M255
H808,,Other otosclerosis,Other otosclerosis,H80.8,H80
I02,,Rheumatic chorea,Rheumatic chorea,I02,
I15,,Secondary hypertension,Secondary hypertension,I15,
I720,,Aneurysm of carotid artery,Aneurysm of carotid artery,I72.0,I72
I7381,,Erythromelalgia,Erythromelalgia,I73.81,I738
I71,,Aortic aneurysm and dissection,Aortic aneurysm and dissection,I71,
J941,,Fibrothorax,Fibrothorax,J94.1,J94
K027,,Dental root caries,Dental root caries,K02.7,K02
L29,,Pruritus,Pruritus,L29,
K130,,Diseases of lips,Diseases of lips,K13.0,K13
K44,,Diaphragmatic hernia,Diaphragmatic hernia,K44,
K562,,Volvulus,Volvulus,K56.2,K56
K81,,Cholecystitis,Cholecystitis,K81,
L0232,,Furuncle of buttock,Furuncle of buttock,L02.32,L023
L853,,Xerosis cutis,Xerosis cutis,L85.3,L85
L896,,Pressure ulcer of heel,Pressure ulcer of heel,L89.6,L89
M22,,Disorder of patella,Disorder of patella,M22,
M1025,,"Drug-induced gout, hip","Drug-induced gout, hip",M10.25,M102
M4029,,Other kyphosis,Other kyphosis,M40.29,M402
M257,,Osteophyte,Osteophyte,M25.7,M25
M341,,CR(E)ST syndrome,CR(E)ST syndrome,M34.1,M34
M412,,Other idiopathic scoliosis,Other idiopathic scoliosis,M41.2,M41
M54,,Dorsalgia,Dorsalgia,M54,
M761,,Psoas tendinitis,Psoas tendinitis,M76.1,M76
T400X5,,Adverse effect of opium,Adverse effect of opium,T40.0X5,T400X
T730,,Starvation,Starvation,T73.0,T73
M653,,Trigger finger,Trigger finger,M65.3,M65
M6744,,"Ganglion, hand","Ganglion, hand",M67.44,M674
M702,,Olecranon bursitis,Olecranon bursitis,M70.2,M70
I81,,Portal vein thrombosis,Portal vein thrombosis,I81,
M710,,Abscess of bursa,Abscess of bursa,M71.0,M71
M752,,Bicipital tendinitis,Bicipital tendinitis,M75.2,M75
K20,,Esophagitis,Esophagitis,K20,
N8329,,Other ovarian cysts,Other ovarian cysts,N83.29,N832
M914,,Coxa magna,Coxa magna,M91.4,M91
V00311,,Fall from snowboard,Fall from snowboard,V00.311,V0031
N2884,,Pyelitis cystica,Pyelitis cystica,N28.84,N288
T753,,Motion sickness,Motion sickness,T75.3,T75
W40,,Explosion of other materials,Explosion of other materials,W40,
N3946,,Mixed incontinence,Mixed incontinence,N39.46,N394
N604,,Mammary duct ectasia,Mammary duct ectasia,N60.4,N60
N857,,Hematometra,Hematometra,N85.7,N85
O15,,Eclampsia,Eclampsia,O15,
Q7013,,"Webbed fingers, bilateral","Webbed fingers, bilateral",Q70.13,Q701
Q702,,Fused toes,Fused toes,Q70.2,Q70
O410,,Oligohydramnios,Oligohydramnios,O41.0,O41
Q672,,Dolichocephaly,Dolichocephaly,Q67.2,Q67
O88,,Obstetric embolism,Obstetric embolism,O88,
V0015,,Heelies accident,Heelies accident,V00.15,V001
P12,,Birth injury to scalp,Birth injury to scalp,P12,
P270,,Wilson-Mikity syndrome,Wilson-Mikity syndrome,P27.0,P27
Q435,,Ectopic anus,Ectopic anus,Q43.5,Q43
Q442,,Atresia of bile ducts,Atresia of bile ducts,Q44.2,Q44
B26,,Mumps,Mumps,B26,
R291,,Meningismus,Meningismus,R29.1,R29
R402,,Coma,Coma,R40.2,R40
R455,,Hostility,Hostility,R45.5,R45
S0401,,Injury of optic nerve,Injury of optic nerve,S04.01,S040
S0043,,Contusion of ear,Contusion of ear,S00.43,S004
S041,,Injury of oculomotor nerve,Injury of oculomotor nerve,S04.1,S04
A692,,Lyme disease,Lyme disease,A69.2,A69
T85633,,Leakage of insulin pump,Leakage of insulin pump,T85.633,T8563
A6920,,"Lyme disease, unspecified","Lyme disease, unspecified",A69.20,A692
X38,,Flood,Flood,X38,
A009,,"Cholera, unspecified","Cholera, unspecified",A00.9,A00
N26,,Unspecified contracted kidney,Unspecified contracted kidney,N26,
N40,,Enlarged prostate,Enlarged prostate,N40,
A069,,"Amebiasis, unspecified","Amebiasis, unspecified",A06.9,A06
Z6221,,Child in welfare custody,Child in welfare custody,Z62.21,Z622
A218,,Other forms of tularemia,Other forms of tularemia,A21.8,A21
W2201,,Walked into wall,Walked into wall,W22.01,W220
A219,,"Tularemia, unspecified","Tularemia, unspecified",A21.9,A21
A220,,Cutaneous anthrax,Cutaneous anthrax,A22.0,A22
W07,,Fall from chair,Fall from chair,W07,
A221,,Pulmonary anthrax,Pulmonary anthrax,A22.1,A22
A222,,Gastrointestinal anthrax,Gastrointestinal anthrax,A22.2,A22
A227,,Anthrax sepsis,Anthrax sepsis,A22.7,A22
A20,,Plague,Plague,A20,
A228,,Other forms of anthrax,Other forms of anthrax,A22.8,A22
W5921,,Bitten by turtle,Bitten by turtle,W59.21,W592
W615,,Contact with goose,Contact with goose,W61.5,W61
A229,,"Anthrax, unspecified","Anthrax, unspecified",A22.9,A22
A23,,Brucellosis,Brucellosis,A23,
A327,,Listerial sepsis,Listerial sepsis,A32.7,A32
A328,,Other forms of listeriosis,Other forms of listeriosis,A32.8,A32
A3281,,Oculoglandular listeriosis,Oculoglandular listeriosis,A32.81,A328
Y9345,,"Activity, cheerleading","Activity, cheerleading",Y93.45,Y934
Y9375,,"Activity, martial arts","Activity, martial arts",Y93.75,Y937
Y93E3,,"Activity, vacuuming","Activity, vacuuming",Y93.E3,Y93E
Y93E4,,"Activity, ironing","Activity, ironing",Y93.E4,Y93E
A3282,,Listerial endocarditis,Listerial endocarditis,A32.82,A328
A3289,,Other forms of listeriosis,Other forms of listeriosis,A32.89,A328
A329,,"Listeriosis, unspecified","Listeriosis, unspecified",A32.9,A32
B37,,Candidiasis,Candidiasis,B37,
Z5281,,Egg (Oocyte) donor,Egg (Oocyte) donor,Z52.81,Z528
F655,,Sadomasochism,Sadomasochism,F65.5,F65
C45,,Mesothelioma,Mesothelioma,C45,
C761,,Malignant neoplasm of thorax,Malignant neoplasm of thorax,C76.1,C76
O63,,Long labor,Long labor,O63,
C7B,,Secondary neuroendocrine tumors,Secondary neuroendocrine tumors,C7B,
C841,,Sezary disease,Sezary disease,C84.1,C84
D180,,Hemangioma,Hemangioma,D18.0,D18
D45,,Polycythemia vera,Polycythemia vera,D45,
D46,,Myelodysplastic syndromes,Myelodysplastic syndromes,D46,
D814,,Nezelof's syndrome,Nezelof's syndrome,D81.4,D81
D86,,Sarcoidosis,Sarcoidosis,D86,
E035,,Myxedema coma,Myxedema coma,E03.5,E03
E703,,Albinism,Albinism,E70.3,E70
E7201,,Cystinuria,Cystinuria,E72.01,E720
F12,,Cannabis related disorders,Cannabis related disorders,F12,
F16,,Hallucinogen related disorders,Hallucinogen related disorders,F16,
F400,,Agoraphobia,Agoraphobia,F40.0,F40
F515,,Nightmare disorder,Nightmare disorder,F51.5,F51
G4481,,Hypnic headache,Hypnic headache,G44.81,G448
G80,,Cerebral palsy,Cerebral palsy,G80,
H001,,Chalazion,Chalazion,H00.1,H00
H0416,,Lacrimal gland dislocation,Lacrimal gland dislocation,H04.16,H041
H151,,Episcleritis,Episcleritis,H15.1,H15
H356,,Retinal hemorrhage,Retinal hemorrhage,H35.6,H35
H408,,Other glaucoma,Other glaucoma,H40.8,H40
H4411,,Panuveitis,Panuveitis,H44.11,H441
H471,,Papilledema,Papilledema,H47.1,H47
H532,,Diplopia,Diplopia,H53.2,H53
I672,,Cerebral atherosclerosis,Cerebral atherosclerosis,I67.2,I67
I710,,Dissection of aorta,Dissection of aorta,I71.0,I71
K000,,Anodontia,Anodontia,K00.0,K00
J43,,Emphysema,Emphysema,J43,
J632,,Berylliosis,Berylliosis,J63.2,J63
L70,,Acne,Acne,L70,
L01,,Impetigo,Impetigo,L01,
L683,,Polytrichia,Polytrichia,L68.3,L68
L90,,Atrophic disorders of skin,Atrophic disorders of skin,L90,
B373,,Candidiasis of vulva and vagina,Candidiasis of vulva and vagina,B37.3,B37
W550,,Contact with cat,Contact with cat,W55.0,W55
B440,,Invasive pulmonary aspergillosis,Invasive pulmonary aspergillosis,B44.0,B44
B441,,Other pulmonary aspergillosis,Other pulmonary aspergillosis,B44.1,B44
B442,,Tonsillar aspergillosis,Tonsillar aspergillosis,B44.2,B44
Q549,,"Hypospadias, unspecified","Hypospadias, unspecified",Q54.9,Q54
B447,,Disseminated aspergillosis,Disseminated aspergillosis,B44.7,B44
B448,,Other forms of aspergillosis,Other forms of aspergillosis,B44.8,B44
B82,,Unspecified intestinal parasitism,Unspecified intestinal parasitism,B82,
C696,,Malignant neoplasm of orbit,Malignant neoplasm of orbit,C69.6,C69
C716,,Malignant neoplasm of cerebellum,Malignant neoplasm of cerebellum,C71.6,C71
C717,,Malignant neoplasm of brain stem,Malignant neoplasm of brain stem,C71.7,C71
C9232,,"Myeloid sarcoma, in relapse","Myeloid sarcoma, in relapse",C92.32,C923
C924,,Acute promyelocytic leukemia,Acute promyelocytic leukemia,C92.4,C92
D002,,Carcinoma in situ of stomach,Carcinoma in situ of stomach,D00.2,D00
R824,,Acetonuria,Acetonuria,R82.4,R82
D071,,Carcinoma in situ of vulva,Carcinoma in situ of vulva,D07.1,D07
W2101,,Struck by football,Struck by football,W21.01,W210
D072,,Carcinoma in situ of vagina,Carcinoma in situ of vagina,D07.2,D07
D136,,Benign neoplasm of pancreas,Benign neoplasm of pancreas,D13.6,D13
D250,,Submucous leiomyoma of uterus,Submucous leiomyoma of uterus,D25.0,D25
D251,,Intramural leiomyoma of uterus,Intramural leiomyoma of uterus,D25.1,D25
D252,,Subserosal leiomyoma of uterus,Subserosal leiomyoma of uterus,D25.2,D25
D259,,"Leiomyoma of uterus, unspecified","Leiomyoma of uterus, unspecified",D25.9,D25
D26,,Other benign neoplasms of uterus,Other benign neoplasms of uterus,D26,
D3A,,Benign neuroendocrine tumors,Benign neuroendocrine tumors,D3A,
D3A0,,Benign carcinoid tumors,Benign carcinoid tumors,D3A.0,D3A
D532,,Scorbutic anemia,Scorbutic anemia,D53.2,D53
D539,,"Nutritional anemia, unspecified","Nutritional anemia, unspecified",D53.9,D53
D55,,Anemia due to enzyme disorders,Anemia due to enzyme disorders,D55,
D6862,,Lupus anticoagulant syndrome,Lupus anticoagulant syndrome,D68.62,D686
D6869,,Other thrombophilia,Other thrombophilia,D68.69,D686
E0781,,Sick-euthyroid syndrome,Sick-euthyroid syndrome,E07.81,E078
E344,,Constitutional tall stature,Constitutional tall stature,E34.4,E34
E345,,Androgen insensitivity syndrome,Androgen insensitivity syndrome,E34.5,E34
E569,,"Vitamin deficiency, unspecified","Vitamin deficiency, unspecified",E56.9,E56
E58,,Dietary calcium deficiency,Dietary calcium deficiency,E58,
E7881,,Lipoid dermatoarthritis,Lipoid dermatoarthritis,E78.81,E788
F6550,,"Sadomasochism, unspecified","Sadomasochism, unspecified",F65.50,F655
F6551,,Sexual masochism,Sexual masochism,F65.51,F655
F6552,,Sexual sadism,Sexual sadism,F65.52,F655
F658,,Other paraphilias,Other paraphilias,F65.8,F65
F6581,,Frotteurism,Frotteurism,F65.81,F658
F6589,,Other paraphilias,Other paraphilias,F65.89,F658
F659,,"Paraphilia, unspecified","Paraphilia, unspecified",F65.9,F65
F66,,Other sexual disorders,Other sexual disorders,F66,
G409,,"Epilepsy, unspecified","Epilepsy, unspecified",G40.9,G40
H0253,,Eyelid retraction,Eyelid retraction,H02.53,H025
H029,,Unspecified disorder of eyelid,Unspecified disorder of eyelid,H02.9,H02
H04,,Disorders of lacrimal system,Disorders of lacrimal system,H04,
H040,,Dacryoadenitis,Dacryoadenitis,H04.0,H04
H33112,,"Cyst of ora serrata, left eye","Cyst of ora serrata, left eye",H33.112,H3311
H4432,,Siderosis of eye,Siderosis of eye,H44.32,H443
H44321,,"Siderosis of eye, right eye","Siderosis of eye, right eye",H44.321,H4432
H44322,,"Siderosis of eye, left eye","Siderosis of eye, left eye",H44.322,H4432
H44323,,"Siderosis of eye, bilateral","Siderosis of eye, bilateral",H44.323,H4432
H5069,,Other mechanical strabismus,Other mechanical strabismus,H50.69,H506
H508,,Other specified strabismus,Other specified strabismus,H50.8,H50
H5081,,Duane's syndrome,Duane's syndrome,H50.81,H508
H50811,,"Duane's syndrome, right eye","Duane's syndrome, right eye",H50.811,H5081
H50812,,"Duane's syndrome, left eye","Duane's syndrome, left eye",H50.812,H5081
H5089,,Other specified strabismus,Other specified strabismus,H50.89,H508
H509,,Unspecified strabismus,Unspecified strabismus,H50.9,H50
H526,,Other disorders of refraction,Other disorders of refraction,H52.6,H52
H6122,,"Impacted cerumen, left ear","Impacted cerumen, left ear",H61.22,H612
H6123,,"Impacted cerumen, bilateral","Impacted cerumen, bilateral",H61.23,H612
H6541,,Chronic allergic otitis media,Chronic allergic otitis media,H65.41,H654
Y9313,,"Activity, water polo","Activity, water polo",Y93.13,Y931
Y93A6,,"Activity, grass drills","Activity, grass drills",Y93.A6,Y93A
H7013,,"Chronic mastoiditis, bilateral","Chronic mastoiditis, bilateral",H70.13,H701
H702,,Petrositis,Petrositis,H70.2,H70
H7020,,Unspecified petrositis,Unspecified petrositis,H70.20,H702
I10,,Essential (primary) hypertension,Essential (primary) hypertension,I10,
I11,,Hypertensive heart disease,Hypertensive heart disease,I11,
I408,,Other acute myocarditis,Other acute myocarditis,I40.8,I40
I409,,"Acute myocarditis, unspecified","Acute myocarditis, unspecified",I40.9,I40
I4902,,Ventricular flutter,Ventricular flutter,I49.02,I490
I491,,Atrial premature depolarization,Atrial premature depolarization,I49.1,I49
I671,,"Cerebral aneurysm, nonruptured","Cerebral aneurysm, nonruptured",I67.1,I67
I674,,Hypertensive encephalopathy,Hypertensive encephalopathy,I67.4,I67
I675,,Moyamoya disease,Moyamoya disease,I67.5,I67
K292,,Alcoholic gastritis,Alcoholic gastritis,K29.2,K29
Z562,,Threat of job loss,Threat of job loss,Z56.2,Z56
T7841,,Arthus phenomenon,Arthus phenomenon,T78.41,T784
K5641,,Fecal impaction,Fecal impaction,K56.41,K564
K5649,,Other impaction of intestine,Other impaction of intestine,K56.49,K564
K68,,Disorders of retroperitoneum,Disorders of retroperitoneum,K68,
K681,,Retroperitoneal abscess,Retroperitoneal abscess,K68.1,K68
K7460,,Unspecified cirrhosis of liver,Unspecified cirrhosis of liver,K74.60,K746
Z561,,Change of job,Change of job,Z56.1,Z56
K7469,,Other cirrhosis of liver,Other cirrhosis of liver,K74.69,K746
K75,,Other inflammatory liver diseases,Other inflammatory liver diseases,K75,
K750,,Abscess of liver,Abscess of liver,K75.0,K75
K751,,Phlebitis of portal vein,Phlebitis of portal vein,K75.1,K75
S936,,Sprain of foot,Sprain of foot,S93.6,S93
K752,,Nonspecific reactive hepatitis,Nonspecific reactive hepatitis,K75.2,K75
K861,,Other chronic pancreatitis,Other chronic pancreatitis,K86.1,K86
K862,,Cyst of pancreas,Cyst of pancreas,K86.2,K86
K863,,Pseudocyst of pancreas,Pseudocyst of pancreas,K86.3,K86
K9403,,Colostomy malfunction,Colostomy malfunction,K94.03,K940
L02233,,Carbuncle of chest wall,Carbuncle of chest wall,L02.233,L0223
L02234,,Carbuncle of groin,Carbuncle of groin,L02.234,L0223
L02235,,Carbuncle of perineum,Carbuncle of perineum,L02.235,L0223
M1A06,,"Idiopathic chronic gout, knee","Idiopathic chronic gout, knee",M1A.06,M1A0
M24641,,"Ankylosis, right hand","Ankylosis, right hand",M24.641,M2464
T2841,,Burn of ear drum,Burn of ear drum,T28.41,T284
M24642,,"Ankylosis, left hand","Ankylosis, left hand",M24.642,M2464
T671,,Heat syncope,Heat syncope,T67.1,T67
M24649,,"Ankylosis, unspecified hand","Ankylosis, unspecified hand",M24.649,M2464
M2465,,"Ankylosis, hip","Ankylosis, hip",M24.65,M246
M24651,,"Ankylosis, right hip","Ankylosis, right hip",M24.651,M2465
M24652,,"Ankylosis, left hip","Ankylosis, left hip",M24.652,M2465
T477X5,,Adverse effect of emetics,Adverse effect of emetics,T47.7X5,T477X
M41,,Scoliosis,Scoliosis,M41,
M24659,,"Ankylosis, unspecified hip","Ankylosis, unspecified hip",M24.659,M2465
M2466,,"Ankylosis, knee","Ankylosis, knee",M24.66,M246
M24661,,"Ankylosis, right knee","Ankylosis, right knee",M24.661,M2466
M24662,,"Ankylosis, left knee","Ankylosis, left knee",M24.662,M2466
M24669,,"Ankylosis, unspecified knee","Ankylosis, unspecified knee",M24.669,M2466
T672,,Heat cramp,Heat cramp,T67.2,T67
T68,,Hypothermia,Hypothermia,T68,
M2467,,"Ankylosis, ankle and foot","Ankylosis, ankle and foot",M24.67,M246
T730XXS,,"Starvation, sequela","Starvation, sequela",T73.0XXS,T730
M24671,,"Ankylosis, right ankle","Ankylosis, right ankle",M24.671,M2467
M24672,,"Ankylosis, left ankle","Ankylosis, left ankle",M24.672,M2467
M24673,,"Ankylosis, unspecified ankle","Ankylosis, unspecified ankle",M24.673,M2467
M24674,,"Ankylosis, right foot","Ankylosis, right foot",M24.674,M2467
M24675,,"Ankylosis, left foot","Ankylosis, left foot",M24.675,M2467
V933,,Fall on board watercraft,Fall on board watercraft,V93.3,V93
M24676,,"Ankylosis, unspecified foot","Ankylosis, unspecified foot",M24.676,M2467
M247,,Protrusio acetabuli,Protrusio acetabuli,M24.7,M24
M25041,,"Hemarthrosis, right hand","Hemarthrosis, right hand",M25.041,M2504
M25042,,"Hemarthrosis, left hand","Hemarthrosis, left hand",M25.042,M2504
M25259,,"Flail joint, unspecified hip","Flail joint, unspecified hip",M25.259,M2525
W313,,Contact with prime movers,Contact with prime movers,W31.3,W31
M2526,,"Flail joint, knee","Flail joint, knee",M25.26,M252
M25261,,"Flail joint, right knee","Flail joint, right knee",M25.261,M2526
X34,,Earthquake,Earthquake,X34,
