"RiskProfileID","FDN_Customer","RiskLevel","AssessmentDate","AssessedBy","Score","IsSanctioned","SanctionReason","ReviewFrequency","NextReviewDate"
"RISK0090","CUST0090","High","08-04-2024","Analyst3","108.0","TRUE","Sanctioned by UN","Quarterly","08-04-2024"
"RISK0091","CUST0091","Low","09-04-2024","Analyst1","40.0","FALSE","","Annual","09-04-2025"
"RISK0092","CUST0092","Medium","10-04-2024","Analyst2","75.0","FALSE","","Annual","10-04-2025"
"RISK0093","CUST0093","High","11-04-2024","Analyst3","109.0","TRUE","Sanctioned by OFAC","Quarterly","11-04-2024"
"RISK0094","CUST0094","Low","12-04-2024","Analyst1","41.0","FALSE","","Annual","12-04-2025"
"RISK0095","CUST0095","Medium","13-04-2024","Analyst2","76.0","FALSE","","Annual","13-04-2025"
"RISK0096","CUST0096","High","14-04-2024","Analyst3","110.0","TRUE","Sanctioned by EU","Quarterly","14-04-2024"
"RISK0097","CUST0097","Low","15-04-2024","Analyst1","42.0","FALSE","","Annual","15-04-2025"
"RISK0098","CUST0098","Medium","16-04-2024","Analyst2","77.0","FALSE","","Annual","16-04-2025"
"RISK0099","CUST0099","High","17-04-2024","Analyst3","111.0","TRUE","Sanctioned by UN","Quarterly","17-04-2024"
"RISK0100","CUST0100","Low","18-04-2024","Analyst1","43.0","FALSE","","Annual","18-04-2025"
