"KYCCheckID","FDN_Customer","CheckType","CheckDate","Result","PerformedBy","Notes","IsAutomated","IsPassed","NextCheckDate"
"KYCCHK0028","CUST0028","Identity Verification","06-02-2024","Passed","AutoKYC","","TRUE","TRUE","06-02-2025"
"KYCCHK0029","CUST0029","Sanctions Screening","07-02-2024","Passed","AutoKYC","","TRUE","TRUE","07-02-2025"
"KYCCHK0030","CUST0030","PEP Check","08-02-2024","Passed","AutoKYC","","TRUE","TRUE","08-02-2025"
"KYCCHK0031","CUST0031","Identity Verification","09-02-2024","Passed","AutoKYC","","TRUE","TRUE","09-02-2025"
"KYCCHK0032","CUST0032","Sanctions Screening","10-02-2024","Passed","AutoKYC","","TRUE","TRUE","10-02-2025"
"KYCCHK0033","CUST0033","PEP Check","11-02-2024","Passed","AutoKYC","","TRUE","TRUE","11-02-2025"
"KYCCHK0034","CUST0034","Identity Verification","12-02-2024","Passed","AutoKYC","","TRUE","TRUE","12-02-2025"
"KYCCHK0035","CUST0035","Sanctions Screening","13-02-2024","Passed","AutoKYC","","TRUE","TRUE","13-02-2025"
"KYCCHK0036","CUST0036","PEP Check","14-02-2024","Passed","AutoKYC","","TRUE","TRUE","14-02-2025"
"KYCCHK0037","CUST0037","Identity Verification","15-02-2024","Passed","AutoKYC","","TRUE","TRUE","15-02-2025"
"KYCCHK0038","CUST0038","Sanctions Screening","16-02-2024","Passed","AutoKYC","","TRUE","TRUE","16-02-2025"
"KYCCHK0039","CUST0039","PEP Check","17-02-2024","Passed","AutoKYC","","TRUE","TRUE","17-02-2025"
"KYCCHK0040","CUST0040","Identity Verification","18-02-2024","Passed","AutoKYC","","TRUE","TRUE","18-02-2025"
"KYCCHK0041","CUST0041","Sanctions Screening","19-02-2024","Passed","AutoKYC","","TRUE","TRUE","19-02-2025"
"KYCCHK0042","CUST0042","PEP Check","20-02-2024","Passed","AutoKYC","","TRUE","TRUE","20-02-2025"
"KYCCHK0043","CUST0043","Identity Verification","21-02-2024","Passed","AutoKYC","","TRUE","TRUE","21-02-2025"
"KYCCHK0044","CUST0044","Sanctions Screening","22-02-2024","Passed","AutoKYC","","TRUE","TRUE","22-02-2025"
"KYCCHK0045","CUST0045","PEP Check","23-02-2024","Passed","AutoKYC","","TRUE","TRUE","23-02-2025"
"KYCCHK0046","CUST0046","Identity Verification","24-02-2024","Passed","AutoKYC","","TRUE","TRUE","24-02-2025"
"KYCCHK0047","CUST0047","Sanctions Screening","25-02-2024","Passed","AutoKYC","","TRUE","TRUE","25-02-2025"
"KYCCHK0048","CUST0048","PEP Check","26-02-2024","Passed","AutoKYC","","TRUE","TRUE","26-02-2025"
"KYCCHK0049","CUST0049","Identity Verification","27-02-2024","Passed","AutoKYC","","TRUE","TRUE","27-02-2025"
"KYCCHK0050","CUST0050","Sanctions Screening","28-02-2024","Passed","AutoKYC","","TRUE","TRUE","28-02-2025"
"KYCCHK0051","CUST0051","PEP Check","29-02-2024","Passed","AutoKYC","","TRUE","TRUE","28-02-2025"
"KYCCHK0052","CUST0052","Identity Verification","01-03-2024","Passed","AutoKYC","","TRUE","TRUE","01-03-2025"
"KYCCHK0053","CUST0053","Sanctions Screening","02-03-2024","Passed","AutoKYC","","TRUE","TRUE","02-03-2025"
"KYCCHK0054","CUST0054","PEP Check","03-03-2024","Passed","AutoKYC","","TRUE","TRUE","03-03-2025"
"KYCCHK0055","CUST0055","Identity Verification","04-03-2024","Passed","AutoKYC","","TRUE","TRUE","04-03-2025"
"KYCCHK0056","CUST0056","Sanctions Screening","05-03-2024","Passed","AutoKYC","","TRUE","TRUE","05-03-2025"
"KYCCHK0057","CUST0057","PEP Check","06-03-2024","Passed","AutoKYC","","TRUE","TRUE","06-03-2025"
"KYCCHK0058","CUST0058","Identity Verification","07-03-2024","Passed","AutoKYC","","TRUE","TRUE","07-03-2025"
"KYCCHK0059","CUST0059","Sanctions Screening","08-03-2024","Passed","AutoKYC","","TRUE","TRUE","08-03-2025"
"KYCCHK0060","CUST0060","PEP Check","09-03-2024","Passed","AutoKYC","","TRUE","TRUE","09-03-2025"
"KYCCHK0061","CUST0061","Identity Verification","10-03-2024","Passed","AutoKYC","","TRUE","TRUE","10-03-2025"
"KYCCHK0062","CUST0062","Sanctions Screening","11-03-2024","Passed","AutoKYC","","TRUE","TRUE","11-03-2025"
"KYCCHK0063","CUST0063","PEP Check","12-03-2024","Passed","AutoKYC","","TRUE","TRUE","12-03-2025"
"KYCCHK0064","CUST0064","Identity Verification","13-03-2024","Passed","AutoKYC","","TRUE","TRUE","13-03-2025"
"KYCCHK0065","CUST0065","Sanctions Screening","14-03-2024","Passed","AutoKYC","","TRUE","TRUE","14-03-2025"
"KYCCHK0066","CUST0066","PEP Check","15-03-2024","Passed","AutoKYC","","TRUE","TRUE","15-03-2025"
"KYCCHK0067","CUST0067","Identity Verification","16-03-2024","Passed","AutoKYC","","TRUE","TRUE","16-03-2025"
"KYCCHK0068","CUST0068","Sanctions Screening","17-03-2024","Passed","AutoKYC","","TRUE","TRUE","17-03-2025"
"KYCCHK0069","CUST0069","PEP Check","18-03-2024","Passed","AutoKYC","","TRUE","TRUE","18-03-2025"
"KYCCHK0070","CUST0070","Identity Verification","19-03-2024","Passed","AutoKYC","","TRUE","TRUE","19-03-2025"
"KYCCHK0071","CUST0071","Sanctions Screening","20-03-2024","Passed","AutoKYC","","TRUE","TRUE","20-03-2025"
"KYCCHK0072","CUST0072","PEP Check","21-03-2024","Passed","AutoKYC","","TRUE","TRUE","21-03-2025"
"KYCCHK0073","CUST0073","Identity Verification","22-03-2024","Passed","AutoKYC","","TRUE","TRUE","22-03-2025"
"KYCCHK0074","CUST0074","Sanctions Screening","23-03-2024","Passed","AutoKYC","","TRUE","TRUE","23-03-2025"
"KYCCHK0075","CUST0075","PEP Check","24-03-2024","Passed","AutoKYC","","TRUE","TRUE","24-03-2025"
"KYCCHK0076","CUST0076","Identity Verification","25-03-2024","Passed","AutoKYC","","TRUE","TRUE","25-03-2025"
"KYCCHK0077","CUST0077","Sanctions Screening","26-03-2024","Passed","AutoKYC","","TRUE","TRUE","26-03-2025"
"KYCCHK0078","CUST0078","PEP Check","27-03-2024","Passed","AutoKYC","","TRUE","TRUE","27-03-2025"
"KYCCHK0079","CUST0079","Identity Verification","28-03-2024","Passed","AutoKYC","","TRUE","TRUE","28-03-2025"
"KYCCHK0080","CUST0080","Sanctions Screening","29-03-2024","Passed","AutoKYC","","TRUE","TRUE","29-03-2025"
"KYCCHK0081","CUST0081","PEP Check","30-03-2024","Passed","AutoKYC","","TRUE","TRUE","30-03-2025"
"KYCCHK0082","CUST0082","Identity Verification","31-03-2024","Passed","AutoKYC","","TRUE","TRUE","31-03-2025"
"KYCCHK0083","CUST0083","Sanctions Screening","01-04-2024","Passed","AutoKYC","","TRUE","TRUE","01-04-2025"
"KYCCHK0084","CUST0084","PEP Check","02-04-2024","Passed","AutoKYC","","TRUE","TRUE","02-04-2025"
"KYCCHK0085","CUST0085","Identity Verification","03-04-2024","Passed","AutoKYC","","TRUE","TRUE","03-04-2025"
"KYCCHK0086","CUST0086","Sanctions Screening","04-04-2024","Passed","AutoKYC","","TRUE","TRUE","04-04-2025"
"KYCCHK0087","CUST0087","PEP Check","05-04-2024","Passed","AutoKYC","","TRUE","TRUE","05-04-2025"
"KYCCHK0088","CUST0088","Identity Verification","06-04-2024","Passed","AutoKYC","","TRUE","TRUE","06-04-2025"
"KYCCHK0089","CUST0089","Sanctions Screening","07-04-2024","Passed","AutoKYC","","TRUE","TRUE","07-04-2025"
"KYCCHK0090","CUST0090","PEP Check","08-04-2024","Passed","AutoKYC","","TRUE","TRUE","08-04-2025"
"KYCCHK0091","CUST0091","Identity Verification","09-04-2024","Passed","AutoKYC","","TRUE","TRUE","09-04-2025"
"KYCCHK0092","CUST0092","Sanctions Screening","10-04-2024","Passed","AutoKYC","","TRUE","TRUE","10-04-2025"
"KYCCHK0093","CUST0093","PEP Check","11-04-2024","Passed","AutoKYC","","TRUE","TRUE","11-04-2025"
"KYCCHK0094","CUST0094","Identity Verification","12-04-2024","Passed","AutoKYC","","TRUE","TRUE","12-04-2025"
"KYCCHK0095","CUST0095","Sanctions Screening","13-04-2024","Passed","AutoKYC","","TRUE","TRUE","13-04-2025"
"KYCCHK0096","CUST0096","PEP Check","14-04-2024","Passed","AutoKYC","","TRUE","TRUE","14-04-2025"
"KYCCHK0097","CUST0097","Identity Verification","15-04-2024","Passed","AutoKYC","","TRUE","TRUE","15-04-2025"
"KYCCHK0098","CUST0098","Sanctions Screening","16-04-2024","Passed","AutoKYC","","TRUE","TRUE","16-04-2025"
"KYCCHK0099","CUST0099","PEP Check","17-04-2024","Passed","AutoKYC","","TRUE","TRUE","17-04-2025"
"KYCCHK0100","CUST0100","Identity Verification","18-04-2024","Passed","AutoKYC","","TRUE","TRUE","18-04-2025"
"KYCCHK0101","CUST0001","Sanctions Screening","10-05-2024","Passed","AutoKYC","","TRUE","TRUE","10-05-2025"
"KYCCHK0102","CUST0001","PEP Check","10-06-2024","Passed","AutoKYC","","TRUE","TRUE","10-06-2025"
"KYCCHK0103","CUST0002","Identity Verification","11-05-2024","Passed","AutoKYC","","TRUE","TRUE","11-05-2025"
"KYCCHK0104","CUST0002","Sanctions Screening","11-06-2024","Passed","AutoKYC","","TRUE","TRUE","11-06-2025"
"KYCCHK0105","CUST0003","Identity Verification","12-05-2024","Passed","AutoKYC","","TRUE","TRUE","12-05-2025"
"KYCCHK0106","CUST0003","Sanctions Screening","12-06-2024","Passed","AutoKYC","","TRUE","TRUE","12-06-2025"
"KYCCHK0107","CUST0003","PEP Check","12-07-2024","Passed","AutoKYC","","TRUE","TRUE","12-07-2025"
"KYCCHK0108","CUST0004","Sanctions Screening","13-05-2024","Passed","AutoKYC","","TRUE","TRUE","13-05-2025"
"KYCCHK0109","CUST0004","PEP Check","13-06-2024","Passed","AutoKYC","","TRUE","TRUE","13-06-2025"
"KYCCHK0110","CUST0005","Identity Verification","14-05-2024","Passed","AutoKYC","","TRUE","TRUE","14-05-2025"
"KYCCHK0111","CUST0005","Sanctions Screening","14-06-2024","Passed","AutoKYC","","TRUE","TRUE","14-06-2025"
"KYCCHK0112","CUST0005","PEP Check","14-07-2024","Passed","AutoKYC","","TRUE","TRUE","14-07-2025"
"KYCCHK0113","CUST0006","Sanctions Screening","15-05-2024","Passed","AutoKYC","","TRUE","TRUE","15-05-2025"
"KYCCHK0114","CUST0006","PEP Check","15-06-2024","Passed","AutoKYC","","TRUE","TRUE","15-06-2025"
"KYCCHK0115","CUST0007","Identity Verification","16-05-2024","Passed","AutoKYC","","TRUE","TRUE","16-05-2025"
"KYCCHK0116","CUST0007","Sanctions Screening","16-06-2024","Passed","AutoKYC","","TRUE","TRUE","16-06-2025"
"KYCCHK0117","CUST0007","PEP Check","16-07-2024","Passed","AutoKYC","","TRUE","TRUE","16-07-2025"
"KYCCHK0118","CUST0008","Sanctions Screening","17-05-2024","Passed","AutoKYC","","TRUE","TRUE","17-05-2025"
"KYCCHK0119","CUST0008","PEP Check","17-06-2024","Passed","AutoKYC","","TRUE","TRUE","17-06-2025"
"KYCCHK0120","CUST0009","Identity Verification","18-05-2024","Passed","AutoKYC","","TRUE","TRUE","18-05-2025"
"KYCCHK0121","CUST0009","Sanctions Screening","18-06-2024","Passed","AutoKYC","","TRUE","TRUE","18-06-2025"
"KYCCHK0122","CUST0009","PEP Check","18-07-2024","Passed","AutoKYC","","TRUE","TRUE","18-07-2025"
"KYCCHK0123","CUST0010","Sanctions Screening","19-05-2024","Passed","AutoKYC","","TRUE","TRUE","19-05-2025"
"KYCCHK0124","CUST0010","PEP Check","19-06-2024","Passed","AutoKYC","","TRUE","TRUE","19-06-2025"
"KYCCHK0125","CUST0011","Identity Verification","20-05-2024","Passed","AutoKYC","","TRUE","TRUE","20-05-2025"
"KYCCHK0126","CUST0011","Sanctions Screening","20-06-2024","Passed","AutoKYC","","TRUE","TRUE","20-06-2025"
"KYCCHK0127","CUST0011","PEP Check","20-07-2024","Passed","AutoKYC","","TRUE","TRUE","20-07-2025"
"KYCCHK0128","CUST0012","Sanctions Screening","21-05-2024","Passed","AutoKYC","","TRUE","TRUE","21-05-2025"
"KYCCHK0129","CUST0012","PEP Check","21-06-2024","Passed","AutoKYC","","TRUE","TRUE","21-06-2025"
"KYCCHK0130","CUST0013","Identity Verification","22-05-2024","Passed","AutoKYC","","TRUE","TRUE","22-05-2025"
"KYCCHK0131","CUST0013","Sanctions Screening","22-06-2024","Passed","AutoKYC","","TRUE","TRUE","22-06-2025"
"KYCCHK0132","CUST0013","PEP Check","22-07-2024","Passed","AutoKYC","","TRUE","TRUE","22-07-2025"
"KYCCHK0133","CUST0014","Sanctions Screening","23-05-2024","Passed","AutoKYC","","TRUE","TRUE","23-05-2025"
"KYCCHK0134","CUST0014","PEP Check","23-06-2024","Passed","AutoKYC","","TRUE","TRUE","23-06-2025"
"KYCCHK0135","CUST0015","Identity Verification","24-05-2024","Passed","AutoKYC","","TRUE","TRUE","24-05-2025"
"KYCCHK0136","CUST0015","Sanctions Screening","24-06-2024","Passed","AutoKYC","","TRUE","TRUE","24-06-2025"
"KYCCHK0137","CUST0015","PEP Check","24-07-2024","Passed","AutoKYC","","TRUE","TRUE","24-07-2025"
"KYCCHK0138","CUST0016","Sanctions Screening","25-05-2024","Passed","AutoKYC","","TRUE","TRUE","25-05-2025"
"KYCCHK0139","CUST0016","PEP Check","25-06-2024","Passed","AutoKYC","","TRUE","TRUE","25-06-2025"
"KYCCHK0140","CUST0017","Identity Verification","26-05-2024","Passed","AutoKYC","","TRUE","TRUE","26-05-2025"
"KYCCHK0141","CUST0017","Sanctions Screening","26-06-2024","Passed","AutoKYC","","TRUE","TRUE","26-06-2025"
"KYCCHK0142","CUST0017","PEP Check","26-07-2024","Passed","AutoKYC","","TRUE","TRUE","26-07-2025"
"KYCCHK0143","CUST0018","Sanctions Screening","27-05-2024","Passed","AutoKYC","","TRUE","TRUE","27-05-2025"
"KYCCHK0144","CUST0018","PEP Check","27-06-2024","Passed","AutoKYC","","TRUE","TRUE","27-06-2025"
"KYCCHK0145","CUST0019","Identity Verification","28-05-2024","Passed","AutoKYC","","TRUE","TRUE","28-05-2025"
"KYCCHK0146","CUST0019","Sanctions Screening","28-06-2024","Passed","AutoKYC","","TRUE","TRUE","28-06-2025"
"KYCCHK0147","CUST0019","PEP Check","28-07-2024","Passed","AutoKYC","","TRUE","TRUE","28-07-2025"
"KYCCHK0148","CUST0020","Sanctions Screening","29-05-2024","Passed","AutoKYC","","TRUE","TRUE","29-05-2025"
"KYCCHK0149","CUST0020","PEP Check","29-06-2024","Passed","AutoKYC","","TRUE","TRUE","29-06-2025"
"KYCCHK0150","CUST0021","Identity Verification","30-05-2024","Passed","AutoKYC","","TRUE","TRUE","30-05-2025"
"KYCCHK0151","CUST0021","Sanctions Screening","30-06-2024","Passed","AutoKYC","","TRUE","TRUE","30-06-2025"
"KYCCHK0152","CUST0021","PEP Check","30-07-2024","Passed","AutoKYC","","TRUE","TRUE","30-07-2025"
"KYCCHK0153","CUST0022","Sanctions Screening","31-05-2024","Passed","AutoKYC","","TRUE","TRUE","31-05-2025"
"KYCCHK0154","CUST0022","PEP Check","30-06-2024","Passed","AutoKYC","","TRUE","TRUE","30-06-2025"
"KYCCHK0155","CUST0023","Identity Verification","01-06-2024","Passed","AutoKYC","","TRUE","TRUE","01-06-2025"
"KYCCHK0156","CUST0023","Sanctions Screening","01-07-2024","Passed","AutoKYC","","TRUE","TRUE","01-07-2025"
"KYCCHK0157","CUST0023","PEP Check","01-08-2024","Passed","AutoKYC","","TRUE","TRUE","01-08-2025"
"KYCCHK0158","CUST0024","Sanctions Screening","02-06-2024","Passed","AutoKYC","","TRUE","TRUE","02-06-2025"
"KYCCHK0159","CUST0024","PEP Check","02-07-2024","Passed","AutoKYC","","TRUE","TRUE","02-07-2025"
"KYCCHK0160","CUST0025","Identity Verification","03-06-2024","Passed","AutoKYC","","TRUE","TRUE","03-06-2025"
"KYCCHK0161","CUST0025","Sanctions Screening","03-07-2024","Passed","AutoKYC","","TRUE","TRUE","03-07-2025"
"KYCCHK0162","CUST0025","PEP Check","03-08-2024","Passed","AutoKYC","","TRUE","TRUE","03-08-2025"
"KYCCHK0163","CUST0026","Sanctions Screening","04-06-2024","Passed","AutoKYC","","TRUE","TRUE","04-06-2025"
"KYCCHK0164","CUST0026","PEP Check","04-07-2024","Passed","AutoKYC","","TRUE","TRUE","04-07-2025"
"KYCCHK0165","CUST0027","Identity Verification","05-06-2024","Passed","AutoKYC","","TRUE","TRUE","05-06-2025"
"KYCCHK0166","CUST0027","Sanctions Screening","05-07-2024","Passed","AutoKYC","","TRUE","TRUE","05-07-2025"
"KYCCHK0167","CUST0027","PEP Check","05-08-2024","Passed","AutoKYC","","TRUE","TRUE","05-08-2025"
"KYCCHK0168","CUST0028","Sanctions Screening","06-06-2024","Passed","AutoKYC","","TRUE","TRUE","06-06-2025"
"KYCCHK0169","CUST0028","PEP Check","06-07-2024","Passed","AutoKYC","","TRUE","TRUE","06-07-2025"
"KYCCHK0170","CUST0029","Identity Verification","07-06-2024","Passed","AutoKYC","","TRUE","TRUE","07-06-2025"
"KYCCHK0171","CUST0029","Sanctions Screening","07-07-2024","Passed","AutoKYC","","TRUE","TRUE","07-07-2025"
"KYCCHK0172","CUST0029","PEP Check","07-08-2024","Passed","AutoKYC","","TRUE","TRUE","07-08-2025"
"KYCCHK0173","CUST0030","Sanctions Screening","08-06-2024","Passed","AutoKYC","","TRUE","TRUE","08-06-2025"
"KYCCHK0174","CUST0030","PEP Check","08-07-2024","Passed","AutoKYC","","TRUE","TRUE","08-07-2025"
"KYCCHK0175","CUST0031","Identity Verification","09-06-2024","Passed","AutoKYC","","TRUE","TRUE","09-06-2025"
"KYCCHK0176","CUST0031","Sanctions Screening","09-07-2024","Passed","AutoKYC","","TRUE","TRUE","09-07-2025"
"KYCCHK0177","CUST0031","PEP Check","09-08-2024","Passed","AutoKYC","","TRUE","TRUE","09-08-2025"
"KYCCHK0178","CUST0032","Sanctions Screening","10-06-2024","Passed","AutoKYC","","TRUE","TRUE","10-06-2025"
"KYCCHK0179","CUST0032","PEP Check","10-07-2024","Passed","AutoKYC","","TRUE","TRUE","10-07-2025"
"KYCCHK0180","CUST0033","Identity Verification","11-06-2024","Passed","AutoKYC","","TRUE","TRUE","11-06-2025"
"KYCCHK0181","CUST0033","Sanctions Screening","11-07-2024","Passed","AutoKYC","","TRUE","TRUE","11-07-2025"
"KYCCHK0182","CUST0033","PEP Check","11-08-2024","Passed","AutoKYC","","TRUE","TRUE","11-08-2025"
"KYCCHK0183","CUST0034","Sanctions Screening","12-06-2024","Passed","AutoKYC","","TRUE","TRUE","12-06-2025"
"KYCCHK0184","CUST0034","PEP Check","12-07-2024","Passed","AutoKYC","","TRUE","TRUE","12-07-2025"
"KYCCHK0185","CUST0035","Identity Verification","13-06-2024","Passed","AutoKYC","","TRUE","TRUE","13-06-2025"
"KYCCHK0186","CUST0035","Sanctions Screening","13-07-2024","Passed","AutoKYC","","TRUE","TRUE","13-07-2025"
"KYCCHK0187","CUST0035","PEP Check","13-08-2024","Passed","AutoKYC","","TRUE","TRUE","13-08-2025"
"KYCCHK0188","CUST0036","Sanctions Screening","14-06-2024","Passed","AutoKYC","","TRUE","TRUE","14-06-2025"
"KYCCHK0189","CUST0036","PEP Check","14-07-2024","Passed","AutoKYC","","TRUE","TRUE","14-07-2025"
"KYCCHK0190","CUST0037","Identity Verification","15-06-2024","Passed","AutoKYC","","TRUE","TRUE","15-06-2025"
"KYCCHK0191","CUST0037","Sanctions Screening","15-07-2024","Passed","AutoKYC","","TRUE","TRUE","15-07-2025"
"KYCCHK0192","CUST0037","PEP Check","15-08-2024","Passed","AutoKYC","","TRUE","TRUE","15-08-2025"
"KYCCHK0193","CUST0038","Sanctions Screening","16-06-2024","Passed","AutoKYC","","TRUE","TRUE","16-06-2025"
"KYCCHK0194","CUST0038","PEP Check","16-07-2024","Passed","AutoKYC","","TRUE","TRUE","16-07-2025"
"KYCCHK0195","CUST0039","Identity Verification","17-06-2024","Passed","AutoKYC","","TRUE","TRUE","17-06-2025"
"KYCCHK0196","CUST0039","Sanctions Screening","17-07-2024","Passed","AutoKYC","","TRUE","TRUE","17-07-2025"
"KYCCHK0197","CUST0039","PEP Check","17-08-2024","Passed","AutoKYC","","TRUE","TRUE","17-08-2025"
"KYCCHK0198","CUST0040","Sanctions Screening","18-06-2024","Passed","AutoKYC","","TRUE","TRUE","18-06-2025"
"KYCCHK0199","CUST0040","PEP Check","18-07-2024","Passed","AutoKYC","","TRUE","TRUE","18-07-2025"
"KYCCHK0200","CUST0041","Identity Verification","19-06-2024","Passed","AutoKYC","","TRUE","TRUE","19-06-2025"
"KYCCHK0201","CUST0041","Sanctions Screening","19-07-2024","Passed","AutoKYC","","TRUE","TRUE","19-07-2025"
"KYCCHK0202","CUST0041","PEP Check","19-08-2024","Passed","AutoKYC","","TRUE","TRUE","19-08-2025"
"KYCCHK0203","CUST0042","Sanctions Screening","20-06-2024","Passed","AutoKYC","","TRUE","TRUE","20-06-2025"
"KYCCHK0204","CUST0042","PEP Check","20-07-2024","Passed","AutoKYC","","TRUE","TRUE","20-07-2025"
"KYCCHK0205","CUST0043","Identity Verification","21-06-2024","Passed","AutoKYC","","TRUE","TRUE","21-06-2025"
"KYCCHK0206","CUST0043","Sanctions Screening","21-07-2024","Passed","AutoKYC","","TRUE","TRUE","21-07-2025"
"KYCCHK0207","CUST0043","PEP Check","21-08-2024","Passed","AutoKYC","","TRUE","TRUE","21-08-2025"
"KYCCHK0208","CUST0044","Sanctions Screening","22-06-2024","Passed","AutoKYC","","TRUE","TRUE","22-06-2025"
"KYCCHK0209","CUST0044","PEP Check","22-07-2024","Passed","AutoKYC","","TRUE","TRUE","22-07-2025"
"KYCCHK0210","CUST0045","Identity Verification","23-06-2024","Passed","AutoKYC","","TRUE","TRUE","23-06-2025"
"KYCCHK0211","CUST0045","Sanctions Screening","23-07-2024","Passed","AutoKYC","","TRUE","TRUE","23-07-2025"
"KYCCHK0212","CUST0045","PEP Check","23-08-2024","Passed","AutoKYC","","TRUE","TRUE","23-08-2025"
"KYCCHK0213","CUST0046","Sanctions Screening","24-06-2024","Passed","AutoKYC","","TRUE","TRUE","24-06-2025"
"KYCCHK0214","CUST0046","PEP Check","24-07-2024","Passed","AutoKYC","","TRUE","TRUE","24-07-2025"
"KYCCHK0215","CUST0047","Identity Verification","25-06-2024","Passed","AutoKYC","","TRUE","TRUE","25-06-2025"
"KYCCHK0216","CUST0047","Sanctions Screening","25-07-2024","Passed","AutoKYC","","TRUE","TRUE","25-07-2025"
"KYCCHK0217","CUST0047","PEP Check","25-08-2024","Passed","AutoKYC","","TRUE","TRUE","25-08-2025"
"KYCCHK0218","CUST0048","Sanctions Screening","26-06-2024","Passed","AutoKYC","","TRUE","TRUE","26-06-2025"
"KYCCHK0219","CUST0048","PEP Check","26-07-2024","Passed","AutoKYC","","TRUE","TRUE","26-07-2025"
"KYCCHK0220","CUST0049","Identity Verification","27-06-2024","Passed","AutoKYC","","TRUE","TRUE","27-06-2025"
"KYCCHK0221","CUST0049","Sanctions Screening","27-07-2024","Passed","AutoKYC","","TRUE","TRUE","27-07-2025"
"KYCCHK0222","CUST0049","PEP Check","27-08-2024","Passed","AutoKYC","","TRUE","TRUE","27-08-2025"
"KYCCHK0223","CUST0050","Sanctions Screening","28-06-2024","Passed","AutoKYC","","TRUE","TRUE","28-06-2025"
"KYCCHK0224","CUST0050","PEP Check","28-07-2024","Passed","AutoKYC","","TRUE","TRUE","28-07-2025"
"KYCCHK0225","CUST0051","Identity Verification","29-06-2024","Passed","AutoKYC","","TRUE","TRUE","29-06-2025"
"KYCCHK0226","CUST0051","Sanctions Screening","29-07-2024","Passed","AutoKYC","","TRUE","TRUE","29-07-2025"
"KYCCHK0227","CUST0051","PEP Check","29-08-2024","Passed","AutoKYC","","TRUE","TRUE","29-08-2025"
"KYCCHK0228","CUST0052","Sanctions Screening","30-06-2024","Passed","AutoKYC","","TRUE","TRUE","30-06-2025"
"KYCCHK0229","CUST0052","PEP Check","30-07-2024","Passed","AutoKYC","","TRUE","TRUE","30-07-2025"
