"EntityID","CustomerID","EntityName","RegistrationNumber","IncorporationDate","CountryOfIncorporation","TaxID","Industry","LegalForm","IsListed","SourceSystem"
"ENT0071","CUST0077","Blak Mesa Labz","AU-REG1031","20-12-2022","Australia","AU-TAX2031","Finance","Inc","TRUE","WEB"
"ENT0032","CUST0080","Blue Sun Foods","REG1032","25-01-2023","USA","TAX2032","Logistics","PLC","TRUE","CRM"
"ENT0072","CUST0080","Blew Sun Fuds","US-REG1032","25-01-2023","USA","US-TAX2032","Paper","LLC","FALSE","ERP"
"ENT0033","CUST0082","Massive Tech","REG1033","28-02-2024","UK","TAX2033","Technology","Inc","FALSE","WEB"
"ENT0073","CUST0082","Masiv Tek","GB-REG1033","28-02-2024","UK","GB-TAX2033","Consulting","PLC","TRUE","CRM"
"ENT0034","CUST0085","Veidt Labs","REG1034","15-03-2025","Canada","TAX2034","Manufacturing","LLC","TRUE","ERP"
"ENT0074","CUST0085","Veit Labz","CA-REG1034","15-03-2025","Canada","CA-TAX2034","Construction","Inc","FALSE","WEB"
"ENT0035","CUST0087","Paper Supplies","REG1035","20-04-2026","Australia","TAX2035","Paper","PLC","FALSE","CRM"
"ENT0075","CUST0087","Papper Suppliz","AU-REG1035","20-04-2026","Australia","AU-TAX2035","Food","LLC","TRUE","ERP"
"ENT0036","CUST0090","Prestige Events","REG1036","25-05-2027","USA","TAX2036","Consulting","Inc","TRUE","WEB"
"ENT0076","CUST0090","Prestij Evants","US-REG1036","25-05-2027","USA","US-TAX2036","Manufacturing","PLC","FALSE","CRM"
"ENT0037","CUST0092","Bluth Homes","REG1037","30-06-2028","UK","TAX2037","Construction","LLC","FALSE","ERP"
"ENT0077","CUST0092","Blut Homs","GB-REG1037","30-06-2028","UK","GB-TAX2037","Biotech","Inc","TRUE","WEB"
"ENT0038","CUST0095","Good Eats","REG1038","15-07-2029","Canada","TAX2038","Food","PLC","TRUE","CRM"
"ENT0078","CUST0095","Gud Eets","CA-REG1038","15-07-2029","Canada","CA-TAX2038","Technology","LLC","FALSE","ERP"
"ENT0039","CUST0097","Monsters Toys","REG1039","20-08-2030","Australia","TAX2039","Entertainment","Inc","FALSE","WEB"
"ENT0079","CUST0097","Monstirs Toiz","AU-REG1039","20-08-2030","Australia","AU-TAX2039","Energy","PLC","TRUE","CRM"
"ENT0040","CUST0100","Oceanic Cargo","REG1040","25-09-2031","USA","TAX2040","Airlines","LLC","TRUE","ERP"
"ENT0080","CUST0100","Ocenic Kargo","US-REG1040","25-09-2031","USA","US-TAX2040","Entertainment","Inc","FALSE","WEB"
