ContractRoleID,FDN_Contract,FDN_Customer,Role,StartDate,EndDate,IsActive,Notes
BROLE0119,BCON0040,CUST0080,Joint Holder,10/12/2020,10/12/2025,TRUE,
BROLE0120,BCON0040,CUST0081,Power of Attorney,10/12/2020,10/12/2025,TRUE,
BROLE0121,BCON0041,CUST0021,Account Holder,23-02-2021,23-02-2026,TRUE,
BROLE0122,BCON0041,CUST0082,Joint Holder,23-02-2021,23-02-2026,TRUE,
BROLE0123,BCON0041,CUST0083,Beneficiary,23-02-2021,23-02-2026,TRUE,
BROLE0124,BCON0042,CUST0021,Account Holder,6/5/2019,6/5/2024,TRUE,
BROLE0125,BCON0042,CUST0084,Joint Holder,6/5/2019,6/5/2024,TRUE,
BROLE0126,BCON0042,CUST0085,Power of Attorney,6/5/2019,6/5/2024,TRUE,
BROLE0127,BCON0043,CUST0022,Account Holder,19-07-2020,19-07-2025,TRUE,
BROLE0128,BCON0043,CUST0086,Joint Holder,19-07-2020,19-07-2025,TRUE,
BROLE0129,BCON0043,CUST0087,Beneficiary,19-07-2020,19-07-2025,TRUE,
BROLE0130,BCON0044,CUST0022,Account Holder,1/9/2022,1/9/2027,TRUE,
BROLE0131,BCON0044,CUST0088,Joint Holder,1/9/2022,1/9/2027,TRUE,
BROLE0132,BCON0044,CUST0089,Power of Attorney,1/9/2022,1/9/2027,TRUE,
BROLE0133,BCON0045,CUST0023,Account Holder,14-10-2018,14-10-2023,TRUE,
BROLE0134,BCON0045,CUST0090,Joint Holder,14-10-2018,14-10-2023,TRUE,
BROLE0135,BCON0045,CUST0091,Beneficiary,14-10-2018,14-10-2023,TRUE,
BROLE0136,BCON0046,CUST0023,Account Holder,27-01-2020,27-01-2025,TRUE,
BROLE0137,BCON0046,CUST0092,Joint Holder,27-01-2020,27-01-2025,TRUE,
BROLE0138,BCON0046,CUST0093,Power of Attorney,27-01-2020,27-01-2025,TRUE,
BROLE0139,BCON0047,CUST0024,Account Holder,12/3/2021,12/3/2026,TRUE,
BROLE0140,BCON0047,CUST0094,Joint Holder,12/3/2021,12/3/2026,TRUE,
BROLE0141,BCON0047,CUST0095,Beneficiary,12/3/2021,12/3/2026,TRUE,
BROLE0142,BCON0048,CUST0024,Account Holder,25-06-2019,25-06-2024,TRUE,
BROLE0143,BCON0048,CUST0096,Joint Holder,25-06-2019,25-06-2024,TRUE,
BROLE0144,BCON0048,CUST0097,Power of Attorney,25-06-2019,25-06-2024,TRUE,
BROLE0145,BCON0049,CUST0025,Account Holder,8/8/2020,8/8/2025,TRUE,
BROLE0146,BCON0049,CUST0098,Joint Holder,8/8/2020,8/8/2025,TRUE,
BROLE0147,BCON0049,CUST0099,Beneficiary,8/8/2020,8/8/2025,TRUE,
BROLE0148,BCON0050,CUST0025,Account Holder,21-10-2022,21-10-2027,TRUE,
BROLE0149,BCON0050,CUST0100,Joint Holder,21-10-2022,21-10-2027,TRUE,
BROLE0150,BCON0050,CUST0101,Power of Attorney,21-10-2022,21-10-2027,TRUE,
BROLE0151,BCON0051,CUST0026,Account Holder,3/11/2018,3/11/2023,TRUE,
BROLE0152,BCON0051,CUST0102,Joint Holder,3/11/2018,3/11/2023,TRUE,
BROLE0153,BCON0051,CUST0103,Beneficiary,3/11/2018,3/11/2023,TRUE,
BROLE0154,BCON0052,CUST0026,Account Holder,16-02-2020,16-02-2025,TRUE,
BROLE0155,BCON0052,CUST0104,Joint Holder,16-02-2020,16-02-2025,TRUE,
BROLE0156,BCON0052,CUST0105,Power of Attorney,16-02-2020,16-02-2025,TRUE,
BROLE0157,BCON0053,CUST0027,Account Holder,29-04-2021,29-04-2026,TRUE,
BROLE0158,BCON0053,CUST0106,Joint Holder,29-04-2021,29-04-2026,TRUE,
BROLE0159,BCON0053,CUST0107,Beneficiary,29-04-2021,29-04-2026,TRUE,
BROLE0160,BCON0054,CUST0027,Account Holder,12/7/2019,12/7/2024,TRUE,
BROLE0161,BCON0054,CUST0108,Joint Holder,12/7/2019,12/7/2024,TRUE,
BROLE0162,BCON0054,CUST0109,Power of Attorney,12/7/2019,12/7/2024,TRUE,
BROLE0163,BCON0055,CUST0028,Account Holder,25-09-2020,25-09-2025,TRUE,
BROLE0164,BCON0055,CUST0110,Joint Holder,25-09-2020,25-09-2025,TRUE,
BROLE0165,BCON0055,CUST0111,Beneficiary,25-09-2020,25-09-2025,TRUE,
BROLE0166,BCON0056,CUST0028,Account Holder,6/11/2022,6/11/2027,TRUE,
BROLE0167,BCON0056,CUST0112,Joint Holder,6/11/2022,6/11/2027,TRUE,
BROLE0168,BCON0056,CUST0113,Power of Attorney,6/11/2022,6/11/2027,TRUE,
BROLE0169,BCON0057,CUST0029,Account Holder,19-12-2018,19-12-2023,TRUE,
BROLE0170,BCON0057,CUST0114,Joint Holder,19-12-2018,19-12-2023,TRUE,
BROLE0171,BCON0057,CUST0115,Beneficiary,19-12-2018,19-12-2023,TRUE,
BROLE0172,BCON0058,CUST0029,Account Holder,4/3/2020,4/3/2025,TRUE,
BROLE0173,BCON0058,CUST0116,Joint Holder,4/3/2020,4/3/2025,TRUE,
BROLE0174,BCON0058,CUST0117,Power of Attorney,4/3/2020,4/3/2025,TRUE,
BROLE0175,BCON0059,CUST0030,Account Holder,17-05-2021,17-05-2026,TRUE,
BROLE0176,BCON0059,CUST0118,Joint Holder,17-05-2021,17-05-2026,TRUE,
BROLE0177,BCON0059,CUST0119,Beneficiary,17-05-2021,17-05-2026,TRUE,
BROLE0178,BCON0060,CUST0030,Account Holder,30-08-2019,30-08-2024,TRUE,
BROLE0179,BCON0060,CUST0120,Joint Holder,30-08-2019,30-08-2024,TRUE,
BROLE0180,BCON0060,CUST0121,Power of Attorney,30-08-2019,30-08-2024,TRUE,
BROLE0181,BCON0061,CUST0031,Account Holder,12/6/2020,12/6/2025,TRUE,
BROLE0182,BCON0061,CUST0122,Joint Holder,12/6/2020,12/6/2025,TRUE,
BROLE0183,BCON0061,CUST0123,Beneficiary,12/6/2020,12/6/2025,TRUE,
BROLE0184,BCON0062,CUST0031,Account Holder,23-12-2022,23-12-2027,TRUE,
BROLE0185,BCON0062,CUST0124,Joint Holder,23-12-2022,23-12-2027,TRUE,
BROLE0186,BCON0062,CUST0125,Power of Attorney,23-12-2022,23-12-2027,TRUE,
BROLE0187,BCON0063,CUST0032,Account Holder,15-01-2018,15-01-2023,TRUE,
BROLE0188,BCON0063,CUST0126,Joint Holder,15-01-2018,15-01-2023,TRUE,
BROLE0189,BCON0063,CUST0127,Beneficiary,15-01-2018,15-01-2023,TRUE,
BROLE0190,BCON0064,CUST0032,Account Holder,28-08-2020,28-08-2025,TRUE,
BROLE0191,BCON0064,CUST0128,Joint Holder,28-08-2020,28-08-2025,TRUE,
BROLE0192,BCON0064,CUST0129,Power of Attorney,28-08-2020,28-08-2025,TRUE,
BROLE0193,BCON0065,CUST0033,Account Holder,10/6/2021,10/6/2026,TRUE,
BROLE0194,BCON0065,CUST0130,Joint Holder,10/6/2021,10/6/2026,TRUE,
BROLE0195,BCON0065,CUST0131,Beneficiary,10/6/2021,10/6/2026,TRUE,
BROLE0196,BCON0066,CUST0033,Account Holder,23-09-2019,23-09-2024,TRUE,
BROLE0197,BCON0066,CUST0132,Joint Holder,23-09-2019,23-09-2024,TRUE,
BROLE0198,BCON0066,CUST0133,Power of Attorney,23-09-2019,23-09-2024,TRUE,
BROLE0199,BCON0067,CUST0034,Account Holder,5/11/2020,5/11/2025,TRUE,
BROLE0200,BCON0067,CUST0134,Joint Holder,5/11/2020,5/11/2025,TRUE,
BROLE0201,BCON0067,CUST0135,Beneficiary,5/11/2020,5/11/2025,TRUE,
BROLE0202,BCON0068,CUST0034,Account Holder,2/1/2023,2/1/2028,TRUE,
BROLE0203,BCON0068,CUST0136,Joint Holder,2/1/2023,2/1/2028,TRUE,
BROLE0204,BCON0068,CUST0137,Power of Attorney,2/1/2023,2/1/2028,TRUE,
BROLE0205,BCON0069,CUST0035,Account Holder,18-02-2018,18-02-2023,TRUE,
BROLE0206,BCON0069,CUST0138,Joint Holder,18-02-2018,18-02-2023,TRUE,
BROLE0207,BCON0069,CUST0139,Beneficiary,18-02-2018,18-02-2023,TRUE,
BROLE0208,BCON0070,CUST0035,Account Holder,13-04-2020,13-04-2025,TRUE,
BROLE0209,BCON0070,CUST0140,Joint Holder,13-04-2020,13-04-2025,TRUE,
BROLE0210,BCON0070,CUST0141,Power of Attorney,13-04-2020,13-04-2025,TRUE,
BROLE0211,BCON0071,CUST0036,Account Holder,27-07-2021,27-07-2026,TRUE,
BROLE0212,BCON0071,CUST0142,Joint Holder,27-07-2021,27-07-2026,TRUE,
BROLE0213,BCON0071,CUST0143,Beneficiary,27-07-2021,27-07-2026,TRUE,
BROLE0214,BCON0072,CUST0036,Account Holder,10/10/2019,10/10/2024,TRUE,
BROLE0215,BCON0072,CUST0144,Joint Holder,10/10/2019,10/10/2024,TRUE,
BROLE0216,BCON0072,CUST0145,Power of Attorney,10/10/2019,10/10/2024,TRUE,
BROLE0217,BCON0073,CUST0037,Account Holder,22-12-2020,22-12-2025,TRUE,
BROLE0218,BCON0073,CUST0146,Joint Holder,22-12-2020,22-12-2025,TRUE,
BROLE0219,BCON0073,CUST0147,Beneficiary,22-12-2020,22-12-2025,TRUE,
BROLE0220,BCON0074,CUST0037,Account Holder,14-02-2023,14-02-2028,TRUE,
BROLE0221,BCON0074,CUST0148,Joint Holder,14-02-2023,14-02-2028,TRUE,
BROLE0222,BCON0074,CUST0149,Power of Attorney,14-02-2023,14-02-2028,TRUE,
BROLE0223,BCON0075,CUST0038,Account Holder,29-03-2018,29-03-2023,TRUE,
BROLE0224,BCON0075,CUST0150,Joint Holder,29-03-2018,29-03-2023,TRUE,
BROLE0225,BCON0075,CUST0151,Beneficiary,29-03-2018,29-03-2023,TRUE,
BROLE0226,BCON0076,CUST0038,Account Holder,16-05-2020,16-05-2025,TRUE,
BROLE0227,BCON0076,CUST0152,Joint Holder,16-05-2020,16-05-2025,TRUE,
BROLE0228,BCON0076,CUST0153,Power of Attorney,16-05-2020,16-05-2025,TRUE,
BROLE0229,BCON0077,CUST0039,Account Holder,31-08-2021,31-08-2026,TRUE,
BROLE0230,BCON0077,CUST0154,Joint Holder,31-08-2021,31-08-2026,TRUE,
BROLE0231,BCON0077,CUST0155,Beneficiary,31-08-2021,31-08-2026,TRUE,
BROLE0232,BCON0078,CUST0039,Account Holder,13-11-2019,13-11-2024,TRUE,
BROLE0233,BCON0078,CUST0156,Joint Holder,13-11-2019,13-11-2024,TRUE,
BROLE0234,BCON0078,CUST0157,Power of Attorney,13-11-2019,13-11-2024,TRUE,
BROLE0235,BCON0079,CUST0040,Account Holder,1/9/2020,1/9/2025,TRUE,
BROLE0236,BCON0079,CUST0158,Joint Holder,1/9/2020,1/9/2025,TRUE,
BROLE0237,BCON0079,CUST0159,Beneficiary,1/9/2020,1/9/2025,TRUE,
BROLE0238,BCON0080,CUST0040,Account Holder,6/3/2022,6/3/2027,TRUE,
BROLE0239,BCON0080,CUST0160,Joint Holder,6/3/2022,6/3/2027,TRUE,
BROLE0240,BCON0080,CUST0161,Power of Attorney,6/3/2022,6/3/2027,TRUE,
BROLE0241,BCON0081,CUST0041,Account Holder,14-04-2018,14-04-2023,TRUE,
BROLE0242,BCON0081,CUST0162,Joint Holder,14-04-2018,14-04-2023,TRUE,
BROLE0243,BCON0081,CUST0163,Beneficiary,14-04-2018,14-04-2023,TRUE,
BROLE0244,BCON0082,CUST0041,Account Holder,27-06-2020,27-06-2025,TRUE,
BROLE0245,BCON0082,CUST0164,Joint Holder,27-06-2020,27-06-2025,TRUE,
BROLE0246,BCON0082,CUST0165,Power of Attorney,27-06-2020,27-06-2025,TRUE,
BROLE0247,BCON0083,CUST0042,Account Holder,19-09-2021,19-09-2026,TRUE,
BROLE0248,BCON0083,CUST0166,Joint Holder,19-09-2021,19-09-2026,TRUE,
BROLE0249,BCON0083,CUST0167,Beneficiary,19-09-2021,19-09-2026,TRUE,
BROLE0250,BCON0084,CUST0042,Account Holder,2/12/2019,2/12/2024,TRUE,
BROLE0251,BCON0084,CUST0168,Joint Holder,2/12/2019,2/12/2024,TRUE,
BROLE0252,BCON0084,CUST0169,Power of Attorney,2/12/2019,2/12/2024,TRUE,
BROLE0253,BCON0085,CUST0043,Account Holder,14-08-2020,14-08-2025,TRUE,
BROLE0254,BCON0085,CUST0170,Joint Holder,14-08-2020,14-08-2025,TRUE,
BROLE0255,BCON0085,CUST0171,Beneficiary,14-08-2020,14-08-2025,TRUE,
BROLE0256,BCON0086,CUST0043,Account Holder,25-04-2022,25-04-2027,TRUE,
BROLE0257,BCON0086,CUST0172,Joint Holder,25-04-2022,25-04-2027,TRUE,
BROLE0258,BCON0086,CUST0173,Power of Attorney,25-04-2022,25-04-2027,TRUE,
BROLE0259,BCON0087,CUST0044,Account Holder,8/5/2018,8/5/2023,TRUE,
BROLE0260,BCON0087,CUST0174,Joint Holder,8/5/2018,8/5/2023,TRUE,
BROLE0261,BCON0087,CUST0175,Beneficiary,8/5/2018,8/5/2023,TRUE,
BROLE0262,BCON0088,CUST0044,Account Holder,21-11-2020,21-11-2025,TRUE,
BROLE0263,BCON0088,CUST0176,Joint Holder,21-11-2020,21-11-2025,TRUE,
BROLE0264,BCON0088,CUST0177,Power of Attorney,21-11-2020,21-11-2025,TRUE,
BROLE0265,BCON0089,CUST0045,Account Holder,4/12/2021,4/12/2026,TRUE,
BROLE0266,BCON0089,CUST0178,Joint Holder,4/12/2021,4/12/2026,TRUE,
BROLE0267,BCON0089,CUST0179,Beneficiary,4/12/2021,4/12/2026,TRUE,
BROLE0268,BCON0090,CUST0045,Account Holder,17-02-2019,17-02-2024,TRUE,
BROLE0269,BCON0090,CUST0180,Joint Holder,17-02-2019,17-02-2024,TRUE,
BROLE0270,BCON0090,CUST0181,Power of Attorney,17-02-2019,17-02-2024,TRUE,
BROLE0271,BCON0091,CUST0046,Account Holder,31-03-2020,31-03-2025,TRUE,
BROLE0272,BCON0091,CUST0182,Joint Holder,31-03-2020,31-03-2025,TRUE,
BROLE0273,BCON0091,CUST0183,Beneficiary,31-03-2020,31-03-2025,TRUE,
BROLE0274,BCON0092,CUST0046,Account Holder,18-05-2022,18-05-2027,TRUE,
BROLE0275,BCON0092,CUST0184,Joint Holder,18-05-2022,18-05-2027,TRUE,
BROLE0276,BCON0092,CUST0185,Power of Attorney,18-05-2022,18-05-2027,TRUE,
BROLE0277,BCON0093,CUST0047,Account Holder,23-06-2018,23-06-2023,TRUE,
BROLE0278,BCON0093,CUST0186,Joint Holder,23-06-2018,23-06-2023,TRUE,
BROLE0279,BCON0093,CUST0187,Beneficiary,23-06-2018,23-06-2023,TRUE,
BROLE0280,BCON0094,CUST0047,Account Holder,16-09-2020,16-09-2025,TRUE,
BROLE0281,BCON0094,CUST0188,Joint Holder,16-09-2020,16-09-2025,TRUE,
BROLE0282,BCON0094,CUST0189,Power of Attorney,16-09-2020,16-09-2025,TRUE,
BROLE0283,BCON0095,CUST0048,Account Holder,30-01-2021,30-01-2026,TRUE,
BROLE0284,BCON0095,CUST0190,Joint Holder,30-01-2021,30-01-2026,TRUE,
BROLE0285,BCON0095,CUST0191,Beneficiary,30-01-2021,30-01-2026,TRUE,
BROLE0286,BCON0096,CUST0048,Account Holder,14-04-2019,14-04-2024,TRUE,
BROLE0287,BCON0096,CUST0192,Joint Holder,14-04-2019,14-04-2024,TRUE,
BROLE0288,BCON0096,CUST0193,Power of Attorney,14-04-2019,14-04-2024,TRUE,
BROLE0289,BCON0097,CUST0049,Account Holder,1/7/2020,1/7/2025,TRUE,
BROLE0290,BCON0097,CUST0194,Joint Holder,1/7/2020,1/7/2025,TRUE,
BROLE0291,BCON0097,CUST0195,Beneficiary,1/7/2020,1/7/2025,TRUE,
BROLE0292,BCON0098,CUST0049,Account Holder,13-06-2022,13-06-2027,TRUE,
BROLE0293,BCON0098,CUST0196,Joint Holder,13-06-2022,13-06-2027,TRUE,
BROLE0294,BCON0098,CUST0197,Power of Attorney,13-06-2022,13-06-2027,TRUE,
BROLE0295,BCON0099,CUST0050,Account Holder,26-08-2018,26-08-2023,TRUE,
BROLE0296,BCON0099,CUST0198,Joint Holder,26-08-2018,26-08-2023,TRUE,
BROLE0297,BCON0099,CUST0199,Beneficiary,26-08-2018,26-08-2023,TRUE,
BROLE0298,BCON0100,CUST0050,Account Holder,9/10/2020,9/10/2025,TRUE,
BROLE0299,BCON0100,CUST0200,Joint Holder,9/10/2020,9/10/2025,TRUE,
BROLE0300,BCON0100,CUST0201,Power of Attorney,9/10/2020,9/10/2025,TRUE,
