"RelationshipID","FDN_FromCustomer","FDN_ToCustomer","RelationshipType","StartDate","EndDate","IsActive","Notes"
"REL0044","CUST0004","CUST0062","UBO","20-01-2023","","TRUE",""
"REL0045","CUST0005","CUST0065","Director","11-07-2022","","TRUE",""
"REL0046","CUST0006","CUST0065","UBO","30-09-2023","","TRUE",""
"REL0047","CUST0007","CUST0067","Shareholder","05-12-2021","","TRUE",""
"REL0048","CUST0008","CUST0067","UBO","18-06-2022","","TRUE",""
"REL0049","CUST0009","CUST0069","Director","23-11-2023","","TRUE",""
"REL0050","CUST0010","CUST0069","Shareholder","19-04-2022","","TRUE",""
"REL0051","CUST0011","CUST0071","Director","29-08-2021","","TRUE",""
"REL0052","CUST0012","CUST0071","UBO","17-01-2023","","TRUE",""
"REL0053","CUST0013","CUST0073","Shareholder","09-10-2022","","TRUE",""
"REL0054","CUST0014","CUST0073","UBO","22-03-2023","","TRUE",""
"REL0055","CUST0015","CUST0075","Director","13-08-2022","","TRUE",""
"REL0056","CUST0016","CUST0075","Shareholder","27-02-2023","","TRUE",""
"REL0057","CUST0017","CUST0077","Director","16-07-2021","","TRUE",""
"REL0058","CUST0018","CUST0077","UBO","01-12-2022","","TRUE",""
"REL0059","CUST0019","CUST0079","Shareholder","19-05-2023","","TRUE",""
"REL0060","CUST0020","CUST0079","Director","04-10-2022","","TRUE",""
"REL0061","CUST0021","CUST0081","Director","28-03-2021","","TRUE",""
"REL0062","CUST0022","CUST0081","Shareholder","15-08-2022","","TRUE",""
"REL0063","CUST0023","CUST0083","Director","30-01-2023","","TRUE",""
"REL0064","CUST0024","CUST0083","UBO","21-06-2022","","TRUE",""
"REL0065","CUST0025","CUST0085","Shareholder","12-11-2023","","TRUE",""
"REL0066","CUST0026","CUST0085","Director","27-04-2022","","TRUE",""
"REL0067","CUST0027","CUST0087","Director","13-09-2021","","TRUE",""
"REL0068","CUST0028","CUST0087","Shareholder","06-02-2022","","TRUE",""
"REL0069","CUST0029","CUST0089","Director","25-07-2023","","TRUE",""
"REL0070","CUST0030","CUST0089","UBO","10-12-2022","","TRUE",""
"REL0071","CUST0031","CUST0091","Shareholder","03-05-2023","","TRUE",""
"REL0072","CUST0032","CUST0091","Director","18-10-2022","","TRUE",""
"REL0073","CUST0033","CUST0093","Director","09-03-2021","","TRUE",""
"REL0074","CUST0034","CUST0093","Shareholder","24-08-2022","","TRUE",""
"REL0075","CUST0035","CUST0095","Director","15-01-2023","","TRUE",""
"REL0076","CUST0036","CUST0095","UBO","06-06-2022","","TRUE",""
"REL0077","CUST0037","CUST0097","Director","21-11-2023","","TRUE",""
"REL0078","CUST0038","CUST0097","Shareholder","14-04-2022","","TRUE",""
"REL0079","CUST0039","CUST0099","Director","29-09-2021","","TRUE",""
"REL0080","CUST0040","CUST0099","UBO","12-02-2022","","TRUE",""
