"BankingContractID","ContractName","StartDate","EndDate","Status","Amount","Currency","FDN_Customer","FDN_Product","Notes"
"BCON0102","Debit Card","10-07-2022","10-07-2027","Active","5000.0","USD","CUST0002",,""
"BCON0103","Fixed Deposit","01-11-2020","01-11-2025","Active","25000.0","USD","CUST0003",,""
"BCON0104","Money Market Account","20-05-2019","20-05-2024","Closed","18000.0","USD","CUST0004",,""
"BCON0105","Overdraft Facility","30-09-2022","30-09-2027","Active","7000.0","USD","CUST0005",,""
"BCON0106","Credit Card","10-04-2021","10-04-2026","Active","13000.0","USD","CUST0006",,""
"BCON0107","Debit Card","15-08-2022","15-08-2027","Active","6000.0","USD","CUST0007",,""
"BCON0108","Fixed Deposit","01-12-2020","01-12-2025","Active","26000.0","USD","CUST0008",,""
"BCON0109","Money Market Account","20-06-2019","20-06-2024","Closed","19000.0","USD","CUST0009",,""
"BCON0110","Overdraft Facility","30-10-2022","30-10-2027","Active","8000.0","USD","CUST0010",,""
"BCON0111","Credit Card","15-05-2021","15-05-2026","Active","14000.0","USD","CUST0011",,""
"BCON0112","Debit Card","10-09-2022","10-09-2027","Active","7000.0","USD","CUST0012",,""
"BCON0113","Fixed Deposit","01-01-2021","01-01-2026","Active","27000.0","USD","CUST0013",,""
"BCON0114","Money Market Account","20-07-2019","20-07-2024","Closed","20000.0","USD","CUST0014",,""
"BCON0115","Overdraft Facility","30-11-2022","30-11-2027","Active","9000.0","USD","CUST0015",,""
"BCON0116","Credit Card","15-06-2021","15-06-2026","Active","15000.0","USD","CUST0016",,""
"BCON0117","Debit Card","10-10-2022","10-10-2027","Active","8000.0","USD","CUST0017",,""
"BCON0118","Fixed Deposit","01-02-2021","01-02-2026","Active","28000.0","USD","CUST0018",,""
"BCON0119","Money Market Account","20-08-2019","20-08-2024","Closed","21000.0","USD","CUST0019",,""
"BCON0120","Overdraft Facility","30-12-2022","30-12-2027","Active","10000.0","USD","CUST0020",,""
"BCON0121","Credit Card","15-07-2021","15-07-2026","Active","16000.0","USD","CUST0021",,""
"BCON0122","Debit Card","10-11-2022","10-11-2027","Active","9000.0","USD","CUST0022",,""
"BCON0123","Fixed Deposit","01-03-2021","01-03-2026","Active","29000.0","USD","CUST0023",,""
"BCON0124","Money Market Account","20-09-2019","20-09-2024","Closed","22000.0","USD","CUST0024",,""
"BCON0125","Overdraft Facility","30-01-2023","30-01-2028","Active","11000.0","USD","CUST0025",,""
"BCON0126","Credit Card","15-08-2021","15-08-2026","Active","17000.0","USD","CUST0026",,""
"BCON0127","Debit Card","10-12-2022","10-12-2027","Active","10000.0","USD","CUST0027",,""
"BCON0128","Fixed Deposit","01-04-2021","01-04-2026","Active","30000.0","USD","CUST0028",,""
"BCON0129","Money Market Account","20-10-2019","20-10-2024","Closed","23000.0","USD","CUST0029",,""
"BCON0130","Overdraft Facility","28-02-2023","28-02-2028","Active","12000.0","USD","CUST0030",,""
"BCON0131","Credit Card","15-09-2021","15-09-2026","Active","18000.0","USD","CUST0031",,""
"BCON0132","Debit Card","10-01-2023","10-01-2028","Active","11000.0","USD","CUST0032",,""
"BCON0133","Fixed Deposit","01-05-2021","01-05-2026","Active","31000.0","USD","CUST0033",,""
"BCON0134","Money Market Account","20-11-2019","20-11-2024","Closed","24000.0","USD","CUST0034",,""
"BCON0135","Overdraft Facility","30-03-2023","30-03-2028","Active","13000.0","USD","CUST0035",,""
"BCON0136","Credit Card","15-10-2021","15-10-2026","Active","19000.0","USD","CUST0036",,""
"BCON0137","Debit Card","10-02-2023","10-02-2028","Active","12000.0","USD","CUST0037",,""
"BCON0138","Fixed Deposit","01-06-2021","01-06-2026","Active","32000.0","USD","CUST0038",,""
"BCON0139","Money Market Account","20-12-2019","20-12-2024","Closed","25000.0","USD","CUST0039",,""
"BCON0140","Overdraft Facility","30-04-2023","30-04-2028","Active","14000.0","USD","CUST0040",,""
"BCON0141","Credit Card","15-11-2021","15-11-2026","Active","20000.0","USD","CUST0041",,""
"BCON0142","Debit Card","10-03-2023","10-03-2028","Active","13000.0","USD","CUST0042",,""
"BCON0143","Fixed Deposit","01-07-2021","01-07-2026","Active","33000.0","USD","CUST0043",,""
"BCON0144","Money Market Account","20-01-2020","20-01-2025","Closed","26000.0","USD","CUST0044",,""
"BCON0145","Overdraft Facility","30-05-2023","30-05-2028","Active","15000.0","USD","CUST0045",,""
"BCON0146","Credit Card","15-12-2021","15-12-2026","Active","21000.0","USD","CUST0046",,""
"BCON0147","Debit Card","10-04-2023","10-04-2028","Active","14000.0","USD","CUST0047",,""
"BCON0148","Fixed Deposit","01-08-2021","01-08-2026","Active","34000.0","USD","CUST0048",,""
"BCON0149","Money Market Account","20-02-2020","20-02-2025","Closed","27000.0","USD","CUST0049",,""
"BCON0150","Overdraft Facility","30-06-2023","30-06-2028","Active","16000.0","USD","CUST0050",,""
